Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
141302,-1.14961,9.66853,0.723133,-0.421,0.004,0.32,-19.9214,-47.9408,10.3855,1000.72
141308,-1.16396,9.62071,0.747045,0.069,-0.206,-0.31,-20.1248,-47.4474,10.2673,1000.7
141314,-1.14961,9.6494,0.713568,0.139,0.284,0.67,-20.0086,-47.0773,11.7597,1000.7
141320,-1.14004,9.67331,0.704003,-0.421,0.284,0.25,-19.3984,-46.954,12.0404,1000.73
141326,-1.15917,9.63984,0.723133,-0.001,-0.346,0.04,-19.5146,-48.1567,11.1982,1000.73
141332,-1.14483,9.65418,0.713568,-0.141,0.004,0.18,-20.2991,-47.6941,9.23293,1000.72
141338,-1.15439,9.70201,0.713568,-0.071,0.074,0.46,-20.0958,-47.5399,10.7106,1000.72
141344,-1.14004,9.72592,0.684874,-0.001,-0.276,0.11,-19.5437,-47.6633,11.346,1000.72
141350,-1.14961,9.6494,0.732698,-0.141,0.214,0.88,-19.8052,-47.2315,11.08,1000.73
141356,-1.1257,9.63505,0.770957,-0.141,0.144,0.25,-20.4154,-47.139,11.6119,1000.73
141362,-1.14004,9.66853,0.713568,-0.281,-0.066,-0.1,-20.3282,-46.7073,10.7106,1000.71
141368,-1.13526,9.69723,0.689656,-0.211,-0.346,0.18,-19.7761,-47.7558,10.5628,1000.71
141374,-1.16396,9.67331,0.75661,-0.281,0.354,0.46,-19.689,-46.9848,11.1391,1000.71
141380,-1.14961,9.6494,0.75661,-0.771,-0.066,0.46,-20.4154,-46.7689,11.4937,1000.71
141386,-1.15439,9.65897,0.747045,0.069,-0.346,-0.1,-20.1829,-47.4782,10.5333,1000.69
141392,-1.1257,9.71157,0.708786,-0.001,-0.206,0.32,-19.8342,-46.8923,11.1243,1000.69
141398,-1.1257,9.70679,0.708786,-0.211,0.354,0.46,-19.6308,-47.2315,10.3707,1000.69
141404,-1.15917,9.68288,0.694438,-0.211,0.424,0.25,-19.0788,-46.8306,10.7106,1000.74
141410,-1.10657,9.66375,0.727915,-0.281,0.424,0.18,-19.718,-46.2755,10.223,1000.74
141416,-1.15917,9.66853,0.75661,0.139,0.074,0.18,-19.3693,-47.4474,10.8731,1000.73
141422,-1.15439,9.66375,0.742262,-0.071,-0.206,0.25,-18.7882,-46.9231,11.0948,1000.73
141428,-1.13526,9.71157,0.704003,0.069,0.354,0.6,-19.7761,-46.5839,10.2821,1000.74
141434,-1.1257,9.67331,0.684874,-0.071,0.074,0.67,-19.8633,-47.0465,10.2082,1000.74
141440,-1.11135,9.69723,0.699221,-0.141,0.144,0.18,-19.2531,-47.139,10.1047,1000.7
141446,-1.13048,9.6781,0.71835,-0.281,0.354,0.46,-19.689,-47.4166,9.04084,1000.7
141452,-1.14961,9.67331,0.71835,-0.281,0.284,0.46,-19.9505,-47.2007,10.9618,1000.7
141458,-1.13048,9.70201,0.747045,-0.281,-0.066,0.04,-20.1248,-46.5839,11.1982,1000.7
141464,-1.13048,9.66853,0.71835,-0.281,0.284,0.39,-20.0086,-46.5531,10.4741,1000.7
