TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,440415,-0.631641,-9.72822,-0.626855,-93.6255,3.49915,-17.7264,-0.183105,0.0610352,-0.0610352,-0.679291,0.716827,-0.132965,0.0834045,65095,6740,3209,2534,-30051
6,440421,-0.598145,-9.73301,-0.626855,-93.6255,3.49915,-17.7264,-0.183105,0.0610352,-0.12207,-0.679291,0.716827,-0.132965,0.0834045,65093,6741,3210,2534,-30051
12,440427,-0.588574,-9.72822,-0.650781,-93.6255,3.49915,-17.7264,0,0.0610352,-0.0610352,-0.67926,0.716827,-0.132965,0.0834045,65093,6744,3210,2534,-30051
18,440433,-0.588574,-9.67559,-0.617285,-93.6255,3.49915,-17.7264,-0.0610352,0,-0.366211,-0.67926,0.716827,-0.132935,0.0834045,65093,6744,3212,2534,-30051
24,440439,-0.62207,-9.69951,-0.583789,-93.6255,3.49915,-17.7264,0,0,-0.244141,-0.67926,0.716858,-0.132935,0.0834045,65095,6745,3213,2534,-30051
30,440445,-0.607715,-9.72344,-0.650781,-93.631,3.49365,-17.7264,-0.305176,0.0610352,-0.244141,-0.67926,0.716858,-0.132935,0.0834045,65098,6745,3213,2534,-30051
36,440451,-0.60293,-9.73779,-0.650781,-93.631,3.49365,-17.7264,-0.366211,0,-0.244141,-0.67923,0.716858,-0.132935,0.0834045,65100,6744,3213,2534,-30051
42,440457,-0.631641,-9.7665,-0.703418,-93.631,3.49365,-17.7209,0,0,-0.366211,-0.67923,0.716888,-0.132904,0.083374,65103,6742,3216,2534,-30051
48,440463,-0.62207,-9.75215,-0.674707,-93.631,3.49365,-17.7209,0.0610352,-0.12207,-0.427246,-0.67923,0.716888,-0.132874,0.0834045,65103,6741,3216,2534,-30051
54,440469,-0.579004,-9.73301,-0.636426,-93.631,3.48816,-17.7209,0.183105,-0.0610352,-0.366211,-0.67923,0.716888,-0.132874,0.0834045,65105,6741,3214,2534,-30051
60,440475,-0.631641,-9.73301,-0.655566,-93.631,3.48816,-17.7209,0.12207,-0.0610352,-0.305176,-0.67923,0.716888,-0.132843,0.0834045,65107,6741,3213,2534,-30051
66,440481,-0.598145,-9.73301,-0.641211,-93.631,3.48816,-17.7155,0.305176,-0.0610352,-0.366211,-0.67923,0.716888,-0.132813,0.0834045,65110,6741,3212,2534,-30051
