TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,119276,-0.579004,-9.97227,-0.172266,-91.8787,1.98303,74.4269,0.0610352,1.2207,-3.96729,0.546143,-0.579468,-0.424927,0.43042,3910,6084,1289,2650,-30065
6,119282,-0.516797,-9.89092,-0.162695,-91.8787,1.94458,74.4104,-0.0610352,0.183105,-4.69971,0.546265,-0.579437,-0.424957,0.430267,3911,6084,1289,2650,-30065
12,119288,-0.497656,-9.89092,-0.258398,-91.8842,1.91711,74.4049,-2.13623,1.2207,-5.7373,0.546448,-0.579346,-0.425171,0.429962,3911,6084,1288,2650,-30065
18,119294,-0.531152,-10.0153,-0.277539,-91.8951,1.88965,74.3939,-2.13623,0.427246,-6.16455,0.546539,-0.579315,-0.425293,0.429749,3910,6084,1291,2650,-30065
24,119300,-0.411523,-10.068,-0.320605,-91.9061,1.86218,74.3884,-2.13623,0.305176,-6.83594,0.546631,-0.579285,-0.425446,0.429535,3912,6083,1292,2650,-30065
30,119306,-0.421094,-10.202,-0.449805,-91.9171,1.82922,74.3884,-1.95313,0.12207,-7.38525,0.546722,-0.579254,-0.425629,0.429321,3914,6083,1294,2650,-30065
36,119312,-0.368457,-10.2546,-0.449805,-91.9336,1.75781,74.3774,-1.2207,0.549316,-7.87354,0.546814,-0.579163,-0.425812,0.429108,3915,6083,1292,2650,-30065
42,119318,-0.430664,-10.1732,-0.693848,-91.9281,1.71387,74.3719,-0.12207,1.28174,-9.82666,0.54715,-0.578918,-0.426147,0.42865,3918,6086,1284,2650,-30065
48,119324,-0.47373,-10.647,-0.521582,-91.9281,1.66992,74.3665,-0.305176,1.77002,-11.2915,0.547363,-0.578796,-0.426331,0.428375,3918,6087,1279,2650,-30065
54,119330,-0.535937,-10.8479,-0.669922,-91.9281,1.61499,74.3555,2.50244,2.01416,-12.6343,0.547577,-0.578644,-0.426575,0.42807,3920,6087,1276,2650,-30065
60,119336,-0.449805,-10.7475,-0.818262,-91.9171,1.55457,74.35,5.49316,1.46484,-13.1836,0.547913,-0.5784,-0.426788,0.427765,3923,6086,1277,2650,-30065
66,119342,-0.46416,-10.7044,-0.75127,-91.8512,1.42273,74.339,8.05664,1.40381,-14.1602,0.548309,-0.578064,-0.426971,0.427521,3926,6085,1280,2650,-30065
72,119348,-0.559863,-10.2259,-0.210547,-91.8127,1.35132,74.328,8.17871,2.86865,-16.3574,0.549316,-0.577209,-0.427277,0.427063,3935,6084,1281,2650,-30065
78,119354,-0.62207,-10.1876,-0.124414,-91.7688,1.26892,74.317,7.8125,1.77002,-17.7002,0.549866,-0.576782,-0.42746,0.426758,3889,6084,1275,2650,-30065
84,119360,-0.526367,-10.2594,-0.133984,-91.7358,1.18652,74.3115,7.14111,1.34277,-18.9209,0.550385,-0.576324,-0.427704,0.426453,3850,6084,1268,2650,-30065
90,119366,-0.435449,-10.2833,-0.29668,-91.6974,1.09314,74.306,6.89697,1.34277,-20.2026,0.550934,-0.575867,-0.427979,0.426086,3816,6083,1263,2650,-30065
96,119372,-0.411523,-10.3216,-0.382813,-91.637,0.895386,74.2896,6.65283,1.77002,-21.3623,0.551483,-0.575378,-0.428314,0.42572,3786,6081,1258,2650,-30065
102,119378,-0.382813,-10.4508,-0.354102,-91.604,0.791016,74.2841,6.71387,1.83105,-23.6816,0.552673,-0.574371,-0.429016,0.424835,3737,6080,1252,2650,-30065
108,119384,-0.416309,-10.4747,-0.272754,-91.571,0.675659,74.2731,7.08008,2.44141,-25.1465,0.553314,-0.573822,-0.429413,0.424347,3717,6078,1250,2650,-30065
114,119390,-0.363672,-10.379,-0.277539,-91.5381,0.55481,74.2621,7.69043,2.44141,-26.3062,0.553986,-0.573273,-0.42981,0.423828,3700,6077,1249,2650,-30065
120,119396,-0.253613,-10.2354,-0.392383,-91.4996,0.428467,74.2511,7.93457,2.56348,-27.2827,0.554688,-0.572662,-0.430206,0.423279,3688,6075,1249,2650,-30065
126,119402,-0.186621,-10.2546,-0.430664,-91.4227,0.164795,74.2236,7.93457,2.50244,-28.0762,0.55542,-0.572052,-0.430664,0.422729,3680,6073,1251,2650,-30065
132,119408,-0.114844,-10.2977,-0.31582,-91.3788,0.0274658,74.2126,9.27734,2.74658,-29.1138,0.556915,-0.57077,-0.431549,0.42157,3666,6069,1255,2650,-30065
138,119414,-0.220117,-10.3312,-0.186621,-91.3348,-0.10437,74.2017,10.0098,3.05176,-29.9683,0.557709,-0.570099,-0.432007,0.420959,3663,6068,1255,2650,-30065
144,119420,-0.172266,-10.0775,-0.181836,-91.2909,-0.247192,74.1852,10.0098,2.80762,-31.0059,0.558533,-0.569397,-0.432434,0.420349,3661,6066,1253,2650,-30065
150,119426,-0.0813477,-9.97705,-0.220117,-91.2415,-0.395508,74.1742,9.58252,2.80762,-31.7383,0.559387,-0.568665,-0.432922,0.419739,3660,6064,1247,2650,-30065
156,119432,0,-10.0201,-0.339746,-91.1536,-0.703125,74.1467,9.09424,2.92969,-32.2876,0.560211,-0.567932,-0.433441,0.419098,3662,6063,1239,2650,-30065
162,119438,0.00957031,-10.1541,-0.378027,-91.1041,-0.856934,74.1302,10.6812,3.11279,-33.2642,0.56192,-0.566406,-0.434479,0.417755,3669,6061,1222,2650,-30065
168,119444,0.062207,-10.178,-0.248828,-91.0547,-1.01624,74.1193,11.3525,2.99072,-33.6914,0.562805,-0.565643,-0.434998,0.417084,3625,6060,1217,2650,-30065
174,119450,0.13877,-9.97705,-0.248828,-90.9998,-1.17554,74.1028,12.5732,2.80762,-33.8135,0.563721,-0.564819,-0.435486,0.416412,3589,6058,1213,2650,-30065
180,119456,0.119629,-9.82871,-0.349316,-90.9393,-1.34033,74.0918,13.0005,2.2583,-33.6304,0.564667,-0.563965,-0.436005,0.415771,3557,6057,1213,2650,-30065
186,119462,0.330176,-9.8,-0.339746,-90.813,-1.65344,74.0753,13.5498,1.77002,-33.1421,0.565613,-0.56311,-0.436493,0.415161,3532,6055,1214,2650,-30065
192,119468,0.45459,-9.71387,-0.172266,-90.7416,-1.81274,74.0643,14.6484,2.62451,-32.7759,0.567474,-0.56134,-0.437439,0.414001,3494,6051,1209,2650,-30065
198,119474,0.44502,-9.53682,-0.114844,-90.6757,-1.96655,74.0479,14.9536,2.68555,-32.5928,0.56842,-0.560455,-0.437866,0.413422,3481,6050,1201,2650,-30065
204,119480,0.6125,-9.49854,-0.0191406,-90.6042,-2.12036,74.0369,14.4043,2.99072,-31.9214,0.569397,-0.55957,-0.438293,0.412872,3471,6048,1194,2650,-30065
210,119486,0.535937,-9.41719,-0.090918,-90.5328,-2.27417,74.0204,13.855,3.78418,-31.6772,0.570343,-0.558716,-0.43869,0.412292,3464,6046,1186,2650,-30065
