TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,1233586,-2.66055,-9.46025,0.880469,-80.8813,18.5669,-63.9899,-1.2207,0.488281,0.305176,-0.692383,0.477875,-0.443298,0.309174,286,7635,332,2542,-30052
6,1233592,-2.71318,-9.42676,0.818262,-80.9033,18.5614,-63.9844,-0.854492,0.183105,0.183105,-0.692322,0.477997,-0.443329,0.309113,287,7633,332,2542,-30052
12,1233598,-2.62227,-9.36934,0.990527,-80.9308,18.5559,-63.9679,-1.0376,0,0.427246,-0.692261,0.478119,-0.443329,0.309021,288,7633,330,2542,-30052
18,1233604,-2.74189,-9.37412,0.937891,-80.9473,18.5504,-63.9624,-1.2207,0.305176,0.366211,-0.692169,0.478394,-0.443329,0.308838,289,7634,330,2542,-30052
24,1233610,-2.74189,-9.42197,0.913965,-80.9692,18.5504,-63.9569,-1.34277,0.366211,0.244141,-0.692108,0.478546,-0.443329,0.308746,292,7635,331,2542,-30052
30,1233616,-2.78018,-9.41719,0.870898,-80.9857,18.5449,-63.9514,-1.28174,0.305176,0,-0.692047,0.478699,-0.443329,0.308655,292,7636,334,2542,-30052
36,1233622,-2.7084,-9.4124,0.861328,-81.0022,18.5394,-63.9404,-1.2207,0.12207,0,-0.691986,0.478851,-0.443298,0.308594,292,7637,337,2542,-30052
42,1233628,-2.57441,-9.41719,0.976172,-81.0352,18.5284,-63.924,-1.15967,0.244141,-0.12207,-0.691925,0.479034,-0.443298,0.308502,288,7640,339,2542,-30052
48,1233634,-2.73232,-9.34541,0.976172,-81.0516,18.5229,-63.9185,-1.58691,0.549316,0,-0.691772,0.479309,-0.443268,0.30835,287,7641,337,2542,-30052
54,1233640,-2.71797,-9.4459,0.885254,-81.0736,18.5175,-63.913,-1.70898,0.793457,-0.183105,-0.691711,0.479492,-0.443268,0.308258,286,7641,336,2542,-30052
60,1233646,-2.73232,-9.46982,0.803906,-81.0901,18.512,-63.9075,-1.34277,0.732422,-0.12207,-0.69162,0.479645,-0.443268,0.308167,286,7642,333,2542,-30052
66,1233652,-2.72275,-9.39805,0.861328,-81.1121,18.5065,-63.902,-0.976563,0.488281,-0.488281,-0.691559,0.479828,-0.443237,0.308105,286,7643,328,2542,-30052
72,1233658,-2.60313,-9.37891,0.947461,-81.1395,18.49,-63.891,-0.976563,0.732422,-0.488281,-0.691498,0.47998,-0.443237,0.308044,287,7647,325,2542,-30052
78,1233664,-2.67012,-9.36455,0.952246,-81.156,18.4845,-63.8855,-1.2207,0.915527,0,-0.691376,0.480255,-0.443176,0.307922,286,7649,324,2542,-30052
84,1233670,-2.69883,-9.43154,0.890039,-81.1725,18.479,-63.88,-1.15967,0.793457,0,-0.691284,0.480408,-0.443176,0.307861,283,7650,327,2542,-30052
90,1233676,-2.70361,-9.4459,0.823047,-81.1945,18.468,-63.8745,-1.0376,0.854492,0.12207,-0.691223,0.48056,-0.443176,0.3078,282,7650,330,2542,-30052
96,1233682,-2.66055,-9.4459,0.846973,-81.2054,18.4625,-63.8635,-0.610352,1.2207,-0.0610352,-0.691162,0.480713,-0.443176,0.307709,280,7649,331,2542,-30052
102,1233688,-2.73711,-9.43154,0.856543,-81.2384,18.4515,-63.858,-0.549316,1.0376,-0.0610352,-0.691101,0.480835,-0.443146,0.307678,279,7646,329,2542,-30052
108,1233694,-2.67012,-9.37412,0.937891,-81.2494,18.446,-63.8525,-0.12207,1.0376,-0.244141,-0.690979,0.48111,-0.443115,0.307587,278,7644,326,2542,-30052
114,1233700,-2.62705,-9.34541,0.92832,-81.2604,18.4406,-63.847,-0.305176,1.09863,-0.0610352,-0.690918,0.481232,-0.443115,0.307556,278,7641,326,2542,-30052
120,1233706,-2.64141,-9.37412,0.971387,-81.2769,18.4351,-63.8416,-0.488281,0.671387,-0.12207,-0.690887,0.481354,-0.443085,0.307495,279,7640,326,2534,-30051
126,1233712,-2.52656,-9.37412,0.990527,-81.2878,18.4241,-63.8361,-0.610352,1.09863,0.183105,-0.690826,0.481476,-0.443054,0.307434,280,7640,328,2534,-30051
132,1233718,-2.6749,-9.38369,0.923535,-81.3153,18.4186,-63.8251,-0.671387,1.46484,0.366211,-0.690765,0.481598,-0.443024,0.307373,281,7641,331,2534,-30051
138,1233724,-2.69883,-9.40762,0.851758,-81.3318,18.4131,-63.8196,-0.366211,1.34277,0.183105,-0.690674,0.481873,-0.443024,0.307251,280,7642,333,2534,-30051
144,1233730,-2.72275,-9.40283,0.91875,-81.3428,18.4076,-63.8141,-0.244141,1.28174,0.183105,-0.690613,0.481995,-0.443024,0.30719,278,7642,334,2534,-30051
150,1233736,-2.68926,-9.41719,0.92832,-81.3593,18.4021,-63.8086,-0.488281,0.976563,0,-0.690552,0.482086,-0.442993,0.307159,277,7642,335,2534,-30051
156,1233742,-2.69883,-9.40283,0.861328,-81.3702,18.3966,-63.8031,-0.488281,1.28174,0,-0.690521,0.482239,-0.442963,0.307098,277,7643,337,2534,-30051
162,1233748,-2.74668,-9.39805,0.899609,-81.3977,18.3801,-63.7921,-0.366211,1.28174,0.0610352,-0.69046,0.482361,-0.442963,0.307037,279,7646,346,2534,-30051
168,1233754,-2.70361,-9.35977,0.971387,-81.4087,18.3746,-63.7811,-0.671387,0.854492,0.0610352,-0.690369,0.482605,-0.442902,0.306915,280,7648,349,2534,-30051
174,1233760,-2.68926,-9.38369,0.957031,-81.4197,18.3691,-63.7756,-0.793457,1.15967,0,-0.690308,0.482758,-0.442871,0.306854,281,7650,355,2534,-30051
180,1233766,-2.74668,-9.40762,0.885254,-81.4362,18.3636,-63.7646,-0.915527,1.15967,0,-0.690277,0.48291,-0.442841,0.306763,281,7650,361,2534,-30051
186,1233772,-2.77539,-9.41719,0.899609,-81.4526,18.3582,-63.7592,-0.854492,0.854492,-0.244141,-0.690216,0.483063,-0.44281,0.306702,280,7650,364,2534,-30051
192,1233778,-2.73232,-9.44111,0.880469,-81.4801,18.3417,-63.7372,-0.915527,0.671387,-0.488281,-0.690155,0.483215,-0.44278,0.306641,280,7648,361,2534,-30051
198,1233784,-2.71797,-9.38369,0.976172,-81.4966,18.3307,-63.7317,-0.732422,1.0376,-0.610352,-0.690063,0.483521,-0.442688,0.306488,278,7648,355,2534,-30051
204,1233790,-2.6749,-9.34541,0.90918,-81.5076,18.3252,-63.7207,-0.976563,0.915527,-0.610352,-0.690002,0.483673,-0.442657,0.306458,278,7648,350,2534,-30051
210,1233796,-2.68926,-9.37891,0.870898,-81.524,18.3142,-63.7152,-1.0376,0.732422,-0.305176,-0.689941,0.483826,-0.442596,0.306396,277,7649,347,2534,-30051
216,1233802,-2.56963,-9.38369,0.985742,-81.5405,18.3087,-63.7097,-1.0376,0.732422,-0.244141,-0.68988,0.483978,-0.442566,0.306335,277,7649,344,2534,-30051
222,1233808,-2.63184,-9.36455,1.00488,-81.568,18.2922,-63.6932,-1.09863,1.2207,-0.244141,-0.689819,0.484131,-0.442535,0.306274,276,7649,341,2542,-30052
228,1233814,-2.6749,-9.4459,0.870898,-81.59,18.2813,-63.6877,-1.34277,1.0376,-0.12207,-0.689667,0.484467,-0.442505,0.306152,277,7649,342,2542,-30052
234,1233820,-2.72275,-9.46025,0.808691,-81.6064,18.2758,-63.6768,-1.09863,1.2207,-0.427246,-0.689606,0.484619,-0.442474,0.306061,277,7649,341,2542,-30052
240,1233826,-2.72754,-9.43633,0.827832,-81.6174,18.2703,-63.6713,-0.854492,1.09863,-0.366211,-0.689545,0.484772,-0.442444,0.306,279,7648,346,2542,-30052
246,1233832,-2.7084,-9.40283,0.842188,-81.6339,18.2593,-63.6658,-0.793457,0.915527,-0.610352,-0.689484,0.484924,-0.442413,0.305969,280,7647,351,2542,-30052
