TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,68474,-1.44033,-9.66123,0.6125,-88.3136,8.54736,83.8806,-0.671387,-0.0610352,0.610352,-0.497406,0.552429,0.424561,-0.516754,7206,4151,541,6698,-30549
6,68480,-1.48818,-9.67559,0.6125,-88.3136,8.54736,83.8806,-0.671387,0.12207,0.732422,-0.497406,0.55246,0.4245,-0.516785,7205,4151,539,6698,-30549
12,68486,-1.46904,-9.67559,0.564648,-88.3081,8.55835,83.8751,-0.671387,-0.0610352,0.549316,-0.497406,0.55246,0.424438,-0.516785,7203,4149,539,6698,-30549
18,68492,-1.47383,-9.69473,0.574219,-88.3081,8.55835,83.8751,-0.732422,-0.183105,0.488281,-0.497437,0.55249,0.424408,-0.516785,7201,4148,540,6698,-30549
24,68498,-1.44033,-9.68037,0.579004,-88.3026,8.56384,83.8696,-0.610352,-0.183105,0.610352,-0.497437,0.55249,0.424377,-0.516815,7199,4147,542,6698,-30549
30,68504,-1.44512,-9.68994,0.60293,-88.3026,8.56384,83.8696,-0.488281,-0.305176,0.732422,-0.497437,0.55249,0.424347,-0.516815,7198,4147,542,6698,-30549
36,68510,-1.44033,-9.66123,0.6125,-88.2971,8.56934,83.8696,-0.244141,-0.244141,0.854492,-0.497437,0.55249,0.424286,-0.516876,7199,4149,540,6698,-30549
42,68516,-1.45469,-9.65166,0.583789,-88.2861,8.58032,83.8641,-0.366211,-0.12207,0.915527,-0.497467,0.552521,0.424225,-0.516907,7199,4153,536,6698,-30549
48,68522,-1.45947,-9.68994,0.617285,-88.2861,8.58032,83.8641,-0.183105,0.183105,0.976563,-0.497467,0.552521,0.424164,-0.516937,7197,4155,535,6698,-30549
54,68528,-1.44033,-9.68516,0.636426,-88.2806,8.58582,83.8586,-0.183105,0.183105,1.15967,-0.497467,0.552521,0.424103,-0.516937,7195,4157,536,6698,-30549
60,68534,-1.45947,-9.68037,0.6125,-88.2751,8.5968,83.8586,-0.183105,0,1.15967,-0.497498,0.552551,0.424042,-0.516968,7194,4159,537,6698,-30549
