TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,             AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,46426,0.607715,-9.44111,2.91416,-74.7565,-2.43896,-46.5985,-3.66211,-1.52588,-0.12207,-0.724579,0.563995,-0.224518,0.326172,63287,5920,66,3602,-30179
6,46432,0.550293,-9.42676,2.88066,-74.7675,-2.44446,-46.593,-4.02832,-1.58691,0,-0.724518,0.564117,-0.224487,0.326111,63288,5921,69,3602,-30179
12,46438,0.631641,-9.48897,2.87109,-74.8004,-2.44995,-46.5765,-4.08936,-1.34277,0,-0.724396,0.564331,-0.224457,0.326019,63292,5921,77,3602,-30179
18,46444,0.6125,-9.49375,2.84717,-74.8114,-2.45544,-46.5765,-3.60107,-0.671387,0.488281,-0.724335,0.564453,-0.224457,0.325958,63295,5921,81,3602,-30179
24,46450,0.526367,-9.46982,2.80889,-74.8224,-2.45544,-46.571,-3.54004,-0.976563,0.427246,-0.724274,0.564545,-0.224457,0.325928,63295,5921,86,3602,-30179
30,46456,0.588574,-9.47461,2.78975,-74.8334,-2.45544,-46.5656,-3.35693,-0.854492,0.610352,-0.724213,0.564636,-0.224457,0.325867,63297,5923,89,3602,-30179
36,46462,0.512012,-9.47939,2.79453,-74.8444,-2.45544,-46.5656,-3.05176,-0.244141,0.488281,-0.724182,0.564697,-0.224457,0.325806,63298,5927,92,3602,-30179
42,46468,0.325391,-9.49854,2.75146,-74.8608,-2.46094,-46.5546,-2.80762,-1.15967,-0.488281,-0.724091,0.56485,-0.224487,0.325775,63300,5933,102,3602,-30179
48,46474,0.358887,-9.53682,2.7084,-74.8718,-2.47192,-46.5491,-2.80762,-1.64795,-1.15967,-0.72406,0.564911,-0.224457,0.325745,63302,5937,106,3602,-30179
54,46480,0.440234,-9.53203,2.71797,-74.8773,-2.48291,-46.5436,-2.50244,-2.19727,-1.40381,-0.723999,0.565002,-0.224396,0.325745,63302,5940,112,3602,-30179
60,46486,0.497656,-9.45547,2.78496,-74.8828,-2.4939,-46.5326,-2.13623,-2.62451,-1.40381,-0.723969,0.565094,-0.224304,0.325714,63300,5940,115,3602,-30179
66,46492,0.569434,-9.40762,2.89502,-74.8883,-2.50488,-46.5216,-2.13623,-2.50244,-1.52588,-0.723938,0.565186,-0.224182,0.325684,63298,5940,116,3602,-30179
72,46498,0.607715,-9.32627,2.97158,-74.8993,-2.52686,-46.5051,-2.50244,-2.2583,-1.0376,-0.723907,0.565369,-0.223999,0.325653,63297,5941,116,3602,-30179
78,46504,0.598145,-9.32627,2.95723,-74.9103,-2.53235,-46.4941,-2.86865,-2.19727,-1.0376,-0.723877,0.56546,-0.223907,0.325623,63299,5940,117,3602,-30179
84,46510,0.60293,-9.34062,2.91416,-74.9213,-2.54333,-46.4832,-3.23486,-2.56348,-0.732422,-0.723816,0.565552,-0.223816,0.325592,63300,5939,121,3602,-30179
90,46516,0.60293,-9.38369,2.89502,-74.9323,-2.54883,-46.4667,-3.41797,-2.38037,-0.488281,-0.723785,0.565674,-0.223724,0.325531,63301,5938,124,3602,-30179
96,46522,0.641211,-9.37412,2.90937,-74.9487,-2.55432,-46.4557,-3.84521,-2.50244,-0.305176,-0.723755,0.565796,-0.223663,0.32547,63302,5938,127,3602,-30179
102,46528,0.669922,-9.44111,2.86631,-74.9762,-2.56531,-46.4337,-4.21143,-1.89209,0.427246,-0.723663,0.56604,-0.223541,0.325317,63302,5937,133,3602,-30179
108,46534,0.665137,-9.48897,2.79453,-74.9927,-2.56531,-46.4227,-4.08936,-1.64795,0.610352,-0.723602,0.566162,-0.223541,0.325226,63302,5937,135,3602,-30179
114,46540,0.660352,-9.52246,2.84717,-75.0037,-2.56531,-46.4117,-3.72314,-1.58691,0.793457,-0.723572,0.566284,-0.223511,0.325134,63303,5936,137,3602,-30179
120,46546,0.665137,-9.51768,2.78975,-75.0201,-2.55981,-46.4008,-3.41797,-0.915527,1.09863,-0.723511,0.566406,-0.22348,0.325043,63303,5934,139,3602,-30179
126,46552,0.60293,-9.56553,2.71797,-75.0256,-2.55981,-46.3953,-2.92969,-0.488281,1.0376,-0.72348,0.566467,-0.223511,0.324951,63304,5934,142,3602,-30179
