TimeSinceCollection,Timestamp,PlantarValue
0,720306,0.926314;0.921414;0.921414;0.936185;0.911689;0.91654;0.91654;0.936185;0.90686;0.911689;0.91654;0.936185;0.90686;0.911689;0.921414;0.941157;0.90686;0.921414;0.91654;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.91654;0.91654;0.926314;0.90686;6.91381;9.93656;28.7577;26.5281;41.3821;50.1195;1.24232;3.13722;4.58785;4.84775;9.16612;3.00486;4.36068;3.19772;14.1793
16,720322,0.926314;0.91654;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.91654;0.926314;0.936185;0.911689;0.911689;0.921414;0.926314;0.90686;6.85309;9.85286;27.8273;25.3745;40.6789;49.1352;1.22951;3.06305;4.50404;4.75969;8.93401;2.97615;4.3005;3.10736;13.7272
32,720338,0.926314;0.911689;0.921414;0.936185;0.90686;0.921414;0.91654;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.91654;0.941157;0.90686;0.91654;0.921414;0.941157;0.90686;0.91654;0.926314;0.926314;0.946153;0.90686;0.91654;0.921414;0.921414;0.90686;6.73306;9.68733;27.0217;24.9065;39.5741;47.847;1.22951;2.99047;4.40121;4.69458;8.81992;2.93354;4.22143;3.06305;13.5059
48,720354,0.926314;0.911689;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.911689;0.91654;0.90686;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.91654;0.91654;0.926314;0.90686;6.55654;9.52425;26.7246;24.4458;39.031;47.0558;1.21682;2.99047;4.34054;4.67306;8.74457;2.89148;4.20187;3.07776;13.2877
64,720370,0.926314;0.91654;0.921414;0.936185;0.911689;0.911689;0.921414;0.936185;0.911689;0.91654;0.921414;0.941157;0.90686;0.911689;0.91654;0.936185;0.90686;0.911689;0.921414;0.936185;0.911689;0.91654;0.91654;0.926314;0.941157;0.90686;0.91654;0.91654;0.926314;0.90686;6.55654;9.44361;26.4303;24.0825;38.8962;46.4305;1.21052;2.99047;4.34054;4.67306;8.74457;2.87759;4.22143;3.07776;13.7272
80,720386,0.926314;0.911689;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.921414;0.926314;0.936185;0.90686;0.91654;0.921414;0.926314;0.90686;6.46983;9.36358;26.1388;23.6347;38.8962;46.1203;1.20425;3.00486;4.34054;4.78157;8.74457;2.87759;4.24107;3.13722;13.2877
96,720402,0.926314;0.91654;0.921414;0.936185;0.911689;0.91654;0.91654;0.936185;0.911689;0.911689;0.921414;0.936185;0.911689;0.911689;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.911689;0.91654;0.911689;0.926314;0.936185;0.90686;0.926314;0.91654;0.926314;0.90686;6.44116;9.32379;25.6589;23.546;38.8962;45.6583;1.1918;2.99047;4.34054;4.8256;8.74457;2.87759;4.24107;3.16734;13.3964
112,720418,0.926314;0.926314;0.926314;0.936185;0.911689;0.91654;0.921414;0.936185;0.911689;0.91654;0.91654;0.941157;0.911689;0.91654;0.921414;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.911689;0.90686;0.926314;0.936185;0.90686;0.91654;0.921414;0.926314;0.90686;6.29948;9.24466;25.2803;23.1067;38.2278;45.048;1.18562;2.97615;4.24107;4.8256;8.78217;2.87759;4.24107;3.21301;13.5059
128,720434,0.926314;0.91654;0.921414;0.936185;0.911689;0.911689;0.91654;0.936185;0.91654;0.921414;0.91654;0.936185;0.90686;0.911689;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.921414;0.926314;0.936185;0.90686;0.91654;0.921414;0.926314;0.90686;6.16057;9.0108;24.1729;22.933;37.7;44.4444;1.17947;2.93354;4.22143;4.8256;8.74457;2.80901;4.18239;3.1825;13.5059
144,720450,0.931237;0.911689;0.921414;0.936185;0.911689;0.91654;0.91654;0.941157;0.911689;0.91654;0.921414;0.936185;0.911689;0.90686;0.91654;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.90686;0.921414;0.941157;0.90686;0.911689;0.921414;0.926314;0.90686;6.07855;8.89585;23.9025;22.6744;37.5689;44.145;1.16119;2.89148;4.16299;4.78157;8.74457;2.80901;4.16299;3.21301;13.3964
