TimeSinceCollection,Timestamp,PlantarValue
0,55252,17.5712;556.408;623.29;0.021982;319.931;615.936;73.9073;0.0084906;0.00810603;0.0115015;0.00818157;0.00833471;0.0079569;0.00810603;0.00803113;0.00841231;0.00788334;0.00810603;0.00803113;0.00833471;0.0079569;0.00803113;0.00810603;0.00818157;0.00833471;0.0079569;0.00803113;0.00803113;0.00818157;0.00788334;0.00833471;0.0079569;0.00803113;0.0079569;0.00818157;0.00788334;0.0079569;0.00810603;0.00810603;0.00810603;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334
16,55268,17.4795;556.929;623.52;0.0214052;298.431;608.518;63.212;0.0084906;0.00818157;0.0111904;0.00810603;0.0082578;0.0079569;0.00810603;0.00810603;0.00841231;0.0079569;0.00810603;0.00803113;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00833471;0.00788334;0.0079569;0.00810603;0.00818157;0.00788334;0.00788334;0.00788334;0.00810603;0.00818157;0.00788334;0.00810603;0.00803113;0.00818157;0.0079569
32,55284,17.1171;557.448;623.571;0.0210286;276.728;599.838;55.8954;0.00864923;0.0079569;0.0110885;0.00810603;0.0082578;0.0079569;0.00810603;0.00803113;0.0084906;0.00788334;0.00810603;0.00810603;0.00833471;0.00788334;0.00810603;0.00810603;0.00818157;0.00833471;0.00788334;0.00810603;0.00810603;0.00818157;0.00788334;0.00841231;0.00788334;0.0079569;0.00810603;0.00818157;0.00788334;0.00788334;0.00810603;0.00803113;0.00818157;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334
48,55300,16.7611;556.929;623.351;0.0202943;257.67;590.926;50.3625;0.00856956;0.00818157;0.0106897;0.00818157;0.0082578;0.00803113;0.00810603;0.00803113;0.00841231;0.00788334;0.00810603;0.00810603;0.00833471;0.00788334;0.00803113;0.00810603;0.00818157;0.00833471;0.00788334;0.00810603;0.00803113;0.00818157;0.00788334;0.00841231;0.00788334;0.00803113;0.00810603;0.00818157;0.00788334;0.00788334;0.00803113;0.00810603;0.00818157;0.00788334;0.00818157;0.00803113;0.0079569;0.00788334
64,55316,16.0683;556.929;623.161;0.0195845;242.456;586.198;48.6188;0.0084906;0.00810603;0.0102104;0.00810603;0.0082578;0.0079569;0.00810603;0.00810603;0.00833471;0.0079569;0.00856956;0.00803113;0.00833471;0.00788334;0.0079569;0.00803113;0.0082578;0.00833471;0.00788334;0.00788334;0.00803113;0.00818157;0.00788334;0.00833471;0.00788334;0.00803113;0.00803113;0.00803113;0.00788334;0.00788334;0.00810603;0.00803113;0.00818157;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334
80,55332,15.0754;555.362;623.023;0.0185639;228.312;580.757;49.2669;0.0084906;0.00810603;0.010117;0.00818157;0.0082578;0.0079569;0.00810603;0.00810603;0.00833471;0.0079569;0.00810603;0.00803113;0.00841231;0.0079569;0.0079569;0.00803113;0.00818157;0.00833471;0.00788334;0.0079569;0.00810603;0.00818157;0.00803113;0.00833471;0.00788334;0.00803113;0.00810603;0.00810603;0.00788334;0.00788334;0.00810603;0.00803113;0.00818157;0.00788334;0.00803113;0.00810603;0.00818157;0.0079569
96,55348,13.8345;551.648;622.875;0.0166726;217.056;579.017;51.0291;0.0084906;0.00810603;0.00975165;0.00810603;0.0082578;0.0079569;0.00810603;0.0079569;0.0084906;0.00788334;0.00810603;0.00810603;0.00833471;0.00788334;0.00810603;0.00803113;0.00818157;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00788334;0.00803113;0.00810603;0.00818157;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334
112,55364,12.8224;546.209;623.023;0.0162293;208.508;575.448;52.1559;0.00864923;0.00810603;0.00993273;0.00818157;0.00833471;0.00803113;0.00810603;0.00803113;0.00841231;0.0079569;0.00810603;0.00810603;0.00841231;0.0079569;0.0079569;0.0079569;0.00818157;0.0082578;0.0079569;0.00803113;0.00803113;0.00818157;0.00788334;0.00833471;0.00788334;0.00803113;0.00810603;0.00818157;0.00788334;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334
128,55380,11.4888;540.048;623.227;0.016084;202.516;573.158;51.9289;0.0084906;0.00810603;0.00975165;0.00818157;0.0082578;0.0079569;0.00810603;0.00803113;0.00841231;0.0079569;0.00810603;0.00810603;0.00833471;0.00788334;0.00803113;0.00818157;0.00818157;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00833471;0.00788334;0.00803113;0.00810603;0.00818157;0.00788334;0.00788334;0.00810603;0.00810603;0.00818157;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334
144,55396,11.2371;543.431;622.95;0.016084;193.711;569.398;53.0715;0.0084906;0.00810603;0.00966231;0.00810603;0.0082578;0.00803113;0.00810603;0.00803113;0.00833471;0.0079569;0.00810603;0.00810603;0.00841231;0.0079569;0.0079569;0.00803113;0.00818157;0.00833471;0.00788334;0.0079569;0.00803113;0.00841231;0.00788334;0.00833471;0.00788334;0.00810603;0.00803113;0.00818157;0.00788334;0.0079569;0.00810603;0.00803113;0.00818157;0.00788334;0.0079569;0.00810603;0.00818157;0.00788334
160,55412,10.7482;541.182;623.351;0.0152381;175.678;553.78;48.6188;0.0084906;0.00810603;0.00905837;0.00810603;0.00833471;0.0079569;0.00818157;0.00803113;0.0084906;0.0079569;0.00810603;0.00803113;0.00841231;0.00788334;0.0079569;0.00803113;0.00818157;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00833471;0.00788334;0.0079569;0.0079569;0.00818157;0.00788334;0.00788334;0.00810603;0.00810603;0.00818157;0.00810603;0.00803113;0.00803113;0.00818157;0.00788334
176,55428,10.4522;538.909;623.52;0.0151013;164.941;543.431;44.873;0.0084906;0.00810603;0.00864923;0.00810603;0.00833471;0.0079569;0.00810603;0.00803113;0.00833471;0.0079569;0.00810603;0.00810603;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00833471;0.0079569;0.0079569;0.0079569;0.00818157;0.00788334;0.00841231;0.0079569;0.00803113;0.0079569;0.00818157;0.00788334;0.00788334;0.00810603;0.00803113;0.00818157;0.00788334;0.00803113;0.00810603;0.00810603;0.00788334
192,55444,9.88165;537.189;623.667;0.0149657;159.215;538.337;43.875;0.0084906;0.00810603;0.00881073;0.00810603;0.00833471;0.0079569;0.00818157;0.00803113;0.0084906;0.00788334;0.00810603;0.00803113;0.00841231;0.00788334;0.00803113;0.00810603;0.00818157;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00833471;0.00788334;0.00818157;0.00803113;0.00818157;0.00788334;0.0079569;0.00810603;0.00810603;0.00818157;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334
208,55460,9.23324;530.181;623.897;0.0146979;155.13;533.71;43.0897;0.0084906;0.00803113;0.00872963;0.00810603;0.00833471;0.0079569;0.00810603;0.0079569;0.0084906;0.00788334;0.00810603;0.00810603;0.00833471;0.0079569;0.00803113;0.0079569;0.00818157;0.00833471;0.00788334;0.0079569;0.00803113;0.00818157;0.00788334;0.00833471;0.00788334;0.0079569;0.00803113;0.00818157;0.00788334;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00810603;0.00810603;0.00818157;0.00788334
224,55476,8.57339;526.001;623.954;0.0145658;150.12;531.952;44.272;0.0084906;0.00810603;0.00872963;0.00810603;0.00833471;0.00788334;0.00818157;0.00803113;0.00841231;0.0079569;0.00810603;0.00810603;0.00833471;0.00788334;0.00810603;0.00803113;0.00810603;0.00833471;0.00788334;0.00803113;0.00788334;0.00818157;0.00788334;0.00833471;0.00788334;0.00803113;0.00803113;0.00818157;0.00788334;0.00788334;0.00810603;0.00810603;0.00818157;0.00788334;0.00803113;0.00810603;0.00810603;0.00788334
