TimeSinceCollection,Timestamp,PlantarValue
0,19052,17.5132;8.59558;1.39159;85.6232;195.672;234.821;1.42043;14.1221;61.8246;49.9543;2.17883;4.02945;20.3003;5.65734;1.00275;12.808;14.8219;1.72315;0.971503;7.78161;8.44884;1.59722;1.05136;0.941157;16.8369;28.7577;35.6481;10.6736;6.29948;4.8256;4.40121;24.9065;330.924;559.285;31.0304;29.3924;1.00804;0.936185;1.24232;0.951172;2.2554;1.66329;7.3524;0.946153;1.17335
16,19068,17.7902;8.63261;1.39159;87.1373;198.308;235.304;1.40594;14.1221;62.2161;49.9543;2.20047;4.08619;20.3003;5.65734;1.00275;12.808;14.9415;1.73186;0.966383;7.81553;8.44884;1.60535;1.05136;0.946153;16.8369;29.0736;35.7735;10.6736;6.29948;4.84775;4.3809;24.9065;331.472;559.669;31.1422;29.7141;1.00804;0.936185;1.24232;0.951172;2.22229;1.6549;7.28828;0.946153;1.16119
32,19084,17.5821;8.59558;1.39159;86.6304;196.548;235.304;1.40594;14.0651;62.2161;49.9543;2.20047;4.0672;20.3003;5.68288;1.00804;12.808;14.9415;1.73186;0.976648;7.84958;8.48531;1.60535;1.05689;0.941157;16.7706;29.0736;35.7735;10.6736;6.38415;4.84775;4.3809;24.9065;332.02;559.669;31.367;30.0387;1.00804;0.936185;1.24232;0.951172;2.21135;1.6549;7.09886;0.946153;1.16119
48,19100,17.5821;8.59558;1.39159;87.3916;197.427;236.755;1.40594;14.1793;62.2161;49.9543;2.20047;4.08619;20.2223;5.68288;1.00804;12.9662;14.9415;1.73186;0.971503;7.84958;8.48531;1.61351;1.05689;0.941157;16.6385;29.2858;35.7735;10.5401;6.38415;4.84775;4.40121;24.9065;332.568;559.669;31.593;30.3663;1.00804;0.936185;1.24878;0.956217;2.22229;1.64655;6.52752;0.946153;1.16725
64,19116,17.7902;8.63261;1.39875;88.929;198.75;237.724;1.40594;14.1793;62.6097;50.1195;2.21135;4.12443;20.3784;5.70852;1.00275;12.808;14.9415;1.72315;0.971503;7.84958;8.48531;1.62171;1.06245;0.946153;16.9035;29.1796;35.7735;10.5401;6.44116;4.84775;4.40121;25.0928;333.116;558.9;31.593;30.5863;1.00804;0.936185;1.24878;0.951172;2.21135;1.61351;6.13313;0.946153;1.16725
80,19132,18.0004;8.74457;1.39875;89.4459;200.965;238.695;1.42043;14.3521;62.8072;49.9543;2.21135;4.12443;20.3003;5.70852;1.00275;12.7034;14.9415;1.74061;0.976648;7.81553;8.44884;1.64655;1.05689;0.941157;16.7706;29.0736;35.8994;10.6289;6.38415;4.84775;4.40121;24.9995;332.02;556.569;31.367;30.6968;1.00275;0.936185;1.24878;0.951172;2.18963;1.57307;5.89094;0.946153;1.16725
96,19148,18.4272;8.89585;1.40594;91.5358;204.09;243.09;1.43506;14.5268;63.0051;50.1195;2.21135;4.08619;20.3784;5.65734;1.00275;12.5996;14.8816;1.75823;0.976648;7.81553;8.44884;1.64655;1.06245;0.946153;16.5728;29.2858;35.6481;10.6289;6.35581;4.84775;4.42161;24.9065;331.472;554.601;31.367;30.6968;0.997477;0.936185;1.24878;0.951172;2.17883;1.51802;5.65734;0.936185;1.16725
112,19164,18.8627;9.04941;1.42773;93.6616;208.6;248.017;1.43506;14.5854;63.8019;50.285;2.21135;4.08619;20.853;5.65734;1.00275;12.5996;14.8219;1.7494;0.971503;7.78161;8.41249;1.64655;1.06245;0.941157;16.6385;29.1796;35.6481;10.452;6.29948;4.7379;4.42161;25.1864;330.924;552.209;30.3663;29.9302;1.00275;0.931237;1.2359;0.951172;2.16809;1.44983;5.38308;0.941157;1.16119
128,19180,19.8365;9.36358;1.48736;96.3697;212.246;254.991;1.43506;14.8219;64.4046;50.6175;2.21135;4.12443;20.3003;5.58132;1.00275;12.5996;14.7032;1.74061;0.976648;7.78161;8.37629;1.62995;1.06245;0.941157;16.7044;29.1796;35.7735;10.2776;6.18814;4.75969;4.42161;25.1864;330.924;549.378;29.4993;29.3924;0.997477;0.931237;1.24878;0.951172;2.1256;1.39875;5.23856;0.941157;1.16725
144,19196,20.6938;9.56479;1.49497;99.4144;215.926;260.024;1.43506;14.9415;64.6065;50.7844;2.20047;4.08619;20.0672;5.50623;1.00275;12.548;14.5854;1.73186;0.971503;7.81553;8.37629;1.61351;1.05689;0.941157;16.6385;28.7577;35.2738;10.0633;6.07855;4.67306;4.44209;25.2803;327.096;545.674;28.8627;28.6531;1.00275;0.936185;1.2359;0.956217;2.02268;1.3424;5.02828;0.941157;1.15516
160,19212,22.3335;9.93656;1.54139;104.256;224.801;271.759;1.44983;15.4279;65.419;51.6255;2.20047;4.08619;19.6839;5.43204;0.997477;12.3942;14.2943;1.73186;0.971503;7.81553;8.26852;1.61351;1.05689;0.941157;16.4421;28.1346;34.535;9.85286;5.9975;4.58785;4.46265;25.1864;323.277;541.053;28.3411;28.1346;0.997477;0.936185;1.22315;0.951172;1.67173;1.31501;4.75969;0.941157;1.16119
176,19228,24.7214;10.7184;1.58108;110.47;238.21;285.27;1.44983;15.6763;66.2394;52.6494;2.20047;4.08619;19.6839;5.33451;0.987011;12.1918;13.8952;1.71448;0.971503;7.74783;8.02179;1.58108;1.05136;0.946153;16.0552;27.5229;33.4508;9.48385;5.89094;4.4833;4.42161;24.9065;317.299;532.394;27.5229;27.3215;0.987011;0.926314;1.21682;0.946153;1.34933;1.27489;4.54577;0.941157;1.12542
192,19244,27.5229;12.0917;1.63823;119.157;252.49;299.55;1.45726;16.5073;67.2762;53.8644;2.17883;4.02945;19.608;5.21481;0.992231;12.0419;13.342;1.66329;0.971503;7.71417;7.78161;1.54926;1.03492;0.941157;15.6763;26.5281;32.6271;9.24466;5.65734;4.46265;4.42161;24.5374;308.657;519.75;26.2357;26.5281;0.992231;0.926314;1.19801;0.936185;1.22951;1.27489;4.54577;0.936185;1.11955
208,19260,30.6968;13.2336;1.6802;127.307;268.165;311.89;1.44983;16.9035;69.174;55.1017;2.13615;4.01068;19.2322;5.05126;1.01337;11.9428;12.9132;1.62171;0.966383;7.74783;7.78161;1.5103;1.00804;0.941157;15.4279;26.0422;31.7065;8.7071;5.58132;4.2608;4.44209;23.9025;300.084;508.944;24.8138;24.8138;0.992231;0.926314;1.19801;0.931237;1.13723;1.25526;4.67306;0.936185;1.10213
224,19276,32.978;14.1793;1.71448;134.442;278.483;324.912;1.45726;17.5821;70.6785;55.6388;2.10464;3.99201;19.0098;4.78157;0.987011;11.6499;12.548;1.60535;0.966383;7.74783;7.71417;1.5103;0.997477;0.941157;15.1223;25.2803;30.9189;8.74457;5.23856;4.16299;4.42161;23.546;292.645;497.302;23.4576;22.8465;1.00275;0.931237;1.18562;0.926314;1.10791;1.26177;4.78157;0.941157;1.10213
240,19292,35.2738;14.8219;1.74061;138.992;285.795;331.472;1.47978;17.86;71.3309;56.18;2.10464;3.99201;18.7895;4.67306;0.987011;11.3633;12.2421;1.58108;0.966383;7.78161;7.58083;1.50261;0.987011;0.951172;14.8219;24.7214;30.1476;8.48531;5.09751;4.01068;4.42161;23.1067;286.32;491.352;22.5888;22.249;0.992231;0.926314;1.17947;0.926314;1.08496;1.27489;4.8256;0.936185;1.10213
256,19308,36.7906;15.4279;1.77602;142.561;292.116;339.159;1.48736;17.86;71.5495;57.0913;2.09424;3.89977;18.6438;4.56677;0.987011;11.1756;11.9428;1.57307;0.966383;7.78161;7.54782;1.46473;0.976648;0.941157;14.4683;24.4458;29.822;8.19735;5.05126;3.91807;4.3809;23.0197;280.044;485.828;21.5825;21.5003;0.992231;0.926314;1.17335;0.926314;1.09638;1.26832;4.84775;0.936185;1.09638
272,19324,38.494;16.1191;1.79397;146.19;299.55;345.772;1.48736;17.9301;71.7685;57.8288;2.08387;3.86342;18.284;4.42161;0.987011;11.1292;11.6017;1.55716;0.946153;7.64724;7.2564;1.45726;0.966383;0.941157;14.2943;23.4576;28.968;7.98708;5.05126;3.7562;4.34054;22.7603;273.305;476.139;20.3003;20.2223;0.997477;0.926314;1.16119;0.926314;1.07929;1.2815;4.78157;0.936185;1.11955
288,19340,39.7108;16.5728;1.803;150.251;304.897;349.64;1.48736;17.9301;72.2081;58.2003;2.07356;3.79164;18.0004;4.34054;0.987011;10.8085;11.3161;1.51802;0.966383;7.51494;7.13012;1.44243;0.966383;0.936185;14.4101;23.194;28.4448;7.71417;4.84775;3.70359;4.34054;22.3335;267.141;466.803;19.1578;19.1578;1.00275;0.926314;1.16119;0.926314;1.08496;1.30824;4.75969;0.936185;1.09066
304,19356,40.9589;17.0374;1.83036;154.006;310.272;355.175;1.48736;18.1417;72.4286;58.5738;2.07356;3.79164;17.9301;4.32048;0.987011;10.6289;11.1756;1.5103;0.966383;7.32028;6.88339;1.42043;0.966383;0.936185;14.1793;22.5888;27.8273;7.78161;4.7162;3.68621;4.28061;21.7475;261.036;459.974;18.8627;18.7895;0.992231;0.931237;1.14915;0.926314;1.11955;1.3355;4.75969;0.936185;1.09066
320,19372,41.5238;17.1047;1.8581;156.287;312.43;357.946;1.48736;18.1417;72.8713;58.7612;2.07356;3.79164;17.9301;4.36068;0.987011;10.6736;11.2223;1.51802;0.961288;7.22464;6.79285;1.42773;0.966383;0.936185;14.0082;22.0807;28.1346;7.95251;4.8256;3.7562;4.24107;21.4185;259.014;461.029;18.7895;19.0098;0.997477;0.926314;1.16725;0.926314;1.14915;1.38446;4.78157;0.936185;1.09638
336,19388,41.2406;17.1722;1.86743;156.67;312.97;359.61;1.5103;18.2127;72.6497;58.9491;2.1151;3.84536;18.0709;4.42161;0.987011;10.6289;11.3161;1.52577;0.966383;7.09886;6.67376;1.43506;0.966383;0.936185;13.9516;22.3335;28.1346;7.91807;4.80354;3.79164;4.24107;21.4185;259.014;463.66;19.1578;19.2322;0.997477;0.931237;1.15516;0.926314;1.1918;1.42773;4.80354;0.941157;1.10213
352,19404,41.2406;17.1722;1.87681;156.67;312.97;360.719;1.5103;18.2127;72.6497;59.1374;2.13615;3.84536;18.0709;4.42161;0.987011;10.5401;11.3161;1.54926;0.966383;6.91381;6.49862;1.43506;0.966383;0.941157;14.0082;22.1647;28.2377;7.91807;4.80354;3.79164;4.24107;21.0132;258.509;463.66;19.0837;19.3069;0.992231;0.931237;1.15516;0.926314;1.20425;1.44983;4.78157;0.936185;1.10213
368,19420,41.8087;17.24;1.86743;157.053;313.51;361.274;1.5103;18.284;72.4286;58.9491;2.07356;3.82738;18.0004;4.42161;0.987011;10.3645;11.2691;1.55716;0.966383;6.79285;6.38415;1.44243;0.966383;0.941157;14.1793;22.3335;29.0736;7.74783;4.80354;3.80947;4.22143;20.933;258.509;461.556;18.6438;19.1578;1.00275;0.931237;1.15516;0.926314;1.22951;1.44983;4.58785;0.936185;1.10213
384,19436,42.3831;17.24;1.8581;158.205;315.674;359.055;1.50261;18.3555;72.2081;58.2003;2.07356;3.79164;18.0004;4.36068;0.987011;10.2776;11.1756;1.55716;0.951172;6.70335;6.29948;1.42773;0.971503;0.936185;14.2367;22.3335;29.0736;7.58083;4.80354;3.77388;4.20187;20.6938;257.502;459.974;18.0004;18.5714;0.992231;0.926314;1.15516;0.926314;1.22951;1.43506;4.34054;0.936185;1.10213
400,19452,42.5277;17.1047;1.84881;158.205;312.97;357.946;1.49497;18.4992;71.988;58.0144;2.04289;3.80947;17.86;4.32048;0.987011;10.1914;11.0828;1.54926;0.961288;6.58568;6.29948;1.42773;0.971503;0.936185;14.2367;22.3335;29.1796;7.54782;4.84775;3.73859;4.24107;20.6938;256.999;457.33;17.6512;18.284;1.00275;0.926314;1.14915;0.926314;1.24232;1.43506;4.14367;0.936185;1.10213
416,19468,41.8087;17.0374;1.83957;157.436;311.89;356.283;1.49497;18.3555;71.7685;57.275;2.03276;3.80947;17.7902;4.28061;0.981816;10.1485;10.9907;1.55716;0.966383;6.52752;6.29948;1.42773;0.966383;0.936185;14.2943;22.5034;29.1796;7.3524;4.7379;3.7562;4.22143;20.6938;258.005;456.8;17.4445;18.2127;0.987011;0.926314;1.12542;0.926314;1.25526;1.40594;3.9734;0.936185;1.10213
432,19484,41.9517;17.0374;1.84881;157.82;312.43;357.392;1.5103;18.3555;71.5495;57.4591;2.04289;3.79164;17.7206;4.28061;0.987011;10.0633;10.9907;1.54926;0.966383;6.4126;6.18814;1.44243;0.971503;0.936185;14.4101;22.6744;29.3924;7.3524;4.78157;3.7562;4.22143;20.7732;260.53;456.8;17.3761;18.6438;0.997477;0.926314;1.11955;0.931237;1.25526;1.36328;3.84536;0.931237;1.10791
448,19500,42.2389;17.1722;1.86743;158.205;313.51;359.055;1.50261;18.4272;71.7685;57.4591;2.03276;3.79164;17.7206;4.28061;0.987011;9.97864;10.9907;1.54926;0.961288;6.38415;6.21581;1.45726;0.971503;0.936185;14.4683;22.6744;29.3924;7.28828;4.8256;3.77388;4.2608;20.6938;260.53;456.8;17.3079;18.7165;0.987011;0.931237;1.12542;0.926314;1.25526;1.32181;3.79164;0.936185;1.11372
464,19516,42.5277;17.1722;1.86743;158.591;313.51;358.5;1.49497;18.4992;71.7685;57.275;2.03276;3.80947;17.5821;4.22143;0.981816;9.89463;10.8085;1.54926;0.961288;6.44116;6.24359;1.45726;0.976648;0.936185;14.5268;22.5034;28.968;7.2564;4.8256;3.80947;4.24107;21.0132;261.542;456.8;17.3079;18.7165;1.00804;0.926314;1.11955;0.926314;1.26177;1.25526;3.68621;0.936185;1.11955
480,19532,42.8181;17.3079;1.84881;159.363;314.591;359.055;1.48736;18.5714;71.988;57.4591;2.03276;3.77388;17.3079;4.16299;0.987011;9.72848;10.7184;1.54926;0.961288;6.4126;6.27148;1.45726;0.981816;0.936185;14.5854;22.7603;28.8627;7.28828;4.8256;3.86342;4.28061;21.0132;262.557;456.8;17.4445;18.7895;0.987011;0.926314;1.12542;0.926314;1.2815;1.22315;3.63449;0.931237;1.11955
