TimeSinceCollection,Timestamp,PlantarValue
0,19332,0.926314;0.911689;0.921414;0.936185;0.90686;0.911689;0.921414;0.936185;0.90686;0.911689;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.921414;0.941157;0.911689;0.91654;0.91654;0.926314;0.941157;0.90686;0.91654;0.91654;0.926314;0.90686;5.14414;7.88376;26.4303;22.5034;45.5051;59.1374;1.3355;2.7155;4.3005;6.18814;13.6161;4.16299;5.65734;8.05664;29.822
16,19348,0.931237;0.911689;0.91654;0.941157;0.911689;0.926314;0.921414;0.941157;0.90686;0.91654;0.921414;0.941157;0.911689;0.911689;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.91654;0.91654;0.926314;0.90686;5.21481;7.84958;25.9459;22.249;44.8965;57.8288;1.32864;2.72868;4.20187;6.18814;12.6514;4.18239;5.70852;7.71417;28.7577
32,19364,0.926314;0.91654;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.91654;0.921414;0.936185;0.911689;0.91654;0.926314;0.941157;0.90686;0.911689;0.921414;0.941157;0.90686;0.91654;0.921414;0.926314;0.936185;0.90686;0.91654;0.91654;0.926314;0.90686;5.21481;7.64724;25.469;21.997;44.2945;56.9082;1.3355;2.70237;4.0672;6.07855;12.4966;4.08619;5.60656;7.64724;28.3411
48,19380,0.931237;0.91654;0.91654;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.911689;0.921414;0.91654;0.936185;0.90686;0.911689;0.91654;0.936185;0.911689;0.91654;0.91654;0.926314;0.936185;0.90686;0.911689;0.911689;0.926314;0.90686;4.91475;7.38466;24.4458;21.2556;43.8473;55.1017;1.32864;2.59942;3.93644;6.02441;12.3942;3.93644;5.40752;7.68064;28.8627
64,19396,0.926314;0.91654;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.941157;0.90686;0.91654;0.91654;0.936185;0.911689;0.921414;0.91654;0.936185;0.90686;0.91654;0.921414;0.926314;0.936185;0.90686;0.91654;0.91654;0.926314;0.90686;4.78157;7.28828;24.0825;20.7732;42.6727;53.6895;1.32181;2.62481;3.79164;5.91743;12.3942;3.91807;5.2624;7.38466;28.6531
80,19412,0.926314;0.911689;0.921414;0.936185;0.911689;0.911689;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.91654;0.936185;0.90686;0.911689;0.921414;0.936185;0.90686;0.911689;0.91654;0.926314;0.936185;0.90686;0.91654;0.921414;0.926314;0.90686;4.84775;7.0677;23.4576;20.4569;41.5238;52.3063;1.30824;2.62481;3.7562;5.76012;12.5996;3.86342;5.21481;7.28828;29.0736
96,19428,0.926314;0.911689;0.921414;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.911689;0.91654;0.946153;0.911689;0.91654;0.91654;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.91654;0.926314;0.941157;0.90686;0.91654;0.926314;0.926314;0.90686;4.95989;7.03668;22.933;19.9131;40.4003;51.795;1.32864;2.57424;3.70359;5.60656;12.4966;3.79164;5.09751;7.1615;28.5488
112,19444,0.926314;0.91654;0.921414;0.936185;0.911689;0.91654;0.91654;0.936185;0.90686;0.911689;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.90686;0.921414;0.936185;0.90686;0.90686;0.91654;0.926314;0.936185;0.911689;0.936185;0.921414;0.926314;0.90686;5.02828;7.03668;22.6744;19.6839;39.9855;49.9543;1.29481;2.57424;3.65166;5.43204;12.548;3.7562;5.07434;7.13012;27.7255
128,19460,0.926314;0.911689;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.926314;0.936185;0.90686;0.911689;0.921414;0.926314;0.90686;5.00539;7.03668;22.6744;19.457;39.031;48.0065;1.30151;2.56174;3.6174;5.33451;12.1918;3.68621;5.09751;6.88339;26.9223
144,19476,0.926314;0.91654;0.91654;0.936185;0.911689;0.91654;0.91654;0.936185;0.911689;0.921414;0.91654;0.936185;0.90686;0.91654;0.91654;0.941157;0.90686;0.91654;0.921414;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.911689;0.921414;0.926314;0.90686;4.95989;7.19301;22.3335;19.0837;38.3608;45.9659;1.28814;2.54929;3.51636;5.05126;11.5537;3.54975;4.87;6.73306;24.9065
160,19492,0.926314;0.911689;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.911689;0.91654;0.91654;0.936185;0.911689;0.91654;0.91654;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.911689;0.91654;0.926314;0.90686;4.80354;7.00578;21.8304;18.7165;37.1781;43.6991;1.2815;2.48786;3.45043;4.95989;10.9907;3.49977;4.67306;6.58568;23.8129
176,19508,0.926314;0.911689;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.911689;0.91654;0.91654;0.941157;0.90686;0.91654;0.91654;0.936185;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.926314;0.936185;0.90686;0.911689;0.921414;0.926314;0.90686;4.60902;6.76289;21.0938;18.1417;35.5229;42.5277;1.2815;2.4397;3.33773;4.98259;10.3645;3.43412;4.50404;6.35581;21.7475
192,19524,0.926314;0.911689;0.921414;0.936185;0.911689;0.91654;0.921414;0.936185;0.90686;0.91654;0.91654;0.936185;0.921414;0.911689;0.931237;0.936185;0.911689;0.911689;0.91654;0.936185;0.90686;0.921414;0.91654;0.926314;0.936185;0.90686;0.911689;0.921414;0.926314;0.90686;4.4833;6.29948;19.9131;17.3079;34.4131;41.3821;1.25526;2.41594;3.1825;4.98259;9.81124;3.38561;4.50404;6.44116;20.2223
208,19540,0.926314;0.91654;0.921414;0.936185;0.911689;0.921414;0.921414;0.936185;0.90686;0.91654;0.926314;0.936185;0.90686;0.911689;0.926314;0.936185;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.911689;0.921414;0.926314;0.90686;4.10528;5.97071;18.4272;16.1833;33.6892;40.4003;1.24232;2.3459;3.06305;4.93728;9.52425;3.36958;4.28061;6.29948;19.0837
224,19556,0.926314;0.91654;0.91654;0.941157;0.911689;0.91654;0.921414;0.941157;0.90686;0.91654;0.921414;0.936185;0.90686;0.91654;0.911689;0.941157;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.926314;0.936185;0.90686;0.91654;0.91654;0.926314;0.90686;4.18239;5.63189;17.9301;15.6763;32.2793;39.848;1.22315;2.3459;3.04841;4.91475;9.12706;3.30614;4.24107;6.21581;19.457
240,19572,0.926314;0.91654;0.921414;0.936185;0.90686;0.911689;0.921414;0.936185;0.90686;0.91654;0.921414;0.936185;0.911689;0.91654;0.91654;0.936185;0.911689;0.91654;0.91654;0.966383;0.90686;0.911689;0.91654;0.926314;0.936185;0.90686;0.911689;0.921414;0.921414;0.90686;4.18239;5.4814;17.5821;15.2439;31.2544;39.1662;1.22951;2.24432;2.99047;4.84775;9.04941;3.21301;4.3005;6.13313;19.0098
256,19588,0.926314;0.91654;0.921414;0.941157;0.911689;0.91654;0.921414;0.931237;0.90686;0.91654;0.921414;0.941157;0.90686;0.91654;0.91654;0.936185;0.90686;0.911689;0.921414;0.941157;0.911689;0.91654;0.91654;0.926314;0.936185;0.90686;0.911689;0.91654;0.926314;0.90686;4.12443;5.5562;17.3079;14.9415;30.6968;39.031;1.22951;2.30025;2.93354;4.80354;8.97233;3.22837;4.14367;6.02441;19.0837
