TimeSinceCollection,Timestamp,PlantarValue
0,24612,15.9915;31.0304;26.9223;23.1067;38.8962;84.6247;58.9491;46.8988;78.3467;62.8072;41.5238;6.82291;37.7;44.2945;22.7603;6.67376;12.1918;11.1756;3.70359;8.16197;12.5996;7.28828;5.58132;2.52455;11.2691;14.6442;15.928;13.7272;15.8017;9.24466;5.43204;12.6514;15.7389;16.9704;35.5229;41.8087;1.22951;0.997477;1.25526;3.3219;3.65166;2.84998;1.79397;2.04289;2.30025
16,24628,15.8648;31.0304;26.8233;23.1067;38.6277;84.1288;58.9491;46.7423;78.1125;62.4127;41.3821;6.79285;37.4383;44.2945;22.7603;6.67376;12.1918;11.1756;3.68621;8.16197;12.548;7.28828;5.5562;2.52455;11.2691;14.6442;15.928;13.839;15.928;9.28416;5.43204;12.8605;15.8017;17.0374;35.6481;41.6661;1.22951;0.997477;1.25526;3.36958;3.68621;2.84998;1.81208;2.04289;2.33441
32,24644,15.7389;30.6968;26.6262;22.6744;38.494;83.389;58.0144;46.5862;77.8788;62.2161;41.2406;6.76289;37.5689;43.996;22.6744;6.64428;12.0917;11.1756;3.70359;8.12672;12.5996;7.2564;5.60656;2.52455;11.2223;14.5854;15.9915;13.839;15.928;9.28416;5.45667;12.7556;15.928;17.1047;35.7735;41.8087;1.22951;0.992231;1.26832;3.36958;3.68621;2.84998;1.8212;2.04289;2.3459
48,24660,15.7389;30.5863;26.1388;22.5034;38.0953;83.1435;57.4591;46.2752;77.1809;61.6295;40.8187;6.73306;37.308;43.8473;22.5888;6.52752;12.0917;11.1292;3.68621;8.09161;12.5996;7.19301;5.58132;2.52455;11.3633;14.6442;15.928;13.839;15.928;9.32379;5.45667;12.808;15.928;17.24;35.8994;41.9517;1.22951;0.992231;1.26832;3.38561;3.68621;2.86375;1.803;2.05307;2.3459
64,24676,15.6763;30.4761;26.1388;22.5034;37.9632;82.8985;57.4591;46.1203;77.1809;61.8246;40.5394;6.79285;37.4383;43.996;22.5888;6.52752;12.0917;11.1756;3.6689;8.12672;12.4453;7.19301;5.5562;2.52455;11.2223;14.4683;16.0552;13.8952;15.9915;9.32379;5.45667;12.7556;15.928;17.24;36.1522;41.9517;1.2359;0.997477;1.26832;3.54975;3.70359;2.87759;1.8212;2.04289;2.3459
80,24692,15.6763;30.4761;26.1388;22.4183;38.0953;82.6541;57.275;46.1203;76.9494;61.6295;40.5394;6.67376;37.308;43.8473;22.5888;6.46983;12.0917;11.0828;3.70359;8.16197;12.548;7.22464;5.58132;2.52455;11.3161;14.5854;16.1191;13.8952;16.0552;9.32379;5.45667;12.808;15.928;17.3079;36.5342;42.2389;1.2359;0.997477;1.26832;3.43412;3.73859;2.86375;1.8212;2.04289;2.3459
96,24708,15.6763;30.3663;25.9459;22.5034;37.8314;82.4102;57.275;46.1203;77.1809;61.4349;40.4003;6.67376;37.5689;43.996;22.6744;6.55654;12.1417;11.1756;3.70359;8.16197;12.5996;7.2564;5.58132;2.51227;11.3633;14.6442;16.1833;13.9516;16.0552;9.36358;5.53117;12.9132;16.0552;17.3079;36.7906;42.5277;1.2359;0.997477;1.26832;3.43412;3.7562;2.86375;1.81208;2.00265;2.30025
112,24724,15.6138;30.6968;25.7543;22.3335;37.5689;81.9241;57.0913;46.1203;77.1809;61.4349;40.4003;6.73306;37.5689;43.8473;22.6744;6.55654;12.0917;11.0828;3.70359;8.19735;12.5996;7.19301;5.63189;2.51227;11.3633;14.7032;16.2477;13.9516;16.1191;9.40352;5.58132;13.0193;16.1833;17.4445;36.7906;42.5277;1.22951;0.992231;1.26832;3.43412;3.73859;2.87759;1.8212;2.04289;2.3459
128,24740,15.6138;30.1476;25.7543;22.3335;37.308;81.6818;56.9082;45.9659;76.2579;61.2408;40.2617;6.70335;37.308;43.6991;22.6744;6.55654;12.1417;10.9907;3.70359;8.19735;12.5996;7.19301;5.58132;2.50004;11.4106;14.7625;16.2477;13.9516;16.1191;9.40352;5.60656;13.0193;16.2477;17.5132;36.9194;42.5277;1.2359;0.992231;1.25526;3.38561;3.72105;2.87759;1.81208;2.04289;2.32297
144,24756,15.5516;29.9302;25.7543;22.249;37.308;80.9583;56.7254;45.6583;76.7184;61.4349;40.1234;6.73306;37.308;43.6991;22.5888;6.52752;12.1417;10.9449;3.65166;8.16197;12.4966;7.13012;5.53117;2.48786;11.3633;14.7625;16.2477;13.9516;16.0552;9.40352;5.58132;13.0193;16.3122;17.5132;37.0486;42.5277;1.2359;0.997477;1.25526;3.36958;3.79164;2.87759;1.8212;2.03276;2.30025
