TimeSinceCollection,Timestamp,PlantarValue
0,245412,3.22837;6.70335;6.85309;9.68733;15.6763;36.2791;23.7237;15.6763;30.1476;24.9065;15.4897;1.93396;15.928;24.7214;5.60656;1.83036;4.42161;3.77388;1.31501;1.53356;2.74192;1.52577;1.86743;1.24878;3.86342;5.97071;8.16197;5.19116;4.87;2.99047;2.97615;6.52752;9.12706;8.41249;17.5132;15.6138;0.946153;1.12542;1.10213;1.68871;1.48736;2.04289;1.42043;1.38446;2.2554
16,245428,3.22837;6.67376;6.73306;9.64633;15.6138;36.1522;23.3695;15.4279;29.9302;24.8138;15.305;1.94364;15.8017;24.8138;5.53117;1.83036;4.42161;3.77388;1.30824;1.54139;2.79548;1.52577;1.87681;1.25526;3.86342;5.97071;8.19735;5.1676;4.91475;2.94768;2.99047;6.55654;9.16612;8.37629;17.5821;15.6763;0.961288;1.12542;1.10213;1.68871;1.50261;2.04289;1.42773;1.37737;2.2554
32,245444,3.16734;6.58568;6.73306;9.48385;15.3664;35.5229;23.1067;15.6138;29.0736;24.7214;15.183;1.95337;15.7389;24.5374;5.43204;1.83036;4.42161;3.79164;1.31501;1.54926;2.72868;1.52577;1.88623;1.24878;3.88156;5.9975;8.23287;5.19116;4.95989;2.99047;3.00486;6.55654;9.20532;8.44884;17.86;15.8017;0.946153;1.13131;1.10213;1.70585;1.48736;2.04289;1.43506;1.39159;2.27772
48,245460,3.10736;6.49862;6.55654;9.12706;14.8816;34.7798;22.6744;14.8219;28.7577;24.4458;14.9415;1.91474;15.7389;24.4458;5.35875;1.83957;4.42161;3.77388;1.31501;1.54926;2.76858;1.54139;1.89569;1.25526;3.93644;6.02441;8.44884;5.2624;5.02828;2.96188;3.03383;6.55654;9.24466;8.52192;17.86;15.928;0.941157;1.13723;1.10213;1.72315;1.47978;2.05307;1.40594;1.38446;2.30025
64,245476,3.01931;6.29948;6.38415;8.63261;14.1221;33.0957;21.997;14.1793;27.5229;24.0825;14.6442;1.86743;15.6138;24.1729;5.33451;1.83957;4.44209;3.79164;1.32181;1.54926;2.80901;1.54926;1.90519;1.24878;3.9734;6.05143;8.55868;5.31038;5.07434;3.00486;3.06305;6.55654;9.32379;8.63261;18.1417;15.8017;0.946153;1.14915;1.10213;1.74061;1.5103;2.07356;1.39875;1.38446;2.27772
80,245492,2.90544;6.13313;6.16057;8.09161;13.2877;31.593;21.2556;13.2877;25.7543;23.2816;14.2367;1.84881;15.4279;23.9025;5.21481;1.83957;4.46265;3.77388;1.31501;1.55716;2.80901;1.54926;1.91474;1.24878;4.02945;6.07855;8.59558;5.33451;5.14414;2.99047;3.04841;6.67376;9.44361;8.6698;18.2127;15.9915;0.941157;1.16119;1.11372;1.75823;1.51802;2.04289;1.39875;1.39159;2.28896
96,245508,2.79548;5.86456;5.73427;7.71417;12.1918;29.9302;20.3003;12.7034;23.8129;22.5888;13.7272;1.84881;15.305;23.8129;5.05126;1.83036;4.46265;3.79164;1.31501;1.54926;2.83626;1.55716;1.92433;1.22951;4.02945;6.10579;8.59558;5.31038;5.21481;3.01931;3.04841;6.70335;9.48385;8.81992;18.7895;16.1191;0.936185;1.16119;1.12542;1.78497;1.49497;2.06329;1.42773;1.39875;2.28896
112,245524,2.76858;5.68288;5.5562;7.41704;11.8445;28.8627;19.608;12.0917;22.6744;21.7475;13.4511;1.83036;15.183;23.6347;4.91475;1.83036;4.46265;3.77388;1.30824;1.54926;2.83626;1.5651;1.91474;1.22951;4.0672;6.07855;8.63261;5.35875;5.31038;3.03383;3.04841;6.61492;9.56479;8.89585;19.0098;16.4421;0.946153;1.17335;1.12542;1.8212;1.51802;2.07356;1.44983;1.39875;2.31158
128,245540,2.75522;5.60656;5.43204;7.19301;11.4106;27.7255;18.7895;11.9923;22.5888;21.5825;13.1798;1.81208;15.0618;23.4576;4.8256;1.83036;4.46265;3.79164;1.32181;1.55716;2.80901;1.5651;1.90519;1.24232;4.04829;6.10579;8.59558;5.35875;5.40752;3.04841;3.10736;6.64428;9.56479;8.85781;19.1578;16.377;0.946153;1.18562;1.14317;1.86743;1.49497;2.07356;1.43506;1.40594;2.30025
144,245556,2.74192;5.5562;5.33451;7.03668;11.1756;26.9223;18.4992;11.6499;21.9136;20.853;12.9132;1.79397;15.0015;23.2816;4.69458;1.83036;4.4833;3.79164;1.32181;1.54926;2.79548;1.5651;1.90519;1.24878;4.0672;6.18814;8.63261;5.43204;5.43204;3.1825;3.09253;6.70335;9.64633;9.04941;19.2322;16.1191;0.941157;1.19801;1.13131;1.88623;1.52577;2.07356;1.44983;1.40594;2.33441
