TimeSinceCollection,Timestamp,PlantarValue
0,313296,0.0084906;0.0106897;0.0301644;0.369157;624.058;571.25;478.948;0.226031;232.128;263.734;19.6944;0.0518571;2.71185;0.856875;0.0139217;0.508776;0.580674;0.0411876;0.0102104;0.145269;0.134072;0.0371463;0.0119291;0.00833471;0.163724;0.122696;0.148796;0.0233861;0.0208427;0.00788334;0.234995;2.71185;43.2849;2.44468;0.946101;0.0707838;0.0108873;0.0221776;0.0192385;0.0259936;0.0117134;0.00922712;0.00818157;0.0107881;0.0100245
16,313312,0.0084906;0.0107881;0.0301644;0.380453;624.1;568.398;479.63;0.226031;236.62;264.412;19.5933;0.0518571;2.71185;0.850809;0.0137962;0.508776;0.580674;0.0408355;0.0103046;0.145269;0.134072;0.0374681;0.0121486;0.00841231;0.163724;0.123691;0.148796;0.0238027;0.0208427;0.00818157;0.234995;2.71185;42.8951;2.41302;0.939455;0.0690339;0.0108873;0.0223748;0.0192385;0.0255407;0.0117134;0.00931265;0.00818157;0.0107881;0.0100245
32,313328,0.0084906;0.0110885;0.0304285;0.386221;624.089;567.433;480.31;0.226031;236.62;264.412;19.5933;0.0518571;2.6944;0.844784;0.0137962;0.501321;0.572243;0.0411876;0.0102104;0.144111;0.134072;0.0374681;0.0119291;0.00841231;0.163724;0.125705;0.149989;0.0242263;0.0208427;0.00788334;0.233176;2.67706;42.5082;2.41302;0.932849;0.0678901;0.0108873;0.0223748;0.0192385;0.0259936;0.0117134;0.00922712;0.00818157;0.0108873;0.0100245
48,313344,0.00841231;0.0111904;0.0306949;0.39207;624.07;565.972;480.99;0.226031;237.265;264.412;19.5933;0.0518571;2.67706;0.838796;0.0137962;0.501321;0.576445;0.0404864;0.0102104;0.145269;0.135154;0.0374681;0.0119291;0.00841231;0.163724;0.125705;0.153623;0.0246571;0.0210286;0.00788334;0.233176;2.62564;41.9331;2.38174;0.913294;0.0678901;0.0107881;0.0223748;0.0192385;0.0264542;0.0118208;0.00922712;0.00818157;0.0109875;0.0100245
64,313360,0.0084906;0.0110885;0.0304285;0.400999;624.056;566.46;479.63;0.227798;236.62;265.09;19.4927;0.0518571;2.65982;0.850809;0.0135484;0.497631;0.576445;0.0404864;0.0102104;0.142962;0.13845;0.0374681;0.0118208;0.00833471;0.162428;0.124694;0.153623;0.0248752;0.0212161;0.00788334;0.236827;2.6087;40.9888;2.36624;0.932849;0.0673248;0.0107881;0.0221776;0.0192385;0.0269225;0.0115015;0.00922712;0.00810603;0.0110885;0.0103046
80,313376,0.0084906;0.0111904;0.0301644;0.404017;624.07;565.972;478.266;0.227798;236.62;264.412;19.3925;0.0518571;2.65982;0.838796;0.0134262;0.497631;0.576445;0.0408355;0.0102104;0.145269;0.135154;0.0384497;0.0120384;0.0084906;0.163724;0.123691;0.153623;0.0250952;0.0214052;0.00788334;0.233176;2.57512;40.4305;2.36624;0.932849;0.0673248;0.0108873;0.0221776;0.0192385;0.0273988;0.0118208;0.00931265;0.00818157;0.0115015;0.0105921
96,313392,0.0084906;0.0111904;0.0301644;0.407056;624.056;565.481;478.266;0.229578;237.265;264.412;19.3925;0.0518571;2.65982;0.838796;0.0135484;0.497631;0.576445;0.0408355;0.0102104;0.145269;0.136244;0.0381198;0.0120384;0.00833471;0.163724;0.123691;0.153623;0.0250952;0.0212161;0.00788334;0.23137;2.55847;39.8785;2.36624;0.932849;0.0673248;0.0108873;0.0217881;0.0192385;0.0276399;0.0117134;0.00922712;0.00818157;0.011607;0.0104954
112,313408,0.0084906;0.0111904;0.0301644;0.413199;624.041;565.972;476.899;0.233176;237.265;265.09;19.2928;0.0518571;2.67706;0.844784;0.0135484;0.497631;0.576445;0.0408355;0.0102104;0.146436;0.136244;0.0381198;0.0121486;0.00841231;0.162428;0.123691;0.153623;0.0250952;0.0214052;0.00803113;0.23137;2.55847;39.8785;2.36624;0.926289;0.0678901;0.0106897;0.0217881;0.0192385;0.0273988;0.0117134;0.00922712;0.00818157;0.011607;0.0105921
128,313424,0.0084906;0.0112932;0.0301644;0.416302;624.002;565.972;476.215;0.233176;237.911;263.734;19.2928;0.0514191;2.6944;0.844784;0.0135484;0.501321;0.580674;0.0408355;0.0103046;0.145269;0.136244;0.0377926;0.0121486;0.00841231;0.163724;0.124694;0.153623;0.0250952;0.0212161;0.00788334;0.233176;2.57512;40.0618;2.36624;0.932849;0.0678901;0.0108873;0.021982;0.0194108;0.0273988;0.0117134;0.00922712;0.00818157;0.011607;0.0104954
144,313440,0.0084906;0.0111904;0.0304285;0.422575;624.041;565.481;474.843;0.233176;237.911;264.412;19.1935;0.0518571;2.67706;0.844784;0.0134262;0.497631;0.580674;0.0404864;0.0102104;0.147611;0.136244;0.0374681;0.0121486;0.00841231;0.163724;0.124694;0.152403;0.0250952;0.0212161;0.00788334;0.23137;2.55847;39.8785;2.35083;0.91977;0.0678901;0.0108873;0.0217881;0.0194108;0.0273988;0.0117134;0.00922712;0.00818157;0.011607;0.0105921
