TimeSinceCollection,Timestamp,PlantarValue
0,966595,0.0137962;0.130875;0.422575;0.224278;277.419;418.544;161.282;0.0569138;37.2103;46.3009;10.5698;0.0365104;2.71185;0.769952;0.0166726;0.629142;1.47385;0.07441;0.0107881;0.0849571;0.209058;0.0397963;0.00993273;0.00841231;0.148796;1.05853;1.50421;0.108641;0.0501261;0.0259936;0.0937771;2.23079;176.774;458.138;16.1535;8.82209;0.00881073;0.0117134;0.0352695;0.0115015;0.0139217;0.0208427;0.0603711;0.0084906;0.0120384
16,966611,0.0135484;0.129825;0.422575;0.219093;275.349;415.613;160.764;0.0554903;37.2103;46.0947;10.5109;0.0365104;2.7294;0.769952;0.0168229;0.633729;1.4839;0.0756573;0.0107881;0.0870856;0.21402;0.0401399;0.0103046;0.00841231;0.149989;1.08094;1.51446;0.108641;0.0514191;0.0269225;0.0930104;2.21619;176.226;457.432;16.0683;8.82209;0.00864923;0.0118208;0.0352695;0.011607;0.0137962;0.0208427;0.0593636;0.00841231;0.0120384
32,966627,0.0137962;0.127749;0.416302;0.219093;273.285;414.147;159.215;0.0554903;37.0378;45.8892;10.3939;0.0361964;2.7294;0.769952;0.0166726;0.633729;1.49403;0.0737936;0.0106897;0.0892644;0.220808;0.0404864;0.010117;0.00841231;0.151191;1.08094;1.52477;0.111325;0.0518571;0.0281282;0.0937771;2.18724;176.226;458.842;16.1535;8.82209;0.00864923;0.0117134;0.0352695;0.011607;0.0137962;0.0208427;0.0613947;0.00841231;0.0120384
48,966643,0.0136718;0.123691;0.413199;0.226031;275.349;410.475;157.675;0.0564356;36.8659;45.8892;10.3939;0.0368271;2.7294;0.769952;0.0163757;0.633729;1.50421;0.0737936;0.0107881;0.0907453;0.226031;0.0411876;0.0103046;0.00841231;0.152403;1.11925;1.5561;0.115;0.0527436;0.0291294;0.09455;2.23079;177.324;458.138;16.2391;8.87258;0.00864923;0.0118208;0.0352695;0.0115015;0.0137962;0.0212161;0.0613947;0.0084906;0.0121486
64,966659,0.0136718;0.123691;0.410117;0.226031;269.858;410.475;155.13;0.0564356;36.8659;45.6845;10.3939;0.0368271;2.7294;0.769952;0.0166726;0.633729;1.50421;0.0737936;0.0107881;0.0922495;0.229578;0.0411876;0.0103046;0.00841231;0.152403;1.11925;1.5561;0.115;0.0527436;0.0291294;0.09455;2.23079;176.774;458.138;16.1535;8.92333;0.00856956;0.0118208;0.0352695;0.011607;0.0137962;0.0212161;0.0613947;0.00841231;0.0120384
80,966675,0.0136718;0.122696;0.400999;0.227798;267.129;407.532;153.113;0.0569138;36.6947;45.4805;10.3939;0.0368271;2.74705;0.775483;0.0166726;0.638347;1.50421;0.07441;0.0106897;0.0930104;0.23137;0.0415426;0.0103046;0.0084906;0.153623;1.12706;1.56667;0.11688;0.0531923;0.0293849;0.0937771;2.23079;177.875;460.951;16.4115;9.07712;0.00864923;0.0119291;0.0355759;0.011607;0.0139217;0.0214052;0.0619127;0.00841231;0.0121486
96,966691,0.0136718;0.121708;0.400999;0.226031;266.449;404.587;153.113;0.0573961;36.6947;45.2772;10.2781;0.0368271;2.74705;0.775483;0.0163757;0.638347;1.51446;0.07441;0.0106897;0.0930104;0.23137;0.0415426;0.0103046;0.00841231;0.153623;1.12706;1.5561;0.115936;0.0531923;0.0293849;0.0937771;2.23079;176.774;460.249;16.3251;9.07712;0.00881073;0.0118208;0.0355759;0.0122597;0.0139217;0.0214052;0.0613947;0.00841231;0.0120384
112,966707,0.0134262;0.121708;0.398002;0.226031;265.769;404.587;152.611;0.0573961;36.5241;45.4805;10.3359;0.0371463;2.74705;0.769952;0.0166726;0.638347;1.52477;0.0750313;0.0106897;0.0930104;0.233176;0.0415426;0.010117;0.00841231;0.153623;1.13493;1.5561;0.115936;0.0531923;0.0293849;0.09455;2.30514;176.774;460.951;16.4983;8.97434;0.00864923;0.0118208;0.0352695;0.011607;0.0139217;0.0214052;0.0613947;0.00841231;0.0121486
128,966723,0.0135484;0.119755;0.400999;0.226031;265.09;404.587;153.113;0.0573961;36.5241;45.2772;10.3939;0.0371463;2.7648;0.78105;0.0166726;0.642996;1.52477;0.0756573;0.0106897;0.0937771;0.23137;0.0415426;0.0103996;0.0084906;0.153623;1.13493;1.56667;0.11407;0.0527436;0.0293849;0.0937771;2.24548;176.774;460.249;16.6731;9.18094;0.00864923;0.0118208;0.0352695;0.0117134;0.0139217;0.0214052;0.0619127;0.0082578;0.0121486
144,966739,0.0136718;0.121708;0.398002;0.227798;266.449;404.587;153.113;0.057882;37.0378;45.4805;10.3359;0.0374681;2.7648;0.78105;0.0166726;0.642996;1.54559;0.0756573;0.0107881;0.0930104;0.233176;0.0415426;0.0103046;0.00841231;0.153623;1.12706;1.54559;0.113148;0.0527436;0.0291294;0.0937771;2.24548;177.875;462.353;16.7611;9.28581;0.00856956;0.0119291;0.0352695;0.0117134;0.0139217;0.0214052;0.0619127;0.00841231;0.0121486
