TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,98640,4.59854,-8.71855,0.665137,-85.0452,-27.301,-22.6593,1.52588,0.244141,1.2207,0.670837,-0.678131,-0.0415344,-0.297119,-18354,10996,-3708,949,-29861
6,98646,4.59375,-8.64678,0.75127,-85.0342,-27.2955,-22.6263,1.28174,0.0610352,1.77002,0.67099,-0.67807,-0.041687,-0.296906,-18356,10996,-3711,949,-29861
12,98652,4.56025,-8.65156,0.832617,-85.0287,-27.29,-22.5989,0.671387,0.183105,1.83105,0.671112,-0.678009,-0.0418396,-0.296692,-18356,10996,-3713,949,-29861
18,98658,4.51719,-8.76162,0.818262,-85.0177,-27.2736,-22.5385,0.854492,0.12207,1.64795,0.671234,-0.677979,-0.0419617,-0.296448,-18354,10997,-3713,949,-29861
24,98664,4.59854,-8.68506,0.808691,-85.0177,-27.2681,-22.5055,0.488281,0.854492,1.70898,0.671509,-0.677917,-0.0422668,-0.296021,-18353,10997,-3711,949,-29861
30,98670,4.46934,-8.67549,0.818262,-85.0122,-27.2571,-22.478,0.427246,0.793457,1.52588,0.6716,-0.677887,-0.0423889,-0.295807,-18352,10998,-3712,949,-29861
36,98676,4.4502,-8.65635,0.846973,-85.0067,-27.2516,-22.4506,0.183105,0.488281,1.89209,0.671722,-0.677856,-0.042511,-0.295624,-18351,11001,-3714,949,-29861
42,98682,4.47412,-8.69463,0.866113,-85.0067,-27.2406,-22.4231,0.0610352,0.732422,1.2207,0.671844,-0.677826,-0.0426025,-0.29541,-18349,11003,-3720,949,-29861
48,98688,4.41191,-8.73291,0.803906,-84.9957,-27.2296,-22.3682,0.610352,0.610352,1.15967,0.671936,-0.677795,-0.0427551,-0.295227,-18345,11006,-3727,949,-29861
54,98694,4.5459,-8.68506,0.846973,-84.9957,-27.2296,-22.3407,-0.244141,0.244141,1.15967,0.67215,-0.677765,-0.0430298,-0.29483,-18343,11008,-3728,949,-29861
60,98700,4.54111,-8.75684,0.732129,-84.9957,-27.2241,-22.3132,-0.0610352,0.183105,1.28174,0.672211,-0.677734,-0.0431824,-0.294617,-18341,11011,-3733,949,-29861
66,98706,4.56504,-8.78555,0.712988,-84.9957,-27.2186,-22.2803,0.488281,0.488281,1.0376,0.672302,-0.677734,-0.0433044,-0.294434,-18340,11014,-3734,949,-29861
72,98712,4.51719,-8.69941,0.765625,-84.9957,-27.2131,-22.2528,0.488281,0.793457,0.976563,0.672424,-0.677704,-0.043457,-0.29425,-18336,11018,-3734,949,-29861
78,98718,4.46455,-8.71377,0.856543,-84.9847,-27.2021,-22.2034,0.244141,1.0376,1.34277,0.672516,-0.677673,-0.0435791,-0.294067,-18334,11021,-3735,949,-29861
84,98724,4.45977,-8.72334,0.756055,-84.9792,-27.1967,-22.1759,0.732422,0.0610352,0.793457,0.672729,-0.677612,-0.0438538,-0.293701,-18335,11022,-3732,949,-29861
90,98730,4.50283,-8.69941,0.789551,-84.9738,-27.1967,-22.1484,0.488281,0.183105,0.671387,0.672821,-0.677551,-0.0440063,-0.293518,-18336,11022,-3731,949,-29861
96,98736,4.5124,-8.73291,0.77998,-84.9738,-27.1912,-22.121,0.488281,0.488281,0.549316,0.672943,-0.677521,-0.0441589,-0.293335,-18337,11022,-3732,949,-29861
102,98742,4.52676,-8.72334,0.808691,-84.9683,-27.1912,-22.0935,0.732422,0.244141,0.671387,0.673035,-0.67749,-0.0443115,-0.293152,-18338,11021,-3729,949,-29861
108,98748,4.47412,-8.67549,0.827832,-84.9628,-27.1857,-22.0386,0.610352,0.488281,0.488281,0.673248,-0.677429,-0.0446167,-0.292816,-18339,11018,-3724,949,-29861
