TimeSinceCollection,Timestamp,PlantarValue
0,98532,3.99201;6.91381;4.87;5.60656;5.23856;11.5537;9.56479;3.16734;14.1221;10.8538;5.63189;1.12542;5.00539;6.46983;1.21052;1.22951;2.13615;1.9927;1.04037;1.25526;2.83626;1.46473;1.48736;1.13131;2.1256;3.13722;3.53302;2.54929;2.56174;2.45166;1.87681;4.02945;5.45667;5.05126;11.6983;14.0082;0.987011;0.926314;0.926314;1.91474;1.36328;2.56174;1.51802;2.07356;2.61209
16,98548,4.24107;7.22464;5.07434;5.76012;5.65734;12.1918;10.3645;3.36958;14.7625;11.4106;5.97071;1.13723;5.12078;6.67376;1.24232;1.21682;2.1574;2.02268;1.04037;1.25526;2.83626;1.46473;1.5103;1.13723;2.1574;3.16734;3.53302;2.57424;2.56174;2.4397;1.87681;4.02945;5.33451;5.05126;11.4581;13.783;0.997477;0.926314;0.926314;1.91474;1.36328;2.56174;1.53356;2.07356;2.5868
32,98564,4.42161;7.48218;5.38308;5.97071;5.91743;12.7034;10.6736;3.54975;15.6138;11.6983;6.21581;1.13131;5.14414;6.79285;1.25526;1.21052;2.18963;2.03276;1.04037;1.25526;2.83626;1.47224;1.51802;1.14915;2.13615;3.13722;3.56656;2.54929;2.52455;2.47574;1.86743;3.9734;5.21481;5.00539;11.2691;13.7272;0.987011;0.926314;0.926314;1.87681;1.36328;2.54929;1.5103;2.07356;2.59942
48,98580,4.54577;7.68064;5.68288;6.16057;6.13313;13.1261;11.3633;3.60038;15.928;11.9923;6.35581;1.15516;5.21481;6.88339;1.24232;1.22951;2.18963;2.03276;1.04585;1.25526;2.82261;1.47224;1.51802;1.16119;2.1151;3.07776;3.45043;2.54929;2.47574;2.42779;1.87681;3.91807;5.00539;4.89233;11.1292;13.5609;0.981816;0.926314;0.926314;1.86743;1.36328;2.54929;1.51802;2.05307;2.57424
64,98596,4.60902;7.81553;5.81214;6.29948;6.27148;13.7272;11.7955;3.79164;16.3122;12.0917;6.64428;1.14915;5.23856;6.94435;1.25526;1.22951;2.18963;2.05307;1.04037;1.24878;2.79548;1.48736;1.51802;1.16119;2.07356;3.07776;3.43412;2.57424;2.4397;2.38069;1.86743;3.88156;4.91475;4.84775;10.9907;13.6161;0.976648;0.926314;0.926314;1.84881;1.36328;2.47574;1.51802;2.03276;2.5369
80,98612,4.67306;7.84958;5.89094;6.27148;6.29948;13.839;11.8935;3.7562;16.1833;12.1417;6.67376;1.14915;5.19116;6.975;1.27489;1.21682;2.17883;2.03276;1.04585;1.24232;2.75522;1.47224;1.5103;1.16119;2.06329;3.01931;3.36958;2.52455;2.40413;2.36904;1.87681;3.86342;4.8256;4.80354;10.8085;13.5059;0.966383;0.926314;0.926314;1.8212;1.36328;2.5369;1.5103;2.02268;2.52455
96,98628,4.58785;7.71417;5.81214;6.07855;6.16057;13.2877;11.6017;3.65166;15.4279;11.7955;6.55654;1.14915;5.12078;6.82291;1.22951;1.20425;2.1574;2.07356;1.05136;1.22315;2.67629;1.47224;1.5103;1.15516;2.03276;2.99047;3.3219;2.48786;2.45166;2.35745;1.87681;3.86342;4.84775;4.80354;10.8085;13.5059;0.981816;0.926314;0.926314;1.83036;1.36328;2.52455;1.50261;2.03276;2.52455
112,98644,4.44209;7.44955;5.50623;5.94401;5.86456;12.8605;11.1756;3.45043;14.6442;11.4106;6.10579;1.13723;4.93728;6.58568;1.21682;1.19801;2.1151;1.97294;1.03492;1.19801;2.62481;1.46473;1.50261;1.14915;2.01265;2.93354;3.22837;2.50004;2.35745;2.38069;1.86743;3.86342;4.8256;4.84775;10.8538;13.6716;0.971503;0.926314;0.926314;1.84881;1.39159;2.52455;1.48736;2.03276;2.5369
128,98660,4.14367;7.03668;5.23856;5.76012;5.5562;12.2421;10.6736;3.19772;13.5059;10.8538;5.89094;1.14915;4.67306;6.52752;1.18562;1.16725;2.04289;1.94364;1.03492;1.17335;2.5868;1.45726;1.47224;1.14915;2.00265;2.80901;3.21301;2.48786;2.3459;2.36904;1.86743;3.84536;4.80354;4.84775;10.8993;13.839;0.992231;0.926314;0.926314;1.87681;1.39159;2.51227;1.48736;2.05307;2.54929
144,98676,3.73859;6.46983;4.87;5.23856;5.31038;11.4581;9.52425;2.75522;12.3942;9.89463;5.1676;1.11955;4.34054;5.97071;1.14317;1.13723;1.9927;1.86743;1.01872;1.14915;2.4397;1.42043;1.42773;1.13723;1.95337;2.70237;3.04841;2.39238;2.30025;2.35745;1.81208;3.79164;4.75969;4.84775;10.8993;13.7272;0.987011;0.926314;0.926314;1.91474;1.39159;2.51227;1.45726;2.04289;2.54929
160,98692,3.33773;5.86456;4.34054;4.54577;4.4833;10.0633;8.09161;2.31158;10.8085;8.52192;4.22143;1.04037;3.68621;5.21481;1.11955;1.10213;1.83036;1.75823;0.997477;1.13131;2.26654;1.37031;1.36328;1.09066;1.8581;2.47574;2.93354;2.33441;2.23328;2.36904;1.72315;3.73859;4.63028;4.8256;10.9449;13.783;0.987011;0.926314;0.926314;1.91474;1.39875;2.46367;1.46473;2.05307;2.5369
176,98708,2.76858;5.02828;3.72105;3.49977;3.36958;8.16197;6.07855;1.90519;8.48531;7.0677;2.89148;0.997477;2.93354;3.91807;1.04585;1.09638;1.6549;1.55716;0.971503;1.11372;2.07356;1.30151;1.26832;1.05689;1.68871;2.3459;2.70237;2.2554;2.1574;2.31158;1.67173;3.60038;4.52487;4.78157;10.8993;13.839;0.992231;0.961288;0.926314;1.91474;1.40594;2.45166;1.45726;2.01265;2.48786
192,98724,2.4397;4.18239;3.04841;2.87759;2.782;6.38415;4.7379;1.75823;6.58568;5.8383;2.42779;0.987011;2.39238;3.25928;1.00275;1.09638;1.47978;1.38446;0.941157;1.09066;1.86743;1.27489;1.24232;1.05689;1.58108;2.23328;2.52455;2.13615;2.13615;2.32297;1.61351;3.56656;4.4833;4.80354;10.9449;14.0082;1.00275;0.926314;0.926314;1.93396;1.42043;2.42779;1.43506;1.96313;2.42779
208,98740,2.07356;3.58343;2.6893;2.65044;2.3459;5.05126;3.93644;1.62995;5.2624;5.07434;2.10464;0.981816;2.04289;2.75522;0.987011;1.05689;1.36328;1.30151;0.926314;1.06245;1.75823;1.22951;1.21682;1.06804;1.5103;2.18963;2.47574;2.1574;2.1256;2.3459;1.63823;3.51636;4.4833;4.80354;10.9907;14.4101;1.00275;0.926314;0.921414;1.94364;1.39159;2.4397;1.42773;1.9927;2.39238
224,98756,1.72315;2.97615;2.1574;2.26654;2.02268;3.95488;3.07776;1.5103;4.08619;4.18239;1.81208;0.981816;1.7494;2.4397;0.961288;1.04585;1.31501;1.19801;0.921414;1.05689;1.68871;1.21052;1.22951;1.06804;1.48736;2.1574;2.36904;2.13615;2.1574;2.39238;1.63823;3.38561;4.58785;4.84775;11.1756;14.8219;0.997477;0.926314;0.926314;2.00265;1.31501;2.48786;1.42773;1.95337;2.36904
