TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,245448,4.58896,-8.75205,0.684277,-85.7483,-27.301,-48.0542,-0.183105,0.12207,0.0610352,-0.584991,0.674286,-0.111267,0.436615,-14138,8264,-5189,874,-29852
6,245454,4.47891,-8.70898,0.746484,-85.7483,-27.301,-48.0487,0.12207,0.183105,-0.183105,-0.585022,0.674286,-0.111206,0.436615,-14137,8264,-5184,874,-29852
12,245460,4.49805,-8.65635,0.75127,-85.7483,-27.301,-48.0487,-0.183105,0,-0.488281,-0.585022,0.674286,-0.111176,0.436584,-14136,8264,-5180,874,-29852
18,245466,4.53633,-8.69463,0.736914,-85.7428,-27.3065,-48.0432,-0.427246,-0.183105,-0.244141,-0.585052,0.674286,-0.111115,0.436584,-14137,8266,-5181,874,-29852
24,245472,4.56982,-8.71377,0.698633,-85.7483,-27.3065,-48.0377,-0.305176,-0.305176,-0.244141,-0.585052,0.674286,-0.111084,0.436554,-14137,8268,-5180,874,-29852
30,245478,4.57939,-8.74727,0.669922,-85.7483,-27.312,-48.0212,-0.183105,-0.244141,-0.427246,-0.585083,0.674316,-0.110962,0.436523,-14135,8270,-5180,874,-29852
36,245484,4.61289,-8.76162,0.641211,-85.7483,-27.312,-48.0157,0,-0.183105,0,-0.585083,0.674347,-0.110931,0.436493,-14133,8268,-5179,874,-29852
42,245490,4.59854,-8.72813,0.679492,-85.7483,-27.3175,-48.0103,0.305176,0,-0.0610352,-0.585114,0.674347,-0.11087,0.436462,-14130,8268,-5176,874,-29852
48,245496,4.62246,-8.7042,0.703418,-85.7428,-27.3175,-48.0048,0.305176,-0.0610352,0.0610352,-0.585144,0.674316,-0.11084,0.436432,-14128,8266,-5177,874,-29852
54,245502,4.58896,-8.7042,0.698633,-85.7428,-27.3175,-47.9993,0.183105,0.0610352,0.366211,-0.585175,0.674316,-0.110779,0.436432,-14128,8266,-5181,874,-29852
60,245508,4.63203,-8.69463,0.684277,-85.7373,-27.3175,-47.9883,0,0,0.183105,-0.585236,0.674316,-0.110718,0.436371,-14132,8258,-5192,874,-29852
66,245514,4.55068,-8.67549,0.717773,-85.7373,-27.3175,-47.9883,0,0.183105,0.610352,-0.585266,0.674316,-0.110687,0.43634,-14136,8255,-5192,874,-29852
72,245520,4.50283,-8.68027,0.727344,-85.7373,-27.312,-47.9828,-0.12207,0.12207,0.488281,-0.585297,0.674316,-0.110687,0.43631,-14141,8249,-5186,874,-29852
78,245526,4.49805,-8.6707,0.775195,-85.7373,-27.312,-47.9773,0,0.0610352,0.0610352,-0.585327,0.674316,-0.110657,0.436279,-14141,8245,-5180,874,-29852
84,245532,4.49326,-8.67549,0.784766,-85.7318,-27.312,-47.9718,-0.305176,0.0610352,0.183105,-0.585358,0.674286,-0.110626,0.436249,-14143,8244,-5170,874,-29852
90,245538,4.52676,-8.68506,0.727344,-85.7373,-27.312,-47.9608,-0.488281,-0.244141,-0.12207,-0.585388,0.674316,-0.110565,0.436218,-14146,8244,-5155,874,-29852
96,245544,4.56504,-8.77119,0.641211,-85.7373,-27.3175,-47.9553,-0.12207,0,0,-0.585388,0.674347,-0.110504,0.436188,-14147,8244,-5152,874,-29852
102,245550,4.5459,-8.71855,0.679492,-85.7373,-27.3175,-47.9498,0.183105,0.183105,-0.0610352,-0.585419,0.674347,-0.110474,0.436157,-14147,8246,-5152,874,-29852
108,245556,4.56025,-8.69463,0.717773,-85.7318,-27.3175,-47.9443,0.12207,0.12207,0.0610352,-0.585449,0.674316,-0.110443,0.436157,-14145,8251,-5152,874,-29852
114,245562,4.55547,-8.68027,0.693848,-85.7318,-27.3175,-47.9388,0,0.0610352,0.244141,-0.58548,0.674316,-0.110413,0.436127,-14143,8255,-5152,874,-29852
120,245568,4.55547,-8.70898,0.665137,-85.7263,-27.3175,-47.9333,0,-0.0610352,0,-0.58551,0.674316,-0.110321,0.436096,-14141,8259,-5146,874,-29852
126,245574,4.59854,-8.69941,0.645996,-85.7263,-27.3175,-47.9279,0,0.183105,0,-0.585541,0.674316,-0.110291,0.436066,-14142,8261,-5140,874,-29852
132,245580,4.57939,-8.71855,0.679492,-85.7263,-27.3175,-47.9224,0.305176,0.0610352,-0.366211,-0.585571,0.674316,-0.11026,0.436035,-14142,8263,-5140,874,-29852
138,245586,4.57461,-8.71855,0.698633,-85.7263,-27.323,-47.9169,0.366211,0.12207,0,-0.585571,0.674316,-0.110199,0.436035,-14141,8264,-5141,874,-29852
144,245592,4.55547,-8.69941,0.712988,-85.7208,-27.323,-47.9114,0.244141,0.0610352,0.183105,-0.585602,0.674316,-0.110168,0.436035,-14141,8266,-5148,874,-29852
150,245598,4.55068,-8.7042,0.732129,-85.7153,-27.323,-47.9059,0.305176,0.183105,0.0610352,-0.585663,0.674286,-0.110107,0.435974,-14136,8267,-5165,874,-29852
156,245604,4.52676,-8.68984,0.669922,-85.7098,-27.323,-47.9004,0,-0.183105,0.12207,-0.585693,0.674286,-0.110077,0.435974,-14132,8268,-5169,874,-29852
162,245610,4.57461,-8.73291,0.722559,-85.7098,-27.323,-47.8949,0,0,-0.0610352,-0.585724,0.674286,-0.110016,0.435944,-14128,8266,-5170,874,-29852
168,245616,4.56025,-8.69941,0.746484,-85.7098,-27.323,-47.8894,0.183105,0,-0.0610352,-0.585754,0.674286,-0.109985,0.435944,-14125,8264,-5168,874,-29852
174,245622,4.55068,-8.66592,0.717773,-85.7098,-27.323,-47.8894,0,0,-0.0610352,-0.585785,0.674286,-0.109955,0.435913,-14124,8264,-5162,874,-29852
180,245628,4.5459,-8.70898,0.698633,-85.7043,-27.3285,-47.8784,0,0.12207,0,-0.585815,0.674255,-0.109863,0.435883,-14121,8265,-5155,874,-29852
186,245634,4.5459,-8.69941,0.727344,-85.7043,-27.3285,-47.8729,0.12207,0.0610352,0.0610352,-0.585846,0.674286,-0.109833,0.435852,-14120,8266,-5152,874,-29852
192,245640,4.53633,-8.67549,0.679492,-85.7043,-27.3285,-47.8674,0.427246,0.244141,0,-0.585846,0.674255,-0.109802,0.435852,-14119,8268,-5152,874,-29852
