TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,62114,2.60791,-9.32148,1.68916,-79.8322,-15.2051,-151.694,-0.244141,0.305176,-0.793457,0.103516,-0.253876,0.591919,-0.757874,-141.992,83.3833,-5.23333,-11195,-28395
6,62120,2.60791,-9.32627,1.67959,-79.8322,-15.2106,-151.699,-0.244141,0.549316,-0.854492,0.103485,-0.253906,0.591919,-0.757874,-142.008,83.3917,-5.25,-11195,-28395
12,62126,2.58398,-9.38369,1.64609,-79.8322,-15.2161,-151.705,0.0610352,0.549316,-1.2207,0.103455,-0.253906,0.591919,-0.757874,-142,83.3917,-5.23333,-11195,-28395
18,62132,2.59355,-9.36455,1.67002,-79.8322,-15.2216,-151.705,0.12207,0.305176,-1.09863,0.103394,-0.253906,0.591888,-0.757874,-141.958,83.3917,-5.20833,-11195,-28395
24,62138,2.59834,-9.35977,1.6748,-79.8322,-15.2271,-151.705,-0.0610352,0.183105,-1.0376,0.103333,-0.253937,0.591858,-0.757904,-141.942,83.3833,-5.13333,-11195,-28395
30,62144,2.59834,-9.38369,1.66523,-79.8322,-15.2325,-151.716,0.0610352,0.427246,-0.854492,0.103271,-0.253967,0.591858,-0.757904,-141.942,83.3667,-5.06667,-11195,-28395
36,62150,2.58398,-9.37891,1.63652,-79.8267,-15.238,-151.716,0.12207,0.305176,-0.793457,0.103241,-0.253967,0.591858,-0.757935,-141.958,83.3583,-5.025,-11195,-28395
42,62156,2.62227,-9.40283,1.64131,-79.8267,-15.2435,-151.716,0.12207,0.183105,-1.2207,0.10321,-0.253967,0.591827,-0.757935,-141.992,83.3417,-5,-11195,-28395
48,62162,2.60791,-9.38369,1.59824,-79.8267,-15.249,-151.716,0.549316,-0.12207,-0.976563,0.103149,-0.253998,0.591827,-0.757935,-142.025,83.325,-4.99167,-11195,-28395
54,62168,2.62705,-9.40283,1.64609,-79.8212,-15.249,-151.721,0.366211,0.12207,-0.732422,0.103119,-0.254059,0.591766,-0.757965,-142.083,83.3333,-5.04167,-11195,-28395
60,62174,2.60313,-9.36455,1.67002,-79.8157,-15.26,-151.721,0.366211,0,-0.671387,0.103088,-0.254059,0.591766,-0.757996,-142.108,83.35,-5.09167,-11195,-28395
66,62180,2.5792,-9.34541,1.65566,-79.8157,-15.26,-151.721,0.549316,0.12207,-0.610352,0.103058,-0.254059,0.591736,-0.757996,-142.125,83.3667,-5.125,-11195,-28395
