TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,2922002,9.81436,0.172266,0.311035,27.8998,-87.6874,44.8682,-0.12207,0,0,-0.583221,-0.417236,0.554993,-0.421448,-150.375,-55.25,-60.05,-1422,-29576
6,2922008,9.81914,0.16748,0.363672,27.8613,-87.6874,44.9066,0,0,0.366211,-0.583221,-0.417236,0.554993,-0.421478,-150.35,-55.2333,-60.075,-1422,-29576
12,2922014,9.81914,0.177051,0.363672,27.7954,-87.6874,44.9725,0.0610352,0,0.244141,-0.583221,-0.417206,0.555023,-0.421478,-150.317,-55.2,-60.075,-1422,-29576
18,2922020,9.80479,0.172266,0.358887,27.7844,-87.6874,44.978,0,0.183105,0,-0.583221,-0.417206,0.555023,-0.421478,-150.308,-55.1833,-60.05,-1422,-29576
24,2922026,9.8,0.172266,0.349316,27.7405,-87.6874,45.022,0,0,0.366211,-0.583221,-0.417206,0.555023,-0.421478,-150.3,-55.1583,-60.0333,-1422,-29576
30,2922032,9.80479,0.177051,0.354102,27.746,-87.6874,45.0165,0,-0.0610352,0,-0.583221,-0.417206,0.555023,-0.421478,-150.283,-55.15,-60.025,-1422,-29576
36,2922038,9.80957,0.191406,0.363672,27.702,-87.6874,45.0549,-0.0610352,0,0.366211,-0.583221,-0.417175,0.555023,-0.421478,-150.292,-55.15,-60.075,-1422,-29576
42,2922044,9.80957,0.186621,0.354102,27.6801,-87.6874,45.0824,-0.0610352,-0.0610352,0.244141,-0.583221,-0.417175,0.555054,-0.421478,-150.342,-55.1917,-60.1333,-1422,-29576
48,2922050,9.79521,0.162695,0.349316,27.6855,-87.6874,45.0714,-0.12207,-0.12207,0,-0.583221,-0.417175,0.555054,-0.421478,-150.367,-55.2083,-60.1333,-1422,-29576
54,2922056,9.8335,0.15791,0.368457,27.6855,-87.6874,45.0714,0,-0.0610352,0,-0.583221,-0.417145,0.555054,-0.421478,-150.367,-55.2167,-60.1417,-1422,-29576
60,2922062,9.78086,0.16748,0.330176,27.6965,-87.6874,45.0549,0,0,-0.12207,-0.583221,-0.417145,0.555054,-0.421448,-150.35,-55.225,-60.1583,-1422,-29576
66,2922068,9.80479,0.16748,0.339746,27.713,-87.6874,45.0439,-0.0610352,0,-0.12207,-0.583221,-0.417145,0.555054,-0.421448,-150.325,-55.2417,-60.1667,-1422,-29576
72,2922074,9.81914,0.177051,0.349316,27.7844,-87.6874,44.9615,-0.0610352,-0.0610352,-0.427246,-0.583252,-0.417145,0.555084,-0.421387,-150.275,-55.2833,-60.2083,-1422,-29576
78,2922080,9.82393,0.210547,0.330176,27.7789,-87.6874,44.967,0,0.12207,0,-0.583252,-0.417145,0.555084,-0.421387,-150.275,-55.3,-60.1917,-1422,-29576
84,2922086,9.79521,0.181836,0.358887,27.8229,-87.6874,44.9231,-0.0610352,-0.0610352,-0.366211,-0.583282,-0.417145,0.555084,-0.421387,-150.283,-55.3167,-60.25,-1422,-29576
90,2922092,9.80957,0.186621,0.344531,27.8284,-87.6874,44.9121,0,-0.183105,0,-0.583282,-0.417145,0.555084,-0.421356,-150.3,-55.3167,-60.2833,-1422,-29576
96,2922098,9.78564,0.16748,0.373242,27.8284,-87.6874,44.9121,0,0,0,-0.583282,-0.417114,0.555084,-0.421356,-150.317,-55.3083,-60.3583,-1422,-29576
102,2922104,9.79043,0.177051,0.354102,27.8668,-87.6874,44.8737,0,0.12207,0,-0.583313,-0.417114,0.555084,-0.421326,-150.358,-55.2583,-60.525,-1422,-29576
108,2922110,9.8,0.186621,0.373242,27.8723,-87.6874,44.8682,-0.0610352,0,-0.0610352,-0.583313,-0.417114,0.555084,-0.421326,-150.367,-55.225,-60.5917,-1422,-29576
114,2922116,9.8,0.16748,0.373242,27.8394,-87.6874,44.9011,0,0.183105,0.183105,-0.583313,-0.417114,0.555084,-0.421326,-150.375,-55.225,-60.5917,-1422,-29576
120,2922122,9.81436,0.172266,0.373242,27.8064,-87.6874,44.9341,0.12207,-0.12207,0.366211,-0.583313,-0.417084,0.555115,-0.421326,-150.375,-55.225,-60.55,-1422,-29576
126,2922128,9.8,0.16748,0.339746,27.7789,-87.6874,44.9561,0,0.0610352,0.183105,-0.583313,-0.417084,0.555115,-0.421326,-150.375,-55.225,-60.525,-1422,-29576
132,2922134,9.80957,0.172266,0.368457,27.7295,-87.6874,45,0.0610352,0.0610352,0.183105,-0.583313,-0.417053,0.555145,-0.421326,-150.417,-55.1917,-60.45,-1422,-29576
138,2922140,9.81436,0.181836,0.363672,27.713,-87.6874,45.0165,0,0,0.12207,-0.583313,-0.417023,0.555145,-0.421326,-150.433,-55.1583,-60.4,-1422,-29576
144,2922146,9.81436,0.186621,0.358887,27.6526,-87.6874,45.0769,0,0.12207,0.488281,-0.583313,-0.417023,0.555145,-0.421326,-150.442,-55.15,-60.3083,-1422,-29576
