TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,873745,-0.210547,-0.961816,9.77129,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.85,88.775,-93.375,-1771,-29534
6,873751,-0.196191,-0.937891,9.7665,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.85,88.7667,-93.3417,-1771,-29534
12,873757,-0.196191,-0.971387,9.75693,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.8417,88.775,-93.325,-1771,-29534
18,873763,-0.224902,-0.952246,9.77607,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.825,88.7833,-93.3583,-1771,-29534
24,873769,-0.210547,-0.933105,9.74258,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.85,88.7833,-93.375,-1771,-29534
30,873775,-0.229688,-0.961816,9.77607,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.8833,88.775,-93.4083,-1771,-29534
36,873781,-0.224902,-0.966602,9.78086,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.9083,88.7667,-93.45,-1771,-29534
42,873787,-0.224902,-0.957031,9.7665,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.9333,88.7417,-93.5167,-1771,-29534
48,873793,-0.215332,-0.952246,9.77607,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.9667,88.7333,-93.55,-1771,-29534
54,873799,-0.196191,-0.966602,9.74736,-5.61401,1.24695,20.061,0,0,0,0.983337,-0.0501099,0.00216675,0.174469,-55.95,88.7333,-93.5083,-1771,-29534
