TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,57714,-9.80479,-0.363672,-0.526367,-146.365,86.1932,-175.908,0,0,0,0.661102,0.172577,0.705536,-0.187744,-35.3417,47.8167,-29.6667,-1854,-29524
6,57720,-9.8,-0.349316,-0.545508,-146.365,86.1932,-175.908,0,0,0,0.661102,0.172577,0.705536,-0.187775,-35.3333,47.8167,-29.65,-1854,-29524
12,57726,-9.78564,-0.378027,-0.531152,-146.36,86.1932,-175.908,0,0,0,0.661102,0.172577,0.705536,-0.187775,-35.3167,47.8167,-29.6083,-1854,-29524
18,57732,-9.78086,-0.344531,-0.545508,-146.36,86.1932,-175.908,0,0,0,0.661102,0.172577,0.705536,-0.187775,-35.2917,47.825,-29.6,-1854,-29524
24,57738,-9.77607,-0.363672,-0.531152,-146.36,86.1932,-175.908,0,0,0,0.661102,0.172607,0.705536,-0.187775,-35.2833,47.8583,-29.5833,-1854,-29524
30,57744,-9.79043,-0.330176,-0.535937,-146.36,86.1932,-175.908,0,0,0,0.661102,0.172607,0.705536,-0.187805,-35.2833,47.95,-29.625,-1854,-29524
36,57750,-9.79043,-0.387598,-0.516797,-146.354,86.1932,-175.908,0,0,0,0.661102,0.172607,0.705536,-0.187805,-35.2917,47.9917,-29.6583,-1854,-29524
42,57756,-9.7665,-0.368457,-0.559863,-146.354,86.1932,-175.908,0,0,0,0.661102,0.172607,0.705536,-0.187805,-35.2833,48.0167,-29.675,-1854,-29524
48,57762,-9.77607,-0.358887,-0.526367,-146.354,86.1932,-175.908,0,0,0,0.661102,0.172638,0.705536,-0.187805,-35.2833,48.0333,-29.7167,-1854,-29524
54,57768,-9.79043,-0.368457,-0.550293,-146.354,86.1932,-175.908,0,0,0,0.661102,0.172638,0.705536,-0.187836,-35.3083,48.0333,-29.7667,-1854,-29524
60,57774,-9.7665,-0.363672,-0.564648,-146.354,86.1932,-175.908,0,0,0,0.661072,0.172638,0.705536,-0.187836,-35.3333,48.0167,-29.8333,-1854,-29524
66,57780,-9.78564,-0.368457,-0.555078,-146.349,86.1932,-175.908,0,0,0,0.661072,0.172668,0.705505,-0.187836,-35.3417,48.0167,-29.85,-1854,-29524
72,57786,-9.79521,-0.344531,-0.550293,-146.349,86.1932,-175.908,0,0,0,0.661072,0.172668,0.705505,-0.187836,-35.3417,48.025,-29.8667,-1854,-29524
78,57792,-9.8,-0.339746,-0.526367,-146.349,86.1932,-175.908,0,0,0,0.661072,0.172668,0.705505,-0.187866,-35.3333,48.025,-29.875,-1854,-29524
84,57798,-9.79043,-0.368457,-0.521582,-146.349,86.1932,-175.908,0,0,0,0.661072,0.172668,0.705505,-0.187866,-35.3167,48.025,-29.8667,-1854,-29524
90,57804,-9.78086,-0.363672,-0.516797,-146.349,86.1932,-175.908,0,0,0,0.661072,0.172668,0.705505,-0.187866,-35.2583,47.975,-29.9417,-1854,-29524
96,57810,-9.78564,-0.334961,-0.535937,-146.343,86.1932,-175.908,0,0,0,0.661072,0.172699,0.705505,-0.187866,-35.2333,47.9583,-29.9667,-1854,-29524
102,57816,-9.78086,-0.354102,-0.507227,-146.343,86.1932,-175.908,0,0,0,0.661072,0.172699,0.705505,-0.187866,-35.2333,47.9583,-30.025,-1854,-29524
108,57822,-9.78564,-0.358887,-0.550293,-146.343,86.1932,-175.908,0,0,0,0.661072,0.172699,0.705505,-0.187897,-35.2333,47.975,-30.0417,-1854,-29524
114,57828,-9.78564,-0.363672,-0.521582,-146.343,86.1932,-175.908,0,0,0,0.661072,0.172699,0.705505,-0.187897,-35.2583,47.975,-30.0333,-1854,-29524
120,57834,-9.8,-0.344531,-0.555078,-146.343,86.1932,-175.908,0,0,0,0.661072,0.172699,0.705505,-0.187897,-35.2667,47.975,-30.0667,-1854,-29524
126,57840,-9.78564,-0.378027,-0.559863,-146.338,86.1932,-175.908,0,0,0,0.661072,0.172699,0.705505,-0.187897,-35.2667,47.975,-30.075,-1854,-29524
132,57846,-9.80479,-0.358887,-0.531152,-146.338,86.1932,-175.908,0,0,0,0.661072,0.172729,0.705505,-0.187897,-35.2667,47.975,-30.075,-1854,-29524
138,57852,-9.79043,-0.358887,-0.545508,-146.338,86.1932,-175.908,0,0,0,0.661072,0.172729,0.705505,-0.187897,-35.2417,47.9833,-30.05,-1854,-29524
144,57858,-9.77607,-0.344531,-0.545508,-146.338,86.1932,-175.908,0,0,0,0.661072,0.172729,0.705505,-0.187927,-35.225,47.9917,-30.025,-1854,-29524
150,57864,-9.77607,-0.363672,-0.531152,-146.338,86.1932,-175.908,0,0,0,0.661072,0.172729,0.705505,-0.187927,-35.2,47.9833,-30.0083,-1854,-29524
156,57870,-9.77607,-0.368457,-0.531152,-146.338,86.1932,-175.908,0,0,0,0.661072,0.172729,0.705505,-0.187927,-35.1583,47.9833,-30.05,-1854,-29524
162,57876,-9.79043,-0.382813,-0.545508,-146.338,86.1932,-175.908,0,0,0,0.661072,0.172729,0.705505,-0.187927,-35.125,47.9917,-30.075,-1854,-29524
168,57882,-9.77607,-0.339746,-0.512012,-146.338,86.1932,-175.908,0,0,0,0.661072,0.172729,0.705505,-0.187927,-35.1167,48,-30.0917,-1854,-29524
174,57888,-9.77607,-0.382813,-0.535937,-146.332,86.1932,-175.908,0,0,0,0.661072,0.172729,0.705505,-0.187927,-35.1083,48,-30.1,-1854,-29524
180,57894,-9.78086,-0.363672,-0.526367,-146.332,86.1932,-175.908,0,0,0,0.661072,0.17276,0.705475,-0.187958,-35.1333,47.9917,-30.0833,-1854,-29524
186,57900,-9.75693,-0.368457,-0.526367,-146.332,86.1932,-175.908,0,0,0,0.661072,0.17276,0.705475,-0.187958,-35.1333,47.9917,-30.0917,-1854,-29524
192,57906,-9.77129,-0.349316,-0.545508,-146.332,86.1932,-175.908,0,0,0,0.661072,0.17276,0.705475,-0.187958,-35.1417,48.0083,-30.1417,-1854,-29524
198,57912,-9.8,-0.363672,-0.497656,-146.327,86.1932,-175.908,0,0,0,0.661072,0.17276,0.705475,-0.187958,-35.15,48.0333,-30.175,-1854,-29524
204,57918,-9.80957,-0.368457,-0.521582,-146.327,86.1932,-175.908,0,0,0,0.661072,0.172791,0.705475,-0.187958,-35.175,48.0417,-30.2167,-1854,-29524
210,57924,-9.79521,-0.358887,-0.550293,-146.327,86.1932,-175.908,0,0,0,0.661041,0.172791,0.705475,-0.187988,-35.2333,48.05,-30.25,-1854,-29524
216,57930,-9.80479,-0.368457,-0.555078,-146.327,86.1932,-175.908,0,0,0,0.661041,0.172821,0.705475,-0.187988,-35.2333,48.0167,-30.2167,-1854,-29524
