TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,159178,9.8,-0.133984,0.483301,-14.5789,-87.1381,-106.254,0,0,0,0.361237,-0.602051,-0.336639,-0.62738,-111.733,46.0167,-27.4667,-2145,-29489
6,159184,9.8,-0.114844,0.492871,-14.5789,-87.1381,-106.254,0,0,0,0.361237,-0.602051,-0.336639,-0.62738,-111.733,46.0333,-27.475,-2145,-29489
12,159190,9.79521,-0.124414,0.468945,-14.5789,-87.1381,-106.254,0,0,0,0.361237,-0.602051,-0.336639,-0.62738,-111.717,46.0417,-27.4917,-2145,-29489
18,159196,9.81436,-0.124414,0.478516,-14.5789,-87.1381,-106.254,0,0,0,0.361237,-0.602051,-0.336639,-0.62738,-111.675,46.05,-27.5583,-2145,-29489
24,159202,9.78564,-0.129199,0.46416,-14.5844,-87.1381,-106.254,0,0,0,0.361237,-0.602051,-0.336639,-0.62738,-111.625,46.05,-27.6083,-2145,-29489
30,159208,9.81436,-0.119629,0.44502,-14.5844,-87.1381,-106.254,0,0,0,0.361206,-0.602051,-0.336609,-0.62738,-111.583,46.05,-27.7083,-2145,-29489
36,159214,9.8,-0.110059,0.468945,-14.5844,-87.1381,-106.254,0,0,0,0.361206,-0.602051,-0.336609,-0.62738,-111.583,46.0333,-27.7333,-2145,-29489
42,159220,9.80957,-0.143555,0.459375,-14.5844,-87.1381,-106.254,0,0,0,0.361206,-0.602081,-0.336609,-0.62738,-111.592,46.0333,-27.7417,-2145,-29489
48,159226,9.78564,-0.14834,0.468945,-14.5898,-87.1381,-106.254,0,0,0,0.361206,-0.602081,-0.336609,-0.62738,-111.625,46.0333,-27.7583,-2145,-29489
54,159232,9.8,-0.100488,0.468945,-14.5898,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.633,46.0417,-27.7417,-2145,-29489
60,159238,9.82393,-0.114844,0.468945,-14.5898,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.65,46.075,-27.6583,-2145,-29489
66,159244,9.79521,-0.129199,0.483301,-14.5898,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.642,46.0667,-27.5833,-2145,-29489
72,159250,9.79043,-0.110059,0.46416,-14.5953,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.633,46.05,-27.5167,-2145,-29489
78,159256,9.8,-0.114844,0.459375,-14.5953,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.633,46.025,-27.5,-2145,-29489
84,159262,9.80479,-0.114844,0.492871,-14.5953,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.642,46.0083,-27.5167,-2145,-29489
90,159268,9.79521,-0.100488,0.478516,-14.5953,-87.1381,-106.254,0,0,0,0.361145,-0.602112,-0.336548,-0.627411,-111.642,45.9583,-27.5167,-2145,-29489
96,159274,9.78564,-0.119629,0.46416,-14.5953,-87.1381,-106.254,0,0,0,0.361145,-0.602081,-0.336548,-0.627411,-111.65,45.95,-27.4833,-2145,-29489
102,159280,9.8,-0.114844,0.483301,-14.5953,-87.1381,-106.254,0,0,0,0.361145,-0.602081,-0.336548,-0.627411,-111.65,45.95,-27.45,-2145,-29489
108,159286,9.82393,-0.114844,0.468945,-14.5953,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336548,-0.627411,-111.658,45.9833,-27.4167,-2145,-29489
114,159292,9.78564,-0.129199,0.488086,-14.5953,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.658,46.0083,-27.3833,-2145,-29489
120,159298,9.80479,-0.0957031,0.449805,-14.5953,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.708,46.0417,-27.3833,-2137,-29490
126,159304,9.8,-0.119629,0.488086,-14.5898,-87.1381,-106.249,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.733,46.0417,-27.425,-2137,-29490
132,159310,9.79521,-0.133984,0.468945,-14.5898,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.758,46.0167,-27.45,-2137,-29490
138,159316,9.78086,-0.124414,0.492871,-14.5898,-87.1381,-106.254,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.783,46.0083,-27.5083,-2137,-29490
144,159322,9.80479,-0.133984,0.45459,-14.5898,-87.1381,-106.249,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.792,45.975,-27.5333,-2137,-29490
150,159328,9.8,-0.143555,0.488086,-14.5898,-87.1381,-106.249,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.775,45.9,-27.5,-2137,-29490
156,159334,9.80479,-0.124414,0.483301,-14.5898,-87.1381,-106.249,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.767,45.875,-27.475,-2137,-29490
162,159340,9.81914,-0.124414,0.488086,-14.5898,-87.1381,-106.249,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.767,45.8583,-27.4667,-2137,-29490
168,159346,9.79521,-0.110059,0.45459,-14.5898,-87.1381,-106.249,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.758,45.8583,-27.4583,-2137,-29490
174,159352,9.79521,-0.119629,0.459375,-14.5898,-87.1381,-106.249,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.758,45.85,-27.475,-2137,-29490
180,159358,9.81914,-0.124414,0.488086,-14.5953,-87.1381,-106.249,0,0,0,0.361176,-0.602081,-0.336578,-0.627411,-111.733,45.8333,-27.5083,-2137,-29490
