TimeSinceCollection,Timestamp,PlantarValue
0,2921906,6;0;2;6;0;2;0;6;0;1;3;6;0;2;3;6;0;1;2;6;0;1;3;4;7;0;3;2;4;0;6;0;2;3;4;0;0;2;2;4;0;1;2;4;0
16,2921922,6;0;2;7;0;2;3;6;0;2;0;6;0;2;3;6;0;1;3;6;0;2;2;4;6;0;2;3;4;0;6;0;1;3;4;0;0;2;3;4;0;2;2;4;0
32,2921938,7;0;3;6;0;2;3;6;0;2;2;6;0;2;3;6;0;3;2;6;0;2;3;4;6;0;2;3;4;0;6;0;2;4;4;0;0;3;3;4;0;3;3;4;0
48,2921954,6;1;2;6;0;2;3;6;0;2;2;6;0;1;4;6;0;2;3;6;0;1;3;4;6;0;2;3;4;0;6;0;2;2;4;0;0;1;2;4;0;6;2;4;2
64,2921970,7;0;0;6;0;2;3;6;0;2;2;6;0;2;2;6;0;1;3;6;0;1;3;4;6;0;1;3;3;0;6;0;1;3;4;0;0;1;3;4;0;2;3;4;0
80,2921986,6;0;1;6;0;1;3;7;0;2;2;6;0;2;3;6;0;2;2;6;0;1;3;4;6;0;1;2;4;0;6;0;1;2;4;0;0;1;3;4;0;2;2;4;0
96,2922002,6;0;2;6;0;1;2;8;0;2;2;6;0;1;3;6;0;2;3;6;0;0;2;4;6;0;1;3;4;0;6;0;1;6;4;0;0;4;3;4;0;3;2;4;0
112,2922018,6;0;1;6;0;2;3;6;1;1;2;6;0;2;3;6;0;1;2;6;0;1;3;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;1;2;4;0
128,2922034,6;0;1;6;0;2;2;6;0;1;2;6;0;1;2;7;0;1;2;6;0;1;3;4;6;0;1;2;4;0;8;4;2;0;9;0;0;1;3;4;0;1;2;4;0
144,2922050,6;0;2;6;0;2;3;6;0;1;2;6;0;1;3;6;0;2;2;6;0;1;3;1;6;0;1;3;4;0;6;0;1;3;4;0;0;1;3;4;0;1;3;4;0
160,2922066,6;0;2;6;0;2;2;6;0;2;2;6;0;2;2;6;0;2;2;6;0;1;3;4;6;0;2;2;4;0;6;0;2;2;6;0;0;2;3;4;0;2;2;4;0
176,2922082,6;0;2;6;0;4;3;6;3;2;2;6;0;1;3;6;0;2;3;6;0;2;2;4;6;0;2;3;4;0;6;0;3;2;4;0;0;2;3;4;0;1;2;4;0
192,2922098,7;0;3;7;0;4;2;6;0;2;2;6;0;2;2;6;0;2;2;6;0;1;2;4;6;0;1;2;4;0;11;0;2;3;4;0;0;1;1;5;0;2;3;4;0
208,2922114,6;0;2;7;0;2;3;6;0;2;2;6;0;1;2;6;0;1;3;7;0;2;2;5;6;0;1;3;4;0;6;0;3;4;4;0;0;2;2;4;0;2;3;4;0
224,2922130,6;0;2;6;0;2;2;6;0;1;2;6;0;2;3;8;0;1;3;6;0;2;3;4;6;6;2;3;4;0;6;0;2;2;4;0;0;2;3;4;0;2;3;4;0
240,2922146,6;0;2;6;0;1;2;6;0;2;2;6;0;2;2;7;0;2;2;6;0;2;3;4;6;0;2;2;4;3;6;0;2;2;4;0;0;2;3;4;0;3;2;4;0
256,2922162,7;0;2;7;1;3;3;6;0;2;2;6;0;1;2;6;1;3;3;6;0;2;2;4;6;8;1;2;4;0;4;1;2;2;4;0;0;2;0;4;1;1;2;4;0
272,2922178,7;0;2;6;0;2;3;6;0;1;2;6;0;2;3;6;0;1;9;6;0;2;3;4;6;0;1;3;4;0;6;0;2;2;4;0;0;2;3;4;0;1;2;4;0
288,2922194,6;0;1;6;0;1;2;6;0;2;2;6;0;2;2;6;0;2;2;7;0;1;3;4;6;0;1;3;4;0;6;0;2;2;4;0;0;2;3;4;0;2;2;4;0
304,2922210,5;0;2;7;0;2;3;6;0;2;2;6;0;1;2;6;0;3;3;6;0;1;7;4;6;0;1;3;4;0;6;0;2;2;4;0;0;1;0;4;0;2;2;3;0
320,2922226,6;0;2;6;0;2;3;6;0;2;3;7;0;1;2;6;0;1;3;6;0;1;2;4;6;0;1;2;4;0;6;0;4;3;4;0;0;1;3;4;0;1;2;4;0
336,2922242,6;0;3;6;0;2;2;11;1;1;3;6;0;1;3;6;0;1;3;6;0;2;2;4;7;1;2;2;4;0;7;0;1;2;4;0;0;3;3;4;0;2;3;6;0
352,2922258,6;0;2;6;0;2;3;6;0;2;0;6;0;2;2;6;0;1;2;6;0;1;3;4;6;0;1;2;4;0;5;0;1;3;4;0;0;2;2;4;4;1;2;4;0
368,2922274,7;0;1;6;0;2;2;6;0;2;2;6;1;1;2;6;0;1;2;9;0;1;2;4;6;0;2;3;4;0;7;0;3;2;0;0;0;1;3;4;0;2;2;4;0
384,2922290,4;0;3;6;0;2;3;6;0;1;3;6;0;1;3;6;0;0;3;6;1;2;3;4;6;0;2;3;4;0;6;0;3;3;4;0;0;2;3;4;0;1;3;4;0
400,2922306,6;0;2;5;0;1;3;6;0;2;2;6;3;1;2;6;0;2;3;3;0;2;2;4;6;0;1;2;4;0;3;0;1;3;4;0;0;1;2;4;0;2;2;4;0
416,2922322,7;0;2;6;3;1;3;7;0;2;2;6;0;2;0;6;0;2;3;6;0;3;1;4;6;0;1;0;4;0;6;0;2;3;4;0;0;1;2;4;0;2;3;4;0
432,2922338,7;0;1;6;1;1;2;8;0;2;3;7;0;2;1;6;0;1;3;6;0;1;3;4;6;0;1;2;4;0;6;0;1;2;4;0;0;1;2;4;0;2;2;4;0
448,2922354,6;0;3;6;0;1;3;6;0;1;2;7;0;1;3;6;0;2;2;6;0;2;2;4;7;0;2;3;4;0;6;0;2;3;4;0;0;2;3;3;0;0;2;4;0
464,2922370,6;0;2;6;0;1;2;8;0;3;2;6;0;2;3;6;0;2;2;6;0;2;2;4;6;0;2;2;4;0;6;0;1;3;4;0;0;0;2;3;0;1;2;6;0
480,2922386,7;0;1;6;0;2;2;6;0;2;2;7;0;3;2;6;0;1;3;7;0;2;2;4;6;0;1;3;4;0;6;0;2;2;4;0;0;2;1;4;0;2;4;4;0
