TimeSinceCollection,Timestamp,PlantarValue
0,873776,22;0;2;12;0;1;3;12;0;1;2;6;0;1;2;10;0;2;2;7;0;2;3;4;6;0;1;2;4;0;6;1;2;3;4;0;0;2;2;4;0;1;2;4;0
16,873792,23;0;2;12;0;2;3;11;0;2;2;6;0;1;2;10;0;2;2;6;0;1;2;4;6;0;2;2;4;0;7;0;2;3;4;0;0;2;3;4;0;1;2;4;0
32,873808,23;0;2;11;0;1;2;11;0;3;2;6;0;1;2;11;0;2;3;6;0;2;2;4;6;1;2;3;4;0;6;0;2;3;4;0;0;1;2;4;0;1;3;4;0
48,873824,22;0;1;12;0;1;2;11;0;2;2;6;0;2;3;11;1;2;2;6;0;2;3;4;6;0;2;2;4;0;6;0;1;0;4;0;0;2;2;4;0;2;3;4;0
64,873840,22;0;3;12;0;2;3;12;0;2;2;7;0;1;2;11;1;3;2;7;0;1;3;5;6;0;0;2;4;0;8;0;1;2;3;0;1;1;3;4;0;2;2;4;0
80,873856,23;0;2;12;0;2;3;12;0;2;2;7;0;1;3;11;0;1;2;6;0;1;3;4;6;0;2;3;4;0;6;0;1;3;4;0;0;2;3;4;0;2;3;4;0
96,873872,24;0;2;12;0;2;2;10;0;1;2;6;0;2;3;11;0;1;3;7;0;2;3;4;6;0;2;2;4;0;6;0;1;3;4;0;0;2;3;4;3;2;2;0;0
112,873888,23;0;2;12;0;1;3;11;0;0;2;6;0;2;2;11;0;2;2;6;0;1;2;4;6;0;1;2;4;0;7;0;1;2;4;0;0;2;3;4;0;1;3;4;0
128,873904,23;0;2;13;2;1;3;12;0;1;2;6;0;2;3;11;0;2;3;6;0;2;2;4;6;0;2;3;4;0;6;0;2;3;4;0;0;3;2;4;0;2;3;4;0
144,873920,22;8;2;12;0;2;9;11;0;1;3;6;0;2;2;11;0;2;3;7;0;1;3;4;6;0;2;3;4;0;6;0;3;3;4;0;0;1;3;3;0;1;2;4;0
160,873936,23;0;3;12;0;1;3;11;0;1;3;6;1;1;3;10;0;2;2;6;0;2;3;6;7;0;2;2;4;0;6;0;1;3;4;0;0;2;2;4;0;3;3;4;0
176,873952,22;0;2;12;0;2;3;11;0;1;2;7;0;2;3;10;0;2;3;6;0;2;2;4;7;0;2;3;4;0;6;0;1;2;4;0;0;3;2;4;0;2;3;4;0
