TimeSinceCollection,Timestamp,PlantarValue
0,57672,2488;0;1;15;0;1;2;8;0;1;3;6;0;1;4;9;3;1;3;7;0;1;3;4;6;0;3;1;4;0;6;0;2;3;4;0;0;2;2;4;1;2;3;4;0
16,57688,2476;0;1;12;0;2;3;9;0;2;3;6;0;2;3;8;0;2;2;6;0;1;3;4;6;0;1;3;4;0;6;0;1;3;4;0;0;2;2;4;0;2;2;4;0
32,57704,2491;0;2;11;0;2;2;8;0;1;2;6;0;2;2;8;0;2;2;6;0;2;2;4;6;0;2;2;5;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
48,57720,2488;0;2;11;0;1;3;9;0;2;2;6;1;2;2;8;0;2;2;7;0;2;2;4;6;0;2;3;4;0;7;0;1;3;4;0;0;2;3;4;0;2;3;4;0
64,57736,2482;0;1;12;0;1;3;9;0;2;3;6;0;2;2;6;0;1;2;6;0;2;1;4;6;0;1;3;4;0;6;0;2;3;5;0;0;2;2;4;0;2;2;4;0
80,57752,2481;0;2;13;0;1;2;9;0;1;3;7;0;2;3;8;1;2;3;6;0;2;8;4;6;0;2;2;4;0;7;0;1;2;4;0;1;1;3;4;4;2;2;4;0
96,57768,2488;0;2;12;0;2;3;8;1;1;2;6;0;2;3;8;0;2;3;6;0;1;2;4;6;0;3;2;4;0;6;0;1;3;4;0;0;2;2;4;0;2;3;4;0
112,57784,2488;0;2;13;0;1;2;8;0;2;2;6;0;1;3;8;1;1;2;6;0;1;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;1;4;4;0;3;3;4;0
128,57800,2483;0;2;13;0;1;3;8;0;2;3;6;0;1;2;9;0;2;2;7;0;1;3;3;6;0;2;3;4;0;6;0;1;3;4;6;0;2;2;4;0;2;3;4;0
144,57816,2489;0;1;12;0;2;3;8;0;1;2;6;1;2;2;8;0;2;2;6;0;2;2;4;8;0;2;2;4;1;6;0;2;2;4;0;0;2;3;4;0;2;2;4;0
160,57832,2490;0;2;12;0;1;3;8;0;1;3;6;0;2;3;8;0;2;3;7;0;3;2;4;6;0;2;4;4;0;6;0;4;3;4;0;0;2;3;4;0;2;3;4;0
176,57848,2483;0;1;11;0;1;2;8;0;2;3;9;0;2;2;8;3;2;2;7;0;1;3;4;6;0;1;3;4;0;6;0;1;3;4;0;0;2;2;4;0;2;3;4;0
192,57864,2481;0;2;11;0;2;3;5;0;4;2;7;0;1;3;8;0;2;3;6;0;2;3;4;6;0;2;3;4;0;6;0;1;2;4;0;0;2;3;4;0;2;2;4;0
208,57880,2488;0;3;13;0;1;3;8;0;1;4;6;0;3;3;8;0;1;2;8;0;2;2;4;6;0;3;3;4;0;7;0;2;2;4;0;0;2;1;4;0;2;3;4;0
224,57896,2481;0;2;12;0;2;3;9;0;3;3;7;0;2;2;8;0;2;1;6;0;2;2;4;6;0;2;3;4;0;6;0;1;2;0;0;0;2;3;4;0;1;2;4;0
240,57912,2489;0;2;14;0;2;2;8;0;2;3;6;0;2;2;9;0;2;3;6;0;1;2;4;6;0;1;3;4;0;6;0;1;3;4;0;0;2;3;4;0;1;2;4;0
256,57928,2484;0;3;14;0;2;3;8;0;2;3;6;0;1;8;8;0;1;3;6;0;2;2;4;6;0;1;3;3;0;6;0;2;3;4;0;0;2;3;4;0;1;2;4;0
272,57944,2487;0;1;12;1;2;2;8;0;1;3;6;0;1;3;8;0;1;2;6;0;1;3;4;6;0;2;3;4;0;5;0;2;3;4;1;0;1;3;4;0;1;2;8;0
288,57960,2478;0;2;12;0;1;3;8;0;1;2;6;0;1;2;8;1;0;3;8;0;1;2;4;6;0;3;3;5;0;7;0;1;3;4;0;1;2;0;4;0;2;2;4;0
304,57976,2483;0;2;13;0;2;2;9;0;2;2;7;0;2;2;8;0;2;3;7;0;2;2;4;7;0;2;3;4;0;6;0;1;3;4;0;0;1;3;4;0;2;2;12;0
320,57992,2482;0;0;12;0;2;2;8;0;2;3;6;0;2;2;8;0;2;3;7;0;2;2;4;6;1;2;2;4;0;6;0;3;2;4;0;0;2;2;4;0;2;2;3;0
336,58008,2491;0;1;12;0;1;2;8;0;2;3;6;0;4;2;8;0;2;3;6;0;1;3;4;6;0;1;2;4;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
352,58024,2486;0;2;14;0;2;3;8;0;2;3;6;0;2;3;9;0;2;2;6;0;2;3;4;6;0;2;2;4;0;6;0;3;3;4;0;0;2;3;4;0;2;2;3;0
368,58040,2488;0;1;12;0;1;2;8;0;3;2;6;0;2;2;8;0;2;2;6;0;2;3;4;7;0;1;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;0
384,58056,2490;0;2;13;0;1;3;8;0;2;2;7;0;1;2;8;3;4;3;6;0;2;3;4;8;0;1;2;4;0;6;0;2;2;4;0;0;2;3;5;0;2;3;4;0
400,58072,2488;1;2;13;0;2;2;8;0;2;3;7;0;3;2;8;0;2;2;8;0;2;0;4;7;0;1;3;4;0;6;0;2;3;4;0;0;2;3;4;0;2;2;4;0
416,58088,2487;0;1;13;0;2;1;12;0;3;2;7;0;2;3;8;0;2;2;7;0;2;2;4;6;0;2;2;4;0;6;0;3;2;4;0;0;2;3;4;0;2;3;4;1
432,58104,2487;0;2;11;1;2;3;8;0;1;2;6;0;2;3;8;0;4;4;7;0;6;2;4;7;0;1;2;4;0;6;0;1;3;4;0;0;2;2;3;0;1;3;4;0
448,58120,2490;0;2;13;0;1;6;8;0;2;3;6;0;2;1;8;0;1;2;6;0;2;3;4;6;0;2;2;4;0;6;0;3;3;4;0;0;2;3;4;0;1;3;4;0
464,58136,2479;0;2;13;0;2;3;9;0;2;4;6;0;1;3;8;2;1;3;6;0;1;3;4;7;0;2;2;4;0;6;0;1;2;4;0;0;2;3;4;0;1;3;7;0
480,58152,2487;0;3;15;0;1;3;8;0;2;2;6;0;2;3;9;1;2;2;7;0;3;1;4;6;0;3;3;4;0;6;0;2;2;4;0;0;2;3;4;0;2;3;4;0
496,58168,2490;0;2;11;0;2;2;8;0;1;3;6;0;2;3;8;0;2;3;6;0;1;3;4;6;0;1;3;4;0;7;0;1;3;4;0;0;2;2;4;0;2;2;4;0
512,58184,2489;0;2;12;0;1;3;8;1;2;3;6;0;2;2;11;0;1;2;8;0;3;3;4;6;0;1;3;4;0;6;0;2;3;4;0;0;2;3;4;0;2;3;4;0
528,58200,2486;0;1;12;0;2;2;8;0;2;2;6;0;2;3;8;0;2;3;7;0;2;2;4;7;0;1;2;4;0;6;0;2;2;4;0;0;2;2;4;0;2;9;4;0
544,58216,2487;0;2;12;0;2;2;9;0;2;3;6;0;1;2;8;0;1;2;7;0;2;4;4;7;0;2;3;4;0;6;0;2;3;4;0;0;1;2;4;0;1;2;4;0
560,58232,2488;0;2;14;0;2;1;8;0;1;3;6;0;1;2;8;0;2;3;6;0;1;3;8;6;0;2;2;4;0;6;0;2;2;4;0;0;2;3;4;0;2;2;4;0
576,58248,2489;0;2;12;0;1;3;8;0;2;3;6;0;1;2;8;0;1;2;6;0;3;3;4;6;0;1;3;4;0;6;0;1;3;4;0;0;2;3;4;0;1;2;4;0
592,58264,2487;0;1;12;0;2;2;9;0;2;2;6;0;2;3;8;0;2;3;7;0;2;3;4;6;0;2;2;4;0;6;0;2;3;4;0;0;6;3;4;0;2;2;4;0
608,58280,2489;0;2;13;0;2;3;8;0;2;2;6;0;2;3;8;0;2;2;7;0;1;3;4;6;0;0;3;4;0;6;0;2;3;4;0;0;2;3;4;0;1;3;4;0
624,58296,2490;0;2;12;0;1;3;8;0;2;2;7;0;1;2;8;0;1;4;6;0;2;3;4;6;0;3;3;4;0;6;0;1;2;4;0;0;2;2;4;0;1;2;4;0
640,58312,2486;0;2;14;0;2;2;8;0;3;2;6;0;1;2;10;0;1;3;7;0;1;2;4;5;0;1;2;4;0;6;0;2;3;4;0;0;1;2;4;4;2;2;4;0
656,58328,2484;0;2;10;0;1;3;8;1;2;3;6;0;1;2;8;0;2;2;6;0;2;2;4;6;0;2;3;4;0;6;0;2;3;4;0;0;1;3;4;0;2;3;4;0
672,58344,2489;0;2;12;3;1;2;8;0;1;3;6;0;2;2;8;0;2;3;6;0;1;2;4;6;0;1;3;5;0;6;0;2;2;4;0;0;1;2;4;0;1;2;4;0
688,58360,2488;0;1;13;0;1;2;8;0;1;3;6;0;1;2;8;0;1;2;7;0;1;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;3;4;0;2;3;4;0
704,58376,2481;0;2;12;0;2;1;9;1;1;3;7;0;1;2;8;0;2;3;6;0;2;2;4;6;0;1;3;4;0;6;0;2;2;4;0;0;1;3;4;0;2;3;4;0
