TimeSinceCollection,Timestamp,PlantarValue
0,159136,2021;0;1;12;0;1;3;9;0;2;2;6;0;1;2;8;0;2;3;6;1;1;2;4;6;0;2;3;4;0;6;1;1;3;4;0;0;2;2;4;0;2;2;4;1
16,159152,2022;0;3;12;0;2;3;7;0;2;3;6;0;2;2;8;0;1;3;6;0;2;3;4;5;0;1;6;4;0;6;0;1;2;4;0;1;1;2;4;0;2;2;4;0
32,159168,2021;0;2;11;0;1;2;8;0;1;2;7;0;3;3;9;0;3;2;6;0;2;3;4;6;0;1;2;4;0;6;0;1;6;4;0;0;2;3;4;0;1;1;4;0
48,159184,2023;0;1;12;0;1;3;8;0;1;2;6;0;2;3;8;0;2;2;6;0;2;3;4;6;0;2;2;4;0;7;0;3;2;4;0;0;1;2;4;0;3;3;4;0
64,159200,2022;0;2;14;0;1;2;8;0;1;2;6;0;1;3;8;0;2;2;6;0;2;2;4;6;0;2;4;4;0;6;0;1;2;4;0;0;1;3;4;0;2;2;4;0
80,159216,2018;0;2;13;0;2;2;9;0;2;2;7;0;1;2;8;0;2;3;6;0;2;2;4;6;0;2;2;4;0;6;0;1;2;4;0;0;1;2;4;0;2;1;4;0
96,159232,2023;0;1;14;0;1;2;8;0;2;3;6;0;1;2;8;0;3;2;6;0;2;2;4;6;0;2;3;4;0;7;0;1;3;4;0;0;2;3;4;0;1;2;4;0
112,159248,2021;0;2;12;0;1;2;8;0;2;3;6;0;1;0;9;0;2;3;6;0;2;2;4;6;0;2;2;4;0;6;0;2;2;4;0;2;2;2;4;0;2;2;4;0
128,159264,2022;0;2;10;0;2;3;8;0;1;2;7;0;1;2;8;0;2;3;7;0;1;2;4;7;0;0;2;4;0;6;0;2;4;4;0;0;2;3;4;0;2;3;4;0
144,159280,2022;0;2;12;0;2;2;8;0;1;3;6;0;1;3;8;0;1;3;6;0;1;2;4;6;0;2;2;4;0;7;0;2;2;4;0;0;1;2;4;0;2;2;4;0
160,159296,2021;0;1;12;0;1;2;9;0;2;3;8;0;1;3;8;0;1;3;6;0;1;2;4;6;0;3;3;4;0;6;0;1;2;4;0;0;1;3;4;0;2;3;3;0
176,159312,2022;0;1;10;0;2;3;8;0;2;3;6;0;1;2;8;0;1;3;6;0;1;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;3;3;4;0;2;3;4;0
192,159328,2023;0;2;13;0;1;3;8;0;2;2;6;0;1;3;8;0;1;3;7;0;1;2;4;6;0;2;2;4;0;8;0;1;0;4;1;0;1;3;4;0;2;3;4;0
208,159344,2021;0;1;12;0;2;2;10;0;1;2;6;0;2;2;8;0;2;2;6;0;1;2;4;10;0;1;2;4;0;6;0;2;3;4;0;0;2;2;4;0;1;2;4;0
224,159360,2023;0;1;12;0;4;2;8;0;1;3;6;0;1;2;8;0;2;3;6;0;2;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
240,159376,2023;0;2;12;0;1;2;8;0;1;3;6;0;2;2;8;0;2;2;7;0;1;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;1;2;4;0;2;4;4;0
256,159392,2019;0;3;10;4;1;2;8;0;1;3;6;4;2;2;8;0;1;2;6;0;1;4;4;7;0;2;3;4;0;6;0;2;2;4;0;0;3;3;4;0;1;2;4;0
272,159408,2021;1;2;11;0;1;3;9;0;1;2;6;0;2;2;8;0;2;2;6;0;2;2;4;7;0;2;2;4;0;6;0;7;3;4;0;0;2;2;4;0;2;2;4;0
288,159424,2021;0;1;12;0;2;2;8;0;2;2;6;0;1;3;10;0;1;3;7;0;1;3;4;7;0;1;2;4;0;6;2;1;3;4;0;0;2;2;4;0;2;2;4;0
304,159440,2023;0;2;13;0;2;3;8;0;1;3;6;0;2;2;8;0;1;2;7;0;2;2;4;7;0;2;3;4;0;7;0;3;2;4;0;0;1;2;4;0;1;2;4;0
320,159456,2022;0;2;12;0;2;3;9;0;1;2;6;0;1;3;8;0;2;3;6;0;2;2;4;6;0;2;2;4;0;6;0;1;3;4;0;0;1;2;4;0;2;2;4;0
336,159472,2021;0;1;16;0;1;3;8;0;1;3;6;0;2;1;8;0;2;3;6;0;2;2;4;7;0;2;0;4;0;6;0;2;3;4;0;0;2;2;4;0;2;2;4;0
352,159488,2018;0;2;16;0;2;3;8;0;1;3;6;0;2;2;9;0;1;2;7;0;1;2;4;6;0;2;3;3;0;6;0;2;3;4;0;1;1;3;4;0;1;2;6;1
368,159504,2023;0;2;12;0;1;2;8;0;1;3;6;0;1;3;8;0;2;3;6;0;2;2;4;6;0;2;2;4;0;6;0;2;3;4;0;0;2;2;4;0;1;2;4;0
384,159520,2022;0;1;16;0;1;1;8;0;2;2;6;0;1;2;9;1;2;2;7;0;1;2;4;6;0;2;3;4;0;6;0;2;3;4;0;0;1;2;4;0;1;3;4;0
400,159536,2018;0;2;12;0;2;3;9;0;1;2;6;0;1;3;8;0;1;2;6;0;2;2;4;6;0;2;3;3;0;6;0;2;3;4;0;0;2;3;4;0;3;2;4;2
416,159552,2021;0;2;10;0;1;2;8;0;2;3;6;0;1;2;8;0;2;3;6;0;1;3;4;7;0;2;2;4;0;6;0;1;4;4;0;0;2;3;4;0;1;3;4;0
432,159568,2023;0;1;12;0;1;2;8;0;2;2;6;0;2;2;8;0;2;2;6;0;1;2;4;6;0;2;3;4;0;6;0;2;3;4;0;0;1;3;4;0;1;2;4;0
448,159584,2023;0;2;8;0;1;2;8;0;2;3;6;0;2;2;8;0;2;3;6;0;2;3;4;6;0;2;2;4;0;7;0;1;3;4;0;0;1;3;4;0;1;3;4;0
464,159600,2018;0;2;13;0;2;2;8;4;1;2;6;0;2;2;8;0;2;3;7;0;1;2;4;6;0;2;1;4;1;6;0;2;2;4;0;0;2;3;4;0;1;3;4;0
480,159616,2023;0;2;12;0;1;3;8;0;1;2;6;0;2;2;8;1;2;2;5;0;2;3;4;6;0;3;2;4;0;7;0;1;2;4;0;0;2;3;4;0;1;2;4;0
496,159632,2021;0;2;9;0;2;3;6;1;2;2;6;0;1;2;8;0;1;3;6;0;3;3;4;6;1;2;3;4;0;6;0;2;2;4;0;0;1;4;4;0;2;2;4;0
512,159648,2018;0;2;12;0;2;2;9;0;1;3;6;0;2;3;8;0;2;3;7;0;3;2;3;6;0;2;3;4;0;6;0;1;1;3;0;0;2;3;4;0;1;3;4;0
528,159664,2023;0;3;12;0;1;3;8;0;2;2;6;0;1;2;8;0;4;2;6;0;2;3;4;6;0;2;2;4;0;6;0;1;3;4;0;0;1;2;4;0;1;2;4;0
544,159680,2020;0;2;12;0;1;2;8;0;1;2;6;0;2;3;9;0;2;3;6;0;2;2;4;6;0;1;2;4;0;6;0;3;3;4;0;0;2;2;4;0;1;2;4;0
560,159696,2020;0;1;12;0;1;3;9;0;2;2;6;0;2;2;9;0;2;3;6;0;1;2;4;6;0;1;3;4;0;6;0;1;10;4;0;0;2;3;4;0;1;2;3;0
576,159712,2023;0;3;10;0;1;2;8;1;1;2;6;0;3;2;9;0;1;2;6;0;2;2;4;6;0;1;3;4;0;6;0;3;2;4;0;0;1;2;4;0;2;3;4;0
592,159728,2024;0;3;13;0;2;3;8;0;3;2;6;0;2;3;8;0;1;2;6;0;2;2;4;6;0;1;3;4;0;6;0;1;2;4;0;0;2;2;4;0;1;2;4;0
