TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,37962,0,0,0,131.572,86.9293,54.3549,-9.80957,0.397168,-0.354102,0.551361,0.45993,0.553314,-0.422119,-26.125,6.675,-25.8917,-6986,-28905
6,37968,0,0,0,131.572,86.9293,54.3549,-9.79521,0.382813,-0.29668,0.551361,0.45993,0.553314,-0.422119,-26.1,6.65,-25.9667,-6986,-28905
12,37974,0,0,0,131.567,86.9293,54.3549,-9.79521,0.358887,-0.349316,0.551361,0.45993,0.553314,-0.422119,-26.0833,6.63333,-26.05,-6986,-28905
18,37980,0,0,0,131.572,86.9293,54.3549,-9.77129,0.397168,-0.363672,0.551361,0.45993,0.553314,-0.422119,-26.075,6.58333,-26.1333,-6986,-28905
24,37986,0,0,0,131.567,86.9293,54.3549,-9.78564,0.416309,-0.349316,0.551361,0.45993,0.553314,-0.422119,-26.0833,6.56667,-26.15,-6986,-28905
30,37992,0,0,0,131.572,86.9293,54.3549,-9.8,0.411523,-0.378027,0.551361,0.45993,0.553314,-0.422119,-26.1083,6.59167,-26.1667,-6978,-28906
36,37998,0,0,0,131.567,86.9293,54.3549,-9.79521,0.397168,-0.344531,0.551361,0.45993,0.553314,-0.422119,-26.1417,6.6,-26.1333,-6978,-28906
42,38004,0,0,0,131.567,86.9293,54.3549,-9.81436,0.378027,-0.344531,0.551361,0.45993,0.553314,-0.422119,-26.1667,6.60833,-26.1167,-6978,-28906
48,38010,0,0,0,131.572,86.9293,54.3549,-9.81436,0.382813,-0.330176,0.551361,0.45993,0.553314,-0.422119,-26.2083,6.64167,-26.0417,-6978,-28906
54,38016,0,0,0,131.572,86.9293,54.3549,-9.8,0.387598,-0.363672,0.551361,0.45993,0.553314,-0.422119,-26.2333,6.65833,-26.05,-6978,-28906
60,38022,0,0,0,131.572,86.9293,54.3549,-9.81436,0.378027,-0.344531,0.551361,0.459961,0.553314,-0.422119,-26.2583,6.675,-26.0833,-6978,-28906
66,38028,0,0,0,131.572,86.9293,54.3549,-9.79521,0.392383,-0.358887,0.551361,0.459961,0.553314,-0.422119,-26.2833,6.69167,-26.0667,-6978,-28906
72,38034,0,0,0,131.572,86.9293,54.3549,-9.81914,0.392383,-0.354102,0.551331,0.459961,0.553314,-0.422119,-26.3,6.68333,-26.0417,-6978,-28906
78,38040,0,0,0,131.572,86.9293,54.3549,-9.79043,0.397168,-0.334961,0.551331,0.459961,0.553314,-0.42215,-26.325,6.68333,-25.9583,-6978,-28906
84,38046,0,0,0,131.572,86.9293,54.3549,-9.76172,0.401953,-0.330176,0.551331,0.459961,0.553284,-0.42215,-26.3417,6.69167,-25.9167,-6978,-28906
90,38052,0,0,0,131.572,86.9293,54.3549,-9.7665,0.397168,-0.354102,0.551331,0.459961,0.553284,-0.42215,-26.3583,6.69167,-25.925,-6978,-28906
96,38058,0,0,0,131.572,86.9293,54.3549,-9.79043,0.368457,-0.354102,0.551331,0.459961,0.553284,-0.42215,-26.35,6.70833,-25.925,-6978,-28906
102,38064,0,0,0,131.578,86.9293,54.3549,-9.80479,0.382813,-0.330176,0.551331,0.459961,0.553284,-0.42215,-26.3417,6.71667,-25.9083,-6978,-28906
108,38070,0,0,0,131.578,86.9293,54.3549,-9.79043,0.392383,-0.344531,0.551331,0.459991,0.553284,-0.42215,-26.3,6.71667,-25.8583,-6978,-28906
114,38076,0,0,0,131.578,86.9293,54.3549,-9.79521,0.397168,-0.354102,0.551331,0.459991,0.553284,-0.42215,-26.275,6.71667,-25.825,-6978,-28906
120,38082,0,0,0,131.578,86.9293,54.3549,-9.80479,0.392383,-0.330176,0.551331,0.459991,0.553284,-0.42215,-26.25,6.70833,-25.7917,-6978,-28906
126,38088,0,0,0,131.578,86.9293,54.3549,-9.79043,0.378027,-0.382813,0.551331,0.459991,0.553284,-0.42215,-26.2333,6.68333,-25.7417,-6978,-28906
132,38094,0,0,0,131.578,86.9293,54.3549,-9.79521,0.368457,-0.31582,0.551331,0.459991,0.553284,-0.42215,-26.2083,6.65,-25.7083,-6978,-28906
138,38100,0,0,0,131.578,86.9293,54.3549,-9.82871,0.387598,-0.368457,0.551331,0.459991,0.553284,-0.42215,-26.2,6.6,-25.6417,-6978,-28906
144,38106,0,0,0,131.578,86.9293,54.3549,-9.78086,0.411523,-0.354102,0.551331,0.459991,0.553284,-0.42215,-26.1917,6.58333,-25.65,-6978,-28906
150,38112,0,0,0,131.578,86.9293,54.3549,-9.79521,0.368457,-0.354102,0.5513,0.459991,0.553284,-0.42215,-26.2,6.56667,-25.65,-6978,-28906
156,38118,0,0,0,131.583,86.9293,54.3549,-9.79521,0.363672,-0.334961,0.5513,0.459991,0.553284,-0.42218,-26.1833,6.55833,-25.6667,-6978,-28906
162,38124,0,0,0,131.583,86.9293,54.3549,-9.78564,0.397168,-0.349316,0.5513,0.459991,0.553284,-0.42218,-26.1833,6.55833,-25.6917,-6978,-28906
168,38130,0,0,0,131.583,86.9293,54.3549,-9.78564,0.387598,-0.339746,0.5513,0.459991,0.553253,-0.42218,-26.1833,6.55833,-25.7583,-6978,-28906
174,38136,0,0,0,131.583,86.9293,54.3549,-9.80957,0.382813,-0.358887,0.5513,0.460022,0.553253,-0.42218,-26.2083,6.55833,-25.7917,-6978,-28906
