TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,61758,0,0,0,-124.42,-89.1156,-172.853,9.81436,-0.129199,-0.0669922,0.598785,0.365753,-0.608704,0.370209,-115.642,44.9167,-30.6167,-7094,-28892
6,61764,0,0,0,-124.42,-89.1156,-172.848,9.81914,-0.13877,-0.0574219,0.598785,0.365753,-0.608673,0.370209,-115.625,44.875,-30.6,-7094,-28892
12,61770,0,0,0,-124.409,-89.1211,-172.848,9.8335,-0.124414,-0.0669922,0.598785,0.365784,-0.608673,0.370239,-115.6,44.8583,-30.5833,-7094,-28892
18,61776,0,0,0,-124.409,-89.1211,-172.848,9.82871,-0.105273,-0.090918,0.598755,0.365814,-0.608643,0.37027,-115.6,44.8667,-30.5917,-7094,-28892
24,61782,0,0,0,-124.409,-89.1211,-172.848,9.81436,-0.13877,-0.129199,0.598755,0.365814,-0.608643,0.37027,-115.592,44.8917,-30.6083,-7094,-28892
30,61788,0,0,0,-124.409,-89.1211,-172.853,9.81914,-0.129199,-0.0765625,0.598755,0.365814,-0.608643,0.37027,-115.575,44.9083,-30.6417,-7094,-28892
36,61794,0,0,0,-124.404,-89.1211,-172.848,9.83828,-0.124414,-0.110059,0.598755,0.365814,-0.608643,0.37027,-115.558,44.9167,-30.6667,-7094,-28892
42,61800,0,0,0,-124.409,-89.1211,-172.853,9.80957,-0.124414,-0.090918,0.598755,0.365814,-0.608643,0.37027,-115.575,44.9167,-30.6833,-7094,-28892
48,61806,0,0,0,-124.409,-89.1211,-172.853,9.81914,-0.13877,-0.090918,0.598755,0.365814,-0.608643,0.370239,-115.6,44.9083,-30.6583,-7094,-28892
54,61812,0,0,0,-124.409,-89.1211,-172.853,9.8,-0.13877,-0.0765625,0.598785,0.365784,-0.608673,0.370239,-115.633,44.9167,-30.6083,-7094,-28892
60,61818,0,0,0,-124.415,-89.1211,-172.853,9.82393,-0.133984,-0.0813477,0.598785,0.365784,-0.608673,0.370239,-115.658,44.9167,-30.575,-7094,-28892
66,61824,0,0,0,-124.415,-89.1211,-172.853,9.8,-0.0957031,-0.0717773,0.598785,0.365784,-0.608673,0.370239,-115.65,44.9083,-30.5417,-7094,-28892
72,61830,0,0,0,-124.415,-89.1211,-172.853,9.81914,-0.110059,-0.0669922,0.598785,0.365784,-0.608673,0.370209,-115.633,44.9167,-30.4917,-7094,-28892
78,61836,0,0,0,-124.415,-89.1211,-172.848,9.80957,-0.0957031,-0.0861328,0.598785,0.365784,-0.608673,0.370209,-115.633,44.9167,-30.4917,-7094,-28892
84,61842,0,0,0,-124.415,-89.1211,-172.853,9.80957,-0.124414,-0.129199,0.598785,0.365753,-0.608673,0.370209,-115.642,44.925,-30.45,-7094,-28892
90,61848,0,0,0,-124.42,-89.1211,-172.853,9.79521,-0.124414,-0.0813477,0.598816,0.365753,-0.608704,0.370178,-115.658,44.9167,-30.4333,-7094,-28892
96,61854,0,0,0,-124.426,-89.1211,-172.853,9.82393,-0.129199,-0.0861328,0.598816,0.365723,-0.608704,0.370178,-115.658,44.9083,-30.4,-7094,-28892
102,61860,0,0,0,-124.431,-89.1211,-172.853,9.81914,-0.124414,-0.0813477,0.598846,0.365692,-0.608734,0.370148,-115.642,44.8833,-30.425,-7094,-28892
108,61866,0,0,0,-124.437,-89.1211,-172.853,9.80479,-0.129199,-0.0861328,0.598846,0.365662,-0.608734,0.370117,-115.625,44.8667,-30.4583,-7094,-28892
