TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,16266,0,0,0,-128.705,-89.2035,7.80029,9.80957,-0.100488,-0.090918,0.350494,-0.619629,-0.346863,-0.610565,-115.842,44.7083,-30.75,-7838,-28802
6,16272,0,0,0,-128.705,-89.2035,7.80029,9.78086,-0.119629,-0.100488,0.350494,-0.619629,-0.346863,-0.610565,-115.875,44.725,-30.7,-7838,-28802
12,16278,0,0,0,-128.705,-89.2035,7.80029,9.80479,-0.110059,-0.0765625,0.350494,-0.619629,-0.346863,-0.610565,-115.867,44.75,-30.675,-7838,-28802
18,16284,0,0,0,-128.705,-89.2035,7.80029,9.80957,-0.110059,-0.0717773,0.350494,-0.619629,-0.346863,-0.610565,-115.833,44.7667,-30.6833,-7838,-28802
24,16290,0,0,0,-128.705,-89.2035,7.80029,9.79521,-0.114844,-0.119629,0.350494,-0.619629,-0.346863,-0.610565,-115.792,44.7833,-30.675,-7838,-28802
30,16296,0,0,0,-128.705,-89.2035,7.80029,9.79043,-0.0957031,-0.0717773,0.350494,-0.619629,-0.346863,-0.610565,-115.742,44.7917,-30.6583,-7838,-28802
36,16302,0,0,0,-128.705,-89.2035,7.80029,9.81436,-0.0765625,-0.0765625,0.350494,-0.619629,-0.346863,-0.610565,-115.7,44.825,-30.5917,-7838,-28802
42,16308,0,0,0,-128.71,-89.2035,7.80029,9.80957,-0.090918,-0.0957031,0.350464,-0.619629,-0.346863,-0.610565,-115.7,44.85,-30.5917,-7838,-28802
48,16314,0,0,0,-128.71,-89.2035,7.80029,9.81914,-0.114844,-0.090918,0.350464,-0.619659,-0.346832,-0.610565,-115.708,44.85,-30.6167,-7838,-28802
54,16320,0,0,0,-128.71,-89.2035,7.80029,9.81914,-0.100488,-0.0861328,0.350464,-0.619659,-0.346832,-0.610565,-115.708,44.8583,-30.6333,-7838,-28802
60,16326,0,0,0,-128.71,-89.2035,7.80029,9.81914,-0.129199,-0.0861328,0.350464,-0.619659,-0.346832,-0.610565,-115.708,44.8583,-30.6833,-7838,-28802
66,16332,0,0,0,-128.716,-89.2035,7.80029,9.78564,-0.110059,-0.090918,0.350464,-0.619659,-0.346832,-0.610565,-115.683,44.8417,-30.775,-7838,-28802
72,16338,0,0,0,-128.71,-89.2035,7.80029,9.81914,-0.100488,-0.0669922,0.350464,-0.619659,-0.346832,-0.610565,-115.667,44.825,-30.8083,-7838,-28802
78,16344,0,0,0,-128.71,-89.2035,7.80029,9.81436,-0.090918,-0.0717773,0.350464,-0.619659,-0.346832,-0.610565,-115.642,44.8,-30.8083,-7838,-28802
84,16350,0,0,0,-128.71,-89.2035,7.80029,9.79043,-0.105273,-0.0717773,0.350464,-0.619659,-0.346832,-0.610565,-115.65,44.7833,-30.8083,-7838,-28802
90,16356,0,0,0,-128.71,-89.2035,7.80029,9.80957,-0.090918,-0.0717773,0.350464,-0.619659,-0.346832,-0.610565,-115.667,44.775,-30.8,-7838,-28802
96,16362,0,0,0,-128.71,-89.2035,7.80029,9.80479,-0.124414,-0.0861328,0.350464,-0.619659,-0.346832,-0.610565,-115.7,44.75,-30.75,-7838,-28802
102,16368,0,0,0,-128.71,-89.2035,7.80029,9.81436,-0.0957031,-0.0813477,0.350494,-0.619629,-0.346863,-0.610565,-115.708,44.7333,-30.7417,-7838,-28802
108,16374,0,0,0,-128.705,-89.2035,7.80029,9.82393,-0.0957031,-0.0717773,0.350494,-0.619629,-0.346863,-0.610565,-115.708,44.725,-30.7333,-7838,-28802
114,16380,0,0,0,-128.705,-89.2035,7.80029,9.80957,-0.105273,-0.105273,0.350494,-0.619629,-0.346863,-0.610565,-115.725,44.7333,-30.75,-7838,-28802
120,16386,0,0,0,-128.705,-89.2035,7.80029,9.8335,-0.114844,-0.090918,0.350494,-0.619629,-0.346863,-0.610565,-115.75,44.7417,-30.7583,-7838,-28802
126,16392,0,0,0,-128.71,-89.2035,7.80029,9.79521,-0.119629,-0.0861328,0.350464,-0.619659,-0.346863,-0.610565,-115.758,44.7833,-30.7583,-7838,-28802
132,16398,0,0,0,-128.71,-89.2035,7.80029,9.8,-0.0957031,-0.0717773,0.350464,-0.619659,-0.346832,-0.610565,-115.742,44.8167,-30.75,-7838,-28802
138,16404,0,0,0,-128.71,-89.2035,7.80029,9.80479,-0.105273,-0.0669922,0.350464,-0.619659,-0.346832,-0.610565,-115.708,44.8333,-30.7583,-7838,-28802
144,16410,0,0,0,-128.71,-89.2035,7.80029,9.82871,-0.090918,-0.090918,0.350464,-0.619659,-0.346832,-0.610565,-115.683,44.85,-30.7833,-7838,-28802
150,16416,0,0,0,-128.71,-89.2035,7.80029,9.82393,-0.100488,-0.0430664,0.350464,-0.619659,-0.346832,-0.610565,-115.675,44.85,-30.7833,-7838,-28802
156,16422,0,0,0,-128.71,-89.2035,7.80029,9.8,-0.0957031,-0.100488,0.350464,-0.619659,-0.346832,-0.610565,-115.633,44.8333,-30.775,-7838,-28802
162,16428,0,0,0,-128.71,-89.2035,7.80029,9.82393,-0.105273,-0.0717773,0.350464,-0.619659,-0.346832,-0.610565,-115.617,44.8083,-30.7417,-7838,-28802
168,16434,0,0,0,-128.716,-89.2035,7.80029,9.82871,-0.090918,-0.100488,0.350433,-0.619659,-0.346832,-0.610565,-115.592,44.775,-30.75,-7838,-28802
174,16440,0,0,0,-128.716,-89.2035,7.80029,9.80957,-0.133984,-0.0765625,0.350433,-0.619659,-0.346832,-0.610565,-115.592,44.75,-30.7083,-7838,-28802
180,16446,0,0,0,-128.716,-89.2035,7.80029,9.78086,-0.133984,-0.0765625,0.350433,-0.619659,-0.346832,-0.610596,-115.608,44.725,-30.6667,-7838,-28802
186,16452,0,0,0,-128.716,-89.2035,7.80029,9.81436,-0.119629,-0.0813477,0.350464,-0.619659,-0.346832,-0.610565,-115.625,44.7417,-30.625,-7838,-28802
192,16458,0,0,0,-128.71,-89.2035,7.80029,9.81436,-0.0861328,-0.0765625,0.350464,-0.619659,-0.346832,-0.610565,-115.617,44.7667,-30.6333,-7838,-28802
198,16464,0,0,0,-128.71,-89.2035,7.80029,9.84307,-0.129199,-0.0717773,0.350464,-0.619659,-0.346832,-0.610565,-115.617,44.8,-30.6583,-7838,-28802
204,16470,0,0,0,-128.71,-89.2035,7.80029,9.80479,-0.0813477,-0.0765625,0.350464,-0.619629,-0.346863,-0.610565,-115.617,44.8,-30.675,-7838,-28802
210,16476,0,0,0,-128.705,-89.2035,7.80029,9.81436,-0.0957031,-0.0957031,0.350494,-0.619629,-0.346863,-0.610565,-115.617,44.8083,-30.7083,-7838,-28802
216,16482,0,0,0,-128.699,-89.2035,7.80029,9.78086,-0.119629,-0.0861328,0.350525,-0.619629,-0.346893,-0.610535,-115.683,44.775,-30.6333,-7838,-28802
222,16488,0,0,0,-128.699,-89.2035,7.80029,9.78086,-0.119629,-0.0813477,0.350525,-0.619598,-0.346893,-0.610535,-115.717,44.7667,-30.6083,-7838,-28802
228,16494,0,0,0,-128.694,-89.2035,7.80029,9.8,-0.090918,-0.062207,0.350555,-0.619598,-0.346924,-0.610535,-115.733,44.725,-30.5833,-7838,-28802
234,16500,0,0,0,-128.694,-89.2035,7.80029,9.85264,-0.114844,-0.0765625,0.350555,-0.619598,-0.346924,-0.610504,-115.742,44.6917,-30.55,-7838,-28802
240,16506,0,0,0,-128.688,-89.2035,7.80029,9.80479,-0.114844,-0.0957031,0.350586,-0.619568,-0.346954,-0.610504,-115.742,44.6917,-30.575,-7838,-28802
246,16512,0,0,0,-128.683,-89.2035,7.80029,9.76172,-0.110059,-0.090918,0.350616,-0.619568,-0.346985,-0.610474,-115.742,44.7083,-30.6583,-7838,-28802
