TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,8292,0,0,0,177.05,-89.3903,-0.86792,9.79043,0.0239258,-0.119629,0.0235901,0.710419,-0.023468,0.702942,-115.108,44.625,-33.0667,-8011,-28781
6,8298,0,0,0,177.045,-89.3903,-0.86792,9.82871,0.00957031,-0.0813477,0.0236206,0.710419,-0.0234985,0.702942,-115.117,44.625,-33.0833,-8011,-28781
12,8304,0,0,0,177.039,-89.3903,-0.86792,9.80479,0,-0.0957031,0.0236816,0.710388,-0.0235291,0.702942,-115.117,44.625,-33.0917,-8011,-28781
18,8310,0,0,0,177.034,-89.3903,-0.86792,9.81914,0.00957031,-0.114844,0.0237122,0.710388,-0.0235596,0.702942,-115.108,44.6167,-33.1167,-8011,-28781
24,8316,0,0,0,177.034,-89.3903,-0.86792,9.79043,0.00478516,-0.110059,0.0237427,0.710388,-0.0235901,0.702942,-115.092,44.6,-33.15,-8011,-28781
30,8322,0,0,0,177.023,-89.3903,-0.873413,9.8,0.00478516,-0.0957031,0.0237732,0.710388,-0.0236511,0.702911,-115.083,44.5833,-33.1167,-8011,-28781
36,8328,0,0,0,177.023,-89.3903,-0.873413,9.79043,-0.0239258,-0.090918,0.0238037,0.710388,-0.0236816,0.702911,-115.083,44.55,-33.1,-8011,-28781
42,8334,0,0,0,177.023,-89.3903,-0.873413,9.79043,0,-0.0717773,0.0238037,0.710388,-0.0236816,0.702911,-115.083,44.5417,-33.0917,-8011,-28781
48,8340,0,0,0,177.023,-89.3903,-0.873413,9.82871,0.00957031,-0.110059,0.0238037,0.710388,-0.0236816,0.702911,-115.092,44.5417,-33.1,-8011,-28781
54,8346,0,0,0,177.023,-89.3903,-0.873413,9.8,0.0382813,-0.0957031,0.0238342,0.710388,-0.0236816,0.702911,-115.092,44.5333,-33.1167,-8011,-28781
60,8352,0,0,0,177.017,-89.3903,-0.878906,9.81436,0.0143555,-0.0717773,0.0238647,0.710388,-0.0237427,0.702911,-115.1,44.5667,-33.1167,-8011,-28781
66,8358,0,0,0,177.017,-89.3903,-0.878906,9.80957,0.00478516,-0.0957031,0.0238953,0.710388,-0.0237427,0.702911,-115.075,44.5833,-33.1,-8011,-28781
72,8364,0,0,0,177.012,-89.3958,-0.878906,9.8335,0.00478516,-0.090918,0.0239258,0.710388,-0.0237732,0.702911,-115.058,44.6,-33.1167,-8011,-28781
78,8370,0,0,0,177.006,-89.3903,-0.878906,9.79521,0.0191406,-0.090918,0.0239563,0.710388,-0.0238037,0.702911,-115.025,44.625,-33.125,-8011,-28781
84,8376,0,0,0,177.001,-89.3903,-0.884399,9.81436,0,-0.0957031,0.0239868,0.710388,-0.0238342,0.702911,-115,44.6333,-33.125,-8011,-28781
90,8382,0,0,0,176.995,-89.3903,-0.884399,9.79043,-0.00478516,-0.100488,0.0240479,0.710388,-0.0238953,0.702911,-114.983,44.6417,-33.0833,-8011,-28781
96,8388,0,0,0,176.995,-89.3903,-0.884399,9.80957,-0.0143555,-0.119629,0.0240479,0.710388,-0.0238953,0.702911,-114.992,44.625,-33.0167,-8011,-28781
102,8394,0,0,0,176.995,-89.3903,-0.884399,9.80479,0.00478516,-0.114844,0.0240479,0.710388,-0.0238953,0.702911,-115.008,44.6167,-32.9833,-8011,-28781
108,8400,0,0,0,176.995,-89.3903,-0.884399,9.82393,0.00478516,-0.0957031,0.0240479,0.710388,-0.0239258,0.702911,-115.017,44.6167,-32.95,-8011,-28781
114,8406,0,0,0,177.001,-89.3958,-0.889893,9.82871,-0.00957031,-0.0861328,0.0240479,0.710388,-0.0239258,0.702911,-115.033,44.6333,-32.9417,-8011,-28781
120,8412,0,0,0,177.001,-89.3958,-0.889893,9.81436,0.00478516,-0.110059,0.0240479,0.710388,-0.0238953,0.702911,-115.042,44.6333,-32.975,-8011,-28781
126,8418,0,0,0,177.001,-89.3903,-0.889893,9.81914,0.00957031,-0.110059,0.0240479,0.710388,-0.0238953,0.702911,-115.033,44.6333,-32.975,-8011,-28781
132,8424,0,0,0,177.001,-89.3958,-0.889893,9.83828,0.00957031,-0.105273,0.0240479,0.710388,-0.0238953,0.702911,-115.025,44.625,-32.9417,-8011,-28781
138,8430,0,0,0,177.001,-89.3958,-0.889893,9.79521,-0.00478516,-0.0861328,0.0240479,0.710388,-0.0238953,0.702911,-115.017,44.6417,-32.9083,-8011,-28781
