TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,38832,9.78086,-0.119629,-0.401953,-165.635,-87.4677,-68.1372,0,0,0,0.309448,0.642181,-0.330017,0.618713,-111.725,60.7417,-36.125,-7788,-28808
6,38838,9.79521,-0.100488,-0.421094,-165.635,-87.4677,-68.1372,0,0,0,0.309448,0.642181,-0.330017,0.618744,-111.725,60.7417,-36.125,-7788,-28808
12,38844,9.81436,-0.100488,-0.401953,-165.635,-87.4677,-68.1372,0,0,0,0.309448,0.642181,-0.330017,0.618744,-111.717,60.75,-36.125,-7788,-28808
18,38850,9.80957,-0.0957031,-0.392383,-165.635,-87.4677,-68.1372,0,0,0,0.309448,0.642181,-0.330017,0.618744,-111.708,60.775,-36.1083,-7788,-28808
24,38856,9.79521,-0.110059,-0.392383,-165.635,-87.4677,-68.1372,0,0,0,0.309448,0.642181,-0.330017,0.618744,-111.692,60.8333,-36.075,-7788,-28808
30,38862,9.8,-0.110059,-0.401953,-165.635,-87.4677,-68.1372,0,0,0,0.309448,0.642181,-0.330017,0.618744,-111.7,60.875,-36.05,-7788,-28808
36,38868,9.78564,-0.124414,-0.406738,-165.635,-87.4677,-68.1372,0,0,0,0.309418,0.642181,-0.329987,0.618744,-111.725,60.9167,-36.0167,-7788,-28808
42,38874,9.79521,-0.110059,-0.392383,-165.635,-87.4677,-68.1372,0,0,0,0.309418,0.642181,-0.329987,0.618744,-111.725,60.9167,-36,-7788,-28808
48,38880,9.81436,-0.090918,-0.392383,-165.586,-87.4677,-68.1921,-0.12207,-0.12207,0.488281,0.309418,0.642181,-0.329987,0.618744,-111.717,60.9167,-35.975,-7788,-28808
54,38886,9.82393,-0.100488,-0.392383,-165.564,-87.4677,-68.2086,0.0610352,0.12207,0.12207,0.309387,0.642181,-0.329987,0.618744,-111.692,60.8667,-36.0167,-7788,-28808
60,38892,9.79521,-0.114844,-0.421094,-165.569,-87.4677,-68.2031,0,0.0610352,-0.0610352,0.309387,0.642181,-0.329987,0.618744,-111.667,60.8667,-36.0167,-7788,-28808
66,38898,9.79043,-0.110059,-0.416309,-165.575,-87.4677,-68.1921,0.12207,0,-0.0610352,0.309387,0.642181,-0.329987,0.618744,-111.658,60.8583,-36,-7788,-28808
72,38904,9.79521,-0.090918,-0.425879,-165.575,-87.4677,-68.1921,0,0,0,0.309387,0.642181,-0.329987,0.618774,-111.658,60.8667,-35.975,-7788,-28808
78,38910,9.80479,-0.0861328,-0.401953,-165.591,-87.4677,-68.1757,0.0610352,0,0,0.309387,0.642181,-0.329956,0.618774,-111.667,60.8667,-35.975,-7788,-28808
84,38916,9.82393,-0.105273,-0.406738,-165.575,-87.4677,-68.1921,0,-0.183105,0.183105,0.309387,0.642212,-0.329987,0.618774,-111.708,60.9083,-36.0083,-7788,-28808
90,38922,9.81436,-0.119629,-0.430664,-165.602,-87.4677,-68.1647,-0.0610352,0,-0.244141,0.309387,0.642212,-0.329956,0.618774,-111.708,60.925,-36.075,-7788,-28808
96,38928,9.79521,-0.090918,-0.392383,-165.602,-87.4677,-68.1647,-0.0610352,0,0,0.309387,0.642212,-0.329956,0.618774,-111.717,60.9333,-36.1333,-7788,-28808
102,38934,9.80479,-0.114844,-0.387598,-165.624,-87.4677,-68.1427,0.0610352,0,-0.183105,0.309387,0.642212,-0.329956,0.618774,-111.725,60.925,-36.1917,-7788,-28808
108,38940,9.79521,-0.124414,-0.401953,-165.624,-87.4731,-68.1427,-0.12207,0,-0.0610352,0.309387,0.642212,-0.329956,0.618774,-111.742,60.9167,-36.2,-7788,-28808
114,38946,9.79521,-0.105273,-0.411523,-165.624,-87.4731,-68.1427,0.0610352,0.0610352,0,0.309387,0.642212,-0.329926,0.618774,-111.775,60.9167,-36.1917,-7788,-28808
120,38952,9.78564,-0.090918,-0.397168,-165.624,-87.4731,-68.1372,-0.12207,0.0610352,-0.0610352,0.309387,0.642212,-0.329926,0.618774,-111.792,60.9083,-36.1917,-7788,-28808
126,38958,9.81436,-0.105273,-0.416309,-165.619,-87.4731,-68.1427,-0.0610352,0,0.0610352,0.309357,0.642212,-0.329926,0.618774,-111.792,60.8917,-36.2167,-7788,-28808
132,38964,9.78564,-0.114844,-0.411523,-165.619,-87.4731,-68.1427,0,0,0,0.309357,0.642212,-0.329926,0.618774,-111.792,60.875,-36.2833,-7788,-28808
138,38970,9.81436,-0.119629,-0.425879,-165.597,-87.4731,-68.1702,-0.0610352,0,-0.244141,0.309357,0.642212,-0.329926,0.618805,-111.8,60.8667,-36.3333,-7788,-28808
144,38976,9.82393,-0.100488,-0.421094,-165.586,-87.4731,-68.1757,0,0,0.0610352,0.309357,0.642212,-0.329926,0.618805,-111.817,60.875,-36.3167,-7788,-28808
150,38982,9.82393,-0.110059,-0.430664,-165.575,-87.4731,-68.1866,0.12207,0,0.12207,0.309357,0.642212,-0.329926,0.618805,-111.85,60.8917,-36.2833,-7788,-28808
156,38988,9.78564,-0.090918,-0.416309,-165.558,-87.4731,-68.2031,0,0,0.12207,0.309357,0.642212,-0.329926,0.618805,-111.867,60.9,-36.25,-7788,-28808
162,38994,9.8,-0.090918,-0.421094,-165.569,-87.4731,-68.1921,0,-0.12207,-0.0610352,0.309357,0.642212,-0.329926,0.618805,-111.867,60.8833,-36.2333,-7788,-28808
168,39000,9.81914,-0.119629,-0.411523,-165.58,-87.4731,-68.1812,0,0,-0.183105,0.309357,0.642212,-0.329926,0.618805,-111.9,60.8917,-36.2083,-7788,-28808
174,39006,9.8,-0.062207,-0.411523,-165.591,-87.4731,-68.1702,0.0610352,0,-0.12207,0.309357,0.642212,-0.329926,0.618805,-111.917,60.9,-36.2167,-7788,-28808
180,39012,9.79043,-0.100488,-0.406738,-165.597,-87.4731,-68.1647,-0.0610352,-0.0610352,0,0.309357,0.642212,-0.329926,0.618805,-111.925,60.9167,-36.2667,-7788,-28808
186,39018,9.79043,-0.105273,-0.416309,-165.591,-87.4731,-68.1702,0,0,0.0610352,0.309357,0.642212,-0.329926,0.618774,-111.925,60.9333,-36.325,-7788,-28808
192,39024,9.8,-0.0861328,-0.421094,-165.586,-87.4731,-68.1757,0,0.12207,0,0.309357,0.642212,-0.329926,0.618805,-111.892,60.9417,-36.3667,-7788,-28808
198,39030,9.82871,-0.0957031,-0.411523,-165.597,-87.4731,-68.1702,-0.0610352,0.0610352,-0.12207,0.309387,0.642181,-0.329926,0.618774,-111.842,60.9417,-36.4,-7788,-28808
204,39036,9.8,-0.110059,-0.430664,-165.597,-87.4731,-68.1702,0,0,0,0.309387,0.642181,-0.329956,0.618774,-111.833,60.9417,-36.3833,-7788,-28808
210,39042,9.80479,-0.0813477,-0.430664,-165.575,-87.4731,-68.1976,-0.0610352,0.183105,0.183105,0.309387,0.642181,-0.329956,0.618774,-111.833,60.925,-36.3833,-7788,-28808
216,39048,9.80479,-0.133984,-0.416309,-165.564,-87.4731,-68.2031,0.12207,0.0610352,0.0610352,0.309387,0.642181,-0.329956,0.618774,-111.842,60.925,-36.3583,-7788,-28808
222,39054,9.80479,-0.110059,-0.421094,-165.547,-87.4731,-68.2251,-0.183105,0,0.183105,0.309418,0.642151,-0.329987,0.618774,-111.85,60.9083,-36.3083,-7788,-28808
228,39060,9.8335,-0.114844,-0.430664,-165.52,-87.4731,-68.2526,-0.0610352,-0.0610352,0,0.309418,0.642151,-0.329987,0.618774,-111.875,60.8917,-36.35,-7788,-28808
234,39066,9.80479,-0.105273,-0.425879,-165.531,-87.4731,-68.2471,-0.0610352,0,-0.0610352,0.309418,0.642151,-0.329987,0.618774,-111.892,60.9,-36.4083,-7788,-28808
240,39072,9.8,-0.129199,-0.416309,-165.531,-87.4731,-68.2471,0.0610352,0,0,0.309418,0.642151,-0.329987,0.618774,-111.908,60.9,-36.4833,-7788,-28808
246,39078,9.80479,-0.0957031,-0.416309,-165.526,-87.4731,-68.2526,0.0610352,0,0.0610352,0.309418,0.642151,-0.329987,0.618774,-111.933,60.925,-36.5167,-7788,-28808
252,39084,9.82871,-0.114844,-0.411523,-165.52,-87.4731,-68.2581,-0.0610352,0.12207,0,0.309418,0.642151,-0.329987,0.618774,-111.942,60.9333,-36.5083,-7788,-28808
258,39090,9.79521,-0.0957031,-0.416309,-165.504,-87.4731,-68.2745,0,-0.0610352,0.183105,0.309418,0.642151,-0.330017,0.618774,-111.958,60.9583,-36.45,-7788,-28808
264,39096,9.8,-0.090918,-0.401953,-165.504,-87.4731,-68.2745,0,0,0,0.309418,0.642151,-0.330017,0.618774,-111.983,60.9417,-36.4,-7788,-28808
270,39102,9.79521,-0.119629,-0.411523,-165.504,-87.4731,-68.2745,0,0,0,0.309418,0.642151,-0.330017,0.618774,-112.017,60.925,-36.375,-7788,-28808
276,39108,9.77607,-0.0957031,-0.421094,-165.487,-87.4731,-68.291,-0.0610352,-0.0610352,0.183105,0.309418,0.642151,-0.330017,0.618774,-112.05,60.875,-36.3333,-7788,-28808
282,39114,9.8,-0.124414,-0.406738,-165.487,-87.4731,-68.291,-0.0610352,0.12207,-0.0610352,0.309418,0.64212,-0.330017,0.618774,-112.058,60.825,-36.3167,-7788,-28808
288,39120,9.80479,-0.0717773,-0.401953,-165.476,-87.4731,-68.302,0,0.12207,0.0610352,0.309418,0.64212,-0.330017,0.618774,-112.033,60.7833,-36.3417,-7788,-28808
294,39126,9.81914,-0.105273,-0.425879,-165.482,-87.4731,-68.2965,0,-0.183105,0,0.309448,0.64212,-0.330048,0.618774,-112.008,60.775,-36.325,-7788,-28808
300,39132,9.81914,-0.100488,-0.406738,-165.476,-87.4731,-68.3075,0,0,0.0610352,0.309448,0.64212,-0.330048,0.618774,-111.983,60.7833,-36.3,-7788,-28808
306,39138,9.80479,-0.105273,-0.435449,-165.476,-87.4731,-68.3075,-0.0610352,0.0610352,0,0.309448,0.64212,-0.330048,0.618774,-111.967,60.775,-36.25,-7788,-28808
312,39144,9.81436,-0.105273,-0.440234,-165.449,-87.4731,-68.335,0.0610352,0,0.244141,0.309448,0.64212,-0.330048,0.618774,-111.95,60.7333,-36.2167,-7788,-28808
318,39150,9.81914,-0.0765625,-0.425879,-165.454,-87.4731,-68.3295,0,0.12207,0.12207,0.309448,0.64212,-0.330048,0.618774,-111.892,60.6833,-36.2333,-7788,-28808
324,39156,9.79521,-0.100488,-0.401953,-165.443,-87.4731,-68.3459,0.0610352,0,0.12207,0.309479,0.64209,-0.330078,0.618744,-111.858,60.6583,-36.225,-7788,-28808
330,39162,9.8,-0.100488,-0.401953,-165.46,-87.4731,-68.3295,-0.0610352,0,-0.12207,0.309479,0.64209,-0.330078,0.618744,-111.85,60.65,-36.1917,-7788,-28808
336,39168,9.79521,-0.114844,-0.440234,-165.46,-87.4731,-68.3295,0,0,0,0.309479,0.64209,-0.330109,0.618744,-111.85,60.65,-36.1333,-7788,-28808
342,39174,9.80957,-0.129199,-0.416309,-165.476,-87.4731,-68.3185,0.12207,0,-0.12207,0.309509,0.64209,-0.330109,0.618744,-111.842,60.625,-36.0667,-7788,-28808
348,39180,9.79521,-0.100488,-0.430664,-165.421,-87.4731,-68.3734,0.0610352,0,0.183105,0.309509,0.64209,-0.330109,0.618744,-111.842,60.6083,-35.9917,-7788,-28808
354,39186,9.79521,-0.105273,-0.430664,-165.405,-87.4731,-68.3899,0,0.305176,0.0610352,0.309509,0.642059,-0.330139,0.618744,-111.817,60.6,-35.9917,-7788,-28808
360,39192,9.79521,-0.100488,-0.449805,-165.41,-87.4731,-68.3899,0,0,0,0.309509,0.642059,-0.330139,0.618744,-111.808,60.5833,-35.9667,-7788,-28808
366,39198,9.80479,-0.114844,-0.406738,-165.41,-87.4731,-68.3899,0.12207,0,0,0.309509,0.642059,-0.330139,0.618744,-111.792,60.5667,-35.95,-7788,-28808
372,39204,9.81914,-0.105273,-0.406738,-165.405,-87.4731,-68.3899,-0.0610352,0.12207,0,0.309509,0.642059,-0.330139,0.618744,-111.792,60.575,-35.9333,-7788,-28808
378,39210,9.82871,-0.105273,-0.401953,-165.399,-87.4731,-68.4009,0,0,-0.0610352,0.309509,0.642059,-0.330139,0.618744,-111.8,60.6167,-35.925,-7788,-28808
384,39216,9.79521,-0.105273,-0.411523,-165.388,-87.4731,-68.4119,0,0,0.12207,0.30954,0.642059,-0.33017,0.618744,-111.817,60.65,-35.9167,-7788,-28808
390,39222,9.81914,-0.110059,-0.430664,-165.388,-87.4731,-68.4174,0,0.12207,0,0.30954,0.642029,-0.33017,0.618744,-111.808,60.675,-35.9417,-7788,-28808
396,39228,9.80479,-0.129199,-0.406738,-165.388,-87.4786,-68.4119,0,0.12207,-0.0610352,0.30954,0.642029,-0.33017,0.618744,-111.8,60.7,-35.9833,-7788,-28808
402,39234,9.80957,-0.105273,-0.406738,-165.421,-87.4731,-68.3844,-0.0610352,-0.0610352,-0.244141,0.30954,0.642029,-0.33017,0.618744,-111.8,60.725,-36.0167,-7788,-28808
408,39240,9.79043,-0.090918,-0.411523,-165.41,-87.4786,-68.3899,0,-0.0610352,-0.12207,0.30957,0.642029,-0.33017,0.618744,-111.825,60.7417,-36.075,-7788,-28808
414,39246,9.8,-0.105273,-0.401953,-165.377,-87.4731,-68.4229,0,-0.0610352,0.305176,0.30954,0.642029,-0.33017,0.618744,-111.833,60.7417,-36.0583,-7788,-28808
420,39252,9.8,-0.0957031,-0.406738,-165.383,-87.4731,-68.4229,0,0,0,0.30957,0.642029,-0.3302,0.618744,-111.85,60.7583,-36.025,-7788,-28808
426,39258,9.80957,-0.105273,-0.430664,-165.383,-87.4731,-68.4229,0,0,0,0.30957,0.642029,-0.3302,0.618713,-111.85,60.7667,-35.9833,-7788,-28808
432,39264,9.79521,-0.100488,-0.425879,-165.394,-87.4731,-68.4119,-0.0610352,0.0610352,-0.12207,0.30957,0.642029,-0.3302,0.618713,-111.85,60.775,-35.9333,-7796,-28807
438,39270,9.81914,-0.110059,-0.406738,-165.399,-87.4731,-68.4119,-0.12207,0,0,0.30957,0.642029,-0.3302,0.618713,-111.85,60.7667,-35.8167,-7796,-28807
