TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,222478,9.82871,-0.0861328,-0.0143555,-80.8209,-89.5056,-92.3236,0,0,0,0.0452576,-0.705505,-0.0392151,-0.706116,-111.942,60.4917,-36.6417,-7780,-28809
6,222484,9.80479,-0.0813477,0.00478516,-80.8264,-89.5056,-92.3236,0,0,0,0.0451965,-0.705505,-0.0391541,-0.706116,-111.908,60.5167,-36.6083,-7780,-28809
12,222490,9.82871,-0.0957031,0.00957031,-80.8319,-89.5056,-92.3236,0,0,0,0.0451355,-0.705505,-0.0391235,-0.706116,-111.9,60.525,-36.65,-7780,-28809
18,222496,9.8,-0.0957031,-0.00957031,-80.8429,-89.5056,-92.3291,0,0,0,0.045105,-0.705505,-0.0390625,-0.706116,-111.892,60.5417,-36.675,-7780,-28809
24,222502,9.83828,-0.0861328,0,-80.8539,-89.5056,-92.3236,0,0,0,0.0450439,-0.705505,-0.0390015,-0.706116,-111.875,60.55,-36.6917,-7780,-28809
30,222508,9.8,-0.0717773,0.00478516,-80.8649,-89.5056,-92.3236,0,0,0,0.0449829,-0.705505,-0.0389404,-0.706116,-111.867,60.5417,-36.7167,-7780,-28809
36,222514,9.77129,-0.0717773,0.0143555,-80.8813,-89.5056,-92.3291,0,0,0,0.0448303,-0.705536,-0.0388184,-0.706116,-111.883,60.5167,-36.7,-7780,-28809
42,222520,9.8,-0.0957031,0,-80.8923,-89.5056,-92.3291,0,0,0,0.0447693,-0.705536,-0.0387573,-0.706116,-111.883,60.5167,-36.7083,-7780,-28809
48,222526,9.81914,-0.0861328,0.00478516,-80.9033,-89.5056,-92.3291,0,0,0,0.0447388,-0.705536,-0.0386963,-0.706146,-111.9,60.525,-36.775,-7780,-28809
54,222532,9.80479,-0.0669922,0.00957031,-80.9088,-89.5056,-92.3291,0,0,0,0.0446472,-0.705536,-0.0386353,-0.706146,-111.908,60.5417,-36.8417,-7780,-28809
60,222538,9.82871,-0.0717773,0.0191406,-80.9198,-89.5056,-92.3291,0,0,0,0.0446167,-0.705536,-0.0385742,-0.706146,-111.925,60.5417,-36.875,-7780,-28809
66,222544,9.80957,-0.105273,0.00957031,-80.9363,-89.5056,-92.3291,0,0,0,0.0444946,-0.705536,-0.0384827,-0.706146,-111.95,60.5,-36.9083,-7780,-28809
72,222550,9.80957,-0.0765625,0.0287109,-80.9473,-89.5056,-92.3291,0,0,0,0.0444641,-0.705536,-0.0384216,-0.706146,-111.95,60.4833,-36.9,-7780,-28809
78,222556,9.80957,-0.0813477,0.0382813,-80.9528,-89.5056,-92.3291,0,0,0,0.0444336,-0.705536,-0.0383911,-0.706146,-111.967,60.4833,-36.9,-7780,-28809
84,222562,9.8,-0.0717773,0,-80.9528,-89.5056,-92.3291,0,0,0,0.0444031,-0.705536,-0.0383911,-0.706146,-111.975,60.4833,-36.9083,-7780,-28809
90,222568,9.80957,-0.090918,0,-80.9583,-89.5056,-92.3291,0,0,0,0.0443726,-0.705566,-0.0383606,-0.706146,-111.983,60.4833,-36.925,-7780,-28809
96,222574,9.80479,-0.0574219,0.00478516,-80.9692,-89.5056,-92.3291,0,0,0,0.0443115,-0.705566,-0.0382996,-0.706146,-112.008,60.4917,-36.95,-7780,-28809
102,222580,9.81914,-0.0765625,0.0191406,-80.9747,-89.5056,-92.3291,0,0,0,0.044281,-0.705566,-0.038269,-0.706146,-112,60.5083,-36.9583,-7780,-28809
108,222586,9.81914,-0.0717773,-0.0143555,-80.9747,-89.5056,-92.3291,0,0,0,0.0442505,-0.705566,-0.0382385,-0.706146,-111.983,60.5167,-36.9917,-7780,-28809
114,222592,9.80479,-0.0861328,-0.00957031,-80.9857,-89.5056,-92.3291,0,0,0,0.0441895,-0.705566,-0.0381775,-0.706146,-111.975,60.5417,-37.0083,-7780,-28809
120,222598,9.8,-0.110059,0.00957031,-80.9967,-89.5056,-92.3291,0,0,0,0.0441284,-0.705566,-0.0381165,-0.706177,-111.983,60.5667,-37.025,-7780,-28809
126,222604,9.80957,-0.0861328,0.00957031,-81.0132,-89.5056,-92.3291,0,0,0,0.0440369,-0.705566,-0.0380249,-0.706177,-112.008,60.5917,-37.0333,-7780,-28809
132,222610,9.80957,-0.0669922,0.0143555,-81.0187,-89.5056,-92.3291,0,0,0,0.0439758,-0.705566,-0.0379639,-0.706177,-112.017,60.5917,-37.0167,-7780,-28809
138,222616,9.81914,-0.062207,0.00478516,-81.0242,-89.5056,-92.3291,0,0,0,0.0439453,-0.705566,-0.0379333,-0.706177,-112.017,60.6,-37.0417,-7780,-28809
144,222622,9.81914,-0.0574219,0.0143555,-81.0352,-89.5056,-92.3291,0,0,0,0.0439148,-0.705566,-0.0378723,-0.706177,-111.992,60.6083,-37.0583,-7780,-28809
150,222628,9.80957,-0.0861328,0.0334961,-81.0406,-89.5056,-92.3291,0,0,0,0.0438538,-0.705597,-0.0378418,-0.706177,-111.983,60.65,-37.0917,-7780,-28809
156,222634,9.82393,-0.090918,0.00957031,-81.0461,-89.5056,-92.3291,0,0,0,0.0438232,-0.705597,-0.0378113,-0.706177,-111.95,60.675,-37.0917,-7780,-28809
162,222640,9.81436,-0.0669922,-0.00478516,-81.0461,-89.5056,-92.3291,0,0,0,0.0437927,-0.705597,-0.0377808,-0.706177,-111.933,60.6667,-37.0917,-7780,-28809
168,222646,9.80479,-0.0813477,0.0287109,-81.0516,-89.5056,-92.3291,0,0,0,0.0437622,-0.705597,-0.0377502,-0.706177,-111.933,60.6583,-37.05,-7780,-28809
174,222652,9.80957,-0.0717773,0.00478516,-81.0571,-89.5056,-92.3291,0,0,0,0.0437622,-0.705597,-0.0377502,-0.706177,-111.925,60.6417,-37.05,-7780,-28809
180,222658,9.82871,-0.0765625,0,-81.0626,-89.5056,-92.3291,0,0,0,0.0437317,-0.705597,-0.0377197,-0.706177,-111.9,60.625,-37.0167,-7780,-28809
186,222664,9.81436,-0.0813477,0.00957031,-81.0736,-89.5056,-92.3291,0,0,0,0.0436707,-0.705597,-0.0376587,-0.706177,-111.85,60.625,-37,-7780,-28809
192,222670,9.80957,-0.0717773,0.0239258,-81.0791,-89.5056,-92.3291,0,0,0,0.0436401,-0.705597,-0.0376282,-0.706177,-111.825,60.6083,-36.9667,-7780,-28809
198,222676,9.82393,-0.0574219,0.0191406,-81.0791,-89.5056,-92.3291,0,0,0,0.0436096,-0.705597,-0.0375977,-0.706177,-111.8,60.6,-36.95,-7780,-28809
204,222682,9.81914,-0.0669922,0.0239258,-81.0846,-89.5056,-92.3291,0,0,0,0.0436096,-0.705597,-0.0375977,-0.706207,-111.8,60.5917,-36.95,-7780,-28809
210,222688,9.80479,-0.0957031,0.00957031,-81.0846,-89.5111,-92.3291,0,0,0,0.0435791,-0.705597,-0.0375671,-0.706207,-111.825,60.5667,-36.9417,-7780,-28809
216,222694,9.82393,-0.090918,0.0143555,-81.0901,-89.5056,-92.3291,0,0,0,0.0435791,-0.705597,-0.0375671,-0.706207,-111.858,60.5667,-37,-7780,-28809
222,222700,9.82393,-0.0813477,0.0191406,-81.0901,-89.5056,-92.3236,0,0,0,0.0435486,-0.705597,-0.0375366,-0.706207,-111.867,60.5917,-37.0583,-7780,-28809
228,222706,9.83828,-0.0957031,-0.0143555,-81.0956,-89.5111,-92.3291,0,0,0,0.0435486,-0.705597,-0.0375366,-0.706207,-111.858,60.6167,-37.0917,-7780,-28809
234,222712,9.81914,-0.0813477,0.0239258,-81.1011,-89.5111,-92.3291,0,0,0,0.0434875,-0.705597,-0.0375061,-0.706207,-111.858,60.6417,-37.1167,-7780,-28809
240,222718,9.84307,-0.100488,0.0143555,-81.1066,-89.5056,-92.3291,0,0,0,0.0434875,-0.705597,-0.0374756,-0.706207,-111.858,60.6583,-37.1333,-7780,-28809
246,222724,9.80957,-0.0957031,0.0191406,-81.1066,-89.5111,-92.3291,0,0,0,0.0434265,-0.705597,-0.0374451,-0.706207,-111.875,60.725,-37.0583,-7780,-28809
252,222730,9.8,-0.0717773,0.0191406,-81.1121,-89.5056,-92.3291,0,0,0,0.0434265,-0.705597,-0.0374146,-0.706207,-111.892,60.7333,-36.9917,-7780,-28809
258,222736,9.8,-0.0669922,0,-81.1121,-89.5056,-92.3291,0,0,0,0.043396,-0.705627,-0.037384,-0.706207,-111.892,60.7333,-36.95,-7780,-28809
264,222742,9.79521,-0.0717773,0.0143555,-81.1121,-89.5056,-92.3291,0,0,0,0.043396,-0.705627,-0.037384,-0.706207,-111.883,60.7,-36.8917,-7780,-28809
270,222748,9.80479,-0.062207,0.0191406,-81.1176,-89.5056,-92.3291,0,0,0,0.0433655,-0.705627,-0.0373535,-0.706207,-111.883,60.6667,-36.8833,-7780,-28809
276,222754,9.82393,-0.0861328,0,-81.123,-89.5056,-92.3291,0,0,0,0.043335,-0.705627,-0.037323,-0.706207,-111.9,60.6333,-36.875,-7780,-28809
