TimeSinceCollection,Timestamp,PlantarValue
0,37992,637;0;2;12;0;1;2;9;0;1;3;6;0;2;2;10;0;2;3;6;0;2;3;4;6;0;6;3;4;0;6;0;1;2;4;0;0;1;1;4;0;1;3;4;0
16,38008,633;0;8;11;0;2;3;8;0;2;3;6;0;2;3;8;0;2;3;6;0;3;3;4;6;0;1;2;4;0;6;3;2;3;4;0;0;2;2;4;0;2;2;4;0
32,38024,637;0;2;9;0;2;2;8;0;2;2;6;0;0;3;8;0;2;2;6;0;1;2;4;6;0;1;3;5;0;6;0;2;3;4;0;0;2;4;3;0;1;4;4;0
48,38040,638;0;2;10;0;3;3;9;0;2;2;6;0;1;2;8;0;2;3;6;0;2;3;4;6;0;1;2;4;0;6;0;1;3;4;0;0;2;2;4;0;1;2;4;0
64,38056,637;0;2;10;0;2;3;9;0;2;3;6;0;1;3;8;0;2;2;6;0;1;3;4;6;0;2;3;4;0;6;1;2;3;4;0;0;1;3;4;0;2;2;4;0
80,38072,637;0;2;11;0;2;3;9;0;1;3;6;0;2;3;8;1;2;2;6;0;2;2;4;7;0;1;3;4;0;6;1;3;3;4;0;0;2;2;4;0;1;3;4;0
96,38088,637;0;2;9;0;2;2;9;0;1;3;6;0;1;1;8;0;2;2;6;0;2;3;4;7;0;3;2;4;0;6;0;2;2;4;0;0;2;2;4;0;1;3;4;0
112,38104,637;0;3;11;0;1;1;8;0;8;2;8;0;1;3;8;0;2;3;6;0;2;2;4;7;0;2;3;4;0;6;0;2;2;4;0;0;2;3;4;0;2;3;4;0
128,38120,635;0;2;11;0;1;3;9;0;1;2;6;0;2;2;8;0;2;3;7;0;2;2;4;6;0;2;3;4;0;6;0;2;2;4;0;1;2;3;8;0;2;0;4;0
144,38136,637;0;2;9;0;2;2;9;0;2;2;6;0;1;3;8;0;2;2;6;0;2;1;4;6;0;1;3;4;0;6;0;2;7;4;0;0;1;3;4;0;3;2;4;0
160,38152,636;0;2;12;0;1;2;8;0;1;2;6;0;1;2;9;0;2;2;6;0;1;3;4;6;0;1;2;4;0;6;0;1;2;4;0;0;0;2;4;0;3;2;2;0
176,38168,637;0;1;9;0;1;2;9;0;2;1;6;0;1;2;8;0;1;2;6;0;1;2;4;6;0;2;3;4;0;6;0;1;3;4;0;0;1;2;4;0;2;2;4;0
192,38184,636;0;3;10;0;1;3;8;0;2;3;6;2;2;3;8;0;1;2;6;0;1;2;4;6;0;2;2;8;0;6;0;1;2;4;0;0;2;2;4;0;1;3;4;0
208,38200,636;0;2;12;0;1;3;9;0;2;3;6;0;1;2;9;0;2;3;6;0;1;3;4;6;0;2;3;4;0;6;0;1;2;4;0;0;1;2;4;0;1;2;4;0
224,38216,638;0;2;9;0;1;3;9;0;2;3;6;0;1;2;8;0;2;3;6;0;2;3;4;8;4;2;2;4;0;6;0;2;3;6;0;0;0;2;4;0;1;2;4;0
240,38232,637;0;2;11;0;1;3;8;0;1;2;6;0;2;2;9;0;2;2;6;0;2;3;4;6;0;2;2;4;0;6;0;2;0;4;0;0;1;3;4;0;2;2;4;0
256,38248,637;2;3;9;0;1;2;10;3;2;2;6;0;2;3;8;0;1;3;9;0;1;3;4;6;0;2;2;4;0;6;0;2;3;4;0;0;1;2;4;0;1;3;4;0
272,38264,635;0;3;10;0;2;3;8;0;1;3;7;0;2;3;8;0;2;2;7;0;2;3;4;6;0;1;2;4;0;6;0;2;3;4;0;0;1;2;4;0;2;3;4;0
288,38280,637;1;2;9;0;2;2;10;0;2;3;6;0;3;3;8;0;2;2;6;0;2;3;4;6;0;1;3;4;0;10;0;2;2;4;0;0;1;2;4;0;2;4;3;0
304,38296,637;0;2;10;0;1;3;9;0;2;2;6;0;1;3;8;0;0;2;6;0;1;2;4;6;0;2;2;3;0;6;0;1;3;4;0;0;2;2;4;0;2;2;4;0
320,38312,637;0;3;11;0;2;3;9;0;1;2;6;0;1;2;10;0;1;2;6;0;2;2;4;7;0;2;2;4;0;6;0;1;3;4;0;0;2;3;4;0;2;3;4;0
336,38328,635;0;2;8;0;2;2;8;1;2;2;6;0;1;2;8;0;2;2;6;0;2;3;4;6;0;2;2;4;0;6;0;1;2;4;0;0;1;3;4;0;2;2;2;0
352,38344,636;0;2;8;0;1;2;8;0;2;3;6;0;1;2;8;0;2;2;6;0;1;3;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
368,38360,637;0;2;11;0;1;3;8;0;3;3;7;0;2;2;8;0;2;3;7;1;2;3;4;6;0;2;3;4;0;6;0;2;3;4;0;0;1;3;4;0;1;3;4;0
384,38376,637;0;2;9;0;2;3;9;0;0;2;7;0;1;2;9;0;3;2;6;0;5;2;4;6;0;1;2;4;0;6;0;1;2;4;0;0;2;2;4;0;2;2;4;0
400,38392,637;0;1;12;0;1;3;8;0;2;3;6;1;1;3;8;0;1;2;6;0;2;2;4;6;0;1;2;4;0;6;0;3;2;4;0;0;2;3;4;0;2;2;4;0
416,38408,637;0;2;10;0;1;3;9;0;2;2;6;0;2;2;9;0;2;3;3;0;1;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
432,38424,638;0;2;9;0;2;3;9;0;2;2;6;0;1;2;8;0;1;2;6;0;1;2;4;6;0;1;3;4;0;6;0;1;3;4;0;0;3;3;4;0;2;4;4;0
448,38440,637;0;2;11;0;1;3;9;0;1;2;6;0;2;2;9;0;2;2;6;0;2;3;4;6;0;1;3;4;0;7;0;1;3;4;0;0;3;3;4;0;1;2;4;0
464,38456,637;0;2;10;0;2;3;9;0;1;2;6;0;1;2;8;0;2;2;6;0;2;3;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;3;4;0;2;2;4;0
