TimeSinceCollection,Timestamp,PlantarValue
0,61745,2447;0;2;16;0;1;2;8;0;2;3;6;0;2;3;8;0;2;2;6;0;2;2;4;6;0;2;0;4;0;6;1;1;2;4;0;0;3;3;4;0;1;2;4;0
16,61761,2445;0;2;13;0;2;2;8;0;2;3;6;0;2;1;8;0;1;2;6;0;2;3;3;6;0;2;3;4;0;6;0;1;2;4;0;0;1;2;4;0;2;2;4;0
32,61777,2447;0;1;12;0;1;3;8;0;2;3;6;0;1;3;9;0;3;2;6;0;2;2;4;6;0;2;4;4;0;6;0;2;2;4;0;0;2;2;4;1;2;3;4;0
48,61793,2442;0;1;15;0;2;3;8;2;2;2;7;0;2;3;8;0;1;3;6;0;1;2;4;6;0;2;3;4;0;6;0;1;3;4;0;0;4;2;4;0;2;2;4;0
64,61809,2445;0;2;12;0;1;2;9;0;2;3;6;0;2;2;8;0;2;3;6;0;1;2;4;6;0;2;1;4;0;6;0;2;2;7;0;0;2;2;4;0;2;2;4;0
80,61825,2446;0;1;10;0;1;2;8;0;2;2;6;0;2;2;8;0;1;3;6;0;2;3;4;6;0;2;3;4;0;7;0;2;3;4;0;0;1;3;4;0;1;3;4;0
96,61841,2445;0;1;12;0;1;2;8;0;2;2;7;0;2;2;8;0;1;3;6;0;2;2;4;6;0;1;3;4;0;6;0;2;2;4;0;0;1;2;4;0;1;2;4;0
112,61857,2442;0;2;13;0;2;3;9;0;2;2;6;0;1;3;8;0;1;2;7;0;1;2;4;6;0;1;2;4;0;7;0;1;2;4;0;0;1;2;4;0;2;2;4;0
128,61873,2442;2;2;12;0;1;3;9;0;1;2;7;0;2;2;8;0;2;2;7;0;1;2;4;6;0;2;3;4;0;6;0;1;2;4;0;0;1;2;4;0;2;2;4;0
144,61889,2437;0;2;12;0;3;3;8;0;2;3;6;0;2;2;8;0;2;2;6;0;1;2;4;6;0;2;2;4;6;6;0;2;2;4;0;0;2;2;4;0;2;2;4;0
160,61905,2445;0;1;13;0;0;2;8;0;3;2;6;0;2;0;8;0;2;2;7;0;2;2;4;6;0;2;3;6;0;6;1;1;3;4;0;0;1;2;4;0;2;2;4;0
176,61921,2441;0;3;13;0;1;3;9;0;1;3;6;0;2;2;8;0;2;2;7;0;2;3;4;6;0;2;3;4;0;6;0;1;2;4;0;4;2;2;4;0;1;3;4;0
192,61937,2440;0;1;12;0;1;3;9;0;2;2;6;4;1;3;8;0;2;2;8;0;2;2;4;6;0;3;3;4;0;6;0;1;3;0;0;0;2;2;4;0;2;2;4;0
208,61953,2437;5;1;12;0;2;3;8;0;2;2;7;0;2;3;8;0;2;2;7;0;2;2;4;6;0;2;2;4;0;7;0;1;3;4;0;0;1;2;4;0;2;2;4;0
224,61969,2445;0;2;12;0;1;3;9;0;1;2;7;0;2;3;8;0;2;3;6;0;3;3;4;6;0;1;3;4;0;6;0;2;3;4;0;0;1;2;4;3;2;1;3;0
240,61985,2445;0;1;14;0;2;2;8;0;1;2;6;0;1;2;8;0;2;3;7;0;1;2;4;6;0;3;2;4;0;6;0;1;9;4;0;0;1;2;4;0;2;2;4;0
256,62001,2442;0;2;11;0;2;2;10;1;2;2;6;0;1;3;8;0;1;3;6;0;2;2;4;6;1;2;3;4;0;6;0;1;3;4;0;0;2;3;4;3;2;2;4;0
272,62017,2445;0;3;13;0;2;2;9;0;2;4;6;0;1;2;8;0;1;2;6;0;1;2;0;6;0;1;2;4;0;6;0;1;0;4;0;0;2;3;4;0;2;3;4;0
288,62033,2446;0;2;12;0;2;2;8;0;0;3;7;0;1;3;8;4;1;4;6;0;2;3;4;7;0;2;3;4;0;6;0;2;3;4;0;0;2;3;4;0;1;2;4;0
304,62049,2445;0;2;12;0;1;3;8;0;2;2;6;0;2;2;8;0;1;2;6;0;1;2;4;6;0;1;2;4;0;6;0;1;2;4;0;0;2;1;4;0;2;2;4;0
320,62065,2445;0;2;12;0;1;2;8;0;2;3;7;0;1;3;8;0;1;3;6;0;2;2;4;6;0;1;3;4;0;6;0;2;3;4;0;0;2;2;4;0;2;3;4;0
336,62081,2437;0;1;14;0;2;3;10;0;1;3;6;0;1;2;10;0;2;3;6;0;1;3;4;6;0;4;3;4;0;6;0;2;2;4;0;0;2;2;4;0;1;3;4;0
352,62097,2442;0;2;12;0;2;3;9;0;2;3;6;0;2;2;8;0;2;3;6;0;1;2;4;6;0;2;2;4;0;6;0;2;3;4;0;0;2;3;4;0;2;2;4;0
368,62113,2442;0;2;12;0;2;2;9;0;2;2;6;0;2;2;8;0;3;2;6;0;1;3;4;6;0;1;3;3;0;6;0;1;2;4;0;0;2;3;4;0;2;2;4;0
384,62129,2449;0;2;12;0;1;3;8;0;2;3;6;0;2;2;8;0;1;2;6;0;2;3;4;6;0;2;1;4;0;5;0;1;4;4;0;0;1;3;4;0;2;2;4;0
400,62145,2444;0;2;12;0;1;3;8;0;2;3;6;0;1;2;8;0;1;2;7;0;1;3;4;6;0;2;2;4;0;6;1;2;3;4;0;0;1;2;4;0;2;2;4;0
416,62161,2445;0;1;12;0;2;3;9;0;1;2;6;0;2;2;8;3;2;3;6;0;1;2;4;6;0;2;3;3;0;6;0;2;3;4;0;0;1;2;4;0;1;2;4;0
432,62177,2442;1;2;12;0;1;3;9;0;1;3;6;0;1;2;8;0;2;1;6;0;1;3;4;6;0;2;3;4;0;6;0;2;3;4;0;0;2;3;4;0;2;2;4;0
448,62193,2442;0;2;12;0;2;3;9;0;1;2;6;0;1;1;8;0;2;2;6;0;1;3;4;6;0;1;2;4;7;6;0;2;3;4;0;1;1;2;4;0;2;2;4;0
464,62209,2445;0;2;11;0;1;3;8;0;2;3;7;0;2;2;8;0;1;2;6;0;2;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;0
480,62225,2441;0;1;12;0;1;3;9;0;2;3;6;0;1;2;9;0;1;3;6;0;2;2;4;7;0;2;2;4;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;0
496,62241,2445;0;2;13;0;2;2;8;0;1;3;6;0;2;2;8;0;2;3;6;0;2;3;4;6;0;3;2;4;1;6;0;2;3;4;0;0;2;2;4;0;2;2;4;0
512,62257,2446;0;2;14;0;2;2;8;0;2;2;3;0;2;2;6;0;2;2;6;0;2;3;4;6;0;2;3;4;0;6;0;2;2;2;0;0;2;3;4;0;2;2;4;0
528,62273,2447;0;3;14;0;3;3;8;0;1;2;6;0;2;2;8;0;1;2;6;0;1;3;4;7;0;2;0;4;0;6;2;1;3;5;0;0;2;3;4;0;2;0;4;0
544,62289,2446;0;1;11;0;2;3;8;0;2;2;6;0;2;3;8;0;2;3;6;0;2;2;4;6;0;1;3;4;0;6;0;1;2;4;0;0;2;0;4;0;2;3;4;0
560,62305,2445;1;2;12;0;2;2;8;0;2;2;6;1;1;2;8;0;2;3;6;0;1;3;4;7;0;1;2;4;0;6;0;2;2;4;0;0;1;2;4;0;1;2;4;0
576,62321,2445;0;1;12;0;1;3;9;0;0;2;7;0;1;2;8;1;2;3;6;0;2;3;4;5;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;0
592,62337,2442;0;2;12;0;1;3;9;0;1;2;7;0;1;3;9;0;1;2;6;1;2;2;4;6;0;2;3;4;0;6;0;1;2;4;0;0;2;3;4;0;2;2;4;0
608,62353,2442;0;1;12;0;2;4;9;0;2;1;6;0;1;2;8;0;2;3;7;0;2;2;4;6;0;2;2;4;0;6;0;2;3;4;0;0;3;3;4;0;2;3;4;0
624,62369,2447;0;2;10;0;1;2;8;0;1;2;6;0;2;3;8;0;2;2;6;0;2;2;4;7;0;2;2;4;0;6;1;2;3;4;0;1;2;2;4;0;2;1;4;0
640,62385,2443;0;2;12;0;1;3;8;0;2;2;6;0;1;6;8;0;2;2;6;0;2;2;6;7;0;1;3;4;0;7;0;2;2;4;0;0;2;2;4;0;1;3;4;0
656,62401,2442;0;1;12;0;1;3;10;0;2;2;7;0;1;2;8;0;2;2;6;0;2;3;4;6;0;1;2;4;0;6;0;2;2;4;0;0;1;4;4;0;3;2;4;0
672,62417,2445;0;2;12;0;2;2;9;0;1;1;6;0;2;2;9;0;2;2;7;0;2;2;4;7;2;2;2;4;0;6;0;1;2;4;0;0;2;0;4;0;1;2;4;0
688,62433,2445;0;2;13;0;1;3;11;0;2;2;6;0;2;2;8;0;2;2;5;0;2;1;4;6;0;1;3;4;0;6;0;1;2;4;0;2;1;2;4;5;1;4;3;0
704,62449,2447;0;2;12;0;2;2;8;0;2;3;6;0;2;2;8;0;1;2;6;1;2;2;4;6;0;0;2;4;0;6;0;2;2;2;0;0;1;2;4;0;1;2;4;0
720,62465,2447;0;2;14;0;1;2;8;0;2;2;7;0;2;1;8;0;2;3;6;1;2;6;4;7;0;1;2;4;0;7;0;2;3;4;0;0;1;2;4;0;2;2;4;0
736,62481,2445;0;2;12;0;2;3;9;0;1;3;6;0;1;3;8;0;1;2;6;0;2;3;4;6;0;3;2;4;0;6;0;1;3;4;0;0;2;1;4;0;2;2;4;1
752,62497,2445;0;2;13;0;1;3;8;1;1;3;7;0;1;2;9;0;2;2;7;0;2;2;1;6;0;2;3;4;0;6;0;2;3;4;0;0;2;6;4;0;1;2;4;0
768,62513,2442;0;3;13;0;2;2;8;0;2;3;6;0;2;2;8;0;2;2;6;0;2;3;4;6;0;1;3;4;0;6;0;1;0;4;0;0;2;3;4;0;0;3;4;0
784,62529,2444;0;2;13;0;1;3;8;0;1;2;6;0;2;3;8;0;1;3;6;0;1;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;1;3;4;0;2;2;4;0
800,62545,2446;0;1;12;0;2;3;8;0;1;3;6;0;1;2;8;0;2;3;6;0;1;2;4;13;0;1;2;12;0;6;0;1;3;4;0;0;2;2;4;0;1;2;4;0
816,62561,2446;0;3;14;0;2;3;8;0;1;2;8;0;1;2;8;0;1;3;7;0;2;2;4;6;0;1;3;3;0;6;0;2;3;4;0;0;2;3;4;0;2;3;4;0
832,62577,2438;0;2;13;0;1;2;9;0;1;3;6;0;1;3;8;0;1;2;6;0;2;2;4;7;0;1;3;4;0;8;0;2;2;4;0;0;2;3;4;0;1;3;4;0
848,62593,2445;0;3;12;0;2;3;8;0;2;2;6;0;2;3;10;0;2;3;6;0;4;3;4;6;0;1;2;4;0;6;0;1;2;4;0;0;1;2;3;0;1;2;4;0
864,62609,2444;0;2;10;0;2;3;7;0;2;2;6;0;2;2;7;0;2;2;6;0;2;3;4;6;0;2;3;4;0;6;0;1;2;4;0;0;1;2;3;0;2;2;4;0
880,62625,2445;0;3;12;0;2;3;8;0;2;2;6;0;1;2;8;0;3;2;6;0;2;3;4;6;0;1;3;3;0;6;0;2;2;4;0;0;1;3;4;0;2;2;4;0
896,62641,2446;0;1;15;0;2;3;8;0;1;2;7;0;1;3;9;0;2;3;7;0;2;2;4;6;0;2;3;4;0;6;0;1;3;4;0;0;1;2;4;0;1;3;4;0
912,62657,2438;0;4;13;0;1;2;9;0;2;3;7;0;2;2;8;0;2;3;7;0;1;2;4;8;0;1;2;4;1;6;0;1;2;4;0;0;2;3;4;0;1;3;4;0
928,62673,2443;0;2;14;0;2;2;8;0;2;3;6;0;2;2;8;0;1;2;6;0;2;3;4;6;0;2;3;4;0;6;0;1;2;4;0;0;1;2;4;0;2;2;4;0
944,62689,2447;0;2;10;0;2;3;8;0;3;3;6;0;2;2;8;0;1;2;6;0;1;3;4;6;0;0;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
960,62705,2445;0;2;13;0;2;3;9;0;1;2;7;0;4;3;8;0;1;2;7;0;2;4;4;7;0;1;2;4;0;6;0;1;2;7;1;0;2;3;1;0;2;3;4;0
976,62721,2437;0;2;12;0;1;3;8;0;0;3;6;0;2;3;8;0;1;3;6;0;2;2;4;6;0;2;2;4;0;6;0;1;3;4;0;0;2;2;4;0;1;2;4;0
992,62737,2445;0;2;13;0;2;3;8;0;1;3;6;0;2;2;8;0;1;3;7;0;1;2;4;6;0;2;2;3;0;6;0;1;3;4;0;0;1;3;4;0;2;2;4;0
1008,62753,2446;0;2;12;0;2;3;8;0;2;3;6;0;2;3;8;0;2;3;6;0;1;3;4;6;0;2;2;4;0;6;0;1;3;4;0;0;2;2;4;1;2;2;4;0
1024,62769,2445;2;4;10;0;2;3;8;0;2;3;6;0;1;2;8;0;1;3;7;0;1;2;6;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
1040,62785,2446;0;2;14;0;2;2;8;4;1;3;6;1;1;2;9;0;2;2;6;0;1;2;4;6;0;2;2;4;0;6;0;3;3;4;0;0;1;1;4;0;1;2;4;0
1056,62801,2444;0;2;13;0;2;2;8;0;1;2;6;0;2;2;8;0;1;2;7;0;3;2;4;6;0;2;2;4;0;6;0;3;2;4;0;0;1;2;4;0;1;3;4;0
1072,62817,2442;0;1;15;0;2;3;8;0;1;3;6;0;1;3;8;0;2;2;6;0;2;3;4;6;0;8;3;4;0;6;0;1;4;4;0;0;1;2;4;0;1;3;4;0
1088,62833,2441;0;2;13;0;1;3;8;0;2;3;6;0;2;4;8;0;1;2;6;0;2;3;4;7;0;2;3;4;0;5;0;1;3;4;0;0;2;3;4;0;1;2;4;0
1104,62849,2443;0;2;11;0;2;2;8;0;2;2;7;0;2;3;8;2;2;3;6;0;1;4;4;6;0;1;3;4;0;7;0;2;3;4;0;0;2;2;4;0;2;2;4;1
1120,62865,2445;0;1;13;0;2;2;8;0;1;3;6;0;1;2;8;0;1;3;7;0;2;2;4;7;0;1;3;4;0;6;0;1;3;4;0;0;1;2;4;0;1;2;4;0
1136,62881,2441;0;1;13;0;2;2;9;0;2;2;6;0;1;3;8;0;2;2;6;0;2;1;4;6;0;2;3;4;0;6;0;2;3;4;0;0;3;3;4;0;2;2;4;0
