TimeSinceCollection,Timestamp,PlantarValue
0,16193,2411;0;1;12;0;2;2;8;0;2;3;6;0;2;2;8;0;3;3;6;0;2;2;5;6;0;3;2;4;0;6;0;1;2;4;0;0;2;3;4;0;2;3;4;0
16,16209,2413;0;2;12;0;1;3;8;0;2;3;6;0;2;3;8;0;1;2;6;0;2;2;4;6;0;1;3;4;0;6;0;2;3;4;0;0;2;2;4;0;2;3;4;0
32,16225,2412;0;2;12;0;2;3;9;3;2;2;6;0;2;3;8;0;2;3;5;0;1;3;4;6;0;2;3;4;0;6;0;2;2;4;0;0;3;3;4;0;2;3;4;2
48,16241,2412;0;3;14;0;2;2;8;0;2;2;6;0;2;3;8;0;2;2;6;0;1;2;4;6;0;1;4;4;0;6;0;1;2;4;0;0;2;2;4;0;2;3;4;0
64,16257,2412;0;3;12;1;1;3;8;0;1;3;6;0;2;3;9;0;2;2;6;0;2;3;4;6;0;2;3;4;0;6;0;1;2;4;0;0;2;2;4;0;1;4;4;0
80,16273,2406;0;2;12;0;1;3;9;0;1;2;7;0;2;2;8;0;2;2;6;6;1;2;4;7;0;2;3;4;0;6;0;3;3;4;0;0;2;3;4;0;2;1;4;0
96,16289,2411;0;2;12;0;2;2;8;0;2;2;6;0;2;3;8;0;2;2;6;0;1;3;3;6;0;2;2;4;0;6;0;2;3;4;0;0;2;3;4;0;1;2;4;0
112,16305,2407;0;2;12;0;2;2;9;0;1;2;6;0;1;3;8;0;2;2;6;0;1;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;3;3;0;2;3;3;0
128,16321,2409;0;2;15;0;1;3;8;0;2;2;7;0;3;2;8;0;2;2;6;0;1;3;4;6;0;1;2;4;0;6;0;3;2;4;0;0;2;2;4;0;2;2;4;0
144,16337,2409;0;2;12;0;2;2;8;0;2;3;7;0;1;2;8;0;2;3;6;0;1;2;4;6;0;1;3;4;0;7;0;2;3;4;0;0;2;2;4;0;2;2;4;0
160,16353,2405;0;3;12;0;2;2;8;0;1;3;6;0;1;3;8;0;1;1;6;0;2;2;4;6;0;1;3;4;0;6;0;2;2;4;0;0;3;2;4;0;1;2;4;0
176,16369,2414;0;1;15;0;1;2;8;0;2;3;6;0;1;3;8;0;2;3;7;1;2;3;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;2;1;1;2;4;4;0
192,16385,2414;0;2;11;0;1;3;9;0;1;3;6;0;1;2;8;1;1;3;6;0;1;3;4;6;0;2;3;4;0;6;0;1;3;4;1;0;1;3;4;0;2;3;4;0
208,16401,2415;0;1;12;0;1;2;8;0;1;3;6;0;3;2;8;0;2;2;6;0;2;3;4;6;0;2;3;4;0;6;0;2;3;4;0;0;2;2;4;0;1;2;3;0
224,16417,2414;0;3;12;0;1;3;8;0;3;2;7;0;1;3;8;0;2;2;6;0;1;0;4;6;0;2;3;4;0;6;0;3;3;4;0;0;2;3;4;0;2;2;4;0
240,16433,2412;0;2;14;0;2;2;8;0;1;3;6;0;6;3;8;0;2;2;6;0;2;2;4;6;0;2;3;4;0;6;0;2;3;3;0;0;2;2;4;0;2;3;4;0
256,16449,2412;0;2;12;0;2;2;9;0;1;2;7;0;1;2;8;0;1;2;7;0;1;2;4;6;0;3;3;4;0;6;0;2;3;0;0;1;2;2;4;0;2;2;4;0
272,16465,2413;0;3;12;0;2;3;9;0;3;2;6;0;2;3;8;0;2;2;6;0;1;0;3;6;0;2;2;4;0;6;0;3;2;4;0;0;1;3;4;0;2;2;4;0
288,16481,2409;0;2;11;0;1;3;8;0;2;6;6;0;1;3;8;0;0;3;6;0;2;3;4;6;0;1;2;4;0;6;0;1;3;4;0;0;1;3;4;0;2;2;4;0
304,16497,2411;0;2;16;0;1;3;8;0;2;2;6;0;2;3;9;0;2;2;6;0;3;2;4;6;0;2;2;4;0;6;0;1;3;4;0;0;2;2;4;0;2;2;4;0
320,16513,2407;0;2;12;0;4;3;9;0;1;2;6;0;3;2;9;0;1;2;6;0;1;3;4;6;0;1;3;4;1;7;0;1;2;4;0;0;1;4;0;0;2;2;4;0
336,16529,2412;0;2;12;0;2;3;10;0;2;3;7;0;1;2;9;0;2;0;7;0;1;2;4;6;0;1;3;4;0;6;0;2;3;3;0;0;1;3;4;0;3;3;4;0
352,16545,2411;0;1;12;0;2;3;8;0;1;2;6;0;2;2;8;0;2;4;6;0;2;2;4;6;0;2;2;4;0;6;0;0;2;5;0;0;2;2;4;0;2;2;4;0
368,16561,2412;0;2;11;0;1;3;8;0;1;2;6;0;2;2;7;0;1;2;6;0;2;2;4;6;0;2;2;4;0;6;0;1;2;4;0;0;1;3;4;0;2;2;4;0
384,16577,2408;0;2;12;0;1;3;8;0;2;3;7;0;2;2;8;0;2;3;6;0;1;3;4;6;0;2;2;4;0;6;0;4;2;4;0;1;3;3;4;0;2;3;4;0
400,16593,2414;0;2;12;0;2;2;8;0;2;3;6;1;2;3;9;0;2;2;6;0;2;3;4;7;0;1;2;4;0;6;1;1;3;4;0;0;2;2;4;0;2;2;4;0
