TimeSinceCollection,Timestamp,PlantarValue
0,8232,2571;0;1;11;2;1;3;8;0;2;2;6;0;1;3;8;0;2;3;6;0;2;3;4;6;0;2;3;4;0;6;0;1;3;4;1;0;1;3;4;0;2;2;4;0
16,8248,2569;0;2;13;0;2;3;8;0;2;3;7;0;2;2;8;1;3;3;7;0;1;2;4;6;0;0;2;4;0;6;0;3;2;4;0;0;2;2;4;0;2;3;4;0
32,8264,2575;0;2;12;0;1;2;8;0;1;2;6;0;1;2;8;0;1;2;6;0;1;3;4;6;0;1;3;4;0;6;0;3;3;4;0;0;2;2;4;0;1;2;4;0
48,8280,2578;0;2;11;0;2;3;8;0;2;2;6;0;2;2;12;0;1;3;6;1;1;3;4;6;1;2;3;5;0;6;0;2;3;4;0;0;2;2;4;0;3;2;4;0
64,8296,2575;0;2;13;0;1;3;8;0;3;3;6;0;1;2;8;0;2;2;6;0;1;2;4;4;0;2;2;4;0;6;0;2;3;4;0;0;2;3;4;0;2;3;4;0
80,8312,2576;0;3;11;0;1;2;8;0;1;2;6;0;2;2;9;0;2;2;6;0;2;2;4;6;0;2;2;4;1;6;0;1;2;4;0;0;2;3;4;0;3;3;4;0
96,8328,2567;0;2;11;0;2;3;8;0;1;2;7;0;2;3;8;0;1;2;6;0;2;3;4;6;0;1;2;4;0;7;0;2;2;4;0;0;2;3;4;0;1;3;4;0
112,8344,2574;0;2;12;0;2;2;9;0;2;2;7;0;2;2;8;0;2;3;6;0;2;3;4;6;0;2;2;4;0;6;0;2;2;4;0;0;1;2;4;0;1;4;4;0
128,8360,2574;0;2;11;4;1;2;8;0;1;3;6;0;2;2;9;0;2;3;7;0;2;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;3;3;4;0;2;2;4;0
144,8376,2579;0;3;12;0;2;3;8;0;2;3;6;0;2;2;8;0;1;3;7;1;2;3;4;6;0;2;3;4;0;7;0;3;3;4;0;0;0;3;4;0;1;2;4;0
160,8392,2575;0;2;13;0;1;2;8;0;2;2;7;0;1;3;8;0;3;2;6;0;1;3;4;10;0;2;2;4;0;6;0;2;3;4;0;0;2;2;4;0;2;2;4;0
176,8408,2575;0;2;14;0;2;3;9;0;2;2;6;0;2;4;9;0;1;3;5;0;3;3;4;6;0;3;2;4;0;7;0;3;3;4;1;0;1;2;4;0;1;2;4;0
192,8424,2568;0;1;12;0;3;3;8;0;1;2;6;0;1;3;8;0;2;0;6;0;2;2;3;7;0;1;3;4;0;6;0;2;3;4;0;0;1;2;4;0;2;3;4;0
208,8440,2578;0;2;12;0;1;3;8;0;1;2;6;2;1;3;8;0;2;3;6;0;3;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;3;4;0;3;2;4;0
224,8456,2575;0;2;14;0;1;3;8;0;1;2;6;0;2;3;9;0;2;3;6;0;2;2;4;6;0;1;3;4;0;6;0;1;3;4;0;0;1;3;4;0;2;2;4;0
240,8472,2567;0;2;14;1;2;3;8;0;1;3;7;0;1;2;9;0;1;2;6;0;1;3;4;7;0;1;2;4;0;7;0;2;3;4;0;2;1;2;4;0;1;2;4;0
256,8488,2578;0;2;13;0;2;3;8;0;1;3;7;0;2;2;8;2;2;1;6;0;1;2;4;6;0;1;2;4;0;6;0;1;2;4;0;0;1;3;4;0;2;3;4;0
272,8504,2575;0;4;13;1;1;3;10;0;2;2;6;4;1;3;8;0;1;3;1;0;1;2;3;7;0;2;2;3;0;6;0;2;3;4;0;0;2;3;4;0;2;2;4;0
288,8520,2578;0;1;14;0;1;3;9;0;2;2;7;0;1;3;9;0;2;3;7;0;1;3;4;6;0;2;3;4;0;6;0;1;4;3;1;0;1;2;4;0;2;2;4;0
304,8536,2575;0;2;13;0;1;3;8;0;1;2;6;0;2;2;9;0;1;3;6;0;1;4;4;6;0;1;4;4;0;6;0;1;2;4;0;0;2;3;4;1;0;2;4;0
320,8552,2574;0;2;12;0;1;2;8;0;1;1;6;0;9;2;8;1;1;1;7;0;2;3;4;6;0;2;3;4;0;6;0;3;3;4;0;0;2;2;4;0;2;2;4;0
336,8568,2579;0;2;12;0;2;3;8;0;3;3;7;0;1;2;8;0;2;3;6;0;2;2;4;6;0;1;2;4;0;6;0;2;2;4;0;0;2;3;4;0;2;2;4;0
352,8584,2572;0;1;13;0;1;3;8;0;2;2;6;0;2;3;8;0;2;3;6;0;1;3;4;6;0;2;1;4;0;6;0;2;2;4;0;0;1;3;4;0;1;2;4;0
368,8600,2577;0;2;12;0;2;3;8;0;1;3;7;0;2;2;8;0;1;2;7;0;2;3;4;6;1;2;3;4;0;6;1;1;2;4;0;0;2;2;4;0;2;2;4;0
384,8616,2575;0;2;11;0;1;2;8;0;1;3;6;0;2;3;8;0;2;3;7;0;3;2;4;7;0;1;2;4;0;6;0;2;2;4;3;0;1;1;4;0;1;3;4;1
400,8632,2575;0;1;13;0;1;2;8;1;1;3;7;0;2;2;9;0;2;3;6;0;2;2;4;6;0;2;3;4;0;6;0;2;3;4;0;0;1;3;3;0;2;3;4;0
416,8648,2569;0;2;11;0;1;3;9;0;1;3;6;0;2;2;8;0;2;2;6;0;3;2;4;5;0;1;2;4;0;7;0;1;3;4;0;0;2;2;4;0;2;2;4;0
432,8664,2575;0;2;11;0;1;3;10;0;2;3;7;0;1;3;8;0;1;3;7;0;2;3;4;6;0;2;3;4;0;6;0;2;2;4;0;0;1;2;4;0;2;1;4;0
448,8680,2577;0;1;12;0;2;2;8;0;1;3;6;0;1;3;8;0;2;3;6;0;2;2;4;7;0;2;3;4;0;6;0;2;3;4;0;0;2;2;4;0;2;3;4;0
464,8696,2577;0;2;12;0;2;3;9;0;2;2;6;0;2;3;8;0;2;3;6;0;2;2;4;6;0;2;2;4;2;6;0;3;2;4;0;0;2;3;4;0;1;3;4;0
480,8712,2566;0;1;11;0;2;2;8;0;1;2;6;0;1;2;8;0;2;3;6;0;1;3;4;6;0;2;3;11;0;6;0;1;2;4;0;0;3;2;4;0;2;2;6;0
496,8728,2573;0;2;12;1;1;2;8;0;1;3;6;0;1;3;8;1;2;3;6;0;3;4;3;5;0;2;2;4;0;6;0;2;3;4;0;0;1;2;4;0;2;3;4;0
512,8744,2578;0;1;13;0;2;2;8;0;1;2;7;0;2;2;8;0;2;2;6;0;2;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;3;2;4;0;2;1;4;0
528,8760,2575;0;1;9;0;2;1;8;0;2;3;6;0;1;2;8;0;1;2;6;0;1;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;3;4;0;2;3;3;0
