TimeSinceCollection,Timestamp,PlantarValue
0,38712,2385;0;2;15;2;2;2;8;0;1;2;7;0;2;2;9;0;3;3;6;0;2;3;4;6;0;4;3;4;0;5;0;1;2;4;0;0;2;2;4;1;2;3;4;0
16,38728,2383;0;2;12;0;1;2;8;0;2;2;6;0;1;2;8;0;2;2;6;0;1;3;4;6;0;1;3;4;0;6;0;1;2;4;0;0;1;2;4;0;2;1;4;0
32,38744,2387;0;2;12;0;1;3;9;0;2;2;6;0;3;2;8;0;2;3;6;0;1;2;4;6;0;2;2;4;0;6;0;2;2;4;0;2;1;2;4;0;2;3;4;0
48,38760,2385;0;0;10;0;1;3;8;0;1;2;7;0;2;2;8;0;2;3;7;0;1;3;5;8;0;2;3;4;0;7;0;1;2;4;0;0;1;2;4;0;2;3;4;0
64,38776,2378;0;2;13;0;1;2;8;0;1;2;6;0;1;3;8;0;1;2;6;0;1;2;4;6;0;2;2;4;0;7;0;1;3;4;0;0;2;2;4;0;2;3;4;0
80,38792,2385;0;1;13;0;1;2;8;0;1;3;6;0;1;2;16;0;2;1;6;1;1;2;4;6;0;2;2;4;0;2;0;4;2;4;0;0;2;4;3;0;1;2;4;0
96,38808,2384;0;2;12;0;2;3;8;0;2;3;6;0;1;2;8;0;2;0;9;1;1;2;4;6;0;1;5;4;0;7;0;2;3;4;0;0;4;3;4;0;2;2;4;0
112,38824,2381;0;1;12;0;2;2;9;0;2;2;6;0;1;3;9;0;1;2;6;0;2;2;4;6;0;1;3;3;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
128,38840,2386;0;1;13;0;2;1;8;0;2;2;6;0;1;2;8;0;2;3;6;0;0;3;4;6;0;1;2;4;0;6;0;1;2;4;0;0;2;2;4;0;1;2;4;0
144,38856,2382;0;2;12;0;1;3;8;0;2;2;6;0;2;2;8;0;1;2;6;0;1;3;4;6;0;2;3;5;0;6;0;1;2;4;0;0;1;2;4;0;1;2;4;0
160,38872,2387;0;2;14;0;1;3;6;0;2;3;7;0;1;3;8;0;1;2;7;0;2;2;4;6;0;1;3;4;1;7;0;1;3;4;0;0;2;2;4;0;1;3;4;0
176,38888,2375;0;2;12;0;1;3;8;0;1;2;6;0;2;2;8;0;1;3;6;0;2;2;4;6;0;2;3;4;0;7;0;1;2;4;0;0;1;1;4;0;3;2;4;0
192,38904,2383;0;2;12;0;1;3;8;0;1;2;6;0;5;4;8;0;2;3;6;0;1;0;4;6;0;2;2;4;0;6;0;1;2;4;0;0;3;3;4;0;2;2;4;0
208,38920,2383;0;1;10;0;1;3;8;0;2;3;7;0;1;2;8;0;1;3;6;2;3;2;4;7;0;2;2;4;3;6;0;1;2;4;0;0;2;2;3;0;1;3;4;0
224,38936,2377;0;2;13;0;4;2;9;0;2;2;7;0;1;3;10;0;1;2;6;0;1;3;4;7;0;2;2;4;0;7;3;2;3;4;0;0;1;2;4;0;2;2;4;0
240,38952,2383;0;2;15;0;2;2;8;0;1;2;7;0;2;2;8;0;2;2;7;0;1;2;4;6;0;2;2;4;0;6;0;1;2;4;0;0;2;3;4;0;2;2;4;0
256,38968,2381;0;3;14;0;1;2;8;0;2;2;6;0;2;2;8;0;2;2;6;0;1;3;4;7;1;4;2;4;0;6;0;2;2;4;0;0;3;3;4;0;1;3;4;1
272,38984,2384;0;1;12;0;1;5;8;0;2;2;6;0;2;2;8;0;2;3;8;0;2;3;4;6;0;1;3;4;0;6;0;2;2;4;0;0;1;3;4;0;2;2;4;0
288,39000,2385;0;3;14;0;1;3;8;0;1;3;10;0;2;3;8;0;3;2;6;0;2;2;4;6;0;3;2;4;0;6;0;2;2;4;0;0;1;2;4;0;1;2;4;0
304,39016,2382;0;1;12;0;1;3;8;0;2;2;7;0;1;2;8;0;2;2;6;0;2;2;4;6;1;2;3;5;0;6;0;2;3;5;0;0;0;3;4;0;1;2;4;0
320,39032,2385;0;2;11;0;2;3;8;0;2;3;6;0;2;3;10;0;1;3;6;0;2;3;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;0
