TimeSinceCollection,Timestamp,PlantarValue
0,222422,2649;0;2;13;0;1;2;9;0;1;2;7;0;2;2;8;0;2;2;6;0;2;3;4;6;0;2;2;4;0;6;0;2;2;3;0;0;1;2;4;0;1;3;4;0
16,222438,2649;0;1;13;0;2;3;8;0;1;2;6;0;2;2;11;0;1;2;6;0;3;3;4;6;0;2;2;4;0;6;0;2;3;4;0;0;3;3;4;0;2;2;4;0
32,222454,2652;0;2;10;0;2;2;8;0;1;2;7;0;5;4;8;0;2;2;6;1;2;2;4;6;0;1;3;4;0;6;0;1;0;4;0;0;2;2;4;0;1;3;4;0
48,222470,2644;1;2;13;0;3;2;9;0;1;3;7;0;2;2;8;0;1;2;6;0;1;3;4;6;0;2;3;4;0;6;0;2;3;4;0;0;0;0;4;0;1;3;4;0
64,222486,2652;0;1;12;3;2;3;8;0;2;2;6;0;3;2;5;0;2;2;6;0;1;3;4;6;0;3;3;4;0;6;0;3;3;4;0;0;2;2;4;0;1;2;4;0
80,222502,2651;0;1;12;0;2;3;8;0;2;2;6;0;1;2;8;0;2;2;6;0;2;2;4;6;1;4;3;4;0;6;0;2;2;4;0;0;2;3;4;0;2;2;4;0
96,222518,2652;0;1;14;0;2;6;9;0;2;2;6;0;2;2;8;0;3;2;6;0;2;3;4;6;0;2;3;6;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;0
112,222534,2650;0;2;10;0;1;3;8;0;2;2;8;0;2;3;8;0;2;2;7;0;2;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;3;5;0;2;2;4;0
128,222550,2648;0;2;11;0;1;3;8;0;1;2;6;0;2;2;8;0;2;2;7;0;1;2;4;7;0;1;3;4;0;6;0;1;2;4;0;2;2;3;3;0;2;2;4;0
144,222566,2649;0;2;13;0;1;2;8;0;3;2;6;0;2;3;8;3;2;2;6;0;1;3;4;6;0;2;2;4;0;6;0;2;2;4;0;0;1;2;4;0;0;2;4;0
160,222582,2648;0;1;12;0;1;2;9;1;2;3;7;0;2;4;8;0;1;3;6;0;2;2;4;6;0;2;3;4;0;8;0;2;2;4;0;0;1;2;4;0;1;2;4;0
176,222598,2641;0;2;13;0;2;2;8;0;1;2;6;0;2;3;8;0;2;2;6;0;2;3;4;7;0;2;4;4;0;6;0;2;2;4;0;0;2;2;3;0;2;3;4;0
192,222614,2650;0;2;10;0;1;4;8;0;3;2;6;0;1;3;8;0;2;3;6;1;1;2;4;6;0;2;3;3;0;7;0;1;2;4;0;0;1;2;4;0;2;2;4;0
208,222630,2651;0;2;12;0;1;3;8;0;2;2;6;0;1;2;8;0;2;2;6;0;2;3;4;6;0;2;3;4;0;7;0;0;2;4;0;0;1;2;4;0;1;3;4;0
224,222646,2645;0;1;18;0;1;2;8;0;2;3;6;0;2;2;9;0;2;4;6;0;2;2;4;6;0;1;2;4;0;6;0;2;2;4;4;0;2;3;4;0;1;2;4;0
240,222662,2649;0;2;12;0;1;2;9;0;2;3;6;0;2;3;8;0;1;2;6;0;0;2;4;6;0;3;2;4;0;6;0;2;3;4;0;0;2;3;4;0;2;2;4;0
256,222678,2642;0;1;11;0;2;1;8;0;2;3;6;0;1;3;8;0;2;2;6;0;2;3;4;6;0;2;2;4;0;6;0;1;2;4;0;0;2;6;4;0;2;3;4;0
272,222694,2648;0;2;12;0;1;2;8;0;1;2;6;0;2;3;8;0;2;3;6;0;1;2;4;6;1;1;2;4;0;6;0;3;2;4;0;0;2;2;5;0;2;2;4;0
288,222710,2638;0;2;13;0;3;2;9;0;2;3;7;0;2;2;8;0;1;3;7;0;1;2;4;6;0;1;3;4;0;6;0;2;2;4;0;0;2;3;4;0;2;2;4;0
304,222726,2644;0;2;11;0;2;3;8;0;1;1;6;0;2;3;8;0;2;2;6;0;2;2;3;6;0;2;3;4;0;6;0;1;2;4;0;0;1;2;5;0;2;2;4;0
320,222742,2654;0;1;13;1;2;3;8;0;2;2;6;0;1;2;8;0;2;2;6;0;2;3;4;6;0;2;5;4;0;6;0;1;3;4;0;0;2;2;4;0;2;2;4;0
336,222758,2650;0;2;14;0;2;2;8;0;2;2;6;0;1;2;8;0;2;3;6;0;2;3;4;6;0;2;3;4;0;6;0;3;3;4;0;0;2;2;4;0;1;3;4;0
352,222774,2649;0;2;13;0;1;2;8;0;2;3;6;0;1;2;9;0;1;2;6;0;2;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;1;3;4;0;1;2;4;0
368,222790,2652;0;2;11;0;3;3;8;0;1;3;6;0;2;2;8;0;2;2;6;0;2;2;4;6;0;1;2;4;0;6;0;1;2;4;0;0;2;3;4;0;1;3;4;0
384,222806,2649;0;1;12;0;1;2;9;0;2;1;6;0;1;3;8;0;2;2;7;0;1;2;4;6;0;1;2;1;0;6;0;1;2;4;0;0;2;2;4;0;2;2;4;0
400,222822,2651;0;1;13;0;1;2;8;0;1;3;6;0;2;2;8;0;1;2;7;0;1;0;4;6;0;2;2;4;0;6;0;1;3;4;0;0;2;2;4;0;1;2;4;0
416,222838,2651;0;0;11;0;1;2;8;0;1;3;6;0;2;3;8;0;1;3;6;0;1;3;4;6;0;1;3;4;0;6;0;2;3;4;0;0;1;2;4;0;2;6;4;0
432,222854,2650;0;2;12;0;1;2;8;0;2;2;6;0;0;3;8;0;0;2;6;0;1;2;6;6;1;2;2;4;0;6;0;3;2;4;0;1;2;2;3;0;1;2;4;0
448,222870,2649;0;1;12;0;6;2;9;0;2;3;6;0;2;2;8;1;2;2;6;0;2;3;4;6;1;2;1;4;0;6;0;1;2;4;0;0;2;2;4;0;1;2;4;0
464,222886,2650;0;2;12;0;2;2;8;0;2;3;6;0;1;2;9;0;2;2;7;0;2;4;4;6;0;2;3;2;0;6;0;3;2;4;0;0;2;3;4;0;2;2;4;0
480,222902,2643;0;2;13;0;1;3;9;0;2;2;6;0;1;3;8;0;1;0;6;0;2;3;4;6;0;2;3;1;0;6;0;0;3;4;0;0;2;3;4;0;1;2;4;1
496,222918,2653;0;2;12;1;1;3;8;0;2;2;6;0;1;3;8;0;1;2;6;0;2;3;4;6;0;1;3;4;0;6;0;1;2;4;0;0;2;2;4;0;2;2;4;1
512,222934,2643;0;3;11;0;2;3;9;0;1;2;6;0;2;3;8;0;2;2;6;0;1;3;4;6;0;1;2;4;0;6;0;1;2;4;0;0;2;3;4;0;1;2;4;0
528,222950,2642;0;2;13;0;2;2;8;0;2;3;6;0;2;3;8;0;1;3;6;0;2;2;4;6;1;2;2;5;0;6;0;2;2;4;0;0;1;2;4;0;2;3;4;0
544,222966,2649;0;1;13;0;1;2;8;0;3;3;6;0;2;3;8;0;2;3;4;0;1;0;4;6;0;1;3;4;0;6;0;1;3;4;0;0;2;2;4;0;2;2;4;0
560,222982,2648;0;2;13;0;2;3;4;0;2;3;6;0;1;2;8;3;1;2;6;0;2;3;4;6;0;1;3;4;0;6;0;1;3;4;0;0;4;3;4;1;2;2;4;0
576,222998,2651;0;3;10;0;1;2;8;0;2;2;6;0;1;3;7;0;2;2;6;0;3;3;4;5;0;1;2;4;0;6;0;2;3;4;0;0;1;3;6;0;2;3;4;0
592,223014,2650;0;2;12;0;2;3;8;0;2;2;6;0;1;2;8;0;2;2;6;0;2;3;4;6;0;2;3;4;0;6;0;2;2;4;0;0;1;2;4;0;2;2;4;0
608,223030,2653;0;3;11;0;2;2;9;0;1;3;7;0;1;3;9;0;2;2;6;0;1;2;0;6;0;1;2;4;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;1
624,223046,2644;0;2;13;0;2;2;8;0;2;2;7;0;2;3;9;0;1;2;6;0;1;0;4;6;0;2;2;4;0;7;0;2;3;4;0;0;3;2;4;0;1;2;4;0
640,223062,2649;0;2;11;0;1;2;9;0;1;2;6;0;2;2;8;0;1;1;6;0;2;2;3;6;0;1;2;4;0;6;0;2;2;4;0;0;2;2;4;0;1;2;4;0
656,223078,2651;0;3;11;0;4;3;8;0;3;3;6;0;1;3;9;0;2;2;6;0;2;4;4;6;0;2;2;4;0;6;0;2;2;4;1;0;2;3;4;0;2;3;3;0
672,223094,2650;0;2;12;0;1;3;8;0;0;2;7;1;2;3;8;0;2;2;6;0;2;2;0;4;0;1;3;4;1;6;0;1;3;4;0;0;2;2;4;0;1;3;4;0
688,223110,2645;0;2;13;0;1;3;12;0;2;2;6;0;1;2;8;0;1;2;6;0;2;2;4;6;0;1;3;4;0;6;0;1;2;4;0;0;2;3;4;0;2;4;4;0
704,223126,2648;0;1;13;2;1;2;8;0;2;2;6;0;2;2;8;0;2;3;6;0;1;3;4;6;6;2;3;4;0;6;0;1;3;4;0;0;2;2;4;0;1;2;4;0
720,223142,2648;0;1;12;0;2;2;8;1;2;3;6;0;2;2;8;0;1;2;6;0;1;2;4;6;2;3;2;4;0;6;0;1;2;4;0;0;2;2;4;0;1;4;4;0
736,223158,2652;0;2;10;0;2;5;8;0;1;2;7;0;2;2;8;0;2;2;7;0;2;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;2;2;5;0;2;2;4;0
752,223174,2641;0;2;11;0;1;3;8;0;2;2;7;0;2;3;8;0;2;3;6;0;2;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;1
768,223190,2638;0;2;12;0;1;2;9;0;2;3;6;0;1;3;8;0;0;3;6;0;2;3;4;6;0;1;2;4;0;6;0;1;3;3;0;0;1;3;4;0;2;2;4;0
784,223206,2648;0;2;13;0;1;3;8;0;1;3;6;0;2;2;9;0;1;2;6;0;2;3;4;6;1;1;3;4;0;6;0;2;2;3;0;0;2;3;4;0;3;3;4;0
800,223222,2649;0;2;11;0;1;2;7;0;1;2;7;0;2;2;8;0;1;2;7;0;1;2;6;7;0;2;2;4;0;6;0;1;3;4;0;0;2;2;4;0;1;2;4;0
816,223238,2647;0;2;12;0;2;3;8;0;2;3;7;0;2;3;8;0;2;3;6;0;1;1;4;6;0;2;2;4;0;6;0;4;2;4;1;0;2;2;4;0;1;3;4;0
832,223254,2645;0;2;10;0;2;3;9;0;1;2;7;0;1;2;9;0;1;2;6;1;1;2;4;6;0;2;3;4;0;5;0;1;2;4;0;0;2;2;4;0;2;3;4;0
848,223270,2644;0;1;13;2;1;3;8;0;2;3;6;0;2;3;7;0;2;2;6;0;1;3;4;6;0;0;2;4;0;7;0;2;2;4;0;0;2;2;4;0;1;2;4;0
864,223286,2649;0;2;13;0;1;3;8;0;1;2;6;0;2;2;8;7;2;3;6;0;2;2;4;7;0;2;2;4;0;6;0;2;3;4;0;0;1;2;4;0;1;3;4;0
880,223302,2652;0;1;12;0;1;2;7;0;1;2;6;0;2;3;8;0;1;1;6;0;2;2;4;6;0;1;3;4;0;6;0;2;3;4;0;0;3;2;4;0;2;3;3;0
896,223318,2638;0;1;11;0;1;3;9;0;1;3;6;0;2;2;8;1;1;3;6;0;2;2;4;6;0;3;2;4;0;7;0;1;3;4;0;0;1;3;4;0;2;3;4;0
912,223334,2652;0;2;12;0;2;2;8;0;1;2;6;0;1;3;8;0;1;2;6;0;2;2;4;4;0;1;3;4;0;6;0;2;3;4;0;0;1;3;4;0;1;2;4;0
928,223350,2649;0;1;12;0;1;2;7;0;2;3;6;0;1;1;8;0;1;3;6;0;2;10;4;6;0;3;3;4;0;6;0;2;3;4;0;0;1;3;4;0;4;3;4;0
944,223366,2649;0;1;15;0;2;2;8;0;2;2;7;2;2;2;9;1;2;2;6;0;2;3;4;6;0;0;3;8;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
960,223382,2654;0;1;9;0;2;3;7;0;2;3;6;0;1;3;8;0;2;2;6;0;2;3;4;6;0;1;3;4;0;6;0;2;3;4;0;0;2;3;4;0;1;2;5;0
976,223398,2650;0;1;10;0;1;2;8;0;2;3;6;0;1;2;8;1;2;3;6;0;2;1;4;6;0;2;2;4;0;6;1;2;2;4;0;0;1;2;4;0;1;2;4;0
992,223414,2652;0;2;11;0;1;2;8;0;0;2;7;0;2;2;8;0;2;3;6;0;1;2;4;6;0;2;2;4;1;6;0;1;3;4;0;0;1;3;4;0;1;2;4;0
1008,223430,2644;0;2;11;0;2;2;9;0;1;2;6;0;2;2;8;1;2;2;6;0;2;2;4;6;1;1;3;4;0;6;0;2;2;4;0;0;2;3;4;0;1;3;4;0
1024,223446,2651;0;1;12;0;2;3;8;0;2;3;6;0;2;2;8;0;2;3;6;0;2;2;4;6;0;2;2;4;0;6;0;2;2;4;0;0;1;2;4;0;2;3;4;0
1040,223462,2643;0;2;11;0;1;2;8;0;2;3;5;0;2;2;8;0;1;2;6;0;1;2;4;6;0;2;2;4;0;6;0;1;3;4;0;0;2;2;4;0;2;3;4;0
1056,223478,2649;0;1;10;0;3;2;8;0;1;2;7;0;1;3;9;1;2;2;6;0;2;3;4;7;0;2;2;4;0;6;0;2;3;3;0;0;2;2;4;0;5;2;4;0
1072,223494,2650;0;2;13;0;1;2;8;0;1;2;6;0;1;0;8;1;2;3;6;0;1;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;4;2;4;0
1088,223510,2651;0;2;11;0;1;3;8;0;2;2;7;0;1;2;8;0;2;2;6;1;1;2;4;6;0;2;2;4;0;6;0;1;3;4;1;0;2;2;4;0;1;2;4;0
1104,223526,2645;1;1;13;1;1;3;9;0;2;3;7;0;2;3;8;0;3;2;6;0;2;2;4;6;0;1;2;4;0;6;0;2;2;4;0;0;1;2;4;0;1;2;4;0
1120,223542,2652;0;2;13;0;2;2;8;0;2;3;6;0;1;2;8;0;1;3;6;0;2;2;4;6;0;3;3;4;0;6;0;2;3;4;0;0;2;3;4;0;1;2;4;0
1136,223558,2644;0;3;13;0;2;3;9;0;2;2;3;0;2;3;9;0;2;3;6;0;2;2;4;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;3;4;0
1152,223574,2649;0;2;13;0;1;3;8;0;2;2;7;0;0;2;8;0;1;3;6;0;1;3;4;6;0;1;2;3;0;6;0;2;3;4;0;0;2;7;4;0;2;2;4;0
1168,223590,2649;0;1;11;0;1;3;8;0;2;2;7;0;1;2;8;0;2;3;6;0;2;2;4;6;0;2;2;4;0;7;0;2;2;4;0;0;2;3;4;0;2;2;4;0
1184,223606,2644;0;2;21;0;1;2;8;0;4;2;6;0;1;2;8;0;2;2;6;0;2;3;4;6;0;2;2;4;0;6;1;2;3;4;0;0;2;3;4;0;1;3;4;0
1200,223622,2649;0;1;11;0;0;3;8;0;0;3;6;0;1;2;8;0;2;2;6;0;4;3;4;6;0;5;0;4;0;6;0;1;3;1;0;0;2;2;4;0;2;3;4;0
1216,223638,2644;0;2;10;0;4;3;8;0;1;2;7;0;1;2;9;0;1;3;6;0;1;3;4;6;0;2;3;4;0;6;0;2;2;4;0;0;1;3;4;0;1;3;4;0
1232,223654,2652;0;1;11;0;2;2;8;0;2;2;6;0;1;2;6;0;2;2;7;0;2;3;4;6;0;2;2;4;0;6;0;2;3;5;0;0;1;2;4;0;2;2;4;0
1248,223670,2647;0;2;12;0;2;3;8;0;2;3;7;0;1;2;8;0;2;2;6;0;2;2;4;6;0;2;3;4;0;6;0;1;2;4;0;0;2;3;4;0;3;2;4;0
1264,223686,2640;0;1;11;0;2;2;8;0;1;2;6;0;2;3;8;0;3;2;6;0;1;2;3;6;0;2;3;4;0;6;0;2;2;4;0;0;2;2;4;0;1;2;4;0
1280,223702,2653;0;1;9;0;2;3;8;0;2;3;6;0;2;2;8;0;1;3;6;0;1;3;4;7;0;2;2;4;0;6;0;2;2;4;0;0;1;4;4;0;3;3;4;0
1296,223718,2638;0;1;12;0;1;2;9;0;1;3;6;0;2;3;8;0;1;3;6;0;2;3;4;6;0;1;3;4;0;6;0;1;2;4;0;0;2;3;4;0;1;2;4;0
1312,223734,2643;0;2;11;0;2;3;8;0;2;2;6;0;2;2;8;0;1;2;6;0;1;2;4;6;0;2;3;4;0;6;0;4;2;4;0;0;2;3;4;0;1;2;4;0
1328,223750,2643;2;2;11;0;2;2;8;0;1;2;6;0;2;2;8;0;1;3;7;0;1;3;4;6;0;2;2;4;0;6;0;2;3;4;0;0;2;2;4;0;1;2;4;0
1344,223766,2651;0;1;13;1;2;2;8;0;1;3;6;0;1;2;8;0;2;2;6;0;2;3;4;6;0;1;3;4;0;6;0;2;2;4;0;0;2;2;4;0;2;2;4;0
