TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,63198,0,-0.610352,-1.09863,-79.6014,-21.0718,95.3284,3.45967,-9.02481,1.66523,-0.595154,0.319977,0.559784,-0.479492,-124.317,50.5333,-68.275,-10182,-28518
6,63204,-0.488281,-0.732422,-0.976563,-79.6069,-21.0773,95.3284,3.52666,-9.01045,1.71309,-0.595184,0.319946,0.559814,-0.479462,-124.3,50.5167,-68.3167,-10157,-28521
12,63210,-0.427246,-0.732422,-0.793457,-79.6069,-21.0828,95.3339,3.52666,-9.06787,1.65566,-0.595154,0.319916,0.559875,-0.479431,-124.3,50.5167,-68.3417,-10157,-28521
18,63216,-0.671387,-0.915527,-1.0376,-79.6179,-21.0938,95.3448,3.52666,-9.02959,1.64131,-0.595154,0.319885,0.559937,-0.479401,-124.317,50.5417,-68.325,-10157,-28521
24,63222,-0.549316,-1.0376,-0.732422,-79.6234,-21.0938,95.3448,3.49316,-9.04395,1.61738,-0.595123,0.319855,0.559998,-0.47937,-124.308,50.525,-68.3,-10157,-28521
30,63228,-0.610352,-1.34277,-1.09863,-79.6289,-21.0992,95.3503,3.5793,-9.06309,1.65566,-0.595123,0.319824,0.560028,-0.47937,-124.325,50.5167,-68.225,-10157,-28521
36,63234,-0.854492,-0.915527,-0.854492,-79.6344,-21.1047,95.3558,3.55537,-9.08223,1.59824,-0.595093,0.319794,0.560089,-0.47934,-124.358,50.5167,-68.2083,-10157,-28521
42,63240,-0.793457,-1.34277,-1.09863,-79.6399,-21.1102,95.3613,3.56016,-9.0918,1.55518,-0.595062,0.319763,0.560211,-0.479279,-124.367,50.5,-68.2083,-10157,-28521
48,63246,-0.305176,-1.15967,-0.854492,-79.6454,-21.1212,95.3723,3.48838,-9.04395,1.6126,-0.595032,0.319733,0.560272,-0.479248,-124.375,50.4833,-68.2417,-10157,-28521
54,63252,-0.12207,-1.28174,-0.915527,-79.6509,-21.1267,95.3778,3.55537,-9.07266,1.66045,-0.595032,0.319702,0.560303,-0.479248,-124.383,50.4833,-68.2417,-10157,-28521
60,63258,-0.305176,-0.915527,-1.2207,-79.6509,-21.1322,95.3833,3.4501,-9.0918,1.63174,-0.595001,0.319672,0.560364,-0.479248,-124.392,50.4667,-68.2,-10157,-28521
66,63264,-0.183105,-1.28174,-1.2207,-79.6564,-21.1377,95.3888,3.46924,-9.04873,1.61738,-0.595001,0.319611,0.560394,-0.479218,-124.375,50.4583,-68.1667,-10157,-28521
72,63270,0,-0.854492,-1.28174,-79.6619,-21.1432,95.3888,3.53145,-9.12529,1.56953,-0.594971,0.31955,0.560486,-0.479187,-124.367,50.45,-68.125,-10157,-28521
78,63276,0,-0.854492,-1.0376,-79.6619,-21.1542,95.3998,3.55537,-9.01523,1.62217,-0.594971,0.319519,0.560516,-0.479156,-124.383,50.475,-68.075,-10157,-28521
84,63282,0,-0.671387,-1.40381,-79.6619,-21.1597,95.3998,3.51709,-9.03438,1.62217,-0.594971,0.319458,0.560577,-0.479156,-124.375,50.45,-68.0333,-10157,-28521
90,63288,0.244141,-0.976563,-1.40381,-79.6674,-21.1707,95.4053,3.53623,-9.0918,1.5791,-0.594971,0.319427,0.560608,-0.479126,-124.383,50.4417,-68,-10157,-28521
96,63294,-0.183105,-0.915527,-1.40381,-79.6674,-21.1761,95.4053,3.62236,-9.04873,1.5791,-0.595001,0.319366,0.560638,-0.479126,-124.4,50.45,-67.9583,-10157,-28521
102,63300,0,-0.427246,-1.28174,-79.6674,-21.1816,95.4053,3.56016,-9.10137,1.55518,-0.595001,0.319305,0.56073,-0.479065,-124.392,50.45,-67.925,-10157,-28521
108,63306,0.0610352,-0.427246,-0.793457,-79.6729,-21.1926,95.4108,3.62715,-9.01523,1.59346,-0.595001,0.319275,0.56073,-0.479034,-124.383,50.4417,-67.9917,-10157,-28521
114,63312,0,-0.305176,-1.0376,-79.6729,-21.1926,95.4108,3.56494,-9.06309,1.60781,-0.595032,0.319244,0.56076,-0.479004,-124.383,50.4583,-68.05,-10157,-28521
120,63318,-0.12207,-0.671387,-0.732422,-79.6729,-21.1981,95.4108,3.5793,-9.03438,1.60303,-0.595032,0.319244,0.560791,-0.478973,-124.383,50.475,-68.1083,-10157,-28521
126,63324,0,-0.366211,-0.427246,-79.6729,-21.1981,95.4163,3.65586,-9.01523,1.61738,-0.595032,0.319214,0.560822,-0.478973,-124.367,50.4583,-68.1583,-10165,-28520
132,63330,-0.244141,-0.183105,0.305176,-79.6783,-21.1981,95.4163,3.75635,-9.01523,1.56953,-0.595001,0.319214,0.560852,-0.478973,-124.383,50.4667,-68.1667,-10165,-28520
138,63336,-0.488281,-0.610352,0.671387,-79.6838,-21.1981,95.4218,3.64629,-9.05352,1.58389,-0.594971,0.319214,0.560852,-0.478973,-124.408,50.4667,-68.15,-10165,-28520
144,63342,-0.427246,-0.183105,0.610352,-79.6893,-21.1926,95.4218,3.54102,-9.08701,1.55039,-0.59494,0.319244,0.560883,-0.478973,-124.433,50.4417,-68.1667,-10165,-28520
150,63348,-0.0610352,-0.366211,0.427246,-79.6893,-21.1926,95.4272,3.39746,-9.08223,1.62695,-0.59491,0.319275,0.560883,-0.478973,-124.433,50.4167,-68.1333,-10165,-28520
156,63354,0,-0.488281,0.183105,-79.6893,-21.1926,95.4272,3.44531,-9.00566,1.73701,-0.59491,0.319275,0.560883,-0.479004,-124.467,50.3917,-68.0833,-10165,-28520
162,63360,-0.793457,-0.976563,0.0610352,-79.6948,-21.1926,95.4327,3.50273,-9.02959,1.64609,-0.594849,0.319275,0.560944,-0.479004,-124.483,50.375,-68.05,-10165,-28520
168,63366,-0.915527,-0.915527,0,-79.7113,-21.1926,95.4437,3.56016,-9.06787,1.56953,-0.594818,0.319275,0.560974,-0.479004,-124.492,50.3333,-68.0917,-10165,-28520
174,63372,-0.732422,-0.610352,-0.12207,-79.7113,-21.1926,95.4437,3.5123,-9.09658,1.56475,-0.594788,0.319275,0.561005,-0.479004,-124.483,50.3167,-68.1167,-10165,-28520
180,63378,-0.488281,-0.732422,0,-79.7168,-21.1926,95.4492,3.54102,-9.06309,1.55996,-0.594757,0.319305,0.561066,-0.478973,-124.475,50.3083,-68.1167,-10165,-28520
186,63384,-0.488281,-0.854492,-0.0610352,-79.7223,-21.1926,95.4547,3.52666,-9.02959,1.61738,-0.594727,0.319305,0.561096,-0.478973,-124.467,50.2833,-68.125,-10165,-28520
192,63390,-0.488281,-0.610352,-0.183105,-79.7333,-21.1926,95.4602,3.57451,-9.05352,1.49297,-0.594666,0.319305,0.561157,-0.478973,-124.442,50.2917,-68.1083,-10165,-28520
198,63396,-0.183105,-0.488281,0.12207,-79.7333,-21.1926,95.4602,3.56016,-9.11094,1.56953,-0.594666,0.319305,0.561188,-0.478943,-124.442,50.3167,-68.1333,-10165,-28520
204,63402,0.12207,-0.305176,0,-79.7333,-21.1926,95.4657,3.5123,-9.05352,1.56475,-0.594635,0.319305,0.561188,-0.478943,-124.425,50.3167,-68.1667,-10165,-28520
210,63408,0.12207,-0.305176,-0.305176,-79.7333,-21.1981,95.4657,3.49795,-9.03438,1.60303,-0.594635,0.319305,0.561188,-0.478973,-124.425,50.3,-68.1667,-10165,-28520
216,63414,-0.0610352,-0.305176,-0.244141,-79.7388,-21.1981,95.4657,3.52666,-9.04395,1.61738,-0.594635,0.319275,0.561218,-0.478973,-124.442,50.2917,-68.1667,-10165,-28520
222,63420,0.366211,-0.183105,0.12207,-79.7388,-21.1981,95.4712,3.56016,-9.07744,1.60303,-0.594604,0.319275,0.561249,-0.478943,-124.45,50.275,-68.1333,-10165,-28520
228,63426,0.183105,-0.12207,-0.244141,-79.7388,-21.1981,95.4712,3.50752,-9.04395,1.56475,-0.594604,0.319275,0.561218,-0.478973,-124.483,50.2333,-68.1083,-10165,-28520
234,63432,0.183105,-0.12207,-0.366211,-79.7388,-21.1981,95.4712,3.58887,-9.07266,1.59824,-0.594604,0.319244,0.561249,-0.478973,-124.5,50.2333,-68.1167,-10165,-28520
240,63438,0.12207,-0.0610352,-0.244141,-79.7388,-21.2036,95.4712,3.58408,-9.02959,1.55518,-0.594604,0.319244,0.561249,-0.478943,-124.5,50.225,-68.1333,-10173,-28519
246,63444,0,0,-0.0610352,-79.7388,-21.2036,95.4712,3.61279,-9.03916,1.5791,-0.594635,0.319244,0.561249,-0.478943,-124.5,50.2,-68.1667,-10173,-28519
252,63450,-0.0610352,0.305176,0,-79.7388,-21.2036,95.4712,3.5458,-9.06309,1.59824,-0.594604,0.319244,0.561249,-0.478943,-124.492,50.1833,-68.1833,-10165,-28520
258,63456,0,-0.0610352,0.0610352,-79.7388,-21.1981,95.4712,3.52666,-9.06309,1.67002,-0.594604,0.319244,0.561249,-0.478943,-124.525,50.1917,-68.1667,-10165,-28520
264,63462,-0.183105,-0.366211,-0.244141,-79.7388,-21.2036,95.4712,3.53623,-9.01523,1.66045,-0.594604,0.319244,0.561249,-0.478943,-124.533,50.1833,-68.1583,-10165,-28520
270,63468,-0.366211,-0.488281,-0.0610352,-79.7443,-21.2036,95.4767,3.5123,-9.01045,1.67002,-0.594604,0.319244,0.561279,-0.478943,-124.533,50.1667,-68.15,-10165,-28520
276,63474,-0.244141,-0.732422,-0.366211,-79.7498,-21.2036,95.4767,3.53623,-9.0583,1.62695,-0.594574,0.319244,0.56131,-0.478912,-124.55,50.1583,-68.1167,-10165,-28520
282,63480,-0.366211,-0.610352,-0.366211,-79.7552,-21.2091,95.4822,3.50273,-9.07744,1.58867,-0.594543,0.319244,0.56134,-0.478912,-124.558,50.15,-68.1,-10165,-28520
288,63486,-0.488281,-0.610352,-0.305176,-79.7607,-21.2091,95.4877,3.55059,-9.00088,1.53604,-0.594543,0.319244,0.561371,-0.478912,-124.567,50.1417,-68.075,-10165,-28520
294,63492,-0.305176,-0.549316,-0.244141,-79.7607,-21.2091,95.4877,3.56973,-9.03916,1.56475,-0.594513,0.319244,0.561401,-0.478882,-124.575,50.1833,-68.05,-10165,-28520
300,63498,-0.244141,-0.793457,-0.183105,-79.7662,-21.2091,95.4932,3.62236,-9.04395,1.53125,-0.594482,0.319244,0.561432,-0.478882,-124.583,50.2,-68.025,-10165,-28520
306,63504,-0.305176,-0.549316,0.244141,-79.7662,-21.2091,95.4987,3.66543,-9.06309,1.51689,-0.594482,0.319214,0.561462,-0.478882,-124.6,50.1917,-67.9917,-10165,-28520
312,63510,0,-0.366211,0.12207,-79.7717,-21.2091,95.4987,3.53623,-9.09658,1.56953,-0.594421,0.319244,0.561523,-0.478882,-124.583,50.1917,-67.9167,-10165,-28520
318,63516,-0.12207,-0.244141,0.0610352,-79.7772,-21.2091,95.4987,3.50752,-9.07744,1.56475,-0.594421,0.319244,0.561523,-0.478882,-124.575,50.2083,-67.875,-10165,-28520
