TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,452593,6.5918,-12.085,-9.0332,-77.58,-18.468,-107.737,2.62705,-10.3694,1.01445,0.372711,-0.465454,0.425873,-0.68042,-126.625,52.8667,-54.4083,-10322,-28501
6,452599,8.48389,-6.16455,-12.3901,-77.5525,-18.5339,-107.787,2.79932,-10.623,0.215332,0.372375,-0.465607,0.425629,-0.680634,-126.633,52.825,-54.4167,-10322,-28501
12,452605,12.4512,-8.8501,-16.5405,-77.5085,-18.6163,-107.831,2.56484,-11.0106,0.933105,0.371857,-0.465637,0.425385,-0.68103,-126.625,52.7833,-54.425,-10322,-28501
18,452611,16.0522,-5.92041,-21.7285,-77.4426,-18.7207,-107.897,3.59365,-10.9532,0.966602,0.371368,-0.465759,0.424927,-0.681519,-126.625,52.725,-54.4333,-10322,-28501
24,452617,23.0713,5.7373,-33.4473,-77.3383,-18.847,-108.012,4.8043,-9.19707,1.6748,0.369843,-0.465668,0.423553,-0.683258,-126.633,52.675,-54.45,-10322,-28501
30,452623,14.4653,16.2354,-36.3159,-77.113,-19.1547,-108.342,5.93359,-6.45039,1.5791,0.368774,-0.465515,0.422668,-0.684509,-126.725,52.5667,-54.5,-10322,-28501
36,452629,-3.96729,35.4004,-36.0718,-77.0691,-19.292,-108.638,6.37383,-4.9957,1.03359,0.367218,-0.46524,0.422119,-0.685852,-126.775,52.4917,-54.5917,-10322,-28501
42,452635,-21.7285,49.3164,-34.729,-77.0911,-19.4073,-109.001,6.06758,-5.26367,0.995313,0.36496,-0.464691,0.422424,-0.687256,-126.833,52.4167,-54.6583,-10322,-28501
48,452641,-35.7056,66.1621,-33.5693,-77.157,-19.5062,-109.451,6.31641,-5.94316,0.468945,0.362091,-0.463989,0.423492,-0.688568,-126.883,52.35,-54.7083,-10322,-28501
54,452647,-59.7534,99.5483,-40.4663,-77.3822,-19.693,-110.638,4.83779,-8.34053,0.00957031,0.354401,-0.46167,0.427673,-0.691528,-126.942,52.2833,-54.7583,-10322,-28501
60,452653,-65.0024,112.793,-45.0439,-77.5085,-19.7974,-111.341,5.13447,-8.7999,-0.200977,0.349609,-0.460175,0.430511,-0.693207,-127.033,52.0583,-54.8583,-10322,-28501
66,452659,-69.7632,121.033,-46.2646,-77.6404,-19.9017,-112.094,5.23018,-8.7999,-0.172266,0.344299,-0.458466,0.433624,-0.695068,-127.067,51.9583,-54.9333,-10322,-28501
72,452665,-73.3032,134.705,-46.2646,-77.7722,-19.9951,-112.912,5.04834,-9.00566,-0.133984,0.338684,-0.456543,0.436951,-0.697021,-127.117,51.8417,-55.0333,-10322,-28501
78,452671,-76.9043,143.25,-44.6777,-77.9041,-20.072,-113.774,4.18701,-8.79033,-0.0334961,0.332703,-0.454254,0.440582,-0.699097,-127.15,51.7083,-55.2083,-10322,-28501
84,452677,-83.9844,151.794,-40.8936,-78.1952,-20.1929,-115.56,2.95723,-8.66592,0.468945,0.32019,-0.448975,0.448486,-0.703308,-127.167,51.5833,-55.4,-10322,-28501
90,452683,-87.5244,155.151,-39.6729,-78.3545,-20.2368,-116.477,2.47393,-9.12051,0.349316,0.313782,-0.446106,0.452698,-0.705322,-127.258,51.3917,-55.8333,-10322,-28501
96,452689,-88.0127,152.71,-38.5742,-78.5248,-20.2753,-117.383,1.94756,-9.72822,1.20586,0.307281,-0.443146,0.457092,-0.707245,-127.283,51.2667,-56.1,-10322,-28501
102,452695,-87.9517,153.076,-38.5132,-78.6896,-20.3192,-118.29,2.20596,-10.2498,0.947461,0.300812,-0.440155,0.461426,-0.709045,-127.317,51.1667,-56.3667,-10322,-28501
108,452701,-86.6089,155.029,-38.3911,-78.8434,-20.3577,-119.207,1.78008,-10.4221,1.18672,0.294342,-0.437134,0.465729,-0.710785,-127.317,51.0583,-56.6167,-10322,-28501
114,452707,-80.8716,151.733,-39.856,-79.1071,-20.4565,-121.025,1.67959,-10.4316,1.30635,0.281372,-0.430786,0.474152,-0.714355,-127.3,50.9583,-56.8583,-10314,-28502
120,452713,-79.1626,154.114,-40.1001,-79.2224,-20.5005,-121.937,1.67002,-10.1445,1.03838,0.274994,-0.427612,0.478119,-0.716095,-127.233,50.725,-57.4833,-10314,-28502
126,452719,-78.0029,149.536,-38.8184,-79.3378,-20.5444,-122.827,1.22979,-9.73779,1.2585,0.268616,-0.424316,0.482025,-0.717865,-127.175,50.6333,-57.775,-10314,-28502
132,452725,-77.6978,146.851,-36.5601,-79.4531,-20.5829,-123.701,1.1293,-9.65645,1.1293,0.26239,-0.421082,0.48584,-0.719513,-127.125,50.5417,-58.1167,-10314,-28502
138,452731,-77.5146,141.052,-33.8135,-79.5795,-20.6104,-124.536,0.669922,-9.63252,1.17715,0.256287,-0.417816,0.489624,-0.721039,-127.058,50.425,-58.5083,-10314,-28502
144,452737,-75.3174,127.563,-26.3672,-79.8541,-20.6323,-126.101,0.727344,-10.0728,1.01445,0.24472,-0.41156,0.497009,-0.723572,-127,50.3167,-58.875,-10314,-28502
150,452743,-72.876,118.896,-22.583,-80.0024,-20.6213,-126.81,1.01445,-10.135,0.799121,0.23941,-0.408569,0.50061,-0.724579,-126.925,50.1083,-59.7083,-10314,-28502
156,452749,-69.9463,113.525,-19.3481,-80.1453,-20.6049,-127.491,1.10059,-10.1732,0.818262,0.234436,-0.405701,0.504089,-0.725403,-126.867,49.9917,-60.15,-10314,-28502
162,452755,-67.1997,104.919,-17.2119,-80.2881,-20.5829,-128.123,0.971387,-10.111,1.03359,0.229736,-0.402893,0.507477,-0.726105,-126.833,49.9167,-60.5583,-10314,-28502
168,452761,-63.9038,96.0693,-15.5029,-80.4309,-20.5554,-128.705,1.54561,-9.86699,1.09102,0.225372,-0.400238,0.510681,-0.726685,-126.792,49.875,-60.925,-10314,-28502
174,452767,-58.7769,85.2051,-13.6108,-80.7111,-20.5115,-129.787,2.12939,-9.36455,1.50254,0.217377,-0.395416,0.516632,-0.72757,-126.633,49.8167,-61.6333,-10314,-28502
180,452773,-56.3965,79.5288,-12.8784,-80.8484,-20.495,-130.281,2.77539,-8.93389,1.60781,0.213715,-0.393188,0.519409,-0.727905,-126.567,49.8167,-62.0083,-10314,-28502
186,452779,-54.3823,77.0874,-12.5122,-80.9747,-20.473,-130.759,3.07686,-8.57022,1.78486,0.210205,-0.391083,0.522034,-0.72818,-126.483,49.8417,-62.3583,-10314,-28502
192,452785,-53.4058,73.9136,-11.9019,-81.1066,-20.462,-131.226,3.2252,-8.33574,2.00977,0.206818,-0.389038,0.524536,-0.728424,-126.392,49.8667,-62.7,-10314,-28502
198,452791,-51.9409,70.3125,-11.4746,-81.2329,-20.4456,-131.666,3.55059,-8.02949,2.15332,0.203522,-0.387054,0.526978,-0.728638,-126.275,49.8583,-63.0417,-10314,-28502
204,452797,-50.7202,68.8477,-11.8408,-81.4801,-20.4291,-132.539,3.8999,-7.75674,2.34473,0.197205,-0.383301,0.531647,-0.728973,-126.067,49.8667,-63.6417,-10314,-28502
210,452803,-50.2319,68.9697,-13.1226,-81.601,-20.4346,-132.979,4.1583,-7.54619,2.43564,0.194031,-0.38147,0.533905,-0.729156,-125.95,49.8583,-63.875,-10314,-28502
216,452809,-50.293,68.4204,-13.9771,-81.7163,-20.4456,-133.412,4.31143,-7.23516,2.51221,0.190857,-0.379669,0.536072,-0.72934,-125.842,49.85,-64.1333,-10305,-28503
222,452815,-50.5981,67.9321,-15.1367,-81.8372,-20.4675,-133.841,4.71816,-6.91455,2.68447,0.187653,-0.377869,0.538239,-0.729523,-125.733,49.85,-64.375,-10305,-28503
228,452821,-51.3306,68.6646,-15.686,-81.9525,-20.495,-134.275,5.14404,-6.57959,2.6749,0.184387,-0.37616,0.540344,-0.729675,-125.65,49.85,-64.575,-10305,-28503
234,452827,-52.002,67.627,-17.0288,-82.1997,-20.5664,-135.143,5.39287,-6.23506,2.56963,0.177734,-0.372742,0.544525,-0.72998,-125.517,49.8667,-64.9667,-10305,-28503
240,452833,-51.8188,65.1855,-18.2495,-82.3206,-20.6158,-135.56,5.19668,-5.88574,2.49307,0.174377,-0.371094,0.546539,-0.730103,-125.442,49.8917,-65.1167,-10305,-28503
246,452839,-51.1475,61.7065,-19.165,-82.4469,-20.6763,-135.961,5.01006,-5.67041,2.55527,0.171021,-0.369568,0.548492,-0.730194,-125.358,49.925,-65.2333,-10305,-28503
252,452845,-50.4761,57.1289,-19.4702,-82.5732,-20.7477,-136.335,4.82822,-5.47422,2.5457,0.167725,-0.368195,0.550354,-0.730255,-125.275,49.95,-65.3583,-10305,-28503
258,452851,-49.8047,50.5981,-18.6157,-82.7051,-20.8191,-136.675,4.76123,-5.38809,2.75625,0.164551,-0.366943,0.552155,-0.730255,-125.183,49.95,-65.5083,-10305,-28503
264,452857,-46.6919,36.1328,-13.7329,-82.9907,-20.9454,-137.236,4.58896,-5.6417,3.17256,0.158752,-0.365021,0.555481,-0.72998,-125.017,50.0083,-65.8,-10305,-28503
270,452863,-44.2505,27.832,-10.2539,-83.1335,-21.0004,-137.45,4.50762,-6.18721,3.4166,0.156311,-0.364288,0.557007,-0.729706,-124.95,50.05,-65.95,-10305,-28503
276,452869,-40.8325,19.9585,-7.38525,-83.2764,-21.0388,-137.615,4.5459,-6.93369,3.38789,0.154205,-0.363739,0.558441,-0.72934,-124.875,50.075,-66.125,-10305,-28503
