TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,1107148,-1.15967,0,-0.488281,-87.8796,-6.56982,-177.308,0.143555,-9.99619,1.08145,0.0228882,0.0574951,-0.691589,0.719574,-106.533,83.3583,-9.51667,-7325,-28864
6,1107154,-0.549316,0.244141,-0.488281,-87.8741,-6.54785,-177.149,0.0813477,-9.99141,1.10059,0.021759,0.0583496,-0.691498,0.719604,-106.542,83.325,-9.56667,-7325,-28864
12,1107160,0.12207,0.244141,-0.12207,-87.8687,-6.52588,-176.984,0.124414,-9.96748,1.13887,0.0205994,0.0591736,-0.691376,0.719696,-106.558,83.2917,-9.58333,-7325,-28864
18,1107166,0.915527,0.183105,-0.0610352,-87.8522,-6.48193,-176.66,0.153125,-9.9292,1.225,0.0194397,0.0599976,-0.691254,0.719788,-106.558,83.2333,-9.575,-7325,-28864
24,1107172,1.0376,0.366211,0.366211,-87.8412,-6.45447,-176.501,0.172266,-9.86221,1.22979,0.0171204,0.0616455,-0.690979,0.719971,-106.567,83.225,-9.53333,-7325,-28864
30,1107178,1.2207,0.366211,0.488281,-87.8302,-6.427,-176.342,0.105273,-9.84785,1.20586,0.0159607,0.062439,-0.690826,0.720062,-106.575,83.225,-9.49167,-7325,-28864
36,1107184,1.34277,0.610352,0.854492,-87.8192,-6.39954,-176.188,0.0478516,-9.84307,1.21543,0.0147705,0.0632324,-0.690704,0.720154,-106.6,83.2417,-9.475,-7325,-28864
42,1107190,1.46484,0.549316,0.915527,-87.8027,-6.37207,-176.028,0.105273,-9.75693,1.28242,0.0136108,0.0640259,-0.690521,0.720245,-106.6,83.2583,-9.5,-7325,-28864
48,1107196,1.46484,0.793457,0.793457,-87.7753,-6.32263,-175.715,0.0669922,-9.75215,1.31113,0.0124512,0.0647888,-0.690369,0.720367,-106.592,83.275,-9.51667,-7325,-28864
54,1107202,1.40381,0.671387,0.610352,-87.7643,-6.29517,-175.562,0.0430664,-9.77607,1.2585,0.0101624,0.0663452,-0.690063,0.720551,-106.592,83.2583,-9.55833,-7325,-28864
60,1107208,1.40381,0.305176,0.366211,-87.7533,-6.27319,-175.402,0.062207,-9.73779,1.28721,0.0090332,0.0671387,-0.689911,0.720642,-106.583,83.2417,-9.59167,-7325,-28864
66,1107214,1.46484,0.488281,0.610352,-87.7368,-6.24573,-175.248,0.0430664,-9.68037,1.33506,0.00790405,0.0679321,-0.689758,0.720734,-106.592,83.2333,-9.56667,-7325,-28864
72,1107220,1.46484,0.732422,0.671387,-87.7258,-6.21826,-175.095,0.0957031,-9.64688,1.42598,0.00674438,0.0686951,-0.689575,0.720825,-106.6,83.2167,-9.55833,-7325,-28864
78,1107226,0.488281,0.305176,0.549316,-87.7039,-6.16882,-174.781,0.13877,-9.58467,1.49775,0.00448608,0.0702515,-0.689301,0.720978,-106.608,83.1917,-9.51667,-7325,-28864
84,1107232,-0.183105,0.671387,0.671387,-87.6984,-6.14685,-174.628,-0.0143555,-9.71865,1.28721,0.00335693,0.0710144,-0.689178,0.721008,-106.633,83.2,-9.53333,-7325,-28864
90,1107238,0,0.366211,0.671387,-87.6929,-6.11938,-174.474,0.00957031,-9.71865,1.29199,0.00222778,0.0717773,-0.689056,0.721069,-106.65,83.2167,-9.56667,-7325,-28864
