TimeSinceCollection,Timestamp,PlantarValue
0,63072,405;750;696;402;531;826;804;320;653;567;550;95;388;480;81;103;232;277;82;168;424;162;202;127;315;459;456;356;360;311;42;280;271;270;452;391;12;4;4;120;65;141;63;118;128
16,63088,414;765;707;414;543;835;816;335;663;573;557;92;390;479;79;103;229;272;80;166;422;160;195;125;314;453;441;344;347;297;45;277;264;261;443;382;12;4;4;117;55;139;62;115;125
32,63104,431;778;721;427;557;845;828;343;671;580;562;92;393;475;78;100;228;269;77;165;420;157;193;122;310;449;429;330;332;282;45;272;251;252;429;376;10;4;3;111;49;139;58;111;123
48,63120,445;791;733;439;571;858;839;357;678;584;575;91;395;477;78;101;228;269;74;161;414;148;188;122;307;443;415;319;313;265;45;272;243;244;417;360;11;4;4;107;47;134;56;107;117
64,63136,462;810;746;456;579;876;853;364;691;586;582;91;397;479;80;101;226;269;75;161;412;144;182;117;306;439;404;306;307;261;45;267;237;236;393;351;12;4;3;98;45;132;53;99;107
80,63152,480;834;768;476;592;900;871;377;704;593;588;91;400;483;83;98;224;270;75;158;410;145;180;119;302;431;384;298;302;252;43;262;231;223;373;337;10;4;3;96;43;136;51;97;100
96,63168,505;852;785;493;616;915;883;386;717;600;601;94;405;489;83;95;225;272;75;156;408;146;179;120;294;420;371;296;300;245;41;257;218;214;360;330;11;4;4;96;45;133;49;99;101
112,63184,518;859;797;507;631;925;895;397;729;607;607;98;407;495;87;95;227;273;76;157;409;148;180;120;293;417;367;297;303;250;41;256;221;211;356;336;10;4;3;99;45;134;49;99;100
128,63200,521;861;797;514;635;928;895;403;733;608;615;102;412;503;90;99;233;277;78;161;414;150;186;124;298;425;379;305;306;259;43;261;227;217;364;341;10;4;0;100;46;135;51;101;102
144,63216,523;859;794;514;640;926;895;406;736;610;618;103;416;509;91;102;231;285;83;166;414;157;190;130;303;433;393;311;314;266;45;268;233;223;373;351;11;4;3;103;46;136;52;106;105
160,63232,524;858;792;514;644;927;895;406;738;613;621;103;418;511;91;102;232;288;87;168;422;161;193;132;309;439;405;314;316;272;46;274;240;232;378;358;12;4;4;103;46;137;55;105;107
176,63248,525;860;793;516;643;928;896;410;742;614;625;107;419;510;91;101;230;290;83;169;422;162;195;132;312;444;412;318;319;274;46;275;242;235;382;361;11;4;0;103;46;135;52;105;107
192,63264,530;860;795;519;647;929;898;414;747;616;627;111;423;513;92;103;232;292;87;170;429;165;196;134;314;447;417;322;322;277;48;277;244;238;385;364;11;4;4;101;47;136;53;103;107
208,63280,537;865;800;522;655;938;903;422;754;621;633;116;427;517;93;103;234;294;89;172;435;164;199;130;315;447;421;325;323;280;47;279;247;238;386;366;12;4;3;98;48;136;53;103;107
224,63296,538;872;805;531;663;949;911;431;762;626;636;114;431;520;94;107;235;297;91;172;436;169;207;135;317;451;425;328;326;282;49;281;246;239;389;367;16;4;4;99;48;137;52;103;107
240,63312,544;878;810;537;664;957;916;439;770;630;644;117;433;525;95;107;236;302;95;173;439;171;208;134;318;453;433;332;335;289;49;281;247;240;391;369;12;4;4;102;48;138;53;106;111
256,63328,547;885;815;548;669;961;921;440;774;633;650;118;435;528;99;107;239;305;100;174;443;174;214;135;319;454;437;338;340;294;49;281;247;242;396;374;11;4;3;105;48;139;53;107;115
272,63344,550;889;817;555;672;965;924;449;777;634;655;121;438;530;101;107;238;307;101;177;444;175;220;136;319;455;438;339;344;298;49;281;248;246;399;377;11;4;3;109;49;140;54;109;116
288,63360,558;891;821;556;680;968;928;456;782;637;662;125;438;534;101;112;236;310;101;175;450;182;224;138;320;457;442;348;348;299;49;283;248;247;404;378;12;4;3;111;49;141;55;113;121
304,63376,561;893;821;560;681;970;931;460;786;639;666;129;441;534;103;111;239;312;104;182;453;188;228;139;322;460;446;349;355;302;49;285;251;249;409;381;11;4;4;116;49;141;56;116;125
320,63392,565;896;825;564;686;976;933;467;789;641;670;130;446;538;103;111;241;315;106;181;456;191;230;140;323;463;451;357;359;309;51;286;255;252;412;383;11;4;3;116;49;144;57;117;125
336,63408,570;900;829;570;695;983;939;474;796;646;676;128;451;541;111;110;243;317;106;183;456;193;231;141;328;465;458;361;364;312;51;288;256;253;415;384;12;4;4;117;49;144;58;117;124
352,63424,586;908;836;575;705;990;945;488;804;650;675;135;456;547;114;114;241;321;107;186;458;194;234;137;330;467;460;366;367;319;51;288;258;254;418;385;10;4;3;116;48;143;58;116;124
368,63440,595;916;844;584;717;999;955;495;815;659;684;134;459;555;118;117;238;327;105;187;460;197;236;133;333;472;467;369;371;319;53;290;261;256;419;386;12;4;4;116;49;141;58;116;125
384,63456,601;930;851;589;729;1009;961;505;827;667;688;136;464;556;124;118;239;327;111;190;462;200;236;133;335;475;472;372;376;321;51;292;262;257;422;388;12;4;3;116;49;139;58;116;126
400,63472,609;938;854;592;733;1015;965;514;829;673;695;139;467;559;128;120;239;330;113;192;464;201;236;132;336;476;472;373;377;325;52;291;263;258;423;389;12;4;4;115;49;139;57;113;125
416,63488,613;944;860;600;737;1023;970;521;836;677;702;142;472;562;129;121;240;330;111;194;464;199;236;136;337;477;471;374;377;326;51;291;263;259;425;389;12;4;4;116;49;139;58;113;125
432,63504,620;949;865;601;746;1032;974;526;840;680;706;140;472;561;131;121;242;331;118;197;464;199;237;134;338;479;472;375;378;328;53;292;261;259;425;389;12;4;4;116;49;139;58;113;126
