TimeSinceCollection,Timestamp,PlantarValue
0,704785,475;631;669;586;809;1031;1041;791;923;823;761;270;690;762;325;181;343;344;63;189;410;154;136;91;448;530;446;221;188;191;139;489;445;324;466;437;18;4;3;72;29;127;53;119;128
16,704801,476;632;669;588;813;1034;1042;795;928;827;762;273;696;766;325;184;344;347;63;194;406;146;136;91;456;534;452;222;186;192;140;495;449;327;464;432;19;4;3;72;29;127;55;119;127
32,704817,476;631;669;588;812;1032;1042;797;931;829;762;277;698;771;327;189;335;350;65;199;407;146;136;90;461;535;453;223;185;194;140;493;456;331;466;435;17;4;4;74;29;128;54;120;130
48,704833,473;630;668;589;806;1032;1040;798;932;831;764;281;700;775;327;190;329;352;68;206;407;145;136;91;467;537;461;226;189;198;140;497;457;336;472;438;18;4;3;73;29;128;54;122;131
64,704849,461;614;661;583;795;1025;1031;797;931;829;758;284;706;775;327;194;324;354;69;210;409;145;140;88;472;542;468;228;190;193;139;504;468;338;479;440;17;4;3;76;31;129;55;125;135
80,704865,443;594;645;576;780;1011;1014;791;924;822;758;286;706;776;325;197;315;356;69;214;405;144;135;87;479;547;477;230;192;187;139;512;476;355;488;446;16;4;4;77;32;130;56;129;141
96,704881,420;566;615;562;757;989;994;778;913;812;749;284;706;777;321;201;318;359;70;219;408;146;137;78;484;551;491;239;198;170;139;529;494;368;507;458;16;4;4;72;27;133;59;133;146
112,704897,377;530;572;543;736;957;972;763;897;796;728;284;707;778;318;207;315;364;75;227;409;153;140;83;494;558;505;248;206;172;136;538;514;394;521;464;18;4;3;65;22;136;71;138;153
128,704913,310;487;530;498;699;921;936;734;880;775;710;283;702;780;312;212;315;364;78;229;412;155;141;79;503;573;518;258;210;171;140;556;533;404;534;467;19;4;4;64;22;137;77;148;163
144,704929,265;447;486;447;649;873;897;688;857;751;687;279;699;777;302;216;317;367;81;238;417;159;144;79;511;583;526;273;215;172;148;565;554;422;551;463;20;4;4;74;24;144;80;155;174
160,704945,232;405;442;393;601;817;854;645;829;723;663;273;692;774;292;219;319;370;84;241;425;165;153;80;518;599;538;287;218;162;149;581;573;442;572;478;24;6;6;89;30;149;86;160;201
176,704961,200;374;381;349;549;762;800;598;787;699;640;262;689;772;277;222;324;371;78;245;432;169;157;83;522;605;547;309;226;165;161;592;600;476;602;493;29;16;8;117;37;161;98;174;226
