TimeSinceCollection,Timestamp,PlantarValue
0,1107073,248;373;332;467;583;713;644;822;930;704;665;620;1029;1000;632;592;795;679;359;778;926;568;485;271;897;945;952;835;771;456;483;873;911;840;1032;695;41;160;205;513;223;199;120;223;243
16,1107089,258;386;340;478;605;734;650;833;945;721;679;626;1031;1005;642;590;791;675;360;765;916;554;482;259;887;936;935;828;763;456;475;865;903;831;1025;691;41;156;197;499;223;198;120;214;240
32,1107105,270;400;350;493;625;762;673;848;965;739;688;633;1036;1008;648;588;788;675;362;750;906;538;471;252;877;923;919;816;750;447;462;850;886;820;1017;683;38;151;184;485;226;194;118;207;231
48,1107121,281;414;369;507;642;787;691;860;978;753;694;634;1037;1008;653;580;775;672;357;723;885;521;459;233;862;900;896;802;735;437;433;833;867;796;999;667;34;143;165;473;223;193;116;203;225
64,1107137,299;429;381;518;658;807;711;869;991;766;702;631;1037;1011;652;572;764;667;347;701;867;497;444;225;843;875;875;789;717;418;409;819;851;772;970;650;32;136;154;462;221;186;109;202;219
80,1107153,309;436;391;523;667;819;719;876;999;771;706;625;1032;1008;651;561;751;660;332;685;848;480;425;209;826;862;862;776;698;398;393;804;833;758;953;638;30;133;149;451;213;181;108;200;212
96,1107169,310;439;394;526;670;822;724;872;998;772;705;617;1019;1003;644;551;742;651;323;676;838;472;418;205;815;851;850;766;687;388;383;795;823;747;941;630;29;129;146;445;212;178;104;199;210
112,1107185,306;439;391;524;667;823;723;862;990;767;701;603;997;996;629;543;730;643;313;662;826;464;406;199;801;842;842;759;674;383;368;788;816;738;938;629;26;128;141;439;207;176;99;198;210
128,1107201,301;439;390;519;663;820;716;850;975;758;691;584;972;986;609;522;708;626;302;646;811;449;387;191;791;829;831;750;663;371;360;781;809;732;924;628;26;119;140;427;196;174;97;196;207
144,1107217,288;435;388;512;654;812;717;828;953;750;682;568;956;974;584;505;688;611;282;630;791;434;376;181;779;817;812;735;644;359;346;769;797;716;915;627;26;117;132;418;186;170;97;194;204
160,1107233,285;435;385;497;642;806;701;802;926;735;667;555;935;954;572;493;665;595;273;611;771;412;360;174;765;804;796;721;629;335;329;752;778;701;902;617;24;109;123;406;171;165;93;190;198
176,1107249,289;439;389;487;641;802;700;790;911;725;660;544;916;934;557;472;650;578;257;588;751;392;344;166;746;788;781;698;607;317;307;725;754;674;871;601;25;99;111;381;157;158;91;186;187
192,1107265,298;445;394;485;645;808;704;785;913;724;653;535;904;922;551;452;637;568;246;569;740;369;333;164;733;771;760;674;592;300;289;689;726;645;837;576;25;84;99;362;142;151;84;180;180
