TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleRoll,AnglePitch,AngleYaw,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,906273,-0.44502,-8.24004,2.15332,-74.1412,-3.39478,-93.9441,31.9824,-8.78906,18.1274,0.530884,-0.429871,0.424194,-0.594391,-114.475,65.4833,-47.3417,-10322,-28501
6,906279,-0.985742,-7.79502,2.18203,-74.0259,-3.32886,-94.0649,27.5879,-10.6201,15.625,0.531067,-0.428406,0.424316,-0.595215,-114.225,65.725,-47.4667,-10322,-28501
12,906285,-1.13887,-7.85244,2.10547,-73.927,-3.28491,-94.1748,23.3765,-12.5732,12.3901,0.531158,-0.427094,0.424469,-0.595947,-114.092,65.8333,-47.5667,-10322,-28501
18,906291,-0.459375,-8.45537,2.06719,-73.8391,-3.26294,-94.2847,21.6064,-14.2212,7.38525,0.531128,-0.425995,0.424622,-0.596649,-113.975,65.9083,-47.6583,-10322,-28501
24,906297,0.320605,-8.67549,2.13418,-73.7457,-3.26294,-94.4055,22.583,-12.9395,1.83105,0.530975,-0.425079,0.424683,-0.597412,-113.875,65.9917,-47.7417,-10322,-28501
30,906303,1.79922,-8.20654,1.92842,-73.4985,-3.38379,-94.6857,31.189,-14.1602,-15.2588,0.530243,-0.42334,0.424377,-0.599518,-113.758,66.1,-47.7833,-10322,-28501
36,906309,3.34482,-6.71357,1.79443,-73.3557,-3.51013,-94.856,31.9214,-10.498,-24.1699,0.529663,-0.422638,0.423737,-0.600952,-113.517,66.2,-47.8917,-10322,-28501
42,906315,4.71816,-5.51729,1.95713,-73.2404,-3.66943,-95.0702,26.4893,-3.479,-31.8604,0.528778,-0.421997,0.423035,-0.602692,-113.433,66.2417,-48,-10322,-28501
48,906321,5.90967,-4.60811,1.68438,-73.1689,-3.83972,-95.3503,16.4795,8.72803,-37.6587,0.527466,-0.421448,0.422455,-0.604645,-113.358,66.3083,-48.0833,-10322,-28501
54,906327,6.97197,-4.12002,1.66045,-73.158,-4.01001,-95.7184,4.82178,24.9023,-41.687,0.525543,-0.420959,0.422302,-0.60675,-113.308,66.3583,-48.1583,-10322,-28501
60,906333,6.58916,-4.37842,0.952246,-73.3282,-4.32312,-96.7621,-24.0479,67.1997,-48.2178,0.519592,-0.419739,0.423981,-0.611542,-113.292,66.3583,-48.3167,-10322,-28501
66,906339,4.98135,-5.1584,0.689063,-73.4985,-4.48242,-97.4268,-35.0952,84.2285,-53.6499,0.515472,-0.418915,0.425995,-0.614166,-113.308,66.35,-48.3667,-10322,-28501
72,906345,4.59375,-6.53174,0.0526367,-73.7073,-4.6582,-98.1409,-43.7622,92.4683,-60.2417,0.510651,-0.417999,0.428558,-0.617035,-113.35,66.3167,-48.4167,-10322,-28501
78,906351,4.74209,-7.40264,-0.263184,-73.916,-4.86145,-98.8934,-44.8608,99.8535,-66.04,0.50531,-0.417175,0.431427,-0.619995,-113.433,66.2417,-48.45,-10322,-28501
84,906357,4.68467,-7.65146,-0.291895,-74.1302,-5.0647,-99.6899,-46.5088,107.727,-68.9697,0.499603,-0.41626,0.434357,-0.623169,-113.508,66.1667,-48.4917,-10322,-28501
90,906363,3.88555,-7.61318,-0.191406,-74.5587,-5.48767,-101.365,-48.645,118.042,-71.4722,0.487427,-0.414063,0.440643,-0.629822,-113.7,66.025,-48.625,-10322,-28501
96,906369,3.5458,-7.35,0.062207,-74.7894,-5.69641,-102.233,-51.9409,121.887,-71.9604,0.481079,-0.412811,0.443939,-0.633209,-113.808,65.8833,-48.7333,-10322,-28501
