TimeSinceCollection,Timestamp,PlantarValue
0,495273,1045;1268;873;978;1166;1400;1203;987;1114;935;867;376;884;974;493;174;378;450;97;80;221;85;143;78;164;226;191;143;171;129;87;420;418;319;415;297;10;4;3;107;13;92;25;161;148
16,495289,1041;1264;870;977;1164;1397;1201;984;1114;933;862;375;880;973;489;174;378;449;99;81;225;83;143;77;167;230;192;146;170;129;90;425;428;323;425;300;10;4;4;105;14;95;24;161;148
32,495305,1035;1258;864;974;1160;1393;1198;980;1111;931;858;373;878;970;491;175;378;449;95;82;226;81;142;74;176;232;195;149;174;130;90;430;436;329;429;304;12;4;3;102;15;95;26;161;147
48,495321,1030;1255;858;971;1160;1392;1195;978;1110;931;854;370;877;969;490;175;377;448;99;84;229;86;140;73;178;237;198;150;175;130;90;435;443;333;435;305;9;4;3;98;15;95;26;162;149
64,495337,1026;1251;854;970;1156;1388;1190;977;1106;929;849;369;874;967;489;177;377;447;96;86;232;86;142;70;178;239;200;151;178;130;91;437;449;340;441;312;10;5;4;97;14;98;29;162;149
80,495353,1019;1247;848;966;1154;1384;1187;975;1106;928;844;367;873;965;488;175;377;447;98;87;232;88;142;71;180;240;202;154;178;132;90;436;455;343;449;319;10;4;3;99;13;96;27;163;149
96,495369,1012;1240;844;964;1151;1381;1183;970;1102;923;840;364;870;962;485;172;377;447;95;87;232;88;140;74;182;241;203;160;182;136;90;441;460;347;455;324;9;4;3;99;12;94;26;162;149
112,495385,1005;1232;836;958;1146;1376;1180;965;1101;921;836;356;868;961;484;170;377;447;98;87;234;89;145;74;182;242;205;156;183;136;93;443;464;352;460;329;11;4;4;103;12;91;26;165;149
128,495401,998;1227;831;953;1144;1374;1176;964;1098;918;827;354;866;961;480;169;377;445;96;86;233;89;146;75;182;244;207;157;182;136;90;444;468;353;465;334;10;4;4;106;12;91;29;166;149
144,495417,992;1222;825;949;1139;1370;1174;960;1094;916;825;352;865;960;480;169;377;444;97;86;233;87;147;73;182;244;208;157;184;140;92;447;470;359;469;336;10;4;3;107;12;93;28;166;150
160,495433,987;1218;821;948;1136;1368;1172;957;1094;915;817;352;873;965;478;168;376;446;99;87;234;87;147;72;182;246;210;159;186;140;91;450;475;362;472;340;10;4;4;106;12;93;27;165;146
176,495449,986;1219;822;947;1136;1368;1172;957;1094;915;816;353;866;960;477;168;375;445;97;87;235;89;146;71;184;248;211;159;183;141;92;451;478;365;476;343;8;4;3;99;12;94;27;165;147
192,495465,990;1218;825;946;1136;1368;1173;958;1095;916;814;356;866;961;478;168;376;446;96;87;235;87;147;71;180;245;211;160;183;141;92;451;478;367;478;344;11;4;4;97;8;95;29;165;147
208,495481,994;1225;829;950;1140;1372;1177;961;1096;918;816;360;866;962;478;169;375;443;97;87;236;86;145;69;183;250;211;157;182;141;94;451;476;362;473;344;9;4;4;88;7;93;26;162;145
224,495497,1007;1238;837;955;1146;1377;1183;965;1099;922;825;364;868;963;480;169;376;441;95;87;236;84;141;71;183;254;213;153;178;136;93;447;468;352;460;333;10;4;3;79;9;95;25;158;136
240,495513,1023;1251;849;964;1152;1385;1191;973;1104;927;833;367;870;966;480;169;377;440;93;87;235;85;137;73;182;247;206;150;174;133;94;443;457;345;447;328;9;7;3;79;13;92;26;154;128
256,495529,1037;1261;858;970;1161;1392;1202;980;1110;931;841;370;873;965;480;169;377;440;91;87;234;84;133;72;182;247;203;146;171;132;95;440;451;339;435;326;10;4;3;76;14;92;26;151;124
272,495545,1047;1275;866;974;1167;1400;1204;984;1113;936;846;373;876;968;484;170;377;439;91;84;234;85;132;72;183;245;203;145;170;136;94;438;443;333;431;319;11;4;3;77;14;91;25;150;121
288,495561,1059;1286;876;980;1173;1408;1214;989;1119;941;853;376;879;969;485;169;381;439;87;83;230;83;131;72;185;244;199;140;169;130;95;433;432;322;422;307;9;4;3;76;14;92;24;149;119
304,495577,1071;1298;884;988;1181;1417;1221;993;1123;945;859;377;881;972;487;170;377;439;85;82;228;82;129;71;183;241;198;136;162;127;92;428;420;307;415;298;11;4;3;75;13;93;25;149;117
320,495593,1077;1310;894;993;1184;1422;1229;996;1126;949;866;378;883;974;488;170;377;439;83;82;229;81;127;72;177;240;194;134;163;127;91;425;413;298;409;294;10;4;3;75;13;91;26;149;116
336,495609,1083;1318;903;994;1188;1426;1235;1000;1129;949;870;379;886;974;490;169;376;438;82;81;227;80;128;74;168;236;191;132;161;124;92;421;406;288;402;285;11;4;3;77;12;92;25;149;116
352,495625,1087;1320;906;997;1189;1428;1236;1000;1130;952;875;381;885;974;491;168;376;438;81;80;225;80;125;73;167;233;189;131;161;126;91;415;403;283;397;284;10;4;4;78;11;92;25;149;117
368,495641,1089;1320;907;998;1190;1428;1238;1000;1130;953;875;379;885;974;492;164;375;438;80;78;223;80;126;73;166;232;192;130;162;128;91;418;403;285;397;286;10;4;3;78;11;92;26;149;118
384,495657,1089;1319;907;998;1189;1427;1238;1000;1129;952;875;379;883;974;491;158;375;439;79;78;221;79;124;75;166;227;187;130;161;128;91;418;402;285;397;285;11;4;3;79;11;94;26;149;118
400,495673,1088;1319;906;998;1189;1433;1238;999;1128;951;875;379;882;973;489;157;375;438;78;77;223;80;124;75;165;225;185;129;160;128;91;417;402;283;394;283;12;4;3;79;10;93;26;150;119
416,495689,1090;1320;907;997;1189;1425;1237;999;1127;950;875;377;880;971;489;157;374;434;78;76;219;78;122;74;166;223;183;126;156;124;90;416;393;276;389;277;12;4;3;80;9;94;27;150;118
432,495705,1089;1322;912;999;1191;1429;1241;1001;1128;951;876;378;880;970;489;156;373;428;74;73;215;77;116;74;161;218;178;120;142;115;82;412;377;265;373;259;10;4;3;77;9;91;25;149;115
448,495721,1094;1327;916;1000;1193;1433;1244;1002;1130;953;880;381;879;972;489;154;372;427;74;72;213;77;114;74;157;214;172;120;144;116;81;407;364;266;367;250;11;4;3;76;10;89;21;149;116
464,495737,1098;1332;921;1002;1196;1436;1248;1003;1131;954;881;380;881;972;490;155;373;429;74;70;211;77;116;74;155;211;174;119;144;116;78;403;360;262;363;248;11;4;3;77;11;88;20;150;116
480,495753,1108;1343;932;1009;1202;1447;1255;1007;1136;960;887;381;883;974;491;155;373;427;72;70;210;77;118;73;154;206;169;114;132;104;78;398;342;252;342;236;11;4;4;75;8;87;19;149;114
496,495769,1128;1366;956;1026;1222;1467;1273;1020;1148;973;899;385;891;980;492;156;372;422;62;66;202;74;96;63;146;197;153;107;111;91;66;373;294;226;287;194;10;4;4;66;2;82;13;146;111
512,495785,1167;1413;1003;1057;1259;1501;1305;1050;1168;994;923;393;901;989;498;157;370;415;60;60;190;68;77;53;135;178;134;90;87;71;56;346;227;179;215;145;11;4;3;62;1;78;8;128;100
528,495801,1222;1471;1052;1090;1298;1538;1347;1083;1199;1024;950;406;916;1003;509;160;367;410;51;54;180;65;66;45;128;165;112;68;70;61;52;304;178;119;145;126;12;4;3;53;0;71;8;112;86
544,495817,1300;1521;1098;1133;1341;1576;1390;1115;1231;1052;984;418;932;1015;518;159;366;406;49;52;169;61;53;43;120;152;93;53;56;51;50;255;137;87;93;95;12;4;3;57;0;67;7;87;74
560,495833,1367;1570;1143;1172;1391;1613;1436;1152;1261;1083;1002;430;949;1029;526;158;368;402;49;46;153;53;45;40;110;141;80;36;40;29;43;208;95;59;53;70;12;4;2;54;0;62;8;70;59
576,495849,1446;1629;1202;1217;1439;1654;1479;1173;1289;1113;1027;452;961;1043;541;158;361;397;42;33;127;37;32;32;101;126;57;27;30;12;40;152;61;39;37;46;15;4;3;42;0;49;1;47;38
592,495865,1521;1691;1246;1268;1475;1695;1498;1193;1295;1132;1050;456;967;1043;555;151;355;383;39;26;107;31;30;28;87;109;43;20;18;0;37;96;38;23;30;36;14;4;3;30;0;39;4;23;22
608,495881,1608;1764;1297;1303;1467;1736;1493;1205;1226;1090;1077;464;955;1040;560;139;332;345;34;22;80;22;16;5;77;87;30;15;4;0;29;77;24;12;17;21;16;3;2;18;0;28;4;13;8
624,495897,1684;1836;1364;1337;1510;1748;1507;1231;1272;1117;1096;464;917;1033;560;119;290;280;33;17;53;15;6;4;58;64;21;12;4;0;20;57;14;4;9;16;16;4;1;13;0;16;3;10;0
640,495913,1759;1884;1413;1383;1564;1799;1544;1254;1302;1160;1110;467;905;1023;558;104;261;233;29;16;45;15;4;4;58;55;14;9;4;0;17;40;6;4;8;13;13;3;1;12;0;16;3;7;1
656,495929,1807;1924;1450;1407;1601;1841;1579;1268;1331;1187;1125;467;905;1014;555;100;241;198;29;17;41;14;4;4;56;44;8;9;6;0;8;30;4;4;7;10;14;3;2;11;1;13;2;7;0
672,495945,1844;1955;1470;1443;1646;1878;1620;1283;1355;1217;1138;466;905;1011;556;81;227;181;29;16;30;7;5;4;54;41;5;11;7;0;16;22;3;3;6;10;12;2;2;10;0;12;3;6;0
688,495961,1876;1986;1503;1476;1679;1912;1650;1301;1379;1240;1152;468;903;1007;546;84;215;167;27;13;23;4;3;4;51;36;5;10;6;0;18;20;2;3;5;5;12;3;1;8;0;12;4;6;0
704,495977,1902;2004;1531;1504;1699;1937;1679;1313;1394;1275;1171;470;909;1007;557;84;212;165;29;11;16;4;3;4;45;34;4;13;4;0;16;19;3;3;5;8;12;2;3;7;0;10;3;6;0
720,495993,1928;2023;1554;1521;1726;1956;1696;1326;1417;1293;1181;469;912;1004;555;78;209;153;30;9;13;4;3;4;43;33;4;12;6;0;13;18;2;3;4;1;11;0;3;6;0;8;3;6;2
