TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,59026,0.344531,0.894824,10.2402,4.95483,-1.74683,-135.341,2.13623,-6.46973,-3.2959,0.380096,0.00231934,-0.0457764,-0.923737,-27.7917,-29.6167,-65.2417,4672,-30307
6,59032,0.349316,0.880469,10.245,4.96582,-1.77429,-135.346,2.44141,-7.75146,-3.66211,0.380066,0.00210571,-0.04599,-0.923767,-27.8,-29.5917,-65.2083,4672,-30307
12,59038,0.325391,0.861328,10.2498,4.9823,-1.81274,-135.357,2.80762,-8.91113,-4.21143,0.380005,0.00186157,-0.0462341,-0.923767,-27.7917,-29.575,-65.2167,4672,-30307
18,59044,0.373242,0.880469,10.3072,5.00427,-1.85669,-135.368,3.72314,-9.8877,-4.5166,0.379913,0.0015564,-0.0465088,-0.923798,-27.7667,-29.5417,-65.2083,4672,-30307
24,59050,0.416309,0.942676,10.2689,5.02625,-1.90063,-135.385,6.16455,-9.39941,-4.76074,0.379791,0.00131226,-0.046875,-0.923828,-27.75,-29.5083,-65.1417,4672,-30307
30,59056,0.44502,1.0001,10.2785,5.09216,-1.97754,-135.412,6.65283,-8.91113,-4.82178,0.379608,0.00088501,-0.0476685,-0.923859,-27.675,-29.4167,-65.0083,4672,-30307
36,59062,0.46416,1.01445,10.2115,5.13062,-2.0105,-135.423,6.89697,-8.72803,-4.3335,0.379517,0.000701904,-0.0480652,-0.923889,-27.6583,-29.3667,-64.925,4672,-30307
42,59068,0.478516,1.04795,10.1685,5.16357,-2.04895,-135.434,6.83594,-8.72803,-3.78418,0.379456,0.000518799,-0.0484619,-0.923889,-27.6417,-29.3417,-64.8583,4672,-30307
48,59074,0.516797,1.0958,10.1254,5.19653,-2.0874,-135.439,6.71387,-8.91113,-3.05176,0.379395,0.000305176,-0.0488892,-0.923889,-27.625,-29.3083,-64.7917,4672,-30307
54,59080,0.607715,1.17715,10.1445,5.23499,-2.13135,-135.445,6.5918,-9.82666,-2.0752,0.379395,6.10E-05,-0.0492859,-0.923859,-27.625,-29.3,-64.7333,4672,-30307
60,59086,0.626855,1.16758,10.1828,5.3009,-2.22473,-135.45,6.65283,-9.8877,-2.2583,0.379364,-0.000396729,-0.0501404,-0.923828,-27.5917,-29.2917,-64.7,4672,-30307
66,59092,0.641211,1.20586,10.1924,5.33386,-2.26318,-135.45,6.34766,-9.39941,-2.2583,0.379364,-0.000640869,-0.0505371,-0.923828,-27.575,-29.2833,-64.6833,4672,-30307
72,59098,0.717773,1.22979,10.1637,5.36682,-2.30713,-135.456,6.04248,-8.66699,-2.50244,0.379333,-0.000854492,-0.0509338,-0.923798,-27.5583,-29.2417,-64.6333,4672,-30307
78,59104,0.727344,1.24414,10.111,5.39429,-2.34009,-135.461,5.7373,-8.05664,-2.80762,0.379272,-0.0010376,-0.0513,-0.923798,-27.55,-29.6333,-64.5833,4672,-30307
84,59110,0.746484,1.26328,10.1206,5.42175,-2.37305,-135.472,4.82178,-6.7749,-2.56348,0.379242,-0.0012207,-0.0516052,-0.923798,-27.525,-29.9583,-64.5167,4672,-30307
90,59116,0.741699,1.26328,10.0919,5.47119,-2.43347,-135.489,4.08936,-6.22559,-2.50244,0.37912,-0.0015564,-0.0521851,-0.923828,-27.4667,-30.4833,-64.4083,4672,-30307
96,59122,0.708203,1.29199,10.068,5.49316,-2.46094,-135.5,3.78418,-5.67627,-2.44141,0.379028,-0.00170898,-0.0524597,-0.923828,-27.4333,-30.7333,-64.3917,4672,-30307
102,59128,0.703418,1.26807,10.1015,5.50415,-2.48291,-135.505,2.68555,-4.76074,-2.13623,0.378998,-0.00183105,-0.0526428,-0.923859,-27.8167,-30.9583,-64.3333,4672,-30307
108,59134,0.727344,1.27285,10.0871,5.52063,-2.4939,-135.511,2.0752,-3.54004,-1.77002,0.378967,-0.00192261,-0.0527954,-0.923859,-28.1667,-31.1583,-64.2833,4672,-30307
114,59140,0.746484,1.23936,10.1254,5.52612,-2.51038,-135.516,0.976563,-1.2207,-0.915527,0.378937,-0.00198364,-0.0529175,-0.923859,-28.0667,-31.3333,-64.2333,4672,-30307
120,59146,0.746484,1.225,10.1062,5.5426,-2.51587,-135.511,0.915527,-0.0610352,0,0.378937,-0.00198364,-0.0530396,-0.923828,-27.9,-31.6167,-64.1333,4672,-30307
126,59152,0.732129,1.23936,10.1062,5.5426,-2.51038,-135.505,0.610352,0.610352,0.610352,0.378998,-0.00195313,-0.0530701,-0.923828,-27.8333,-31.7333,-64.0833,4672,-30307
