Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
32160,-0.0239258,-1.08623,10.1206,-5.93811,0.0549316,144.075,0,0,0,0.307892,-0.016449,-0.0491333,0.949951,35.175,-42.225,-54.7167,-1048,-29621
32166,-0.00957031,-1.08623,10.111,-5.93811,0.0549316,144.075,0,0,0,0.307892,-0.016449,-0.0491333,0.949951,35.1417,-42.4417,-54.7083,-1048,-29621
32172,-0.0334961,-1.07666,10.111,-5.93811,0.0549316,144.075,0,0,0,0.307892,-0.016449,-0.0491333,0.949951,35.1167,-42.6333,-54.6833,-1048,-29621
32178,0,-1.08623,10.1206,-5.93811,0.0549316,144.075,0,0,0,0.307892,-0.016449,-0.0491333,0.949951,35.5,-42.8,-54.625,-1048,-29621
32184,-0.00957031,-1.0623,10.1206,-5.9436,0.0549316,144.075,0,0,0,0.307892,-0.016449,-0.0491333,0.949951,35.4417,-42.9667,-54.5833,-1048,-29621
32190,0.00478516,-1.08145,10.1445,-5.9436,0.0549316,144.075,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.3417,-43.225,-54.4917,-1048,-29621
32196,0,-1.05273,10.111,-5.9436,0.0549316,144.075,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.3083,-43.3417,-54.4833,-1048,-29621
32202,0,-1.0958,10.1302,-5.9436,0.0549316,144.08,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.275,-43.4583,-54.4583,-1048,-29621
32208,-0.00957031,-1.06709,10.0967,-5.9436,0.0549316,144.08,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.2417,-43.5417,-54.4667,-1048,-29621
32214,-0.00957031,-1.07666,10.1254,-5.9436,0.0549316,144.08,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.2083,-43.6333,-54.4667,-1048,-29621
32220,0.00478516,-1.03359,10.1254,-5.9436,0.0549316,144.08,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.1333,-43.7667,-54.4833,-1048,-29621
32226,0,-1.03359,10.1254,-5.9436,0.0549316,144.08,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.1083,-43.3917,-54.5083,-1048,-29621
32232,-0.0143555,-1.05752,10.1062,-5.9436,0.0549316,144.08,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.0917,-43.0583,-54.5333,-1048,-29621
32238,-0.0143555,-1.04795,10.111,-5.9436,0.0549316,144.08,0,0,0,0.307892,-0.016449,-0.0491638,0.949951,35.0667,-42.7583,-54.5917,-1048,-29621
