Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
27240,1.94756,-9.44111,2.11504,-82.348,-10.3381,132.347,-1.0376,-0.0610352,0.366211,0.357056,-0.202789,-0.627167,0.661774,30982,-17648,22774,-1164,-29607
27246,1.92842,-9.46504,2.04805,-82.337,-10.3381,132.314,-1.15967,0.0610352,0.427246,0.357269,-0.202942,-0.627075,0.661682,30470,-17392,23798,-1164,-29607
27252,1.9332,-9.46982,2.03369,-82.3315,-10.3381,132.281,-1.15967,0,0.488281,0.357483,-0.203094,-0.626953,0.661621,30726,-16880,25078,-1164,-29607
27258,1.92363,-9.46025,2.0624,-82.326,-10.3436,132.242,-0.976562,-0.12207,0.427246,0.357727,-0.203247,-0.626862,0.66156,30470,-16368,25590,-1164,-29607
27264,1.94277,-9.42676,2.07676,-82.3151,-10.3436,132.209,-1.2207,-0.244141,0.549316,0.357941,-0.2034,-0.62677,0.661469,30982,-16368,25846,-1164,-29607
27270,1.91406,-9.45068,2.07197,-82.2986,-10.3491,132.138,-1.09863,0.12207,0.488281,0.358398,-0.203735,-0.626556,0.661346,31494,-16624,26614,-1164,-29607
27276,1.91406,-9.45547,2.0624,-82.2931,-10.3491,132.105,-1.2207,0.0610352,0.488281,0.358612,-0.203888,-0.626465,0.661255,31750,-16624,26358,-1164,-29607
27282,1.91406,-9.46982,2.0624,-82.2876,-10.3491,132.067,-1.28174,-0.0610352,0.488281,0.358826,-0.204041,-0.626343,0.661194,31494,-16624,26102,-1164,-29607
27288,1.93799,-9.47939,2.04805,-82.2821,-10.3546,132.034,-1.28174,0.0610352,0.488281,0.35907,-0.204193,-0.626251,0.661102,31494,-16880,25334,-1164,-29607
27294,1.91406,-9.46504,2.06719,-82.2711,-10.3546,132.001,-1.34277,0,0.183105,0.359283,-0.204346,-0.62616,0.661041,30982,-17392,24310,-1164,-29607
27300,1.94277,-9.45068,2.0624,-82.2601,-10.3601,131.935,-1.2207,0,0.427246,0.359711,-0.204651,-0.625977,0.660889,30982,-18160,23542,-1164,-29607
27306,1.90928,-9.46982,2.06719,-82.2491,-10.3601,131.896,-1.28174,0.12207,0.305176,0.359924,-0.204803,-0.625854,0.660797,31238,-17648,23798,-1164,-29607
