Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
5160,0.0287109,-0.46416,10.1397,-4.49341,-0.0714111,-21.4014,0,0,0,0.981812,-0.0386658,0.00665283,-0.185547,-15.5417,41.55,-43.975,-7325,-28864
5166,0.0382813,-0.478516,10.1015,-4.48792,-0.0714111,-21.4014,0,0,0,0.981812,-0.0386047,0.00665283,-0.185547,-15.55,41.65,-43.9583,-7325,-28864
5172,0.062207,-0.468945,10.1493,-4.48242,-0.0714111,-21.4014,0,0,0,0.981812,-0.0385742,0.00665283,-0.185547,-15.5667,41.7333,-43.95,-7325,-28864
5178,0.0717773,-0.483301,10.111,-4.47693,-0.0714111,-21.4014,0,0,0,0.981812,-0.0385132,0.00662231,-0.185547,-15.5667,41.7917,-43.95,-7325,-28864
5184,0.0574219,-0.468945,10.135,-4.47144,-0.0714111,-21.4014,0,0,0,0.981812,-0.0384827,0.00662231,-0.185547,-15.575,41.8417,-43.9583,-7325,-28864
5190,0.0287109,-0.483301,10.111,-4.46045,-0.0714111,-21.4014,0,0,0,0.981812,-0.0383911,0.0065918,-0.185547,-15.5917,41.9167,-43.9833,-7325,-28864
5196,0.0334961,-0.502441,10.1302,-4.45496,-0.0714111,-21.3959,0,0,0,0.981812,-0.0383301,0.0065918,-0.185547,-15.6,41.9417,-44,-7325,-28864
5202,0.0574219,-0.507227,10.1254,-4.44946,-0.0714111,-21.3959,0,0,0,0.981812,-0.0382996,0.0065918,-0.185547,-15.6083,41.9667,-44.0167,-7325,-28864
5208,0.0478516,-0.526367,10.1541,-4.44397,-0.0714111,-21.3959,0,0,0,0.981812,-0.0382385,0.00656128,-0.185516,-15.6083,41.9833,-44.0167,-7325,-28864
5214,0.0669922,-0.531152,10.1302,-4.44397,-0.0714111,-21.3959,0,0,0,0.981812,-0.038208,0.00656128,-0.185516,-15.6,41.9667,-44,-7325,-28864
5220,0.0334961,-0.531152,10.1302,-4.43298,-0.0714111,-21.3959,0,0,0,0.981842,-0.0381165,0.00653076,-0.185516,-15.5917,41.975,-43.95,-7325,-28864
5226,0.0334961,-0.492871,10.1541,-4.42749,-0.0714111,-21.3959,0,0,0,0.981842,-0.0380554,0.00653076,-0.185516,-15.6,42,-43.9333,-7325,-28864
5232,0.0287109,-0.483301,10.1541,-4.422,-0.0714111,-21.3959,0,0,0,0.981842,-0.0380249,0.00653076,-0.185516,-15.5917,42.0333,-43.925,-7325,-28864
5238,0.0382813,-0.478516,10.1541,-4.4165,-0.0714111,-21.3959,0,0,0,0.981842,-0.0379944,0.00650024,-0.185516,-15.5833,42.075,-43.925,-7325,-28864
5244,0.0287109,-0.507227,10.1637,-4.41101,-0.0714111,-21.3959,0,0,0,0.981842,-0.0379333,0.00650024,-0.185486,-15.5667,42.1167,-43.9417,-7325,-28864
5250,0.0574219,-0.47373,10.1493,-4.40002,-0.0714111,-21.3904,0,0,0,0.981842,-0.0378418,0.00646973,-0.185486,-15.5417,42.1667,-44.0333,-7325,-28864
5256,0.062207,-0.507227,10.1589,-4.39453,-0.0714111,-21.3904,0,0,0,0.981842,-0.0378113,0.00646973,-0.185486,-15.55,42.1667,-44.05,-7325,-28864
5262,0.0526367,-0.492871,10.1541,-4.38904,-0.0714111,-21.3904,0,0,0,0.981842,-0.0377808,0.00646973,-0.185455,-15.5417,42.1833,-44.05,-7325,-28864
5268,0.0478516,-0.478516,10.1445,-4.38354,-0.0714111,-21.3904,0,0,0,0.981842,-0.0377197,0.00643921,-0.185455,-15.5583,42.2167,-44.0167,-7325,-28864
5274,0.0334961,-0.488086,10.1302,-4.37805,-0.0714111,-21.3849,0,0,0,0.981873,-0.0376892,0.00643921,-0.185455,-15.575,42.2583,-43.9833,-7325,-28864
5280,0.0478516,-0.483301,10.135,-4.37256,-0.0714111,-21.3849,0,0,0,0.981873,-0.0375977,0.00640869,-0.185455,-15.6,41.95,-43.9583,-7325,-28864
5286,0.0239258,-0.483301,10.1493,-4.36707,-0.0714111,-21.3849,0,0,0,0.981873,-0.0375671,0.00640869,-0.185425,-15.6083,42.0167,-43.9583,-7325,-28864
5292,0.0287109,-0.488086,10.1493,-4.36157,-0.0714111,-21.3849,0,0,0,0.981873,-0.0375061,0.00637817,-0.185425,-15.6083,42.0583,-43.975,-7325,-28864
5298,0.0191406,-0.492871,10.1445,-4.35608,-0.0769043,-21.3849,0,0,0,0.981873,-0.0374756,0.00637817,-0.185425,-15.6,42.0917,-43.9917,-7325,-28864
5304,0.0143555,-0.492871,10.1924,-4.35059,-0.0769043,-21.3849,0,0,0,0.981873,-0.0374451,0.00637817,-0.185425,-15.5833,42.1,-44,-7325,-28864
5310,0.0239258,-0.512012,10.1732,-4.3396,-0.0769043,-21.3794,0,0,0,0.981873,-0.0373535,0.00634766,-0.185394,-15.5583,42.1083,-44.025,-7325,-28864
5316,0.0287109,-0.502441,10.1732,-4.3396,-0.0769043,-21.3794,0,0,0,0.981873,-0.037323,0.00634766,-0.185394,-15.55,42.1,-44.025,-7325,-28864
5322,0,-0.502441,10.1732,-4.33411,-0.0769043,-21.3794,0,0,0,0.981873,-0.037262,0.00631714,-0.185394,-15.5417,42.0917,-44.0333,-7325,-28864
5328,0.0191406,-0.478516,10.1828,-4.32861,-0.0769043,-21.3794,0,0,0,0.981903,-0.0372314,0.00631714,-0.185394,-15.55,42.1,-44.0583,-7325,-28864
5334,0,-0.47373,10.1493,-4.32312,-0.0769043,-21.3794,0,0,0,0.981903,-0.0372009,0.00631714,-0.185364,-15.5417,42.1167,-44.0583,-7325,-28864
5340,-0.0143555,-0.492871,10.1589,-4.31213,-0.0769043,-21.3739,0,0,0,0.981903,-0.0371094,0.00628662,-0.185364,-15.5667,42.175,-44.0917,-7325,-28864
5346,0.00478516,-0.512012,10.1541,-4.30664,-0.0769043,-21.3739,0,0,0,0.981903,-0.0370789,0.00628662,-0.185364,-15.5833,42.1917,-44.0833,-7325,-28864
5352,0.0382813,-0.502441,10.1541,-4.30664,-0.0769043,-21.3739,0,0,0,0.981903,-0.0370483,0.0062561,-0.185364,-15.6,42.2417,-44.0917,-7325,-28864
5358,0.0574219,-0.507227,10.1541,-4.30115,-0.0769043,-21.3739,0,0,0,0.981903,-0.0369873,0.0062561,-0.185333,-15.6083,42.275,-44.0917,-7325,-28864
5364,0.0334961,-0.507227,10.178,-4.29565,-0.0769043,-21.3739,0,0,0,0.981903,-0.0369568,0.0062561,-0.185333,-15.5917,42.2917,-44.0667,-7325,-28864
5370,0,-0.507227,10.1397,-4.28467,-0.0769043,-21.3739,0,0,0,0.981903,-0.0368958,0.00622559,-0.185333,-15.5833,42.3167,-44.0583,-7325,-28864
5376,-0.0191406,-0.468945,10.1876,-4.27917,-0.0769043,-21.3684,0,0,0,0.981934,-0.0368347,0.00622559,-0.185303,-15.5917,42.3167,-44.0583,-7325,-28864
5382,-0.0143555,-0.440234,10.1541,-4.27917,-0.0769043,-21.3684,0,0,0,0.981934,-0.0368042,0.00622559,-0.185303,-15.6083,42.3417,-44.0333,-7325,-28864
5388,-0.00957031,-0.449805,10.1732,-4.27368,-0.0769043,-21.3684,0,0,0,0.981934,-0.0367737,0.00619507,-0.185303,-15.6333,42.3667,-44,-7325,-28864
5394,-0.00478516,-0.459375,10.2067,-4.26819,-0.0769043,-21.3684,0,0,0,0.981934,-0.0367432,0.00619507,-0.185303,-15.65,42.4,-43.95,-7325,-28864
5400,0,-0.449805,10.1637,-4.2572,-0.0769043,-21.3684,0,0,0,0.981934,-0.0366516,0.00619507,-0.185272,-15.6667,42.3833,-43.9,-7325,-28864
5406,-0.0143555,-0.440234,10.1972,-4.25171,-0.0769043,-21.3684,0,0,0,0.981934,-0.0366211,0.00616455,-0.185272,-15.6667,42.375,-43.925,-7325,-28864
5412,-0.0143555,-0.435449,10.1828,-4.25171,-0.0769043,-21.3684,0,0,0,0.981934,-0.0365601,0.00616455,-0.185272,-15.6667,42.3583,-43.95,-7325,-28864
5418,-0.0239258,-0.440234,10.1589,-4.24622,-0.0769043,-21.3684,0,0,0,0.981934,-0.0365295,0.00616455,-0.185272,-15.6667,42.3583,-43.9583,-7325,-28864
5424,-0.0287109,-0.430664,10.2067,-4.24072,-0.0769043,-21.3629,0,0,0,0.981934,-0.036499,0.00616455,-0.185272,-15.675,42.3583,-43.9667,-7325,-28864
5430,-0.0143555,-0.430664,10.178,-4.22974,-0.0769043,-21.3629,0,0,0,0.981934,-0.0364075,0.00613403,-0.185272,-15.6833,42.3583,-44.0167,-7325,-28864
5436,0,-0.411523,10.1541,-4.22424,-0.0769043,-21.3629,0,0,0,0.981934,-0.036377,0.00613403,-0.185272,-15.675,42.35,-44.05,-7325,-28864
