Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
113742,0.0143555,-1.17236,10.1254,-6.54236,-0.214233,154.589,-0.854492,0,0.183105,-0.219666,0.0106812,0.0560608,-0.973846,24.875,-44.35,-48.1917,-1040,-29622
113748,0.0191406,-1.21064,10.1541,-6.54236,-0.214233,154.583,-0.854492,-0.12207,0.0610352,-0.219696,0.0106812,0.0560913,-0.973846,24.875,-44.35,-48.2083,-1040,-29622
113754,0.0526367,-1.20107,10.1589,-6.54785,-0.214233,154.578,-0.610352,-0.488281,0.244141,-0.219727,0.0106812,0.0561218,-0.973846,24.8667,-44.3417,-48.2,-1040,-29622
113760,0.062207,-1.17715,10.1254,-6.54785,-0.219727,154.578,-0.183105,-0.671387,0.488281,-0.219757,0.0106506,0.0561523,-0.973816,24.85,-44.3333,-48.2,-1040,-29622
113766,0.00478516,-1.225,10.135,-6.54785,-0.219727,154.578,0.0610352,-0.427246,0.976562,-0.219727,0.0106506,0.0561523,-0.973846,24.8417,-44.325,-48.2167,-1040,-29622
113772,-0.00478516,-1.20107,10.1254,-6.54785,-0.22522,154.583,0.305176,-0.732422,1.58691,-0.219696,0.0106201,0.0561523,-0.973846,24.8333,-44.3167,-48.25,-1040,-29622
113778,-0.0478516,-1.19629,10.0967,-6.54236,-0.22522,154.594,0.732422,-0.793457,2.62451,-0.219604,0.0105896,0.0561218,-0.973877,24.8167,-44.3083,-48.2667,-1040,-29622
113784,-0.0717773,-1.23457,10.0967,-6.54236,-0.230713,154.611,0.732422,-1.15967,4.08936,-0.219482,0.0105591,0.0561218,-0.973907,24.8167,-44.3083,-48.2833,-1040,-29622
113790,-0.0717773,-1.20586,10.111,-6.53137,-0.241699,154.66,1.0376,-2.44141,5.92041,-0.219055,0.0104065,0.0560608,-0.973999,24.8333,-44.3583,-48.2833,-1040,-29622
113796,0.00478516,-1.18672,10.0967,-6.52588,-0.258179,154.688,1.28174,-3.479,5.7373,-0.218811,0.0102539,0.0560608,-0.97406,24.85,-44.375,-48.3083,-1040,-29622
113802,0.153125,-1.21064,10.1589,-6.52039,-0.274658,154.704,1.40381,-4.57764,3.90625,-0.218689,0.0100708,0.0560303,-0.974091,24.875,-44.4083,-48.3333,-1040,-29622
113808,0.153125,-1.22021,10.1302,-6.51489,-0.296631,154.709,1.70898,-4.88281,1.34277,-0.218658,0.00985718,0.0559998,-0.974091,24.8917,-44.4333,-48.3167,-1040,-29622
113814,0.124414,-1.13887,10.0775,-6.50391,-0.318604,154.709,2.2583,-4.3335,0.12207,-0.218658,0.00967407,0.0559692,-0.974091,24.9,-44.425,-48.3083,-1040,-29622
113820,0.129199,-1.15322,10.0823,-6.48193,-0.351562,154.709,2.01416,-2.92969,0.854492,-0.218658,0.0093689,0.0558472,-0.974091,24.9167,-44.3833,-48.2583,-1040,-29622
113826,0.090918,-1.1293,10.0919,-6.47644,-0.357056,154.72,1.70898,-1.95312,2.01416,-0.218628,0.00927734,0.0557861,-0.974121,24.9083,-44.35,-48.2333,-1040,-29622
113832,0.0430664,-1.13408,10.0967,-6.46545,-0.362549,154.731,1.64795,-0.915527,3.72314,-0.218506,0.00921631,0.0557251,-0.974152,24.9167,-44.3083,-48.2333,-1040,-29622
113838,0.0382813,-1.14365,10.1397,-6.45996,-0.357056,154.759,1.64795,0,6.10352,-0.218292,0.00924683,0.0556641,-0.974213,24.9083,-44.2917,-48.225,-1040,-29622
113844,0.119629,-1.18672,10.135,-6.45447,-0.351562,154.797,1.58691,0.366211,8.60596,-0.217957,0.00927734,0.055603,-0.974274,24.9083,-44.75,-48.225,-1040,-29622
113850,0.210547,-1.13887,10.0919,-6.43799,-0.324097,154.896,1.52588,2.13623,11.6577,-0.217102,0.00942993,0.0554199,-0.974487,24.95,-44.6167,-48.2583,-1040,-29622
113856,0.272754,-1.12451,10.0967,-6.4325,-0.296631,154.946,0.976562,3.90625,11.3525,-0.216675,0.00961304,0.0553589,-0.974579,24.9833,-44.5583,-48.2583,-1040,-29622
113862,0.224902,-1.11494,10.0728,-6.4325,-0.263672,154.984,0.610352,5.79834,10.0098,-0.216309,0.0098877,0.0552673,-0.97467,25.0083,-44.5167,-48.275,-1040,-29622
113868,0.105273,-1.02881,10.1062,-6.4325,-0.219727,155.017,0.12207,7.20215,8.48389,-0.216034,0.0101929,0.0552063,-0.974731,25.0333,-44.4667,-48.2833,-1040,-29622
113874,-0.267969,-1.11494,9.94355,-6.4325,-0.181274,155.039,-0.488281,7.8125,6.40869,-0.21582,0.0105591,0.0551453,-0.974762,25.0417,-44.9,-48.275,-1040,-29622
113880,-0.062207,-1.30156,10.1972,-6.44348,-0.148315,155.045,-0.732422,2.19727,0.976562,-0.215729,0.0107727,0.0551758,-0.974792,24.9917,-45.6167,-48.2083,-1040,-29622
113886,-0.0334961,-1.01445,9.95312,-6.44348,-0.137329,155.039,0.488281,2.0752,-0.12207,-0.21579,0.0109558,0.0551453,-0.974762,24.9667,-45.925,-48.1833,-1040,-29622
113892,0.0765625,-1.07187,10.044,-6.44348,-0.126343,155.034,-0.244141,2.2583,-0.183105,-0.21582,0.0110474,0.0551453,-0.974762,24.9583,-45.7333,-48.1583,-1040,-29622
113898,0.0382813,-1.13408,10.1254,-6.45447,-0.115356,155.028,-1.52588,2.80762,-0.12207,-0.215881,0.0111694,0.0551758,-0.974731,24.9583,-45.5583,-48.1417,-1040,-29622
113904,-0.0239258,-1.11973,10.0871,-6.45996,-0.0933838,155.017,-1.58691,3.84521,-0.183105,-0.215942,0.0113525,0.0552063,-0.974731,24.9667,-45.4083,-48.1083,-1040,-29622
113910,-0.0239258,-1.15801,10.0775,-6.47644,-0.0549316,155.006,-1.89209,3.78418,0.183105,-0.215973,0.0115356,0.0552368,-0.974731,25.0083,-45.15,-48.0667,-1040,-29622
113916,-0.0143555,-1.19629,10.1302,-6.48193,-0.0384521,155.001,-1.15967,3.2959,0,-0.216064,0.0118713,0.0552979,-0.974701,25.0333,-45.0417,-48.0583,-1040,-29622
113922,0.0334961,-1.16279,10.1254,-6.48743,-0.0274658,154.995,-0.671387,2.56348,-0.0610352,-0.216125,0.0119934,0.0552979,-0.97467,25.0417,-44.9583,-48.025,-1040,-29622
113928,0.0717773,-1.11016,10.0919,-6.48743,-0.0164795,154.984,-0.305176,2.44141,-0.366211,-0.216187,0.012085,0.0552979,-0.97467,25.0583,-44.875,-48.025,-1040,-29622
113934,0.062207,-1.06709,10.0297,-6.49292,-0.00549316,154.973,-0.366211,2.50244,-0.793457,-0.216278,0.0121765,0.0552979,-0.97464,25.0667,-44.7917,-48.0083,-1040,-29622
113940,0.090918,-1.05752,10.0728,-6.50391,0.0164795,154.946,-1.95312,3.54004,-2.31934,-0.21637,0.0122986,0.0552979,-0.974609,25.075,-45.5667,-48.0167,-1040,-29622
113946,0.0574219,-1.04316,10.068,-6.52039,0.0384521,154.918,-2.86865,4.3335,-3.41797,-0.216705,0.0126648,0.0554504,-0.974518,25.0667,-45.4083,-48.0083,-1040,-29622
113952,0.0334961,-1.07187,10.044,-6.53687,0.0604248,154.885,-3.60107,5.31006,-4.94385,-0.21698,0.0129089,0.055542,-0.974457,25.0583,-45.2667,-48.0167,-1040,-29622
113958,-0.0382813,-1.10059,10.0584,-6.55884,0.0823975,154.847,-4.15039,5.98145,-6.83594,-0.217316,0.0131836,0.0556641,-0.974365,25.0417,-45.15,-48.0333,-1040,-29622
113964,0.105273,-0.947461,10.0393,-6.58081,0.109863,154.797,-4.57764,6.10352,-8.17871,-0.217712,0.0134583,0.0558167,-0.974274,25.025,-45.0583,-48.075,-1040,-29622
113970,-0.0334961,-1.20107,10.1685,-6.63574,0.164795,154.688,-6.34766,7.26318,-9.76562,-0.21814,0.0137329,0.0559692,-0.974152,25,-44.925,-48.1333,-1040,-29622
113976,-0.660352,-1.62217,10.1541,-6.65771,0.186768,154.649,-4.57764,6.22559,-6.83594,-0.218933,0.0143738,0.0563049,-0.973969,24.9833,-44.8833,-48.1583,-1040,-29622
113982,-0.172266,-1.28721,10.0536,-6.66321,0.192261,154.638,-1.0376,1.28174,-1.0376,-0.219025,0.0144348,0.0563354,-0.973938,24.9667,-44.85,-48.175,-1040,-29622
113988,-0.200977,-1.10059,10.0488,-6.65771,0.181274,154.638,1.34277,-2.2583,0.549316,-0.219025,0.0143127,0.0563049,-0.973938,24.9583,-44.8083,-48.1833,-1040,-29622
113994,0.287109,-1.3877,10.3646,-6.65771,0.164795,154.633,0.12207,-3.96729,-1.40381,-0.219086,0.0141296,0.0563354,-0.973938,24.9333,-44.7667,-48.1917,-1040,-29622
114000,0.143555,-1.15801,10.1637,-6.64124,0.153809,154.627,2.0752,0.305176,-0.244141,-0.219086,0.0140381,0.0563049,-0.973938,24.8583,-44.7083,-48.2333,-1040,-29622
114006,-0.0669922,-1.08623,10.0584,-6.64124,0.153809,154.622,0.244141,-0.183105,0.183105,-0.219147,0.0140076,0.0562134,-0.973907,24.825,-44.6833,-48.2583,-1040,-29622
114012,0.191406,-1.3877,10.379,-6.65222,0.148315,154.627,-1.89209,-1.2207,0.793457,-0.219147,0.0139771,0.0563049,-0.973907,24.8,-44.65,-48.2833,-1040,-29622
114018,-0.0191406,-1.18193,10.044,-6.65222,0.148315,154.622,-0.366211,0.183105,-0.12207,-0.219177,0.0140076,0.0563049,-0.973907,24.7833,-44.6083,-48.275,-1040,-29622
114024,-0.191406,-1.03359,9.85742,-6.64673,0.153809,154.616,0.976562,1.34277,0,-0.219208,0.0140381,0.0562744,-0.973907,24.775,-44.5667,-48.275,-1040,-29622
114030,0.00957031,-1.26328,10.1972,-6.65771,0.153809,154.611,-1.34277,-0.244141,0.183105,-0.219238,0.0140686,0.0563354,-0.973877,24.7583,-44.4917,-48.2417,-1040,-29622
114036,-0.143555,-1.16279,10.001,-6.65771,0.159302,154.611,0.244141,0.976562,0,-0.219269,0.0140991,0.0563354,-0.973877,24.75,-44.475,-48.2083,-1040,-29622
114042,-0.14834,-1.15322,10.0488,-6.65222,0.159302,154.605,0.793457,0.610352,-0.244141,-0.219299,0.0141296,0.0563049,-0.973877,24.7333,-44.4667,-48.1833,-1040,-29622
114048,0.0239258,-1.27285,10.2259,-6.65222,0.159302,154.6,-0.244141,-0.671387,0,-0.21933,0.0140991,0.0563049,-0.973877,24.7167,-44.45,-48.1667,-1040,-29622
114054,0,-1.1915,10.1206,-6.65222,0.153809,154.6,0.183105,-0.610352,0.0610352,-0.21936,0.0140686,0.0563049,-0.973877,24.7083,-44.4083,-48.1667,-1040,-29622
114060,-0.114844,-1.10537,9.99141,-6.64673,0.153809,154.594,0.305176,-0.366211,0.0610352,-0.219391,0.0140686,0.0562744,-0.973877,24.725,-44.35,-48.1917,-1040,-29622
114066,0.0382813,-1.225,10.1876,-6.64673,0.148315,154.594,-0.305176,-0.488281,0,-0.219421,0.0140381,0.0562744,-0.973846,24.7333,-44.325,-48.1667,-1040,-29622
114072,-0.062207,-1.13408,10.068,-6.64673,0.148315,154.589,0.244141,0.12207,0,-0.219452,0.0140381,0.0562744,-0.973846,24.7417,-44.3167,-48.1417,-1040,-29622
114078,-0.0239258,-1.11494,10.044,-6.64124,0.153809,154.583,0.549316,0.366211,0,-0.219482,0.0140381,0.0562439,-0.973846,24.7417,-44.325,-48.1083,-1040,-29622
114084,0.0239258,-1.21064,10.1493,-6.64673,0.153809,154.583,-0.244141,-0.12207,0,-0.219513,0.0140381,0.0562439,-0.973846,24.7333,-44.3333,-48.0917,-1040,-29622
114090,-0.0191406,-1.17715,10.0823,-6.64124,0.153809,154.578,0.305176,0.183105,0,-0.219543,0.0140381,0.0562439,-0.973816,24.7167,-44.3417,-48.0833,-1040,-29622
114096,-0.0430664,-1.14844,10.1015,-6.64124,0.153809,154.572,0,0,0,-0.219574,0.0140381,0.0562439,-0.973816,24.7083,-44.3333,-48.0917,-1040,-29622
