Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
25013,883,1077,753,286,456,708,852,406,877,693,706,24,229,389,321,9,3,12,86,103,259,49,6,4,22,153,55,24,78,141,8,19,28,58,41,47,5,0,3,4,1,2,2,4,40,
25029,901,1099,765,297,471,727,869,412,888,701,721,26,234,393,322,8,3,12,87,100,253,48,6,4,21,145,55,22,71,131,8,19,27,56,38,45,4,3,3,4,1,3,3,4,38,
25045,915,1117,779,309,484,750,887,419,889,708,729,28,236,401,327,8,3,12,88,101,252,48,6,4,22,136,51,21,70,121,8,18,24,52,36,42,5,3,3,4,0,2,3,4,37,
25061,925,1127,791,318,496,766,896,425,893,715,737,29,237,406,331,8,3,13,90,103,249,48,7,4,21,134,51,20,69,118,7,18,24,51,33,40,5,3,3,4,1,2,3,4,36,
25077,940,1140,801,324,509,784,906,427,899,721,748,33,244,415,335,8,3,14,91,103,253,49,7,4,22,133,51,20,67,118,8,20,25,49,34,41,4,4,4,4,1,3,3,4,37,
25093,957,1155,812,339,523,800,920,435,906,729,758,35,247,425,339,9,4,13,91,106,252,50,6,4,21,135,51,20,66,116,8,18,24,49,35,40,4,3,4,4,1,2,3,4,37,
25109,978,1177,833,357,537,821,930,447,912,742,768,38,251,431,347,8,3,14,92,107,254,51,7,4,20,130,47,21,66,110,8,16,24,49,31,41,4,3,3,4,1,2,4,4,35,
25125,996,1196,843,372,547,836,941,457,917,750,774,39,253,437,353,8,3,14,92,109,254,50,7,4,20,130,46,22,66,112,8,18,23,48,31,41,4,3,3,4,0,2,4,4,34,
25141,1007,1209,848,378,549,844,946,462,920,757,778,42,257,443,358,9,3,17,95,110,257,51,8,4,21,128,46,21,67,116,8,19,24,49,32,41,5,3,3,4,0,3,2,4,35,
25157,1011,1214,851,381,549,847,951,464,920,758,780,42,259,445,362,9,4,19,96,112,261,51,7,4,20,131,47,21,69,125,8,16,24,49,33,40,5,4,4,4,0,3,3,4,36,
25173,1011,1213,850,383,548,842,950,464,921,758,781,41,259,447,364,9,4,19,97,114,265,51,8,4,21,132,53,21,70,136,8,20,23,49,33,41,4,3,3,4,0,3,3,4,37,
25189,1006,1209,848,379,546,839,949,464,920,758,780,41,261,448,368,9,4,20,98,116,269,51,7,4,22,136,53,21,72,145,8,20,24,49,38,42,4,3,3,4,0,3,3,4,39,
25205,1000,1202,846,376,543,838,945,461,919,756,782,41,263,448,373,8,4,17,99,118,267,51,8,4,22,138,56,23,78,155,8,20,25,49,40,44,4,4,3,4,0,3,3,4,39,
25221,991,1198,843,373,539,832,943,458,919,754,779,41,261,449,372,9,3,20,101,120,272,51,8,4,25,139,58,24,82,158,8,20,25,49,40,43,4,3,3,4,1,3,3,4,39,
25237,983,1185,837,366,533,824,938,452,916,752,779,41,261,449,372,9,4,20,101,122,271,53,8,4,23,143,58,25,83,165,8,20,26,51,40,45,4,3,4,4,1,3,3,4,39,
25253,976,1171,831,360,528,815,932,451,917,747,778,40,261,458,374,9,4,21,101,125,273,51,9,7,23,144,60,26,89,173,8,19,29,52,42,45,4,4,4,4,0,2,3,4,39,
25269,966,1164,825,357,524,812,928,448,916,746,778,37,262,451,375,9,4,21,105,128,280,58,8,4,24,149,59,28,92,181,8,20,30,54,43,48,4,3,3,4,0,2,3,4,40,
25285,961,1159,823,355,522,809,927,447,917,746,780,40,264,454,381,9,7,22,105,132,282,58,8,4,24,156,62,34,96,183,8,21,29,55,45,51,5,3,3,4,0,2,3,4,41,
25301,960,1156,818,355,522,808,928,447,918,747,779,41,265,459,386,9,6,22,107,137,286,59,8,4,25,161,62,30,99,192,8,21,30,56,48,54,4,3,3,4,1,2,3,4,43,
25317,957,1154,817,354,521,806,926,450,919,749,781,40,268,462,391,10,7,22,107,142,294,62,8,4,26,168,66,30,100,206,11,19,31,58,48,56,4,3,2,4,0,2,4,4,44,
25333,955,1153,815,356,520,808,925,452,919,750,783,41,269,465,394,11,8,23,104,149,298,66,8,4,29,177,68,32,103,219,8,21,32,58,52,60,4,4,3,4,0,2,3,4,45,
25349,953,1152,814,356,520,807,925,453,920,753,783,42,273,469,399,9,8,24,109,151,301,70,11,4,30,179,70,34,109,227,8,20,32,58,54,60,4,3,3,4,0,3,3,4,47,
25365,952,1152,813,356,520,806,926,454,920,754,785,42,273,471,409,10,11,22,104,157,303,75,13,4,30,180,69,36,112,242,9,19,30,59,53,67,4,3,4,4,1,3,4,4,49,
25381,954,1151,814,358,522,808,928,457,922,754,785,45,277,473,412,14,9,23,108,161,308,80,19,4,31,186,75,36,118,249,8,20,25,61,54,72,4,3,4,4,1,2,3,4,51,
25397,957,1154,819,362,528,814,934,462,925,759,790,45,279,476,415,12,11,24,110,165,312,83,20,4,32,187,77,37,120,254,9,20,29,62,54,72,6,3,3,4,0,3,3,4,51,
25413,968,1163,829,369,534,825,943,470,928,766,796,49,284,480,420,15,11,23,111,167,315,84,20,4,33,190,78,36,119,256,8,20,29,62,54,72,5,3,3,4,0,3,3,4,51,
25429,981,1181,838,381,544,838,952,476,935,772,803,49,290,484,426,15,12,24,107,169,315,87,20,4,33,190,79,37,120,257,9,19,29,62,54,71,4,3,3,4,0,3,3,4,52,
25445,994,1194,845,391,555,847,963,483,938,779,806,51,294,488,430,16,14,24,107,174,318,88,22,4,33,190,80,34,123,257,9,20,29,62,55,74,4,3,3,4,0,11,3,4,52,
25461,1003,1199,849,395,555,855,968,489,941,783,809,51,298,493,432,16,13,24,104,179,319,88,26,4,34,189,78,35,127,263,8,20,28,62,55,78,4,4,3,4,1,2,3,4,52,
25477,1005,1200,851,396,554,857,970,493,943,784,811,53,300,494,433,16,15,24,104,182,326,95,30,4,35,188,77,33,130,263,9,18,27,64,58,86,4,3,3,4,0,3,3,4,51,
25493,1003,1198,853,397,554,858,972,494,945,783,812,53,302,496,434,16,15,25,107,184,332,97,36,4,36,194,80,34,133,269,10,23,27,66,60,88,4,3,3,4,1,2,3,4,55,
25509,1004,1200,857,397,551,861,978,497,946,784,815,53,304,497,438,16,16,26,110,189,337,96,36,3,36,194,81,34,135,270,8,24,27,66,59,88,4,3,3,4,1,3,3,4,56,
25525,1003,1199,853,397,550,856,978,499,946,786,816,54,305,500,439,16,17,28,111,190,339,96,34,4,38,196,80,34,136,273,9,26,27,67,58,90,4,3,3,4,0,2,3,4,56,
25541,996,1189,848,397,543,851,974,495,946,784,814,54,303,500,439,17,17,26,111,188,340,98,37,4,37,195,82,34,137,270,9,27,27,67,62,89,4,4,3,4,0,2,3,4,55,
25557,977,1166,834,386,533,836,960,485,942,779,809,53,299,496,439,16,16,25,113,186,334,98,34,4,37,194,83,35,136,272,9,26,26,66,61,87,4,1,2,4,0,3,3,4,54,
25573,945,1133,807,360,509,804,936,472,933,767,796,52,293,492,436,16,15,24,111,178,327,95,27,4,35,191,82,34,136,271,9,25,29,64,60,85,5,4,3,4,0,3,3,4,52,
25589,901,1088,762,319,467,742,895,441,920,744,775,46,279,483,420,14,10,24,112,175,323,87,23,4,33,186,80,33,137,270,7,25,29,63,59,85,4,4,3,4,0,2,3,4,51,
25605,832,1003,691,266,396,654,809,414,894,704,714,33,259,460,395,10,8,23,107,154,306,77,13,4,27,169,71,33,126,263,8,23,28,62,58,78,5,4,3,4,0,2,3,4,52,
25621,697,862,592,197,312,553,689,358,841,650,626,21,216,399,351,8,3,21,96,127,288,63,6,4,24,146,66,33,117,240,8,19,25,56,53,71,4,4,3,4,0,3,3,4,41,
25637,561,728,488,152,232,417,550,297,767,567,539,15,174,295,277,8,3,12,82,98,256,58,6,4,16,132,61,31,112,223,8,19,25,53,46,58,4,4,3,4,1,3,3,4,25,
25653,418,576,389,103,172,275,441,233,708,497,429,11,153,235,215,8,3,8,73,64,214,51,4,4,16,117,58,32,107,214,8,16,25,53,43,57,4,3,3,4,2,3,3,4,22,
25669,285,403,272,73,96,169,341,202,642,432,299,10,125,186,163,7,2,3,66,53,184,47,4,3,16,107,48,29,97,214,8,16,20,53,45,56,4,3,3,4,2,3,3,3,16,
25685,203,236,168,51,54,69,251,178,575,366,182,9,82,135,127,8,2,3,55,45,156,45,4,4,14,91,48,29,98,224,6,14,20,52,43,62,4,3,3,4,3,3,3,3,16,
25701,165,110,117,33,27,31,177,161,497,306,78,9,64,94,73,8,2,3,31,35,125,42,3,4,10,69,42,32,98,209,7,14,20,51,44,65,4,3,4,4,0,2,3,3,14,
