Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
67081,58,120,22,21,37,33,33,18,32,30,9,12,36,42,3,7,4,4,2,8,2,8,3,4,85,37,5,33,67,18,12,2,14,7,4,21,2,4,3,4,1,2,3,4,0,
67097,58,120,23,21,38,33,34,16,31,30,8,12,34,42,3,8,1,6,2,8,3,7,5,5,83,37,5,32,66,19,14,2,14,7,4,20,3,4,2,4,0,5,3,4,0,
67113,58,121,23,21,37,32,34,17,31,30,9,12,35,42,3,8,1,4,3,9,1,8,2,4,82,35,6,31,67,19,14,2,14,7,4,21,1,4,3,4,0,3,3,4,0,
67129,57,120,23,21,37,33,35,16,30,30,9,13,34,42,3,9,3,4,2,8,3,7,3,4,83,36,6,35,67,18,12,3,14,7,4,20,2,4,3,4,1,3,3,4,6,
67145,56,120,23,20,36,32,33,17,30,29,9,12,34,41,3,8,3,5,1,8,4,7,3,4,82,36,4,30,67,17,12,3,13,8,4,24,2,4,3,4,1,3,3,4,0,
67161,55,118,23,20,34,32,33,16,30,28,9,12,35,40,3,8,3,4,2,8,2,8,2,4,80,36,5,31,68,19,12,2,12,7,4,22,2,4,3,4,1,4,3,4,1,
67177,55,117,23,20,33,32,35,16,32,28,8,12,34,38,2,8,4,5,2,8,1,8,2,4,79,35,5,32,69,17,13,3,13,8,4,21,2,4,3,4,0,4,3,4,0,
67193,54,119,22,20,34,33,34,18,31,28,8,12,34,38,3,8,3,5,3,9,1,8,2,4,78,35,6,32,66,17,12,3,12,8,4,20,3,4,3,12,0,4,2,4,0,
67209,55,117,22,21,34,30,37,17,32,28,8,12,33,38,3,8,4,4,2,8,1,8,0,4,78,34,5,30,64,16,11,3,12,8,4,20,0,4,3,4,1,3,3,4,1,
67225,57,118,23,20,36,31,35,16,32,29,9,12,34,38,3,8,4,4,3,8,2,5,2,4,78,34,4,24,62,16,10,3,9,8,4,18,2,4,3,4,1,3,3,4,0,
67241,57,119,22,20,35,31,35,16,32,29,8,12,34,38,3,8,4,4,2,8,4,3,3,4,81,37,4,28,62,17,14,3,8,8,4,17,2,4,3,4,0,3,3,4,0,
67257,58,118,22,21,34,31,35,16,32,29,8,12,35,38,3,8,4,4,2,6,3,4,3,4,81,38,3,27,59,16,14,3,9,7,4,18,0,4,2,4,0,3,3,4,0,
67273,56,119,23,23,35,30,36,16,33,27,8,12,36,38,3,8,5,4,2,6,3,4,1,4,80,37,3,27,62,16,12,2,8,6,4,16,3,4,3,4,0,3,3,4,1,
67289,57,118,22,22,35,29,36,17,32,27,8,13,36,38,3,7,5,4,2,6,3,3,4,4,80,38,3,28,64,17,12,2,9,7,4,16,2,4,3,4,1,3,3,4,1,
67305,58,117,23,21,37,30,36,16,30,27,8,12,37,38,3,8,5,4,3,5,3,3,2,4,81,37,3,28,63,16,8,0,8,6,4,16,0,3,2,4,0,3,3,4,1,
67321,57,118,23,21,37,30,36,16,30,26,8,12,38,38,3,8,4,4,2,6,2,3,2,4,81,37,3,29,64,17,11,2,10,7,4,16,2,4,2,4,1,4,3,4,1,
67337,57,119,23,22,37,30,36,16,32,27,8,12,37,38,3,8,4,4,2,6,2,3,3,4,81,37,4,29,63,16,12,2,8,7,4,16,3,4,2,4,1,3,3,4,1,
67353,56,119,24,21,37,30,37,16,30,29,8,12,38,38,3,8,4,4,1,6,2,3,2,4,80,39,3,29,63,16,13,4,8,8,4,17,1,3,2,4,0,3,3,4,1,
67369,56,118,23,22,38,29,36,16,31,28,8,12,38,38,3,8,4,4,2,6,3,4,2,3,80,38,3,31,62,14,12,5,9,8,4,17,3,4,3,4,0,3,3,4,1,
67385,56,118,23,21,38,31,36,16,32,29,8,12,38,39,3,8,4,4,2,6,3,3,2,4,80,38,3,30,63,17,10,3,9,8,4,19,1,3,2,4,1,3,3,4,1,
67401,54,118,21,21,38,29,37,16,32,28,8,12,37,39,2,7,4,4,2,6,2,3,2,4,81,37,4,30,62,17,6,0,8,7,4,19,1,3,3,4,1,3,2,4,1,
67417,56,118,20,22,39,31,37,16,31,29,8,12,37,38,3,8,4,5,2,6,3,3,2,4,82,37,3,29,62,18,14,2,9,7,4,18,2,4,2,4,1,3,3,4,0,
67433,55,117,21,22,40,30,37,16,32,28,8,12,38,39,3,8,4,4,1,6,2,4,2,3,79,37,3,27,62,16,14,3,9,6,4,18,3,4,3,4,0,3,3,4,2,
67449,56,117,22,22,38,30,37,16,33,27,8,13,37,39,3,8,4,4,2,6,2,4,2,4,80,37,3,28,62,16,13,3,9,7,4,19,1,4,2,5,0,3,3,4,1,
67465,54,119,23,23,38,30,37,16,32,29,8,12,37,38,3,7,4,4,2,6,2,3,2,7,79,36,3,27,62,16,12,2,9,7,4,19,2,4,2,4,0,3,2,4,3,
67481,57,118,23,21,39,29,37,16,33,29,7,12,38,40,3,7,4,4,3,6,2,3,2,4,79,37,3,26,64,16,11,3,9,8,3,19,3,4,3,4,0,3,2,4,1,
67497,57,118,22,22,39,29,37,16,33,29,8,17,37,39,3,8,5,4,6,6,2,3,2,4,79,37,3,27,62,16,14,2,10,7,4,19,0,3,3,4,2,3,3,4,1,
67513,58,120,23,21,39,29,37,16,32,29,8,12,37,40,3,6,5,4,2,6,2,3,2,4,79,37,4,28,62,16,12,3,9,6,4,18,3,4,3,4,1,3,3,4,1,
67529,58,120,22,21,39,29,36,16,35,28,8,13,37,40,3,8,4,4,3,6,3,3,2,4,78,37,4,27,64,16,12,3,9,7,4,19,2,4,2,4,0,3,3,4,1,
67545,58,120,22,22,39,28,37,16,33,29,8,13,35,40,3,8,4,4,2,6,2,4,2,4,79,37,3,26,62,16,12,1,8,8,4,19,1,4,3,3,1,3,2,4,1,
67561,58,120,23,21,39,28,37,16,33,29,6,12,37,38,3,8,4,4,2,6,3,3,2,4,78,37,3,27,63,16,12,3,9,8,4,20,2,3,3,4,0,2,3,4,1,
67577,58,120,22,23,38,27,37,16,34,29,8,13,35,37,3,8,5,4,2,6,3,3,2,4,78,37,3,27,62,16,13,3,9,8,4,18,2,4,2,4,0,3,3,4,2,
67593,58,120,22,22,38,27,37,16,34,25,8,13,36,39,3,8,5,4,3,6,3,3,2,4,78,38,3,29,64,16,12,2,8,8,4,19,1,3,2,4,0,3,3,4,2,
