Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
591573,6,0,2,6,0,2,3,6,0,2,2,6,0,2,3,6,0,2,1,6,0,1,3,4,6,0,2,2,4,0,6,0,2,3,4,0,0,2,3,4,0,3,3,3,0,
591589,6,0,2,6,0,2,2,6,0,2,2,6,0,2,2,6,0,3,3,6,0,2,2,4,6,0,2,3,4,0,6,0,1,3,4,0,0,1,2,4,0,1,2,4,0,
591605,6,0,2,6,0,2,2,6,0,1,2,1,0,2,2,6,0,2,3,5,0,1,2,4,6,0,2,4,4,0,6,0,1,2,4,0,0,2,2,3,0,2,3,4,0,
591621,6,0,2,7,0,2,3,7,0,2,2,6,0,2,2,6,0,2,3,6,0,2,3,4,7,0,2,2,4,0,6,0,0,3,4,0,0,1,2,3,0,2,2,4,0,
591637,7,0,1,6,0,1,5,6,0,2,2,6,0,1,3,6,0,1,2,6,0,1,2,4,7,0,2,2,4,0,6,0,2,3,4,0,0,2,3,4,0,1,2,4,0,
591653,6,0,2,6,0,3,3,6,0,2,2,6,0,1,0,6,0,2,3,6,0,1,2,4,7,0,3,3,4,0,6,1,1,3,4,0,0,2,2,4,0,2,2,4,0,
591669,6,0,1,6,0,2,2,6,0,1,3,7,0,2,2,6,0,2,2,6,0,2,3,4,7,0,1,3,4,0,6,0,2,3,3,0,0,2,2,4,0,2,2,4,0,
591685,6,0,2,6,0,1,2,7,0,2,2,6,0,1,3,6,0,2,3,6,0,1,3,4,7,0,2,2,4,0,6,0,1,2,4,0,0,3,3,4,0,1,3,5,0,
591701,6,0,1,6,0,1,4,6,0,0,2,6,0,2,3,6,0,1,2,6,0,2,3,4,6,0,1,3,4,0,5,2,1,2,4,0,0,1,1,4,0,1,2,3,0,
591717,6,0,3,6,0,2,3,6,0,2,2,7,0,1,1,6,0,1,2,6,0,2,2,4,6,0,2,3,4,1,7,0,1,2,4,1,0,2,2,4,0,1,2,4,0,
591733,6,0,2,7,0,2,3,6,0,3,3,6,0,2,3,6,0,1,2,6,0,1,3,4,6,0,2,3,4,0,6,0,2,3,4,0,0,2,3,4,0,2,3,4,0,
591749,12,0,2,7,0,1,2,6,0,2,3,7,0,3,3,6,0,2,2,6,0,2,3,4,6,0,2,2,4,0,6,0,1,3,4,0,0,2,2,4,0,2,3,4,0,
591765,6,0,1,6,0,2,3,7,0,2,3,6,0,2,2,6,0,2,2,6,0,1,3,4,6,0,1,3,4,0,6,0,1,3,4,1,0,1,3,4,0,2,2,4,0,
591781,6,0,2,6,0,1,3,6,0,2,2,6,0,3,3,6,0,2,2,6,0,1,2,4,6,0,2,3,4,0,6,0,2,2,4,0,0,2,3,4,1,2,2,4,0,
591797,6,0,1,7,0,1,3,6,5,1,3,7,0,2,0,5,0,2,2,6,0,2,3,4,6,0,2,3,4,0,6,0,2,1,4,0,1,2,3,4,0,2,2,4,0,
591813,6,0,2,6,0,1,3,6,0,1,2,6,0,2,3,6,0,2,3,6,0,1,3,4,6,0,2,2,4,0,6,0,2,2,4,0,0,2,2,4,0,2,2,4,0,
591829,6,0,3,7,0,3,3,6,0,1,2,6,0,2,6,6,0,2,2,6,0,2,2,4,6,0,2,2,4,0,7,0,1,2,5,0,0,1,2,3,0,2,3,4,0,
591845,6,0,2,6,0,1,2,7,1,1,3,7,0,1,2,6,0,2,2,6,0,1,2,4,6,0,1,2,4,0,6,0,2,1,4,0,0,2,4,4,0,1,3,4,0,
591861,7,0,2,6,0,2,3,6,0,2,2,6,0,2,3,7,0,1,2,6,0,2,2,4,7,0,1,2,4,0,6,0,1,3,4,2,0,2,2,4,0,2,2,4,0,
591877,6,0,2,6,0,2,2,6,0,2,3,6,0,2,3,6,0,1,2,6,0,2,2,4,6,0,2,2,4,0,6,0,1,3,4,0,0,2,2,4,0,2,2,4,0,
591893,6,0,1,6,0,2,4,6,0,2,2,6,0,2,4,6,0,3,0,6,0,2,2,4,7,0,2,2,4,0,6,0,2,2,4,0,0,4,2,4,0,2,3,4,0,
591909,6,0,2,6,0,1,2,6,0,2,3,6,0,1,3,6,0,1,3,6,0,2,3,4,7,0,1,3,3,3,6,0,2,2,4,0,0,1,2,4,0,2,2,4,0,
591925,6,0,2,6,0,2,3,6,0,1,2,6,0,1,3,7,0,1,2,6,0,2,2,4,6,0,2,3,4,0,6,0,2,2,4,0,0,2,2,4,1,2,2,3,0,
591941,6,0,2,6,0,2,2,6,0,2,3,6,0,2,0,6,0,1,3,6,0,1,3,4,6,0,1,2,4,0,6,0,1,2,4,0,0,1,3,4,0,1,3,4,0,
591957,6,0,2,6,0,1,3,6,0,2,2,6,0,2,2,6,0,1,3,6,0,2,3,4,6,0,2,2,3,1,6,0,2,2,4,0,0,3,3,4,0,2,2,4,0,
591973,6,0,2,6,0,1,3,6,0,1,2,6,0,3,2,6,0,2,2,7,0,2,2,4,5,0,2,2,4,1,6,0,2,2,4,0,1,2,2,4,0,2,2,4,0,
591989,6,0,1,6,1,1,2,6,0,1,3,6,0,2,2,6,0,3,2,6,0,1,5,4,7,1,1,3,4,0,6,0,2,3,4,0,0,1,3,4,0,2,3,4,1,
592005,6,0,2,6,0,2,3,6,1,2,3,6,0,2,2,6,0,1,2,6,0,2,3,4,6,0,1,3,4,0,6,0,2,3,4,0,0,2,2,4,0,2,1,4,0,
592021,6,0,2,6,0,1,10,6,0,2,3,6,0,2,2,6,0,0,3,6,0,1,3,3,6,3,2,2,4,1,6,0,1,3,4,0,0,2,3,4,0,2,2,4,0,
592037,7,0,2,6,0,1,2,7,0,1,2,6,0,1,3,6,0,1,2,4,0,2,2,5,5,0,2,2,4,0,6,0,2,2,4,0,0,2,2,4,0,2,2,4,0,
592053,6,0,3,7,0,2,3,4,0,2,2,6,0,2,3,6,0,1,1,6,0,1,3,4,6,0,1,2,4,0,6,0,2,2,4,0,0,2,2,4,1,2,3,4,1,
592069,5,0,2,6,0,2,3,6,0,2,3,6,0,1,2,7,0,2,3,6,0,2,2,4,6,0,2,3,4,0,6,0,1,2,4,0,0,1,2,4,0,1,2,4,0,
592085,5,0,1,7,0,2,2,6,0,2,2,6,0,2,3,6,0,4,2,6,0,2,2,4,5,0,1,2,4,0,6,0,1,2,4,1,0,1,3,4,0,1,3,4,1,
592101,6,0,1,5,0,2,3,7,0,2,2,7,0,1,2,7,1,2,2,6,0,2,2,4,6,0,2,3,4,0,6,0,2,3,4,0,0,1,3,4,0,3,2,4,0,
592117,6,0,2,6,0,2,3,7,0,1,3,6,0,2,2,7,0,1,3,6,0,3,2,4,6,0,2,3,4,0,6,0,2,3,4,0,0,2,2,4,0,1,3,4,0,
592133,6,0,2,7,0,2,3,6,0,1,3,6,3,2,2,6,0,0,3,6,0,1,3,4,7,0,1,3,4,0,6,0,1,3,4,0,0,1,3,4,0,2,2,4,0,
592149,6,0,2,6,0,2,3,6,0,2,3,6,0,1,3,6,0,2,3,6,0,2,2,4,6,0,2,3,4,0,6,0,2,2,3,0,0,1,3,4,0,2,2,4,0,
592165,7,0,3,6,0,1,3,6,0,2,3,6,0,0,2,6,0,1,3,6,0,1,2,4,6,0,2,1,4,0,6,0,2,3,1,0,0,2,2,4,0,2,3,4,0,
592181,7,0,2,6,0,1,2,6,0,1,3,6,0,2,4,6,0,1,2,6,0,1,2,5,6,0,1,2,4,0,7,0,2,2,4,0,0,2,2,4,0,2,2,4,0,
592197,6,0,3,7,0,1,2,6,0,2,3,6,0,1,3,6,0,2,2,6,0,1,2,4,7,0,1,2,4,0,6,0,2,2,4,0,0,2,3,4,0,1,3,6,0,
592213,6,0,1,7,0,1,3,7,0,2,2,6,0,2,3,6,0,2,3,6,0,1,3,4,6,0,2,2,4,0,6,0,3,2,4,0,0,2,2,4,0,2,2,4,0,
592229,6,1,2,6,0,1,2,6,0,1,3,6,0,1,2,6,0,1,2,6,0,1,2,4,6,0,3,3,4,0,6,0,2,2,4,0,0,2,3,4,0,2,2,4,0,
592245,6,0,2,7,0,2,2,6,0,2,2,6,0,0,2,6,0,2,2,5,0,2,3,4,6,0,1,2,4,0,6,0,2,3,4,0,0,2,2,4,0,2,2,4,0,
592261,6,0,2,6,0,2,2,6,0,2,2,6,0,2,2,6,0,1,4,6,0,1,3,4,6,1,3,2,4,0,6,0,2,3,4,0,0,4,1,4,0,1,2,4,0,
592277,6,0,2,7,0,3,3,6,0,2,3,6,0,1,2,6,0,1,3,6,0,1,2,4,6,0,1,3,4,0,6,0,2,2,4,0,0,2,2,4,0,1,3,4,0,
