Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
50293,6,0,4,6,0,2,2,6,0,2,3,7,0,1,2,6,0,2,2,6,0,1,3,4,6,0,2,3,4,0,6,0,2,3,4,0,0,1,2,4,0,2,3,4,0,
50309,6,0,2,6,0,3,2,6,0,2,2,6,0,1,2,6,0,1,2,6,0,2,2,4,7,0,2,3,4,0,6,0,1,3,4,0,0,2,3,4,0,2,2,4,0,
50325,6,0,2,6,0,1,3,6,0,3,2,6,1,2,2,6,0,1,2,6,0,2,2,4,7,0,2,3,4,0,6,1,2,2,4,0,0,2,3,4,0,1,3,4,0,
50341,6,0,2,6,0,0,3,6,0,2,3,6,0,2,3,6,0,2,3,6,0,1,2,4,6,1,2,3,4,0,6,0,2,2,4,0,0,2,3,4,0,8,2,4,0,
50357,6,0,3,6,0,1,4,6,0,2,2,6,0,2,2,6,0,3,1,6,0,2,1,4,6,0,2,2,4,0,6,0,2,2,4,0,0,2,2,4,0,2,1,4,0,
50373,7,0,2,7,0,2,3,7,0,2,3,6,0,2,2,6,0,1,3,6,0,1,2,4,6,0,2,1,4,0,6,1,2,2,4,0,0,1,2,4,0,2,2,4,0,
50389,6,0,2,7,0,2,2,6,0,1,2,6,0,2,3,6,0,2,2,6,0,4,2,5,6,0,2,3,4,1,6,0,1,3,4,1,0,2,2,4,0,1,2,4,0,
50405,6,0,2,6,0,1,3,6,0,2,2,6,0,1,2,6,0,1,2,6,0,1,3,4,6,0,2,3,4,0,6,0,2,4,4,0,0,3,3,4,0,2,2,4,0,
50421,6,0,2,6,0,2,3,6,0,2,2,7,0,2,2,6,0,2,3,6,0,2,3,4,6,0,2,2,4,0,6,0,2,2,4,0,0,2,3,4,0,2,3,4,0,
50437,6,0,2,7,0,2,3,6,0,1,3,6,0,1,3,6,0,2,2,6,0,2,3,4,7,0,2,3,4,0,6,1,2,3,4,0,0,1,2,4,0,1,3,4,0,
50453,6,0,1,6,0,2,3,7,0,1,2,6,0,1,2,6,0,1,2,6,0,2,2,4,6,0,2,2,4,0,6,1,1,2,4,1,0,2,3,4,0,2,3,4,0,
50469,6,0,2,6,0,2,3,2,0,2,3,6,0,2,3,6,0,2,3,6,0,2,2,4,6,0,2,3,4,2,6,0,2,3,4,0,0,2,3,4,0,1,3,4,0,
50485,6,0,3,6,0,1,3,6,0,0,3,6,0,2,2,6,0,3,2,6,0,2,2,4,6,0,1,3,4,0,6,0,1,3,4,0,0,2,3,4,1,1,3,3,0,
50501,6,0,2,6,0,2,2,6,0,1,3,6,0,1,2,6,0,2,3,6,0,1,2,4,7,0,2,2,4,0,7,0,2,3,4,0,0,2,3,4,0,3,2,4,4,
50517,6,1,2,6,0,2,3,6,0,3,3,7,0,1,3,6,0,2,3,6,0,2,3,4,6,0,2,3,4,0,6,0,2,3,4,1,0,1,2,4,2,1,2,4,0,
50533,6,0,1,6,0,2,2,7,0,2,2,6,0,6,3,6,0,2,3,7,0,2,2,4,6,0,2,3,4,0,6,0,4,3,4,0,0,3,3,4,0,3,3,4,0,
50549,6,0,2,6,0,2,3,6,0,1,2,6,0,2,3,6,0,1,3,6,0,1,2,4,9,1,1,2,4,0,7,0,2,2,4,0,0,2,3,4,1,2,3,4,0,
50565,6,0,2,6,0,1,3,6,0,2,2,6,0,1,2,6,0,2,3,6,0,2,2,4,6,0,2,2,4,0,6,1,2,3,4,1,0,1,3,4,0,2,3,4,0,
50581,6,0,2,6,0,1,3,6,0,2,2,7,0,2,2,7,0,2,2,6,0,3,2,4,6,1,2,2,4,0,6,0,1,2,4,0,0,2,3,4,0,1,3,4,0,
50597,5,0,2,6,0,1,3,6,0,2,2,6,0,2,2,6,0,1,3,6,0,1,2,4,6,0,2,3,4,0,6,0,3,3,4,0,0,2,2,4,0,1,2,3,0,
50613,6,0,1,7,0,2,3,6,7,2,2,6,0,2,3,7,0,2,3,7,0,3,3,4,6,0,2,3,4,0,7,0,2,3,4,0,0,2,3,4,0,2,2,4,0,
50629,6,0,2,6,0,2,3,6,0,2,3,6,0,3,2,6,0,2,3,7,0,2,3,4,6,0,2,2,4,0,6,0,3,2,4,0,0,1,1,4,0,2,2,4,0,
50645,4,0,2,6,0,1,2,6,0,2,3,6,0,2,3,6,0,1,3,6,0,3,3,4,6,0,4,3,4,0,6,0,2,3,4,0,0,1,3,4,0,3,3,4,0,
50661,6,0,2,6,0,2,2,6,0,2,3,6,0,2,2,7,0,2,3,6,0,1,2,4,6,1,2,3,4,0,6,1,2,4,4,0,0,2,3,4,0,1,3,4,0,
50677,6,0,2,6,0,1,2,6,0,2,3,6,0,2,2,6,0,2,2,7,0,2,2,4,7,0,2,3,4,1,6,0,1,3,4,0,0,3,2,4,0,2,3,4,0,
50693,7,0,2,6,1,1,2,7,0,3,2,7,0,1,3,6,0,2,3,7,0,2,2,4,7,0,2,3,4,1,6,0,2,3,4,0,0,2,3,4,0,2,2,4,0,
50709,6,1,2,6,0,1,1,6,0,2,3,6,0,1,3,6,0,2,2,7,0,2,3,4,6,0,4,2,4,0,6,0,2,2,4,0,0,1,3,4,0,2,3,4,0,
50725,6,0,3,3,0,2,3,6,0,2,3,6,0,1,3,6,0,1,2,6,0,2,2,4,6,0,2,2,4,0,6,0,2,3,4,0,0,2,3,4,0,1,3,4,1,
50741,6,0,1,6,0,2,3,6,0,1,3,6,0,2,4,6,0,1,2,6,0,1,3,4,6,1,2,2,4,0,6,0,1,3,4,0,0,1,2,4,0,2,3,4,0,
50757,6,0,1,6,0,2,3,6,0,1,5,6,0,2,3,6,0,1,2,6,0,1,3,4,6,0,2,4,4,0,6,0,3,3,4,0,0,2,3,4,0,2,3,4,0,
50773,7,0,3,6,2,2,3,7,0,2,3,7,0,1,2,6,0,1,4,7,0,2,3,4,6,0,2,2,4,0,6,0,1,4,4,0,0,3,1,4,0,3,7,8,1,
50789,6,0,0,7,1,2,3,6,0,2,3,6,0,2,3,7,0,2,2,6,0,2,3,4,6,0,1,3,4,0,6,0,2,2,4,0,0,2,2,4,0,2,3,4,0,
50805,6,0,2,6,0,2,3,6,0,2,3,6,0,2,3,6,0,1,2,7,0,1,3,4,6,0,2,2,4,0,6,0,1,3,4,0,0,3,3,2,0,2,3,4,0,
50821,6,0,1,7,0,2,2,6,0,1,2,6,0,3,3,6,0,1,2,6,0,2,3,4,6,0,2,3,4,0,6,0,1,2,4,0,0,1,3,4,0,2,3,4,0,
50837,7,0,1,6,0,2,3,6,0,2,2,6,0,2,2,6,1,2,2,6,0,2,2,4,6,0,2,3,4,0,7,0,2,3,4,0,1,2,3,4,0,2,1,4,0,
50853,6,0,2,6,0,2,2,6,0,1,3,6,0,2,2,6,0,2,2,6,3,1,2,4,6,0,2,2,4,0,6,0,2,3,4,0,0,2,2,5,0,2,3,4,0,
50869,7,0,3,6,0,2,3,6,0,2,3,6,0,1,3,6,0,2,3,6,0,2,3,4,6,0,2,2,4,0,8,0,3,3,6,0,0,2,3,4,0,2,3,4,0,
50885,6,0,2,7,0,2,3,6,0,2,3,8,0,2,2,6,0,1,3,6,0,1,2,4,6,2,2,3,4,0,6,0,2,3,4,0,0,2,2,4,0,2,1,4,1,
50901,6,0,2,7,0,2,2,6,0,8,3,6,0,2,2,6,0,1,3,6,0,2,3,4,6,0,2,4,4,0,6,0,2,2,4,0,0,1,3,4,1,2,3,4,0,
50917,6,0,2,7,0,1,3,6,0,2,2,6,0,2,3,6,0,2,3,6,0,2,4,4,6,0,2,3,4,0,6,0,1,3,4,0,0,1,3,4,0,2,2,4,0,
50933,6,0,1,7,0,2,2,6,0,2,3,6,0,1,2,6,0,2,3,7,0,3,2,4,6,0,1,2,4,0,6,0,3,3,4,0,0,2,2,4,0,1,3,4,0,
50949,6,0,3,7,2,2,3,6,0,3,3,7,0,2,2,6,0,1,4,6,0,1,3,4,7,0,2,3,4,0,6,0,1,3,4,0,0,2,2,4,0,1,2,4,0,
50965,6,0,2,6,0,2,3,6,0,2,3,7,0,2,3,6,0,2,2,7,0,2,4,4,6,0,1,2,4,0,7,0,1,3,4,0,0,2,3,4,0,2,2,4,0,
50981,6,0,2,6,0,2,2,6,0,2,0,6,0,2,2,8,1,2,3,6,0,1,3,4,7,2,1,3,4,0,6,0,1,3,4,1,0,2,2,4,0,2,3,4,0,
50997,6,0,1,7,0,2,0,6,0,3,3,6,0,2,2,6,0,2,2,7,0,2,3,4,6,0,3,3,4,0,7,0,2,3,4,0,0,2,2,3,0,2,2,4,0,
51013,6,0,2,3,0,2,3,7,0,1,2,7,0,2,3,6,0,2,2,6,0,2,2,7,6,0,2,3,4,0,6,0,2,3,4,0,0,2,3,4,0,2,3,4,0,
51029,7,0,1,6,0,1,2,7,0,1,3,6,0,1,3,6,0,2,3,6,0,1,3,4,6,0,2,2,5,0,7,0,2,2,4,0,0,1,3,4,0,2,3,4,0,
51045,7,0,1,6,0,2,3,6,0,1,3,6,0,2,2,6,0,2,2,6,0,2,2,4,3,0,1,2,4,0,6,0,3,2,4,0,0,2,2,4,0,2,3,4,0,
51061,6,0,2,6,0,3,3,6,2,1,3,6,0,1,3,7,0,2,3,6,0,1,3,4,6,0,2,2,4,0,6,1,1,3,4,0,2,1,2,4,0,1,2,4,0,
51077,6,0,3,6,0,1,3,7,0,2,3,6,0,1,2,6,0,1,2,6,0,1,3,4,6,0,1,3,4,0,6,1,1,2,4,0,0,3,3,3,0,2,3,4,0,
51093,6,0,2,6,0,3,3,6,0,2,2,7,0,3,2,6,0,1,2,7,0,1,2,4,5,1,2,2,4,0,7,0,1,3,4,0,0,2,3,4,0,1,3,4,0,
51109,6,0,2,7,0,2,9,6,0,1,3,6,0,1,3,6,0,1,3,6,0,1,3,3,6,0,2,2,4,0,6,0,2,3,4,0,0,2,2,4,0,2,3,6,0,
51125,6,0,1,6,0,2,3,7,0,2,2,7,0,1,2,7,0,2,3,6,0,2,2,4,6,0,2,2,4,1,6,0,3,3,4,0,0,2,2,4,0,1,2,4,0,
51141,6,0,2,7,0,2,3,6,0,1,3,6,0,2,1,6,0,2,3,6,0,1,3,4,6,0,2,3,4,0,6,0,2,3,4,0,0,2,2,4,0,1,2,4,0,
51157,6,0,2,7,0,2,3,8,0,2,3,6,0,2,2,7,0,2,2,6,0,2,3,4,6,0,2,3,4,0,4,0,1,3,4,1,0,3,3,4,0,2,4,4,0,
51173,6,0,2,7,0,3,4,6,0,1,3,7,0,1,3,6,0,3,3,6,0,2,2,4,6,0,2,3,4,0,6,0,2,2,4,0,0,2,2,4,0,1,3,4,0,
51189,6,0,1,6,0,1,2,6,0,1,2,6,0,2,3,6,0,2,3,6,0,2,2,4,6,0,2,2,4,0,6,0,1,3,4,0,0,1,3,8,0,1,3,4,0,
51205,6,0,2,6,0,3,2,6,0,2,3,6,0,1,3,6,0,2,2,6,0,1,2,4,6,0,3,3,4,0,6,0,2,2,4,0,0,1,2,4,0,2,2,4,1,
51221,6,0,2,6,0,2,2,6,0,2,3,6,0,2,3,6,1,2,3,6,0,3,3,4,6,0,1,3,4,0,6,0,4,3,4,0,0,2,2,4,0,2,3,4,0,
51237,7,0,2,6,0,2,3,7,0,1,3,7,0,2,2,6,0,2,3,7,4,2,3,4,6,0,1,2,4,0,7,0,2,2,4,0,0,2,2,4,0,2,2,4,0,
51253,6,0,3,7,0,2,3,7,0,2,2,7,0,1,3,6,0,1,2,6,0,2,3,4,6,0,1,2,4,0,6,0,2,3,4,0,0,2,3,7,0,2,4,4,0,
51269,7,0,2,6,0,2,2,6,0,2,3,7,0,2,2,6,0,1,4,6,1,2,2,4,6,0,1,3,4,0,6,0,1,3,4,0,0,1,3,4,1,1,2,4,0,
51285,6,0,2,6,0,1,3,6,0,2,2,6,0,2,2,7,0,2,2,6,0,2,3,4,6,0,2,4,3,0,6,0,1,3,4,0,0,1,3,4,0,1,2,4,0,
51301,6,1,3,6,0,1,3,7,1,2,2,6,0,2,2,7,0,3,2,6,0,1,3,4,6,0,3,3,4,0,6,0,2,3,4,0,0,2,3,4,0,2,3,4,0,
51317,6,0,2,6,2,2,3,6,0,2,3,7,0,2,3,6,0,2,3,6,0,2,2,4,7,0,3,2,4,0,6,0,1,0,4,0,0,2,3,4,0,1,2,2,0,
51333,6,1,2,6,0,2,3,6,0,1,3,6,0,1,3,7,0,2,4,6,0,1,3,4,6,0,2,3,4,0,6,0,2,3,4,0,0,1,3,4,0,3,2,4,0,
51349,6,0,2,5,0,2,3,6,0,2,3,5,0,1,3,7,0,2,3,6,0,1,3,4,6,0,1,1,4,0,6,0,3,3,4,0,0,2,3,4,0,2,3,4,0,
51365,7,0,2,6,0,1,3,6,0,2,2,8,0,2,2,6,1,2,3,6,0,1,2,4,6,0,1,3,4,0,6,0,1,3,4,0,0,2,3,4,0,3,3,4,0,
51381,6,0,2,6,0,2,4,6,0,1,3,6,0,2,3,6,0,1,2,6,0,1,2,8,6,0,1,1,4,0,5,0,2,2,4,0,0,1,4,4,0,2,3,4,0,
51397,6,0,2,6,1,2,2,6,0,1,1,6,0,2,2,6,0,2,2,6,0,1,2,4,6,0,1,1,4,0,6,0,2,2,4,0,0,1,2,4,0,1,3,4,0,
