Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
29685,6,0,2,6,0,2,3,6,0,2,3,6,0,3,2,6,0,2,3,6,0,2,4,3,6,0,1,3,4,1,6,0,2,2,4,0,0,1,2,4,0,1,2,3,0,
29701,6,0,2,6,0,1,3,6,0,1,3,6,0,1,2,7,0,1,2,6,0,2,3,4,6,0,1,2,4,0,6,0,1,2,4,0,0,2,2,4,0,2,3,3,0,
29717,6,0,2,8,0,1,2,6,0,2,1,6,0,2,3,6,0,2,2,6,0,2,2,4,6,0,1,2,5,0,6,3,1,2,4,0,0,2,3,4,0,1,3,4,0,
29733,6,0,1,7,0,2,3,1,0,2,3,6,3,1,2,7,0,1,2,6,0,2,3,3,6,0,1,3,4,0,6,0,2,3,4,0,0,2,3,4,0,2,3,4,0,
29749,5,0,2,6,0,2,2,6,0,3,3,4,0,2,3,6,0,1,0,6,0,2,3,4,6,0,1,3,4,0,6,0,2,2,4,0,0,1,2,4,0,2,1,4,0,
29765,6,0,2,7,0,2,2,6,0,1,3,6,0,2,2,6,0,1,3,6,0,1,2,4,6,0,2,2,4,1,6,0,2,2,4,0,0,2,2,4,0,2,2,4,0,
29781,6,0,2,7,0,2,3,6,0,1,3,2,0,2,3,6,0,2,3,8,0,1,0,4,6,0,1,2,4,0,6,0,1,2,4,0,0,2,2,4,0,2,3,4,0,
29797,6,0,2,6,0,2,3,6,0,1,2,6,0,2,0,6,0,1,2,6,0,1,2,4,6,0,1,2,4,0,6,0,1,2,4,0,0,2,2,4,0,2,2,4,0,
29813,6,0,1,6,0,3,2,6,0,1,3,6,0,1,2,7,0,2,2,6,0,2,2,4,6,0,2,2,6,0,6,0,2,2,4,0,0,2,2,3,0,0,2,4,0,
29829,6,0,2,6,0,2,3,6,0,2,3,6,0,1,7,8,0,2,2,6,0,1,3,4,6,0,1,3,4,0,7,0,2,3,4,0,0,2,2,4,0,0,3,4,0,
29845,6,0,3,7,0,2,2,6,0,2,2,6,0,2,2,6,0,2,2,6,0,2,2,4,6,0,2,2,4,0,5,1,2,3,4,0,0,2,2,4,0,1,3,4,0,
29861,6,0,1,6,0,2,3,6,0,3,2,6,0,2,3,7,0,2,3,6,0,3,2,4,8,0,2,3,4,0,6,0,2,2,4,0,0,2,3,4,0,1,3,4,0,
29877,6,0,2,6,0,1,2,6,0,1,2,6,0,2,3,6,0,2,2,6,0,2,2,4,6,0,1,3,4,0,6,0,2,2,4,0,0,1,3,4,0,1,2,4,0,
29893,6,0,2,6,0,2,3,6,0,2,2,6,0,2,2,6,0,1,3,6,0,2,2,4,6,0,1,3,4,0,6,0,1,3,4,0,0,1,3,4,0,1,2,4,0,
29909,6,0,2,7,0,1,3,6,0,2,3,7,0,1,2,6,0,3,2,6,0,1,3,4,8,0,2,2,4,0,6,0,2,2,4,0,0,1,2,4,0,1,3,4,0,
29925,7,0,2,6,0,2,2,6,0,4,3,6,0,1,2,6,0,2,3,6,0,2,2,4,6,0,2,2,4,0,6,0,2,3,4,0,0,1,2,4,0,1,2,4,0,
29941,6,0,2,6,0,2,2,6,0,1,2,6,0,1,3,6,0,2,3,6,0,3,2,4,6,0,1,3,4,0,6,0,1,4,4,0,0,2,3,4,0,2,2,4,0,
29957,6,0,1,6,0,2,2,8,1,1,3,6,0,2,3,6,0,2,2,6,0,1,2,5,6,0,1,2,4,0,6,0,1,2,4,0,0,2,3,3,0,2,2,4,0,
29973,6,0,3,6,0,2,3,6,0,1,2,6,0,3,2,6,0,2,2,6,0,2,2,4,6,0,3,2,4,0,6,0,3,2,4,0,1,2,3,4,0,2,4,4,0,
29989,6,0,1,6,0,2,2,6,0,1,3,6,0,2,2,6,0,2,2,6,0,2,3,4,6,0,1,3,4,0,6,0,2,3,4,0,0,2,3,4,0,3,2,4,0,
30005,6,0,7,6,1,1,3,6,0,1,2,6,0,1,3,6,0,2,2,6,0,4,3,1,6,0,2,3,4,0,6,0,2,4,4,0,0,2,2,4,0,2,2,4,0,
30021,6,0,2,6,0,3,3,6,0,2,1,6,0,2,2,6,0,1,3,6,0,1,3,4,6,1,1,2,4,0,6,0,3,2,4,4,0,1,1,4,0,2,3,4,0,
30037,6,0,2,7,0,1,3,6,0,1,2,6,0,1,3,6,0,0,3,6,0,2,2,4,6,1,1,2,4,0,6,0,2,3,4,0,0,3,2,4,0,2,3,4,0,
30053,6,0,1,7,0,2,3,6,0,2,3,6,0,2,3,7,1,1,2,7,0,2,3,4,6,0,1,2,4,0,6,0,1,3,4,0,0,2,3,4,1,1,2,4,0,
30069,6,0,2,6,0,2,2,6,0,1,2,6,0,1,2,6,0,2,2,7,0,2,4,4,6,0,2,2,4,0,6,0,3,2,4,0,0,2,2,3,0,2,2,4,0,
30085,6,0,2,7,0,2,2,6,0,1,2,6,0,3,2,6,0,2,1,6,0,2,3,4,6,0,2,2,4,0,6,0,2,2,4,0,0,2,3,4,0,4,3,4,0,
30101,8,0,3,6,1,1,3,7,0,2,2,6,0,2,3,6,0,2,2,6,0,1,3,4,6,0,1,2,4,0,6,0,1,4,4,0,0,2,2,4,0,2,2,4,0,
30117,7,0,2,6,0,1,3,6,0,2,2,6,0,2,3,7,0,2,3,6,0,1,3,4,7,0,2,3,4,0,6,0,1,2,4,0,0,2,2,4,0,2,2,4,0,
