TimeSinceCollection,Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
0,24462,0.0382813,0.746484,10.135,2.27417,-0.148315,-16.5619,-1.15967,0.549316,0.549316,0.989319,0.0194702,-0.00418091,-0.143951,-13.9417,38.8667,-73.5333,441,-29800
6,24468,-0.00478516,0.741699,10.1302,2.27966,-0.142822,-16.5564,-0.488281,1.09863,0.854492,0.989349,0.0194702,-0.00411987,-0.143951,-13.9333,39.2333,-73.5417,441,-29800
12,24474,-0.00478516,0.76084,10.1206,2.28516,-0.131836,-16.5509,-0.244141,1.2207,0.915527,0.989349,0.0195313,-0.00408936,-0.143921,-13.9417,39.5667,-73.5333,441,-29800
18,24480,-0.0287109,0.77998,10.1015,2.29065,-0.131836,-16.5454,-0.488281,1.0376,0.976563,0.989349,0.0195618,-0.00402832,-0.14389,-13.9583,39.8583,-73.5083,441,-29800
24,24486,-0.0239258,0.784766,10.1015,2.29065,-0.126343,-16.5454,-1.0376,0.793457,0.854492,0.989349,0.0195923,-0.0039978,-0.14386,-13.975,40.1167,-73.475,441,-29800
30,24492,-0.0239258,0.77998,10.1158,2.28516,-0.12085,-16.5399,-1.58691,0.488281,0.610352,0.989349,0.0196228,-0.00396729,-0.143829,-13.6,40.1833,-73.45,441,-29800
36,24498,0.00957031,0.76084,10.1302,2.28516,-0.12085,-16.5399,-2.50244,0.12207,0.0610352,0.989349,0.0195618,-0.00393677,-0.143768,-13.2417,40.0083,-73.4417,441,-29800
42,24504,0.0287109,0.746484,10.1493,2.26868,-0.12085,-16.5289,-2.50244,-0.12207,-0.12207,0.98938,0.0195007,-0.00390625,-0.143738,-12.9333,40.2667,-73.4583,441,-29800
48,24510,0.0239258,0.717773,10.135,2.26318,-0.12085,-16.5289,-2.31934,0.366211,0.0610352,0.98938,0.0194397,-0.00390625,-0.143707,-12.6417,40.4833,-73.4417,441,-29800
54,24516,0.090918,0.756055,10.001,2.25769,-0.109863,-16.5234,-2.31934,1.64795,0.12207,0.98938,0.0194092,-0.00387573,-0.143677,-12.7917,40.6833,-73.425,441,-29800
