Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
1234653,-4.05303,-22.5285,-0.894824,-67.9834,58.6945,-116.708,-8.91113,-30.7007,440.002,0.612396,0.0902405,0.628052,-0.471436,1765,23833,-15383,-3117,-29372
1234659,-3.45488,-22.6769,-2.90937,-64.7369,62.2925,-112.78,-4.63867,-36.1938,434.631,0.621582,0.10022,0.626038,-0.45993,23270,-25064,21737,-3117,-29372
1234665,-1.29678,-19.3512,-3.71807,-62.644,63.9514,-110.363,-4.57764,-48.0957,425.781,0.630707,0.110168,0.623383,-0.4487,1767,12824,6889,-3117,-29372
1234671,-0.521582,-17.9252,-3.78027,-60.3809,65.4895,-107.77,-9.8877,-48.5229,408.142,0.63974,0.119598,0.6203,-0.437683,-21529,-14313,-7448,-3117,-29372
1234677,0.75127,-17.4754,-4.49805,-57.821,66.9012,-104.854,-14.0381,-58.8989,396.301,0.648193,0.128387,0.617249,-0.42691,20712,22295,-21272,-3117,-29372
1234683,6.70879,-9.5416,-4.99092,-54.7449,68.1152,-101.448,-7.62939,-85.5713,381.714,0.665039,0.143829,0.60968,-0.406464,-2328,-8170,31464,-3117,-29372
1234689,10.4029,-0.62207,-7.37871,-47.8949,70.0269,-94.4659,51.6968,-96.1304,331.543,0.672089,0.151733,0.605499,-0.398163,15082,-6635,6376,-3117,-29372
1234695,7.00068,21.1025,0.775195,-44.8297,70.5872,-91.5271,66.6504,-72.876,257.08,0.679199,0.15921,0.600098,-0.391327,-11030,25109,-6425,-3117,-29372
1234701,-1.81357,24.3804,-1.76572,-43.3026,70.6805,-89.8407,-7.01904,-72.3267,132.568,0.684174,0.165588,0.595581,-0.386871,24811,-7148,-18969,-3117,-29372
1234707,6.13457,10.2642,-1.63174,-42.6984,70.296,-88.9233,-46.2646,-107.117,31.8604,0.6875,0.166504,0.593201,-0.384216,-6677,26644,31975,-3117,-29372
1234713,7.69932,5.03398,0.31582,-43.3466,69.7247,-89.3024,-52.5513,-76.2939,-56.5796,0.690765,0.157745,0.59082,-0.385712,24300,-5101,16615,-3117,-29372
1234719,9.04873,0.0861328,0.349316,-46.9171,67.9395,-92.2961,-81.665,-57.6172,-190.125,0.689667,0.150269,0.591583,-0.389435,11501,4115,-15386,-3117,-29372
1234725,9.40283,-5.47422,-0.985742,-49.2792,66.8463,-94.3945,-80.3833,-39.4287,-228.394,0.687439,0.1409,0.59317,-0.39447,32493,-19438,-30490,-3117,-29372
