Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
1190205,-1.82314,-10.4986,0.272754,-85.8142,3.19153,-138.126,6.40869,0.549316,9.70459,0.278442,-0.224976,0.642975,-0.677002,-20785,13082,-26389,-3034,-29382
1190211,-2.58398,-8.78555,1.72266,-85.6714,3.4552,-138.098,10.6201,-1.95312,9.82666,0.280243,-0.223145,0.642792,-0.677032,-10289,17946,-26645,-3034,-29382
1190217,-2.49307,-8.35967,1.17236,-85.6329,3.57605,-138.087,3.54004,0.366211,8.60596,0.281219,-0.22229,0.642578,-0.677124,9424,26650,-24341,-3034,-29382
1190223,-3.029,-9.16836,1.39248,-85.6055,3.69141,-138.082,0.732422,1.70898,7.14111,0.282013,-0.221527,0.642548,-0.677032,18128,30490,-23061,-3034,-29382
1190229,-2.98115,-9.74258,1.42598,-85.578,3.80127,-138.065,1.2207,-0.671387,7.69043,0.282715,-0.220825,0.642639,-0.67691,25808,-31462,-21781,-3034,-29382
1190235,-2.61748,-9.58467,1.17715,-85.556,3.91663,-138.043,1.15967,-2.0752,8.23975,0.283478,-0.220154,0.6427,-0.676758,-31280,-28390,-21013,-3042,-29381
1190241,-2.87588,-10.8145,1.54561,-85.5176,4.13086,-137.999,0.12207,-1.52588,8.05664,0.285034,-0.218964,0.642822,-0.676392,-23088,-26342,-20501,-3042,-29381
1190247,-2.76104,-10.1637,0.555078,-85.4956,4.24072,-137.988,1.15967,1.09863,8.42285,0.285767,-0.218384,0.642883,-0.676178,-6192,-22246,-20501,-3042,-29381
1190253,-2.75625,-10.001,1.11016,-85.4626,4.34509,-137.955,2.62451,-4.02832,7.93457,0.286469,-0.217712,0.642975,-0.676025,1489,-20198,-21013,-3042,-29381
1190259,-2.37344,-9.65166,1.33506,-85.4297,4.44946,-137.928,2.62451,-2.13623,8.36182,0.287292,-0.217224,0.642914,-0.675873,8913,-18406,-19989,-3042,-29381
1190265,-3.15342,-9.19707,1.75137,-85.3967,4.54834,-137.906,3.84521,-1.2207,8.30078,0.288055,-0.216644,0.642914,-0.675751,16081,-16614,-17941,-3042,-29381
1190271,-2.89502,-9.68516,2.03848,-85.3638,4.74609,-137.873,-0.305176,-0.427246,6.83594,0.28952,-0.215485,0.642944,-0.675446,22993,-14822,-15637,-3042,-29381
1190277,-2.83281,-9.02959,1.29678,-85.3363,4.83398,-137.845,1.64795,-2.01416,6.10352,0.290161,-0.214966,0.643005,-0.675293,-30255,-10982,-8213,-3042,-29381
1190283,-3.01465,-9.38848,1.72744,-85.3308,4.92188,-137.823,-1.95312,-1.34277,6.34766,0.290833,-0.214508,0.643005,-0.675171,-24367,-9446,-3861,-3042,-29381
1190289,-3.2252,-9.46982,1.06709,-85.3143,5.00977,-137.807,-0.549316,-0.183105,6.53076,0.291443,-0.214081,0.643097,-0.674927,-18735,-8166,236,-3042,-29381
1190295,-3.26826,-9.61816,1.3542,-85.3088,5.09766,-137.791,-1.52588,-0.549316,5.85938,0.292053,-0.213593,0.643158,-0.674744,-13103,-7142,4844,-3042,-29381
1190301,-2.11504,-10.4412,0.937891,-85.2924,5.25146,-137.714,0,-5.12695,5.67627,0.293274,-0.212891,0.643372,-0.674286,-7215,-6630,8172,-3042,-29381
1190307,-2.37822,-9.92441,0.803906,-85.2704,5.33386,-137.692,1.70898,-1.0376,6.28662,0.293945,-0.212616,0.643341,-0.674072,4306,-5350,13548,-3042,-29381
1190313,-3.07207,-9.72344,0.794336,-85.2429,5.41626,-137.67,2.44141,-1.09863,6.71387,0.294556,-0.212189,0.643341,-0.67395,9938,-4582,15596,-3042,-29381
1190319,-3.17256,-9.63252,0.741699,-85.2209,5.49866,-137.637,2.19727,-3.72314,6.89697,0.295166,-0.211731,0.643341,-0.673828,15058,-3558,18156,-3042,-29381
1190325,-2.8041,-9.71865,1.04795,-85.1825,5.58105,-137.598,4.94385,-4.3335,6.83594,0.295868,-0.211365,0.64328,-0.673676,20434,-2790,21740,-3042,-29381
1190331,-3.34482,-9.25928,1.16758,-85.1056,5.74036,-137.538,5.43213,-2.56348,6.89697,0.297272,-0.210571,0.643036,-0.673523,30674,-742,28140,-3042,-29381
