Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
1457331,-10.245,-9.35498,-2.51221,-88.0005,-2.4939,-137.439,122.925,-26.4282,220.886,0.237213,-0.274231,0.642731,-0.674774,-823,24599,27627,-3034,-29382
1457337,-2.34473,-7.29258,7.76631,-87.583,-1.3678,-137.302,74.0967,-19.043,199.219,0.246857,-0.266632,0.641449,-0.675568,23498,-23529,21483,-3034,-29382
1457343,-11.4557,-3.79463,17.0112,-87.1545,-0.516357,-137.67,72.5708,81.3599,140.259,0.255035,-0.259949,0.641357,-0.675232,-16950,-5865,15851,-3034,-29382
1457349,-21.2605,1.41641,-4.75645,-87.0392,-0.20874,-137.944,12.4512,57.5562,30.5176,0.258606,-0.251923,0.641632,-0.676636,6859,10776,9451,-3034,-29382
1457355,-0.555078,-21.5619,-1.71787,-87.2589,0.0549316,-137.856,28.5645,-8.60596,36.7432,0.260529,-0.247681,0.643982,-0.675262,31179,26392,4843,-3034,-29382
1457361,1.47861,-14.5804,0.890039,-86.5283,0.708618,-137.966,100.647,39.6118,39.7949,0.263062,-0.245758,0.643433,-0.675476,13772,-10472,-3094,-3034,-29382
1457367,-3.77549,-4.12959,3.02422,-86.0834,1.02173,-138.131,80.9937,38.5132,36.0718,0.265076,-0.241547,0.641357,-0.678192,-28980,2329,-6678,-3034,-29382
1457373,-3.8042,-4.64639,2.0624,-85.957,1.32385,-138.12,17.6392,3.41797,34.4238,0.266785,-0.237701,0.639801,-0.680359,-7220,14105,-11542,-3034,-29382
1457379,-0.0574219,-9.12529,1.80879,-85.8911,1.62048,-138.087,5.79834,-1.46484,35.8276,0.268738,-0.235687,0.639679,-0.680389,13517,25113,-15382,-3034,-29382
1457385,-7.11074,-6.33076,1.07187,-85.7428,1.91162,-138.197,24.4751,22.3999,24.9023,0.272034,-0.231232,0.639832,-0.680481,31949,-29415,-20246,-3034,-29382
1457391,-6.25898,-5.46943,1.52168,-85.4901,2.36206,-138.235,11.5967,-3.479,17.2729,0.273224,-0.228882,0.639618,-0.680969,974,-8935,-25878,-3034,-29382
1457397,-2.38779,-7.15859,2.11025,-85.4736,2.52136,-138.181,-3.2959,-6.16455,9.0332,0.27475,-0.227692,0.639435,-0.680939,16590,282,-27414,-3034,-29382
1457403,-1.64609,-10.647,0.382812,-85.4791,2.67517,-138.181,-7.38525,4.88281,8.36182,0.276001,-0.22699,0.639526,-0.680573,32206,8474,-27670,-3034,-29382
1457409,-3.05771,-11.3839,-0.564648,-85.4132,2.82898,-138.175,7.20215,4.45557,8.48389,0.276825,-0.226074,0.639893,-0.680206,-18738,15898,-27158,-3034,-29382
1457415,-2.63184,-8.25439,1.40684,-85.3143,2.98279,-138.137,11.2305,-1.15967,5.85938,0.279083,-0.224091,0.639496,-0.680298,-4914,22298,-26390,-3034,-29382
1457421,-2.95723,-9.10137,2.13418,-85.1935,3.24097,-138.076,2.74658,-0.12207,4.27246,0.280182,-0.223267,0.639252,-0.680389,20431,-30950,-21270,-3034,-29382
1457427,-3.29219,-10.3646,1.99541,-85.1605,3.36731,-138.038,1.40381,-2.01416,5.85938,0.281097,-0.222565,0.639221,-0.680267,32207,-25062,-20246,-3034,-29382
1457433,-3.48359,-10.1015,2.07676,-85.1056,3.49915,-137.983,5.06592,-5.12695,7.69043,0.282074,-0.221924,0.639221,-0.680054,-22833,-18662,-18454,-3034,-29382
1457439,-2.2873,-9.48418,1.76572,-85.0836,3.63098,-137.928,-0.427246,-4.88281,7.75146,0.283234,-0.221313,0.639069,-0.679901,-12337,-12262,-16662,-3034,-29382
1457445,-3.0625,-10.8958,0.842188,-85.0781,3.76831,-137.884,-3.54004,-1.89209,9.21631,0.285309,-0.220123,0.639282,-0.67923,-2865,-6118,-14614,-3034,-29382
1457451,-2.87109,-10.7857,1.19629,-85.0287,4.05945,-137.78,2.50244,-3.23486,13.3667,0.286438,-0.219543,0.639435,-0.678802,15824,5147,-7702,-3034,-29382
1457457,-3.71807,-9.18272,0.818262,-84.9738,4.20776,-137.741,7.14111,-0.976562,11.9019,0.287628,-0.218811,0.639435,-0.678528,25552,10523,-3862,-3034,-29382
1457463,-3.94297,-9.65166,1.97627,-84.9408,4.34509,-137.675,2.50244,-5.43213,11.7798,0.288727,-0.218048,0.639343,-0.678406,-31024,15131,1259,-3034,-29382
1457469,-2.90459,-9.23535,1.02402,-84.9023,4.47693,-137.604,3.72314,-7.26318,10.5591,0.289917,-0.217438,0.639313,-0.678101,-22064,19483,6123,-3034,-29382
1457475,-1.72266,-9.75215,1.69395,-84.8694,4.60327,-137.532,2.50244,-7.38525,10.498,0.292297,-0.216492,0.63916,-0.677551,-13360,23323,10987,-3034,-29382
1457481,-2.30166,-9.21621,1.97148,-84.776,4.85596,-137.428,6.28662,-1.2207,10.9253,0.293427,-0.215942,0.639038,-0.677338,3793,30491,19435,-3034,-29382
1457487,-3.11992,-8.77598,2.4165,-84.7375,4.97681,-137.384,3.72314,-1.58691,10.1929,0.294464,-0.215302,0.638947,-0.677185,13009,-31717,22763,-3034,-29382
1457493,-3.11992,-8.63242,1.71787,-84.7156,5.09766,-137.335,0.610352,-2.56348,9.82666,0.295441,-0.214691,0.638885,-0.677002,21969,-28389,26347,-3034,-29382
1457499,-3.2252,-9.20664,1.18193,-84.7046,5.20203,-137.291,-1.46484,-1.64795,7.99561,0.296417,-0.214203,0.638916,-0.676697,30673,-25061,30955,-3034,-29382
1457505,-3.35439,-9.41719,1.00488,-84.6826,5.3064,-137.252,2.44141,0.12207,7.38525,0.298096,-0.213287,0.639008,-0.676147,-26415,-22245,-29973,-3034,-29382
1457511,-3.22998,-9.68994,0.823047,-84.6332,5.50964,-137.159,1.34277,-4.02832,7.32422,0.29892,-0.212799,0.639008,-0.675964,-11311,-17637,-20501,-3034,-29382
1457517,-2.33037,-10.0488,0.947461,-84.6057,5.60303,-137.109,1.70898,-2.92969,6.83594,0.299835,-0.212433,0.638977,-0.67572,-3375,-15589,-16661,-3034,-29382
1457523,-2.49785,-10.446,0.31582,-84.5782,5.7074,-137.076,3.2959,1.2207,8.42285,0.30069,-0.212097,0.638916,-0.675476,3794,-13541,-13077,-3034,-29382
1457529,-3.12949,-10.5896,0.100488,-84.5288,5.81177,-137.038,8.48389,0.12207,9.58252,0.301453,-0.211548,0.638916,-0.675293,11474,-12005,-9749,-3034,-29382
1457535,-2.94766,-10.1924,0.162695,-84.4574,5.92163,-136.989,12.3901,-2.2583,10.0708,0.303345,-0.210419,0.638458,-0.675232,19154,-11237,-6677,-3034,-29382
1457541,-3.34482,-10.1828,0.468945,-84.2706,6.13586,-136.895,18.7988,-1.40381,10.9253,0.304321,-0.209808,0.638123,-0.675323,-31278,-9445,-1557,-3034,-29382
1457547,-3.20605,-9.7665,0.392383,-84.1498,6.24023,-136.835,22.583,-4.76074,11.2305,0.305359,-0.209137,0.637665,-0.675476,-24366,-8677,748,-3034,-29382
1457553,-2.53135,-9.32627,0.976172,-84.0234,6.33911,-136.763,24.353,-5.85938,10.5591,0.306519,-0.208527,0.637054,-0.67572,-17198,-8421,2796,-3034,-29382
