Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
1710963,-7.80938,-9.32627,-1.99541,-89.8297,2.38403,-133.572,5.24902,8.11768,10.3149,0.291473,-0.265961,0.65448,-0.644836,15054,1049,-10261,-2851,-29404
1710969,-5.22061,-9.8335,0.0478516,-89.7418,2.53235,-133.489,8.60596,-11.8408,4.57764,0.292542,-0.264648,0.654541,-0.644836,-30770,10265,-12565,-2851,-29404
1710975,-1.59824,-10.178,1.72266,-89.6704,2.66418,-133.412,5.67627,-10.1929,2.31934,0.294037,-0.264069,0.654205,-0.644745,-12338,18969,-12821,-2851,-29404
1710981,-1.39248,-11.4844,3.2252,-89.6045,2.79053,-133.401,4.82178,3.2959,1.34277,0.29538,-0.26355,0.653931,-0.644623,4559,26649,-12309,-2851,-29404
1710987,-5.59385,-9.66123,1.80879,-89.4562,3.05969,-133.369,6.34766,-3.11279,3.96729,0.29715,-0.261658,0.653717,-0.644775,20687,-31719,-10005,-2851,-29404
1710993,-4.57461,-10.3455,2.21074,-89.4232,3.19153,-133.33,-1.40381,-2.0752,3.2959,0.298309,-0.260956,0.653534,-0.644745,-14385,-20711,-2069,-2851,-29404
1710999,-3.675,-10.8001,0.172266,-89.3793,3.31238,-133.292,1.0376,-2.0752,2.56348,0.299316,-0.260345,0.653564,-0.64447,-561,-16103,1772,-2851,-29404
1711005,-3.32568,-12.1112,0.0478516,-89.3188,3.43872,-133.231,5.00488,-6.10352,4.57764,0.300323,-0.259766,0.653534,-0.644287,12752,-11495,5356,-2851,-29404
1711011,-2.04326,-11.0585,0.880469,-89.209,3.58704,-133.154,14.6484,-8.42285,8.36182,0.301544,-0.259216,0.65332,-0.644135,25040,-7143,9196,-2851,-29404
1711017,-3.68457,-10.0584,0.756055,-89.0497,3.94409,-133.094,7.69043,1.09863,18.0054,0.304352,-0.257477,0.65271,-0.644165,-28976,-3047,12524,-2851,-29404
1711023,-3.78984,-9.8,1.24414,-88.9783,4.13086,-133.022,8.60596,-6.7749,18.4326,0.305695,-0.256378,0.652679,-0.643982,-6960,3866,20716,-2851,-29404
