Timestamp,AccX,AccY,AccZ,AngleX,AngleY,AngleZ,AngularVelX,AngularVelY,AngularVelZ,QW,QX,QY,QZ,MagX,MagY,MagZ,Height,AirPressure
39472,0.00957031,-9.70908,1.56953,-81.2109,0.12085,-132.66,1.64795,-1.34277,1.0376,0.305328,-0.260559,0.596436,-0.695007,1500,-14315,-13351,-2835,-29406
39478,0.00478516,-9.69951,1.49775,-81.2054,0.12085,-132.66,1.46484,-1.15967,0.732422,0.305389,-0.260529,0.596405,-0.695007,1244,-15083,-13095,-2835,-29406
39484,-0.0239258,-9.70908,1.53604,-81.2,0.126343,-132.654,1.2207,-1.15967,0.854492,0.30542,-0.260498,0.596375,-0.695038,988,-15595,-12583,-2835,-29406
39490,0,-9.71865,1.55518,-81.1945,0.126343,-132.649,1.09863,-1.15967,0.610352,0.305511,-0.260468,0.596283,-0.695068,732,-16107,-12327,-2835,-29406
39496,0.0239258,-9.69473,1.54082,-81.1835,0.131836,-132.643,1.09863,-1.34277,0.488281,0.305573,-0.260468,0.596252,-0.695099,-37,-17899,-11047,-2835,-29406
39502,-0.00957031,-9.68516,1.55518,-81.178,0.131836,-132.643,1.09863,-0.732422,0.732422,0.305603,-0.260468,0.596222,-0.695099,-293,-18411,-10279,-2835,-29406
39508,-0.0239258,-9.64688,1.54561,-81.1725,0.131836,-132.643,0.793457,-0.732422,0.366211,0.305634,-0.260437,0.596191,-0.695129,-549,-19179,-9511,-2835,-29406
39514,-0.0669922,-9.66123,1.54561,-81.1725,0.137329,-132.643,0.366211,-0.610352,0.610352,0.305634,-0.260437,0.596161,-0.695129,-549,-19947,-7719,-2835,-29406
39520,-0.0191406,-9.69951,1.55518,-81.1725,0.137329,-132.638,0.12207,-1.0376,0.305176,0.305695,-0.260437,0.596161,-0.695129,-37,-20971,-6695,-2835,-29406
39526,-0.0478516,-9.72344,1.50732,-81.1725,0.137329,-132.638,0,-0.854492,0.12207,0.305695,-0.260437,0.596161,-0.695129,988,-20971,-4135,-2835,-29406
39532,-0.0287109,-9.73301,1.55518,-81.1725,0.137329,-132.638,0.0610352,-0.854492,0.183105,0.305695,-0.260437,0.596161,-0.695129,988,-20459,-3623,-2835,-29406
39538,0,-9.69473,1.53604,-81.1725,0.137329,-132.638,-0.12207,-0.488281,0.12207,0.305725,-0.260437,0.596161,-0.695129,1244,-20203,-3367,-2835,-29406
39544,-0.0287109,-9.73301,1.53125,-81.1725,0.137329,-132.632,-0.305176,-0.671387,0.427246,0.305695,-0.260437,0.596161,-0.695129,988,-20459,-3111,-2835,-29406
39550,0.0191406,-9.69473,1.55996,-81.1725,0.137329,-132.632,-0.305176,-0.671387,0.305176,0.305725,-0.260437,0.596161,-0.695099,-293,-21227,-2855,-2835,-29406
39556,0,-9.68037,1.53125,-81.178,0.142822,-132.638,-0.427246,-0.183105,0.427246,0.305725,-0.260437,0.596191,-0.695068,-2597,-23019,-4391,-2835,-29406
39562,-0.0478516,-9.68037,1.56475,-81.1835,0.142822,-132.638,-0.671387,-0.427246,0.183105,0.305725,-0.260437,0.596222,-0.695068,-3621,-23019,-5927,-2835,-29406
39568,-0.0287109,-9.64209,1.55518,-81.1835,0.142822,-132.638,-0.793457,-0.610352,0.244141,0.305695,-0.260437,0.596222,-0.695068,-3877,-23019,-6695,-2835,-29406
39574,-0.0382813,-9.62295,1.54082,-81.189,0.142822,-132.638,-1.15967,-0.427246,0.427246,0.305695,-0.260437,0.596252,-0.695038,-3877,-22507,-7719,-2835,-29406
39580,-0.0287109,-9.68516,1.51689,-81.2,0.142822,-132.638,-1.46484,-0.427246,0.183105,0.305695,-0.260468,0.596344,-0.694977,-3621,-22507,-7975,-2835,-29406
39586,-0.0526367,-9.71387,1.50254,-81.2164,0.142822,-132.638,-1.83105,-0.610352,0.12207,0.305664,-0.260498,0.596375,-0.694916,-3877,-21739,-5671,-2835,-29406
