Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
966296,41,0,25,24,0,9,33,165,232,71,36,10,28,20,25,9,3,5,6,8,1,7,3,4,65,0,5,23,34,18,13,22,2,42,7,9,6,3,4,9,0,2,3,6,0,
966312,41,0,25,22,0,11,33,169,235,73,38,11,29,20,23,8,3,6,4,8,2,8,2,4,64,1,4,25,40,17,15,19,3,44,7,12,6,3,3,10,0,3,2,6,0,
966328,43,0,26,23,0,11,33,172,241,75,38,9,29,20,22,9,3,6,4,8,1,9,3,4,61,1,5,20,41,19,14,12,3,45,9,12,4,3,4,12,1,3,4,6,0,
966344,45,0,28,25,0,11,40,174,250,85,41,10,26,20,24,9,3,6,3,8,2,10,3,4,49,0,6,20,39,18,13,1,2,45,9,12,4,3,4,15,2,3,2,6,0,
966360,47,0,28,27,1,12,38,178,256,88,43,11,26,20,22,8,6,6,3,8,2,9,2,4,45,1,5,19,35,19,13,5,3,46,9,11,5,3,3,16,0,3,2,6,0,
966376,50,0,29,29,1,13,41,178,262,93,45,9,27,27,20,8,3,7,3,9,1,9,2,4,48,1,5,20,32,19,14,7,3,45,8,7,4,3,3,20,1,3,2,6,1,
966392,49,0,29,27,1,20,42,178,261,94,49,9,26,33,21,9,3,6,3,8,1,9,2,4,54,1,6,20,26,19,14,14,3,45,4,6,6,3,3,25,1,3,2,5,0,
966408,48,0,29,26,1,12,41,178,261,94,49,9,27,35,20,8,2,6,3,8,1,11,3,4,59,0,4,20,24,20,15,11,2,48,4,4,5,4,4,31,1,2,2,4,0,
966424,49,0,29,27,1,12,41,178,260,94,49,10,26,34,19,9,3,7,3,8,1,10,3,4,62,1,7,20,20,18,16,3,2,43,4,3,4,4,3,32,0,3,2,6,0,
966440,49,0,27,24,0,12,41,177,259,93,49,9,26,36,18,10,3,8,3,9,1,11,2,4,59,1,10,20,30,20,16,7,3,45,4,0,5,4,5,33,1,3,3,6,2,
966456,47,0,26,23,0,14,39,176,255,91,49,11,26,39,17,9,2,8,4,8,2,11,2,4,58,1,12,20,37,20,14,7,3,44,12,1,5,4,7,32,0,2,2,1,0,
966472,45,0,25,24,0,11,37,176,249,90,44,7,27,45,17,8,2,8,3,7,1,11,2,4,56,0,12,20,39,16,12,4,3,45,10,1,4,4,4,33,0,3,1,4,0,
966488,42,0,25,23,0,11,36,176,249,91,42,10,27,48,17,8,2,8,3,8,1,12,2,4,58,0,15,20,41,16,6,9,2,43,4,1,4,3,4,33,0,2,2,7,0,
966504,42,0,26,26,2,11,37,174,248,88,41,9,27,51,16,8,2,8,1,8,1,12,3,4,61,1,15,19,40,16,15,1,3,41,4,1,4,2,4,34,0,2,2,4,1,
966520,42,0,24,23,0,10,36,174,244,87,38,12,28,52,16,9,2,8,3,8,1,11,3,4,68,2,20,20,42,17,13,2,3,38,11,4,4,4,3,32,1,2,2,7,0,
966536,40,0,25,24,1,10,36,174,242,85,38,10,28,52,16,8,3,8,3,8,1,11,3,6,74,0,24,20,45,16,14,1,2,30,8,6,4,4,4,33,1,3,2,6,0,
966552,40,0,25,24,1,9,36,173,243,87,39,8,27,53,15,8,3,7,3,8,0,10,2,4,78,1,27,20,45,16,14,1,4,33,10,7,4,4,3,35,1,2,2,6,0,
966568,39,0,25,23,1,12,37,177,256,95,41,10,29,53,16,8,3,7,3,8,1,10,2,4,78,2,29,20,49,16,15,12,3,34,11,8,5,4,3,37,1,3,2,6,0,
966584,52,0,30,32,2,16,45,178,278,99,53,9,28,55,15,9,3,7,4,8,1,10,3,4,86,4,34,22,45,16,15,14,3,34,12,7,4,4,3,29,1,2,2,4,1,
966600,60,0,42,32,11,20,49,181,291,98,61,10,29,54,17,9,3,6,7,8,1,10,3,4,87,5,36,22,53,15,12,12,3,35,11,6,5,3,3,32,0,2,3,6,0,
966616,82,0,59,40,41,25,64,191,310,109,58,9,32,55,18,8,3,6,8,8,1,9,4,4,88,4,39,24,60,16,13,13,3,40,9,8,6,4,4,32,0,2,3,6,0,
966632,111,40,87,43,58,31,81,194,348,124,60,9,41,56,17,7,5,5,15,7,1,8,4,4,91,7,37,18,73,16,12,13,3,40,10,11,5,3,4,29,0,2,3,5,0,
966648,290,222,240,62,126,73,210,197,428,219,165,12,83,88,24,8,2,3,18,7,1,3,4,4,93,8,45,25,89,16,12,16,3,41,12,18,6,3,4,32,0,2,2,5,0,
966664,555,527,486,180,252,248,450,256,516,315,335,20,119,111,42,8,3,3,27,6,1,4,4,4,90,9,45,28,86,16,12,17,4,45,12,21,4,3,4,33,1,2,3,6,0,
966680,728,701,593,318,372,436,579,344,641,423,423,36,168,126,60,8,3,3,45,6,1,3,3,4,116,18,41,33,95,12,14,30,4,47,16,22,7,3,4,29,1,3,2,4,0,
966696,817,785,633,453,487,559,669,495,737,470,501,53,259,183,77,9,6,4,109,6,29,3,7,4,261,87,98,25,116,0,13,58,4,40,23,35,6,3,3,34,0,3,3,4,0,
966712,823,803,651,515,555,634,760,601,809,559,625,94,359,340,116,18,4,4,149,25,89,33,20,4,256,201,225,26,117,0,34,120,31,49,53,110,5,4,3,58,1,3,3,4,0,
966728,790,793,668,525,578,670,806,662,876,606,710,153,428,430,178,26,19,19,193,70,166,64,30,11,337,334,354,47,106,16,67,201,70,96,125,191,12,5,3,102,0,32,2,4,0,
966744,754,779,667,533,601,687,849,688,899,644,766,181,494,489,202,47,39,22,215,124,236,75,20,29,410,480,472,92,182,70,120,298,126,146,215,265,27,5,4,128,6,74,8,9,0,
966760,734,769,671,531,614,706,874,716,918,670,828,206,542,543,233,70,74,36,219,162,277,118,63,33,446,580,586,165,314,157,147,368,199,210,343,345,40,6,4,137,8,96,9,29,1,
966776,732,767,679,542,638,737,903,742,946,706,864,237,581,590,270,91,93,62,222,196,335,170,89,24,480,684,663,248,435,227,177,422,264,259,460,422,54,11,11,148,12,125,25,41,9,
966792,733,779,692,555,654,762,928,762,977,733,892,264,611,632,304,123,117,88,223,240,381,201,81,16,496,750,720,351,537,281,207,464,340,319,543,493,70,16,28,157,15,146,33,61,29,
966808,728,775,685,569,664,779,936,775,991,751,906,287,629,650,328,154,145,111,233,301,427,220,91,33,521,808,790,445,626,347,251,508,402,385,637,380,85,21,40,175,20,140,32,84,55,
966824,721,770,683,582,671,783,943,789,1003,761,926,311,650,664,345,182,161,138,242,341,475,265,114,73,547,865,845,535,694,381,298,565,465,439,716,585,103,32,57,188,31,128,19,101,79,
966840,721,768,681,588,679,792,947,804,1014,771,941,324,659,669,365,197,178,148,248,368,514,296,124,74,563,895,896,603,746,443,312,609,504,482,797,625,126,32,69,204,38,141,19,125,103,
966856,733,779,691,608,695,812,969,822,1028,779,957,334,667,682,375,215,192,155,253,409,550,323,124,70,577,923,925,651,791,502,330,638,535,519,845,635,145,41,95,222,46,144,20,153,127,
966872,767,813,710,640,727,848,1005,861,1048,811,983,349,686,708,391,223,206,171,261,429,582,353,143,71,589,943,951,689,829,554,342,664,560,553,887,667,156,41,120,241,52,146,35,176,146,
966888,831,866,749,689,772,898,1060,899,1085,845,1012,389,708,732,414,240,215,184,261,454,608,374,159,71,601,967,973,722,849,566,360,679,578,572,904,671,162,49,132,248,55,152,40,192,152,
966904,897,913,789,742,829,949,1106,942,1129,887,1052,422,734,756,435,265,239,210,266,476,634,400,177,77,614,990,995,750,866,588,384,695,594,589,923,686,169,54,136,252,55,156,42,202,169,
966920,957,963,833,797,883,994,1151,978,1173,932,1095,460,768,783,456,294,267,229,269,516,671,434,194,74,634,1030,1026,781,890,606,405,717,629,623,944,693,172,57,146,256,57,164,46,206,177,
966936,1012,1012,866,851,934,1037,1185,1020,1221,982,1136,518,805,816,490,327,299,254,278,555,719,491,222,77,660,1068,1069,832,916,631,425,742,671,652,974,699,176,67,157,265,62,182,50,214,188,
