Timestamp,Point0,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,
135569,53,12,42,23,52,7,107,108,364,194,181,172,423,321,128,416,366,130,180,1105,1219,965,568,338,1009,1862,1840,1757,1870,1723,1070,1594,1864,1930,2253,1814,600,443,768,1417,1701,555,282,833,1323,
135585,43,4,37,22,49,7,90,82,317,165,154,148,393,300,108,358,317,115,167,1044,1163,909,504,294,1003,1863,1840,1751,1869,1724,1095,1612,1888,1956,2276,1861,630,476,820,1474,1782,572,327,899,1421,
135601,36,2,26,21,48,6,75,67,289,140,128,132,356,266,98,313,255,85,145,951,1073,820,423,240,982,1865,1828,1737,1861,1710,1127,1635,1916,1981,2300,1897,685,514,881,1541,1850,595,388,978,1511,
135617,32,3,22,24,51,6,72,70,269,123,111,94,319,232,78,265,197,56,136,845,976,722,332,189,968,1837,1807,1714,1835,1682,1151,1639,1931,1993,2309,1907,718,551,935,1603,1912,622,429,1040,1592,
135633,28,3,17,22,51,6,66,68,248,96,78,72,281,194,73,207,161,41,124,740,851,590,245,125,952,1791,1775,1674,1799,1639,1163,1654,1944,1994,2305,1884,751,575,983,1642,1968,640,472,1121,1675,
135649,20,3,12,16,49,5,58,87,211,93,66,45,251,169,66,165,124,36,117,647,718,452,165,91,932,1745,1741,1628,1760,1603,1163,1656,1944,1986,2307,1896,779,609,1030,1687,2023,666,537,1197,1768,
135665,20,3,9,16,43,4,49,107,198,82,53,30,211,146,58,123,103,31,127,547,602,327,76,45,1731,1709,1708,1571,1716,1558,1160,1657,1939,1981,2303,1940,791,613,1051,1695,2063,698,590,1247,1853,
135681,19,3,8,14,33,4,37,117,181,68,37,16,165,116,52,93,82,20,105,468,525,265,53,71,1710,1659,1652,1500,1659,1513,1129,1647,1929,1962,2291,1926,814,628,1062,1703,2097,725,627,1322,1938,
135697,21,3,9,14,23,4,29,123,168,60,17,14,122,93,51,58,55,11,91,398,457,178,47,37,1636,1593,1575,1398,1553,1446,1094,1614,1893,1931,2286,1915,833,627,1069,1706,2127,739,679,1404,2024,
135713,20,2,9,12,15,4,25,122,156,53,10,12,106,82,48,34,32,6,86,341,418,131,41,44,1538,1518,1480,1289,1446,1388,1014,1579,1856,1895,2267,1944,846,632,1075,1710,2155,771,727,1487,2105,
135729,18,2,8,14,13,3,20,126,162,53,8,12,90,70,49,17,18,4,78,300,379,99,30,33,1440,1430,1365,1170,1352,1333,950,1529,1815,1841,2244,1969,843,630,1064,1712,2179,800,745,1579,2181,
135745,20,3,9,26,13,4,23,131,161,55,8,10,73,62,41,11,4,4,70,273,339,74,16,81,1349,1334,1274,1074,1269,1253,865,1462,1753,1768,2194,1965,840,630,1057,1699,2206,815,799,1650,2258,
135761,16,2,11,28,8,3,15,133,169,48,4,10,62,59,46,9,3,4,79,227,308,47,11,70,1214,1244,1165,971,1200,1167,403,1365,1658,1674,2131,1929,825,594,1032,1686,2226,847,833,1718,2322,
135777,12,3,8,25,6,4,14,132,169,41,7,11,54,53,40,9,3,15,73,171,278,21,8,53,1061,1123,1056,837,1088,1070,679,1274,1533,1544,2036,1844,797,547,982,1666,2224,874,858,1762,2372,
135793,11,3,8,23,4,5,10,137,176,45,16,10,38,49,33,8,4,14,68,144,231,23,7,34,924,994,907,728,982,1008,581,1192,1371,1383,1914,1737,746,483,929,1600,2200,881,873,1808,2412,
135809,11,4,8,25,3,4,10,138,165,45,16,11,32,38,33,8,3,25,60,130,169,32,6,34,833,898,792,626,891,942,239,1060,1185,1192,1716,1570,665,405,820,1478,2137,891,876,1849,2445,
135825,14,3,9,27,1,4,7,129,159,49,21,10,18,29,29,8,2,25,58,120,117,28,4,33,754,816,717,537,800,839,294,919,953,1015,1491,961,582,320,720,1322,2008,870,863,1863,2473,
135841,14,2,8,26,1,4,7,127,159,44,66,9,10,20,25,9,3,20,62,99,95,22,4,19,688,727,659,486,717,751,175,806,787,821,1293,1118,501,252,601,1231,1825,853,862,1883,2470,
